timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,37.5236,37.93,37.4606,2225,37.79,410403,37.58686,2025-09-15 13:30:00+00:00
1757943060000,37.33,37.5988,37.08,2078,37.56,131695,37.282397,2025-09-15 13:31:00+00:00
1757943120000,37.17,37.35,36.81,2318,37.31,186295,37.070364,2025-09-15 13:32:00+00:00
1757943180000,37.29,37.65,37.16,1292,37.16,131498,37.439102,2025-09-15 13:33:00+00:00
1757943240000,36.93,37.41,36.85,1273,37.28,103501,37.104233,2025-09-15 13:34:00+00:00
1757943300000,36.66,36.9718,36.65,1879,36.895,133087,36.837991,2025-09-15 13:35:00+00:00
1757943360000,36.5701,36.97,36.55,1536,36.64,92574,36.701318,2025-09-15 13:36:00+00:00
1757943420000,36.61,36.84,36.56,849,36.61,75176,36.695608,2025-09-15 13:37:00+00:00
1757943480000,36.675,36.9438,36.58,887,36.58,70262,36.773334,2025-09-15 13:38:00+00:00
1757943540000,36.7,36.85,36.68,757,36.7599,54300,36.753654,2025-09-15 13:39:00+00:00
1757943600000,36.75,36.87,36.7,993,36.7,109693,36.777486,2025-09-15 13:40:00+00:00
1757943660000,36.47,36.77,36.39,2149,36.76,190975,36.602589,2025-09-15 13:41:00+00:00
1757943720000,36.44,36.66,36.44,790,36.4598,71700,36.531402,2025-09-15 13:42:00+00:00
1757943780000,36.018,36.49,36.0,2489,36.435,215115,36.235244,2025-09-15 13:43:00+00:00
1757943840000,36.02,36.11,35.93,1893,36.01,180020,36.011455,2025-09-15 13:44:00+00:00
1757943900000,36.01,36.0903,35.91,1034,36.03,81148,36.002731,2025-09-15 13:45:00+00:00
1757943960000,36.25,36.27,36.03,1020,36.04,103567,36.142479,2025-09-15 13:46:00+00:00
1757944020000,36.16,36.24,36.09,688,36.233,54498,36.177162,2025-09-15 13:47:00+00:00
1757944080000,36.3006,36.33,36.13,818,36.13,86886,36.272833,2025-09-15 13:48:00+00:00
1757944140000,36.2688,36.36,36.14,984,36.3105,71695,36.262818,2025-09-15 13:49:00+00:00
1757944200000,36.42,36.47,36.2607,1074,36.28,88339,36.349845,2025-09-15 13:50:00+00:00
1757944260000,36.4731,36.485,36.35,1056,36.42,115755,36.428447,2025-09-15 13:51:00+00:00
1757944320000,36.52,36.57,36.41,885,36.46,77473,36.497133,2025-09-15 13:52:00+00:00
1757944380000,36.38,36.57,36.37,1151,36.5119,125813,36.504205,2025-09-15 13:53:00+00:00
1757944440000,36.53,36.54,36.37,574,36.38,41502,36.474254,2025-09-15 13:54:00+00:00
1757944500000,36.4,36.54,36.4,613,36.4962,46697,36.474662,2025-09-15 13:55:00+00:00
1757944560000,36.5299,36.5691,36.33,855,36.427,86203,36.42469,2025-09-15 13:56:00+00:00
1757944620000,36.6,36.61,36.51,739,36.5299,75428,36.563184,2025-09-15 13:57:00+00:00
1757944680000,36.52,36.63,36.43,782,36.61,76154,36.549624,2025-09-15 13:58:00+00:00
1757944740000,36.6906,36.694,36.5,744,36.52,98228,36.606475,2025-09-15 13:59:00+00:00
1757944800000,36.36,36.74,36.335,1113,36.67,82671,36.591158,2025-09-15 14:00:00+00:00
1757944860000,36.1941,36.42,36.15,1169,36.41,77880,36.291797,2025-09-15 14:01:00+00:00
1757944920000,36.1,36.275,36.085,911,36.15,58983,36.15882,2025-09-15 14:02:00+00:00
1757944980000,36.0735,36.19,36.05,684,36.11,55642,36.1266,2025-09-15 14:03:00+00:00
1757945040000,36.235,36.29,36.08,539,36.0898,37803,36.216002,2025-09-15 14:04:00+00:00
1757945100000,36.2454,36.2799,36.19,429,36.235,46523,36.248215,2025-09-15 14:05:00+00:00
1757945160000,36.04,36.25,36.01,881,36.25,59322,36.126354,2025-09-15 14:06:00+00:00
1757945220000,36.08,36.12,36.04,517,36.055,27970,36.088144,2025-09-15 14:07:00+00:00
1757945280000,36.135,36.21,36.065,448,36.065,33641,36.152556,2025-09-15 14:08:00+00:00
1757945340000,36.115,36.22,36.095,574,36.14,54308,36.128684,2025-09-15 14:09:00+00:00
1757945400000,36.15,36.17,36.09,728,36.12,55619,36.123878,2025-09-15 14:10:00+00:00
1757945460000,35.96,36.17,35.92,1994,36.16,172841,36.057105,2025-09-15 14:11:00+00:00
1757945520000,36.06,36.2199,35.9522,871,35.9522,89288,36.088639,2025-09-15 14:12:00+00:00
1757945580000,36.05,36.14,36.02,489,36.07,43506,36.088341,2025-09-15 14:13:00+00:00
1757945640000,36.06,36.125,36.02,509,36.06,43814,36.067179,2025-09-15 14:14:00+00:00
1757945700000,36.07,36.18,36.0472,372,36.06,36496,36.124101,2025-09-15 14:15:00+00:00
1757945760000,36.025,36.09,36.02,460,36.09,35064,36.051355,2025-09-15 14:16:00+00:00
1757945820000,35.945,36.05,35.9315,722,36.025,62193,35.999344,2025-09-15 14:17:00+00:00
1757945880000,35.995,36.0599,35.88,863,35.93,50290,35.961641,2025-09-15 14:18:00+00:00
1757945940000,36.02,36.04,35.97,255,35.99,15664,35.993047,2025-09-15 14:19:00+00:00
1757946000000,36.365,36.38,36.0,680,36.01,61712,36.215489,2025-09-15 14:20:00+00:00
1757946060000,36.37,36.39,36.28,444,36.36,27708,36.342779,2025-09-15 14:21:00+00:00
1757946120000,36.39,36.4364,36.335,618,36.37,58143,36.383111,2025-09-15 14:22:00+00:00
1757946180000,36.43,36.48,36.34,431,36.395,28919,36.416187,2025-09-15 14:23:00+00:00
1757946240000,36.59,36.59,36.44,544,36.44,64393,36.537178,2025-09-15 14:24:00+00:00
1757946300000,36.6,36.63,36.55,421,36.57,35464,36.592901,2025-09-15 14:25:00+00:00
1757946360000,36.55,36.69,36.55,686,36.61,64451,36.624802,2025-09-15 14:26:00+00:00
1757946420000,36.555,36.63,36.54,420,36.565,37295,36.587633,2025-09-15 14:27:00+00:00
1757946480000,36.63,36.6424,36.547,614,36.555,96281,36.601239,2025-09-15 14:28:00+00:00
1757946540000,36.365,36.63,36.34,533,36.63,37005,36.506167,2025-09-15 14:29:00+00:00
1757946600000,36.3096,36.38,36.185,785,36.3603,69340,36.278256,2025-09-15 14:30:00+00:00
1757946660000,36.13,36.31,36.1,480,36.29,36244,36.223093,2025-09-15 14:31:00+00:00
1757946720000,36.24,36.29,36.13,449,36.13,44639,36.224761,2025-09-15 14:32:00+00:00
1757946780000,36.346,36.346,36.23,258,36.234,17697,36.291931,2025-09-15 14:33:00+00:00
1757946840000,36.3763,36.42,36.31,326,36.335,29224,36.359374,2025-09-15 14:34:00+00:00
1757946900000,36.4005,36.47,36.35,389,36.39,29887,36.41149,2025-09-15 14:35:00+00:00
1757946960000,36.465,36.53,36.405,374,36.405,26067,36.472779,2025-09-15 14:36:00+00:00
1757947020000,36.475,36.5,36.45,367,36.465,27318,36.48353,2025-09-15 14:37:00+00:00
1757947080000,36.4265,36.5,36.4,431,36.4636,32881,36.433481,2025-09-15 14:38:00+00:00
1757947140000,36.51,36.5499,36.425,349,36.4265,37694,36.510473,2025-09-15 14:39:00+00:00
1757947200000,36.54,36.63,36.46,653,36.51,82372,36.573278,2025-09-15 14:40:00+00:00
1757947260000,36.57,36.61,36.5,452,36.53,25630,36.56634,2025-09-15 14:41:00+00:00
1757947320000,36.5,36.57,36.48,503,36.56,31697,36.519448,2025-09-15 14:42:00+00:00
1757947380000,36.686,36.6993,36.5,587,36.5,41705,36.633485,2025-09-15 14:43:00+00:00
1757947440000,36.78,36.79,36.68,480,36.68,39992,36.735722,2025-09-15 14:44:00+00:00
1757947500000,36.68,36.79,36.57,619,36.79,47162,36.664283,2025-09-15 14:45:00+00:00
1757947560000,36.58,36.71,36.57,442,36.68,31225,36.644518,2025-09-15 14:46:00+00:00
1757947620000,36.61,36.64,36.545,441,36.575,30540,36.597976,2025-09-15 14:47:00+00:00
1757947680000,36.635,36.75,36.61,386,36.61,28615,36.670859,2025-09-15 14:48:00+00:00
1757947740000,36.6926,36.74,36.65,348,36.65,26554,36.70491,2025-09-15 14:49:00+00:00
1757947800000,36.58,36.74,36.58,397,36.68,30737,36.673049,2025-09-15 14:50:00+00:00
1757947860000,36.699,36.75,36.58,393,36.61,32845,36.683041,2025-09-15 14:51:00+00:00
1757947920000,36.719,36.724,36.67,538,36.7,51119,36.688512,2025-09-15 14:52:00+00:00
1757947980000,36.74,36.77,36.7,423,36.72,30155,36.739522,2025-09-15 14:53:00+00:00
1757948040000,36.8254,36.87,36.71,647,36.745,43049,36.799944,2025-09-15 14:54:00+00:00
1757948100000,36.885,36.97,36.8268,946,36.8417,81888,36.913948,2025-09-15 14:55:00+00:00
1757948160000,36.9499,36.965,36.89,519,36.89,42342,36.933945,2025-09-15 14:56:00+00:00
1757948220000,36.91,37.0,36.89,862,36.96,73584,36.957296,2025-09-15 14:57:00+00:00
1757948280000,37.047,37.07,36.893,1044,36.92,127920,36.986422,2025-09-15 14:58:00+00:00
1757948340000,37.18,37.2,37.04,579,37.0546,50148,37.102649,2025-09-15 14:59:00+00:00
1757948400000,37.015,37.1751,37.015,668,37.17,88098,37.107266,2025-09-15 15:00:00+00:00
1757948460000,37.1147,37.18,37.0085,557,37.01,56677,37.116877,2025-09-15 15:01:00+00:00
1757948520000,36.9636,37.27,36.92,1667,37.14,134051,37.09376,2025-09-15 15:02:00+00:00
1757948580000,37.12,37.12,36.91,693,36.95,84303,37.04944,2025-09-15 15:03:00+00:00
1757948640000,37.06,37.16,37.06,448,37.1199,30184,37.112954,2025-09-15 15:04:00+00:00
1757948700000,37.02,37.12,37.02,377,37.05,29880,37.068273,2025-09-15 15:05:00+00:00
1757948760000,36.85,37.05,36.79,832,37.03,76835,36.885279,2025-09-15 15:06:00+00:00
1757948820000,37.01,37.03,36.8309,409,36.84,35074,36.945716,2025-09-15 15:07:00+00:00
1757948880000,37.17,37.185,36.99,560,37.0,103761,37.126826,2025-09-15 15:08:00+00:00
1757948940000,37.29,37.29,37.12,524,37.1436,62639,37.219353,2025-09-15 15:09:00+00:00
1757949000000,37.3499,37.35,37.23,573,37.28,50126,37.290495,2025-09-15 15:10:00+00:00
1757949060000,37.24,37.396,37.24,607,37.34,50838,37.315084,2025-09-15 15:11:00+00:00
1757949120000,37.33,37.4,37.2542,592,37.26,38872,37.334868,2025-09-15 15:12:00+00:00
1757949180000,37.2172,37.37,37.18,683,37.34,52388,37.23568,2025-09-15 15:13:00+00:00
1757949240000,37.25,37.29,37.23,351,37.23,35400,37.252358,2025-09-15 15:14:00+00:00
1757949300000,37.3999,37.43,37.23,577,37.25,47511,37.343482,2025-09-15 15:15:00+00:00
1757949360000,37.36,37.4047,37.35,385,37.385,30706,37.370416,2025-09-15 15:16:00+00:00
1757949420000,37.41,37.42,37.32,502,37.4,32458,37.36746,2025-09-15 15:17:00+00:00
1757949480000,37.415,37.46,37.37,568,37.42,47457,37.420306,2025-09-15 15:18:00+00:00
1757949540000,37.37,37.46,37.3502,466,37.415,36595,37.415347,2025-09-15 15:19:00+00:00
1757949600000,37.37,37.4,37.26,494,37.3776,32284,37.331664,2025-09-15 15:20:00+00:00
1757949660000,37.31,37.455,37.3,426,37.38,32095,37.374617,2025-09-15 15:21:00+00:00
1757949720000,37.235,37.35,37.195,588,37.3,69843,37.256053,2025-09-15 15:22:00+00:00
1757949780000,37.12,37.2499,37.1,676,37.248,62433,37.169268,2025-09-15 15:23:00+00:00
1757949840000,37.1901,37.21,37.111,373,37.14,32313,37.156878,2025-09-15 15:24:00+00:00
1757949900000,37.18,37.28,37.18,326,37.198,21413,37.226311,2025-09-15 15:25:00+00:00
1757949960000,37.2451,37.2699,37.15,431,37.17,37967,37.214685,2025-09-15 15:26:00+00:00
1757950020000,37.1555,37.26,37.12,374,37.26,37079,37.197073,2025-09-15 15:27:00+00:00
1757950080000,37.1475,37.205,37.1,415,37.13,29484,37.158685,2025-09-15 15:28:00+00:00
1757950140000,37.215,37.23,37.13,476,37.16,81824,37.205007,2025-09-15 15:29:00+00:00
1757950200000,37.16,37.22,37.11,411,37.2109,29222,37.162634,2025-09-15 15:30:00+00:00
1757950260000,37.05,37.17,37.03,422,37.155,37510,37.096677,2025-09-15 15:31:00+00:00
1757950320000,37.05,37.11,37.02,399,37.055,49378,37.065348,2025-09-15 15:32:00+00:00
1757950380000,37.03,37.08,36.9701,639,37.064,65663,37.020532,2025-09-15 15:33:00+00:00
1757950440000,36.7808,37.0349,36.7808,566,37.03,49078,36.905928,2025-09-15 15:34:00+00:00
1757950500000,36.79,36.85,36.745,628,36.785,65526,36.784567,2025-09-15 15:35:00+00:00
1757950560000,36.79,36.82,36.7301,471,36.78,36593,36.769903,2025-09-15 15:36:00+00:00
1757950620000,36.83,36.86,36.73,489,36.804,35419,36.790245,2025-09-15 15:37:00+00:00
1757950680000,36.8288,36.86,36.799,325,36.815,32097,36.827287,2025-09-15 15:38:00+00:00
1757950740000,36.77,36.93,36.765,399,36.86,31308,36.862847,2025-09-15 15:39:00+00:00
1757950800000,36.9,36.93,36.764,464,36.7735,52289,36.871445,2025-09-15 15:40:00+00:00
1757950860000,36.83,36.91,36.81,301,36.91,23431,36.853158,2025-09-15 15:41:00+00:00
1757950920000,36.77,36.8522,36.73,311,36.83,23297,36.779783,2025-09-15 15:42:00+00:00
1757950980000,36.7395,36.8001,36.73,240,36.76,27615,36.768066,2025-09-15 15:43:00+00:00
1757951040000,36.6835,36.7899,36.6835,413,36.7388,24185,36.720289,2025-09-15 15:44:00+00:00
1757951100000,36.56,36.725,36.5101,638,36.71,44754,36.604717,2025-09-15 15:45:00+00:00
1757951160000,36.6,36.63,36.5401,334,36.56,25335,36.590766,2025-09-15 15:46:00+00:00
1757951220000,36.64,36.64,36.59,235,36.6,16985,36.615203,2025-09-15 15:47:00+00:00
1757951280000,36.54,36.63,36.45,648,36.63,61613,36.516617,2025-09-15 15:48:00+00:00
1757951340000,36.535,36.55,36.4734,374,36.51,32061,36.504977,2025-09-15 15:49:00+00:00
1757951400000,36.63,36.64,36.49,388,36.53,27559,36.548536,2025-09-15 15:50:00+00:00
1757951460000,36.678,36.76,36.58,478,36.6302,43209,36.673252,2025-09-15 15:51:00+00:00
1757951520000,36.74,36.77,36.62,568,36.66,52053,36.705859,2025-09-15 15:52:00+00:00
1757951580000,36.69,36.79,36.67,461,36.7301,39043,36.731094,2025-09-15 15:53:00+00:00
1757951640000,36.775,36.84,36.6701,679,36.72,65705,36.794597,2025-09-15 15:54:00+00:00
1757951700000,36.71,36.79,36.61,511,36.77,35631,36.694173,2025-09-15 15:55:00+00:00
1757951760000,36.63,36.72,36.58,451,36.7,33902,36.677303,2025-09-15 15:56:00+00:00
1757951820000,36.67,36.69,36.58,479,36.63,34934,36.640413,2025-09-15 15:57:00+00:00
1757951880000,36.9314,36.95,36.6564,357,36.6564,35291,36.850745,2025-09-15 15:58:00+00:00
1757951940000,36.72,36.9309,36.7123,489,36.93,39544,36.845527,2025-09-15 15:59:00+00:00
1757952000000,36.615,36.8037,36.6,337,36.74,31788,36.6645,2025-09-15 16:00:00+00:00
1757952060000,36.545,36.615,36.53,429,36.615,36321,36.578075,2025-09-15 16:01:00+00:00
1757952120000,36.4935,36.5735,36.49,407,36.53,31870,36.52373,2025-09-15 16:02:00+00:00
1757952180000,36.55,36.57,36.5,252,36.5,14442,36.53356,2025-09-15 16:03:00+00:00
1757952240000,36.5351,36.58,36.52,255,36.57,65585,36.571415,2025-09-15 16:04:00+00:00
1757952300000,36.52,36.5351,36.45,308,36.5351,22391,36.495701,2025-09-15 16:05:00+00:00
1757952360000,36.59,36.59,36.5,179,36.5004,9334,36.554665,2025-09-15 16:06:00+00:00
1757952420000,36.59,36.623,36.5408,326,36.58,27070,36.588718,2025-09-15 16:07:00+00:00
1757952480000,36.64,36.68,36.58,387,36.58,25262,36.623173,2025-09-15 16:08:00+00:00
1757952540000,36.76,36.765,36.63,404,36.65,47884,36.728496,2025-09-15 16:09:00+00:00
1757952600000,36.73,36.776,36.68,474,36.77,27942,36.736499,2025-09-15 16:10:00+00:00
1757952660000,36.62,36.75,36.59,805,36.74,55372,36.667201,2025-09-15 16:11:00+00:00
1757952720000,36.6699,36.73,36.65,275,36.6977,18736,36.704521,2025-09-15 16:12:00+00:00
1757952780000,36.698,36.73,36.65,252,36.6506,13431,36.684533,2025-09-15 16:13:00+00:00
1757952840000,36.62,36.695,36.6,242,36.6854,17944,36.630884,2025-09-15 16:14:00+00:00
1757952900000,36.594,36.68,36.56,356,36.63,22446,36.624595,2025-09-15 16:15:00+00:00
1757952960000,36.561,36.6103,36.54,290,36.6,22982,36.573237,2025-09-15 16:16:00+00:00
1757953020000,36.53,36.57,36.5,378,36.57,20745,36.53749,2025-09-15 16:17:00+00:00
1757953080000,36.53,36.56,36.49,298,36.5201,16651,36.519253,2025-09-15 16:18:00+00:00
1757953140000,36.31,36.515,36.3,780,36.51,51875,36.409774,2025-09-15 16:19:00+00:00
1757953200000,36.2951,36.3428,36.28,539,36.32,61650,36.312168,2025-09-15 16:20:00+00:00
1757953260000,36.19,36.31,36.18,539,36.3,47987,36.251536,2025-09-15 16:21:00+00:00
1757953320000,36.204,36.22,36.16,401,36.18,39958,36.19254,2025-09-15 16:22:00+00:00
1757953380000,36.255,36.2965,36.1835,303,36.203,38072,36.23587,2025-09-15 16:23:00+00:00
1757953440000,36.28,36.37,36.24,471,36.2644,46640,36.299648,2025-09-15 16:24:00+00:00
1757953500000,36.35,36.4076,36.314,508,36.314,40317,36.371265,2025-09-15 16:25:00+00:00
1757953560000,36.4,36.47,36.35,533,36.36,44380,36.42586,2025-09-15 16:26:00+00:00
1757953620000,36.39,36.44,36.36,288,36.4101,24390,36.404515,2025-09-15 16:27:00+00:00
1757953680000,36.3865,36.41,36.31,274,36.375,28160,36.355063,2025-09-15 16:28:00+00:00
1757953740000,36.395,36.41,36.34,395,36.385,41087,36.379267,2025-09-15 16:29:00+00:00
1757953800000,36.4,36.42,36.36,258,36.4,13480,36.392217,2025-09-15 16:30:00+00:00
1757953860000,36.53,36.54,36.4,362,36.4,37557,36.48491,2025-09-15 16:31:00+00:00
1757953920000,36.6499,36.6499,36.5183,352,36.54,27227,36.570635,2025-09-15 16:32:00+00:00
1757953980000,36.615,36.65,36.5929,236,36.65,22567,36.617693,2025-09-15 16:33:00+00:00
1757954040000,36.5503,36.66,36.54,287,36.6102,24605,36.61405,2025-09-15 16:34:00+00:00
1757954100000,36.5001,36.6,36.5001,225,36.56,18006,36.559903,2025-09-15 16:35:00+00:00
