timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753451520000,23.7299,23.73,23.7299,2,23.73,200,23.72995,2025-07-25 13:52:00+00:00
1753452720000,24.58,24.58,24.58,4,24.58,107,24.58,2025-07-25 14:12:00+00:00
1753453980000,24.21,24.21,24.2084,2,24.2084,400,24.2092,2025-07-25 14:33:00+00:00
1753457160000,24.91,24.91,24.91,2,24.91,128,24.91,2025-07-25 15:26:00+00:00
1753459980000,24.91,24.91,24.91,3,24.91,215,24.91,2025-07-25 16:13:00+00:00
1753460460000,24.91,24.91,24.91,5,24.91,756,24.91,2025-07-25 16:21:00+00:00
1753465140000,24.88,24.88,24.88,1,24.88,121,24.88,2025-07-25 17:39:00+00:00
1753465200000,24.75,24.75,24.75,2,24.75,110,24.75,2025-07-25 17:40:00+00:00
1753465440000,24.85,24.85,24.85,1,24.85,100,24.85,2025-07-25 17:44:00+00:00
1753470840000,25.9306,25.9306,25.9306,1,25.9306,400,25.9306,2025-07-25 19:14:00+00:00
1753471260000,25.94,25.94,25.94,1,25.94,473,25.94,2025-07-25 19:21:00+00:00
1753709400000,27.34,27.34,27.34,4,27.34,135,27.34,2025-07-28 13:30:00+00:00
1753709460000,27.04,27.06,27.04,9,27.04,1800,27.047778,2025-07-28 13:31:00+00:00
1753709820000,25.59,25.59,25.59,1,25.59,100,25.59,2025-07-28 13:37:00+00:00
1753710000000,25.65,25.65,25.65,3,25.65,150,25.65,2025-07-28 13:40:00+00:00
1753710360000,25.6549,25.6549,25.55,7,25.55,605,25.60245,2025-07-28 13:46:00+00:00
1753710900000,24.529,24.529,24.529,2,24.529,103,24.529,2025-07-28 13:55:00+00:00
1753711140000,24.59,24.59,24.59,3,24.59,500,24.59,2025-07-28 13:59:00+00:00
1753711200000,24.77,24.77,24.77,2,24.77,2200,24.77,2025-07-28 14:00:00+00:00
1753711260000,24.59,24.59,24.59,3,24.59,475,24.59,2025-07-28 14:01:00+00:00
1753711680000,24.58,24.58,24.58,5,24.58,910,24.58,2025-07-28 14:08:00+00:00
1753711860000,24.18,24.18,24.18,2,24.18,105,24.18,2025-07-28 14:11:00+00:00
1753712400000,24.14,24.14,24.14,1,24.14,473,24.14,2025-07-28 14:20:00+00:00
1753713540000,24.49,24.49,24.49,2,24.49,188,24.49,2025-07-28 14:39:00+00:00
1753715280000,25.07,25.07,25.07,1,25.07,100,25.07,2025-07-28 15:08:00+00:00
1753715460000,25.05,25.05,25.05,1,25.05,138,25.05,2025-07-28 15:11:00+00:00
1753716060000,24.5,24.5,24.5,1,24.5,100,24.5,2025-07-28 15:21:00+00:00
1753716840000,24.5,24.5,24.5,2,24.5,167,24.5,2025-07-28 15:34:00+00:00
1753720260000,23.6149,23.6149,23.54,2,23.54,200,23.57745,2025-07-28 16:31:00+00:00
1753720320000,23.61,23.61,23.61,3,23.61,239,23.61,2025-07-28 16:32:00+00:00
1753721940000,23.8,23.8,23.8,1,23.8,100,23.8,2025-07-28 16:59:00+00:00
1753726680000,23.6971,23.6971,23.6971,1,23.6971,100,23.6971,2025-07-28 18:18:00+00:00
1753730580000,24.67,24.67,24.67,1,24.67,100,24.67,2025-07-28 19:23:00+00:00
1753795800000,25.0,25.0,25.0,2,25.0,102,25.0,2025-07-29 13:30:00+00:00
1753796640000,25.35,25.35,25.35,1,25.35,100,25.35,2025-07-29 13:44:00+00:00
1753797780000,23.8,23.8,23.8,2,23.8,103,23.8,2025-07-29 14:03:00+00:00
1753799880000,23.58,23.58,23.58,1,23.58,100,23.58,2025-07-29 14:38:00+00:00
1753801740000,22.85,22.85,22.85,1,22.85,100,22.85,2025-07-29 15:09:00+00:00
