timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,1.94,1.94,1.94,4,1.94,644,1.94,2025-09-08 13:30:00+00:00
1757338260000,1.9692,1.9692,1.9692,1,1.9692,300,1.9692,2025-09-08 13:31:00+00:00
1757338440000,1.98,1.98,1.965,13,1.965,1484,1.969135,2025-09-08 13:34:00+00:00
1757338560000,1.9701,1.9701,1.97,3,1.97,410,1.97005,2025-09-08 13:36:00+00:00
1757338620000,1.98,1.98,1.98,2,1.98,145,1.98,2025-09-08 13:37:00+00:00
1757338680000,1.9806,1.9816,1.9806,5,1.9816,3200,1.980975,2025-09-08 13:38:00+00:00
1757338740000,1.9801,1.9801,1.98,4,1.98,852,1.980063,2025-09-08 13:39:00+00:00
1757338800000,1.9834,1.9834,1.98,5,1.98,2030,1.9817,2025-09-08 13:40:00+00:00
1757338860000,1.99,1.99,1.95,35,1.98,7726,1.969746,2025-09-08 13:41:00+00:00
1757338920000,1.97,1.97,1.97,1,1.97,100,1.97,2025-09-08 13:42:00+00:00
1757338980000,2.0,2.0,2.0,4,2.0,406,2.0,2025-09-08 13:43:00+00:00
1757339160000,1.99,1.99,1.99,5,1.99,4363,1.99,2025-09-08 13:46:00+00:00
1757339280000,2.015,2.015,2.015,2,2.015,192,2.015,2025-09-08 13:48:00+00:00
1757339400000,2.011,2.011,2.011,2,2.011,401,2.011,2025-09-08 13:50:00+00:00
1757339460000,2.1,2.1,2.02,18,2.02,5301,2.061639,2025-09-08 13:51:00+00:00
1757339520000,2.08,2.08,2.08,2,2.08,402,2.08,2025-09-08 13:52:00+00:00
1757339640000,2.09,2.09,2.09,1,2.09,822,2.09,2025-09-08 13:54:00+00:00
1757339700000,2.06,2.06,2.06,1,2.06,243,2.06,2025-09-08 13:55:00+00:00
1757339820000,2.06,2.06,2.06,1,2.06,129,2.06,2025-09-08 13:57:00+00:00
1757339880000,2.0501,2.0501,2.05,2,2.05,360,2.05005,2025-09-08 13:58:00+00:00
1757340120000,2.105,2.105,2.105,1,2.105,350,2.105,2025-09-08 14:02:00+00:00
1757340180000,2.1,2.1,2.1,2,2.1,125,2.1,2025-09-08 14:03:00+00:00
1757340240000,2.0501,2.1426,2.0501,5,2.1426,467,2.093916,2025-09-08 14:04:00+00:00
1757340300000,2.14,2.14,2.14,4,2.14,335,2.14,2025-09-08 14:05:00+00:00
1757340660000,2.0458,2.0458,2.0409,3,2.0409,457,2.043078,2025-09-08 14:11:00+00:00
1757340840000,2.055,2.055,2.03,8,2.03,1134,2.035529,2025-09-08 14:14:00+00:00
1757340900000,2.0434,2.0434,2.0434,2,2.0434,1031,2.0434,2025-09-08 14:15:00+00:00
