timeStamp,close,high,low,trade_count,open,volume,vwap,date
1746641220000,0.752,0.752,0.752,1,0.752,100,0.752,2025-05-07 18:07:00+00:00
1746641280000,0.752,0.752,0.752,2,0.752,2507,0.752,2025-05-07 18:08:00+00:00
1746712200000,0.7204,0.7204,0.7204,1,0.7204,150,0.7204,2025-05-08 13:50:00+00:00
1746720240000,0.7559,0.7559,0.7559,1,0.7559,200,0.7559,2025-05-08 16:04:00+00:00
1746721200000,0.7559,0.7559,0.7559,1,0.7559,100,0.7559,2025-05-08 16:20:00+00:00
1746723600000,0.741,0.741,0.741,1,0.741,500,0.741,2025-05-08 17:00:00+00:00
1746731760000,0.7459,0.7459,0.7459,1,0.7459,122,0.7459,2025-05-08 19:16:00+00:00
1746800520000,0.7441,0.7441,0.7441,1,0.7441,100,0.7441,2025-05-09 14:22:00+00:00
1746801540000,0.7443,0.7443,0.7443,1,0.7443,111,0.7443,2025-05-09 14:39:00+00:00
1746802380000,0.73,0.7441,0.73,5,0.7441,10003,0.730284,2025-05-09 14:53:00+00:00
1746802500000,0.732,0.732,0.7261,3,0.7261,300,0.728067,2025-05-09 14:55:00+00:00
1746803940000,0.738,0.738,0.738,1,0.738,200,0.738,2025-05-09 15:19:00+00:00
1746805080000,0.7499,0.7499,0.7499,1,0.7499,200,0.7499,2025-05-09 15:38:00+00:00
1746806340000,0.75,0.75,0.75,1,0.75,681,0.75,2025-05-09 15:59:00+00:00
1746814860000,0.744,0.744,0.744,1,0.744,535,0.744,2025-05-09 18:21:00+00:00
1746817920000,0.7381,0.7381,0.7381,1,0.7381,100,0.7381,2025-05-09 19:12:00+00:00
1746817980000,0.74,0.74,0.74,6,0.74,490,0.74,2025-05-09 19:13:00+00:00
1746818640000,0.7395,0.7395,0.7395,1,0.7395,100,0.7395,2025-05-09 19:24:00+00:00
1746818880000,0.7381,0.75,0.7381,2,0.75,4100,0.74971,2025-05-09 19:28:00+00:00
1746818940000,0.7382,0.7382,0.7382,3,0.7382,301,0.7382,2025-05-09 19:29:00+00:00
1747056600000,0.7309,0.7309,0.7309,3,0.7309,529,0.7309,2025-05-12 13:30:00+00:00
1747056960000,0.7,0.7,0.7,6,0.7,1218,0.7,2025-05-12 13:36:00+00:00
1747057860000,0.7499,0.7499,0.7499,2,0.7499,202,0.7499,2025-05-12 13:51:00+00:00
1747057920000,0.75,0.75,0.75,1,0.75,1000,0.75,2025-05-12 13:52:00+00:00
1747058100000,0.76,0.76,0.75,2,0.75,206,0.755146,2025-05-12 13:55:00+00:00
1747064100000,0.7652,0.7699,0.746,14,0.7699,3800,0.765397,2025-05-12 15:35:00+00:00
1747067400000,0.74,0.74,0.74,1,0.74,100,0.74,2025-05-12 16:30:00+00:00
1747067520000,0.7413,0.7425,0.7413,6,0.7425,582,0.742223,2025-05-12 16:32:00+00:00
1747067640000,0.7526,0.7526,0.7526,1,0.7526,200,0.7526,2025-05-12 16:34:00+00:00
1747069620000,0.755,0.755,0.755,1,0.755,190,0.755,2025-05-12 17:07:00+00:00
1747070940000,0.76,0.76,0.76,2,0.76,494,0.76,2025-05-12 17:29:00+00:00
1747072620000,0.77,0.77,0.765,6,0.768,2402,0.768875,2025-05-12 17:57:00+00:00
1747074360000,0.7916,0.7916,0.7916,1,0.7916,200,0.7916,2025-05-12 18:26:00+00:00
1747074780000,0.7601,0.7601,0.7601,1,0.7601,350,0.7601,2025-05-12 18:33:00+00:00
1747078200000,0.7916,0.7916,0.7916,1,0.7916,200,0.7916,2025-05-12 19:30:00+00:00
1747143120000,0.8,0.8,0.75,5,0.788,11500,0.79713,2025-05-13 13:32:00+00:00
1747143180000,0.8038,0.8038,0.8038,1,0.8038,100,0.8038,2025-05-13 13:33:00+00:00
1747143360000,0.82,0.82,0.8074,14,0.8074,6250,0.815769,2025-05-13 13:36:00+00:00
1747144020000,0.83,0.83,0.82,7,0.82,10030,0.828819,2025-05-13 13:47:00+00:00
1747144620000,0.814,0.814,0.814,5,0.814,2820,0.814,2025-05-13 13:57:00+00:00
1747144800000,0.7917,0.7918,0.7917,3,0.7918,328,0.791739,2025-05-13 14:00:00+00:00
1747145820000,0.768,0.768,0.768,1,0.768,5000,0.768,2025-05-13 14:17:00+00:00
