timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,0.36,0.36,0.36,7,0.36,11120,0.36,2025-09-08 13:30:00+00:00
1757338320000,0.3774,0.3774,0.3645,8,0.3645,1568,0.369881,2025-09-08 13:32:00+00:00
1757338380000,0.3696,0.374,0.3696,13,0.37,1625,0.3718,2025-09-08 13:33:00+00:00
1757338500000,0.3679,0.3679,0.3679,9,0.3679,1486,0.3679,2025-09-08 13:35:00+00:00
1757338620000,0.3672,0.3672,0.3672,2,0.3672,2020,0.3672,2025-09-08 13:37:00+00:00
1757338680000,0.3683,0.3696,0.3683,6,0.3696,518,0.368597,2025-09-08 13:38:00+00:00
1757338740000,0.3679,0.3679,0.3679,1,0.3679,1000,0.3679,2025-09-08 13:39:00+00:00
1757338860000,0.3654,0.3654,0.3654,3,0.3654,251,0.3654,2025-09-08 13:41:00+00:00
1757338920000,0.3612,0.3612,0.361,3,0.361,466,0.361126,2025-09-08 13:42:00+00:00
1757339100000,0.3651,0.3651,0.3651,1,0.3651,400,0.3651,2025-09-08 13:45:00+00:00
1757339160000,0.36,0.361,0.36,39,0.361,39400,0.360278,2025-09-08 13:46:00+00:00
1757339220000,0.364,0.364,0.3609,15,0.3625,10266,0.363274,2025-09-08 13:47:00+00:00
1757339280000,0.364,0.3682,0.364,7,0.3678,10249,0.368121,2025-09-08 13:48:00+00:00
1757339340000,0.3646,0.3646,0.3646,1,0.3646,337,0.3646,2025-09-08 13:49:00+00:00
1757339400000,0.3643,0.3643,0.3643,2,0.3643,130,0.3643,2025-09-08 13:50:00+00:00
1757339580000,0.3622,0.3622,0.3622,2,0.3622,110,0.3622,2025-09-08 13:53:00+00:00
1757339640000,0.3642,0.3642,0.3642,3,0.3642,1004,0.3642,2025-09-08 13:54:00+00:00
1757339760000,0.3622,0.3622,0.3622,4,0.3622,266,0.3622,2025-09-08 13:56:00+00:00
1757339820000,0.36,0.3607,0.36,6,0.3607,3360,0.360653,2025-09-08 13:57:00+00:00
