timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,6.97,7.115,6.94,78,7.06,14000,7.030184,2025-09-08 13:30:00+00:00
1757338260000,6.935,7.0,6.935,12,6.97,2260,6.962835,2025-09-08 13:31:00+00:00
1757338320000,6.95,7.02,6.95,13,6.95,1419,6.956603,2025-09-08 13:32:00+00:00
1757338380000,6.924,6.96,6.924,8,6.95,2003,6.938421,2025-09-08 13:33:00+00:00
1757338500000,6.93,6.93,6.93,1,6.93,100,6.93,2025-09-08 13:35:00+00:00
1757338560000,6.9496,6.9496,6.9496,2,6.9496,579,6.9496,2025-09-08 13:36:00+00:00
1757338620000,6.9101,6.93,6.9101,5,6.93,495,6.916884,2025-09-08 13:37:00+00:00
1757338680000,6.91,6.91,6.88,34,6.91,3808,6.894112,2025-09-08 13:38:00+00:00
1757338740000,6.86,6.86,6.8596,31,6.8596,2040,6.85976,2025-09-08 13:39:00+00:00
1757338800000,6.855,6.91,6.855,13,6.86,1439,6.865385,2025-09-08 13:40:00+00:00
1757338860000,6.91,6.91,6.91,17,6.91,1031,6.91,2025-09-08 13:41:00+00:00
1757338920000,6.885,6.885,6.885,11,6.885,1328,6.885,2025-09-08 13:42:00+00:00
1757338980000,6.9,6.91,6.88,21,6.9,3311,6.89964,2025-09-08 13:43:00+00:00
1757339040000,6.88,6.88,6.88,4,6.88,212,6.88,2025-09-08 13:44:00+00:00
1757339100000,6.8903,6.9,6.88,15,6.885,3830,6.889904,2025-09-08 13:45:00+00:00
1757339220000,6.885,6.885,6.885,3,6.885,203,6.885,2025-09-08 13:47:00+00:00
1757339280000,6.9,6.9,6.9,6,6.9,216,6.9,2025-09-08 13:48:00+00:00
1757339340000,6.85,6.8766,6.85,37,6.8766,2502,6.858617,2025-09-08 13:49:00+00:00
1757339400000,6.8,6.835,6.8,6,6.82,1185,6.820935,2025-09-08 13:50:00+00:00
1757339460000,6.795,6.8,6.785,25,6.8,1404,6.796692,2025-09-08 13:51:00+00:00
1757339520000,6.795,6.8,6.795,4,6.8,710,6.795714,2025-09-08 13:52:00+00:00
1757339580000,6.795,6.795,6.75,11,6.7502,3593,6.751503,2025-09-08 13:53:00+00:00
1757339640000,6.795,6.8391,6.76,12,6.795,1060,6.80032,2025-09-08 13:54:00+00:00
1757339700000,6.76,6.76,6.76,8,6.76,157,6.76,2025-09-08 13:55:00+00:00
1757339820000,6.7848,6.7848,6.7848,5,6.7848,1178,6.7848,2025-09-08 13:57:00+00:00
1757339880000,6.795,6.795,6.76,5,6.76,274,6.7775,2025-09-08 13:58:00+00:00
1757339940000,6.74,6.795,6.71,114,6.795,23805,6.75044,2025-09-08 13:59:00+00:00
1757340000000,6.65,6.75,6.65,179,6.75,27601,6.689411,2025-09-08 14:00:00+00:00
1757340060000,6.6506,6.68,6.65,11,6.6673,2174,6.65522,2025-09-08 14:01:00+00:00
1757340120000,6.685,6.685,6.666,7,6.666,1632,6.672067,2025-09-08 14:02:00+00:00
1757340180000,6.695,6.72,6.685,26,6.685,2652,6.687844,2025-09-08 14:03:00+00:00
1757340240000,6.6,6.7,6.595,84,6.695,11665,6.626095,2025-09-08 14:04:00+00:00
1757340300000,6.6,6.64,6.56,203,6.6,31201,6.621299,2025-09-08 14:05:00+00:00
1757340360000,6.665,6.68,6.6,47,6.64,7204,6.652015,2025-09-08 14:06:00+00:00
1757340420000,6.665,6.672,6.665,7,6.672,1087,6.671176,2025-09-08 14:07:00+00:00
1757340480000,6.6896,6.6896,6.6896,3,6.6896,1009,6.6896,2025-09-08 14:08:00+00:00
1757340540000,6.645,6.675,6.6,21,6.675,14728,6.619034,2025-09-08 14:09:00+00:00
1757340600000,6.52,6.6,6.51,62,6.6,17760,6.566139,2025-09-08 14:10:00+00:00
1757340660000,6.51,6.609,6.51,125,6.609,17414,6.517386,2025-09-08 14:11:00+00:00
1757340720000,6.54,6.54,6.51,13,6.51,1143,6.524652,2025-09-08 14:12:00+00:00
1757340780000,6.53,6.535,6.53,14,6.533,992,6.532583,2025-09-08 14:13:00+00:00
1757340840000,6.51,6.54,6.51,91,6.52,17953,6.521822,2025-09-08 14:14:00+00:00
1757340900000,6.545,6.55,6.51,41,6.5198,6290,6.514877,2025-09-08 14:15:00+00:00
1757340960000,6.51,6.5534,6.51,24,6.5449,3834,6.535497,2025-09-08 14:16:00+00:00
1757341020000,6.65,6.68,6.415,299,6.51,68436,6.506639,2025-09-08 14:17:00+00:00
1757341080000,6.63,6.645,6.62,21,6.645,2497,6.628243,2025-09-08 14:18:00+00:00
1757341140000,6.62,6.67,6.6,47,6.67,7370,6.6244,2025-09-08 14:19:00+00:00
1757341200000,6.625,6.665,6.625,13,6.635,1747,6.657579,2025-09-08 14:20:00+00:00
1757341260000,6.63,6.65,6.625,10,6.625,3219,6.642645,2025-09-08 14:21:00+00:00
1757341320000,6.66,6.67,6.61,25,6.63,5596,6.633247,2025-09-08 14:22:00+00:00
1757341380000,6.68,6.7099,6.64,21,6.64,11098,6.705778,2025-09-08 14:23:00+00:00
1757341440000,6.71,6.72,6.705,35,6.71,2601,6.709204,2025-09-08 14:24:00+00:00
1757341500000,6.725,6.78,6.71,28,6.7397,4343,6.730384,2025-09-08 14:25:00+00:00
1757341560000,6.765,6.78,6.735,12,6.735,1253,6.747679,2025-09-08 14:26:00+00:00
