timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,3.535,3.54,3.51,48,3.51,28958,3.516895,2025-09-08 13:30:00+00:00
1757338260000,3.5685,3.5888,3.5305,24,3.5316,14411,3.567257,2025-09-08 13:31:00+00:00
1757338320000,3.5584,3.605,3.5527,17,3.56,5835,3.583124,2025-09-08 13:32:00+00:00
1757338380000,3.63,3.63,3.605,17,3.6245,8570,3.617586,2025-09-08 13:33:00+00:00
1757338440000,3.585,3.6209,3.585,25,3.6209,6969,3.605632,2025-09-08 13:34:00+00:00
1757338500000,3.5203,3.5999,3.52,101,3.57,37816,3.554983,2025-09-08 13:35:00+00:00
1757338560000,3.52,3.535,3.51,53,3.535,10390,3.518409,2025-09-08 13:36:00+00:00
1757338620000,3.565,3.6099,3.5289,14,3.5289,8607,3.581675,2025-09-08 13:37:00+00:00
1757338680000,3.57,3.57,3.53,6,3.53,1337,3.554421,2025-09-08 13:38:00+00:00
1757338740000,3.56,3.57,3.56,8,3.57,338,3.564785,2025-09-08 13:39:00+00:00
1757338800000,3.56,3.56,3.55,23,3.55,1863,3.551415,2025-09-08 13:40:00+00:00
1757338860000,3.52,3.5886,3.52,36,3.56,7807,3.542263,2025-09-08 13:41:00+00:00
1757338920000,3.55,3.55,3.55,10,3.55,838,3.55,2025-09-08 13:42:00+00:00
1757338980000,3.55,3.55,3.55,11,3.55,422,3.55,2025-09-08 13:43:00+00:00
1757339040000,3.52,3.544,3.52,15,3.544,2328,3.535488,2025-09-08 13:44:00+00:00
1757339100000,3.5405,3.5405,3.5405,11,3.5405,431,3.5405,2025-09-08 13:45:00+00:00
1757339160000,3.53,3.55,3.53,33,3.535,5953,3.538673,2025-09-08 13:46:00+00:00
1757339220000,3.553,3.5532,3.553,6,3.5532,281,3.5531,2025-09-08 13:47:00+00:00
1757339280000,3.555,3.555,3.555,6,3.555,218,3.555,2025-09-08 13:48:00+00:00
1757339340000,3.54,3.557,3.5213,15,3.55,2683,3.533023,2025-09-08 13:49:00+00:00
1757339400000,3.52,3.54,3.52,17,3.54,6908,3.532272,2025-09-08 13:50:00+00:00
1757339460000,3.5,3.52,3.5,87,3.52,31211,3.50823,2025-09-08 13:51:00+00:00
1757339520000,3.415,3.505,3.415,81,3.5,16125,3.452738,2025-09-08 13:52:00+00:00
1757339580000,3.39,3.43,3.39,135,3.41,20435,3.413734,2025-09-08 13:53:00+00:00
1757339640000,3.38,3.3894,3.3428,91,3.3802,22428,3.370541,2025-09-08 13:54:00+00:00
1757339700000,3.3988,3.3988,3.38,31,3.38,4190,3.383069,2025-09-08 13:55:00+00:00
1757339760000,3.42,3.42,3.35,63,3.3812,22009,3.382953,2025-09-08 13:56:00+00:00
1757339820000,3.385,3.405,3.3601,17,3.405,5089,3.372856,2025-09-08 13:57:00+00:00
1757339880000,3.4,3.4046,3.3612,10,3.3612,1639,3.379858,2025-09-08 13:58:00+00:00
1757339940000,3.42,3.44,3.4,69,3.4097,5184,3.41365,2025-09-08 13:59:00+00:00
1757340000000,3.435,3.4447,3.4299,12,3.4299,1613,3.435486,2025-09-08 14:00:00+00:00
1757340060000,3.45,3.45,3.44,16,3.44,2242,3.445487,2025-09-08 14:01:00+00:00
1757340120000,3.4459,3.4513,3.4459,14,3.4513,1019,3.450326,2025-09-08 14:02:00+00:00
1757340180000,3.44,3.4436,3.44,24,3.4436,7339,3.440162,2025-09-08 14:03:00+00:00
1757340240000,3.5209,3.53,3.4699,57,3.47,12205,3.499054,2025-09-08 14:04:00+00:00
1757340300000,3.5,3.52,3.485,31,3.51,8735,3.516464,2025-09-08 14:05:00+00:00
1757340360000,3.48,3.48,3.48,16,3.48,539,3.48,2025-09-08 14:06:00+00:00
1757340420000,3.48,3.4899,3.47,20,3.4708,1610,3.477036,2025-09-08 14:07:00+00:00
1757340480000,3.48,3.4813,3.48,16,3.48,1857,3.480712,2025-09-08 14:08:00+00:00
1757340540000,3.4813,3.4813,3.4813,4,3.4813,324,3.4813,2025-09-08 14:09:00+00:00
1757340600000,3.4987,3.4987,3.4987,2,3.4987,308,3.4987,2025-09-08 14:10:00+00:00
1757340660000,3.4996,3.4996,3.4996,6,3.4996,610,3.4996,2025-09-08 14:11:00+00:00
1757340720000,3.44,3.48,3.44,27,3.48,2272,3.456148,2025-09-08 14:12:00+00:00
1757340780000,3.46,3.46,3.44,18,3.4436,5372,3.441158,2025-09-08 14:13:00+00:00
1757340840000,3.37,3.43,3.34,80,3.4201,26478,3.379269,2025-09-08 14:14:00+00:00
