timeStamp,close,high,low,trade_count,open,volume,vwap,date
1749651420000,4.13,4.13,4.13,2,4.13,334,4.13,2025-06-11 14:17:00+00:00
1749652200000,4.21,4.21,4.21,2,4.21,242,4.21,2025-06-11 14:30:00+00:00
1749652560000,4.18,4.18,4.18,5,4.18,296,4.18,2025-06-11 14:36:00+00:00
1749655920000,4.1889,4.1889,4.1889,1,4.1889,100,4.1889,2025-06-11 15:32:00+00:00
1749656520000,4.135,4.135,4.135,1,4.135,201,4.135,2025-06-11 15:42:00+00:00
1749657900000,4.09,4.11,4.09,2,4.11,200,4.1,2025-06-11 16:05:00+00:00
1749658200000,4.08,4.08,4.08,3,4.08,201,4.08,2025-06-11 16:10:00+00:00
1749658560000,4.06,4.06,4.06,3,4.06,102,4.06,2025-06-11 16:16:00+00:00
1749659460000,4.0601,4.0601,4.06,4,4.06,246,4.06005,2025-06-11 16:31:00+00:00
1749661140000,4.1221,4.1221,4.1221,2,4.1221,442,4.1221,2025-06-11 16:59:00+00:00
1749661440000,4.02,4.02,4.02,1,4.02,100,4.02,2025-06-11 17:04:00+00:00
1749661920000,4.1,4.1,4.1,9,4.1,260,4.1,2025-06-11 17:12:00+00:00
1749662280000,4.18,4.19,4.18,2,4.19,200,4.185,2025-06-11 17:18:00+00:00
1749666360000,4.08,4.08,4.07,6,4.08,579,4.076,2025-06-11 18:26:00+00:00
1749666420000,4.06,4.06,4.06,9,4.06,723,4.06,2025-06-11 18:27:00+00:00
1749666660000,4.07,4.07,4.07,1,4.07,100,4.07,2025-06-11 18:31:00+00:00
1749667200000,4.07,4.07,4.07,4,4.07,2311,4.07,2025-06-11 18:40:00+00:00
1749667500000,4.02,4.075,4.02,2,4.075,200,4.0475,2025-06-11 18:45:00+00:00
1749667860000,4.075,4.075,4.075,1,4.075,1000,4.075,2025-06-11 18:51:00+00:00
1749668400000,4.09,4.09,4.09,2,4.09,101,4.09,2025-06-11 19:00:00+00:00
1749670380000,4.09,4.09,4.09,1,4.09,178,4.09,2025-06-11 19:33:00+00:00
1749671400000,4.1,4.1,4.1,1,4.1,100,4.1,2025-06-11 19:50:00+00:00
1749671520000,4.12,4.12,4.08,16,4.1,1451,4.102786,2025-06-11 19:52:00+00:00
1749671580000,4.16,4.16,4.12,19,4.1289,1248,4.14089,2025-06-11 19:53:00+00:00
1749671640000,4.14,4.14,4.14,1,4.14,1300,4.14,2025-06-11 19:54:00+00:00
1749671700000,4.13,4.14,4.13,8,4.14,407,4.133333,2025-06-11 19:55:00+00:00
1749671760000,4.12,4.12,4.12,15,4.12,1391,4.12,2025-06-11 19:56:00+00:00
1749671940000,4.11,4.11,4.11,2,4.11,205,4.11,2025-06-11 19:59:00+00:00
1749735180000,4.08,4.08,4.08,1,4.08,100,4.08,2025-06-12 13:33:00+00:00
1749735240000,4.05,4.06,4.05,16,4.05,521,4.056,2025-06-12 13:34:00+00:00
1749735540000,4.06,4.06,4.05,8,4.055,883,4.058,2025-06-12 13:39:00+00:00
1749736020000,4.02,4.02,4.02,9,4.02,510,4.02,2025-06-12 13:47:00+00:00
1749736380000,4.04,4.04,4.03,18,4.03,969,4.036571,2025-06-12 13:53:00+00:00
