timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757518800000,3.66,3.675,3.65,151,3.675,34806,3.661288,2025-09-10 15:40:00+00:00
1757518860000,3.65,3.66,3.64,103,3.66,42283,3.64516,2025-09-10 15:41:00+00:00
1757518920000,3.635,3.65,3.635,87,3.645,27733,3.641193,2025-09-10 15:42:00+00:00
1757518980000,3.655,3.655,3.632,37,3.64,19001,3.645108,2025-09-10 15:43:00+00:00
1757519040000,3.655,3.66,3.642,47,3.65,5576,3.648148,2025-09-10 15:44:00+00:00
1757519100000,3.6735,3.68,3.6465,48,3.6488,12717,3.661369,2025-09-10 15:45:00+00:00
1757519160000,3.675,3.68,3.6712,27,3.68,5710,3.676781,2025-09-10 15:46:00+00:00
1757519220000,3.665,3.68,3.665,55,3.675,13157,3.671269,2025-09-10 15:47:00+00:00
1757519280000,3.665,3.675,3.66,65,3.66,12131,3.662874,2025-09-10 15:48:00+00:00
1757519340000,3.6321,3.665,3.6321,62,3.665,8042,3.645802,2025-09-10 15:49:00+00:00
1757519400000,3.635,3.65,3.635,29,3.64,9701,3.645107,2025-09-10 15:50:00+00:00
1757519460000,3.6299,3.635,3.62,132,3.635,36940,3.627344,2025-09-10 15:51:00+00:00
1757519520000,3.619,3.63,3.6,146,3.625,41095,3.608584,2025-09-10 15:52:00+00:00
1757519580000,3.635,3.6365,3.615,113,3.615,23192,3.629909,2025-09-10 15:53:00+00:00
1757519640000,3.61,3.635,3.5901,192,3.635,43431,3.609582,2025-09-10 15:54:00+00:00
1757519700000,3.665,3.665,3.61,166,3.61,35797,3.639567,2025-09-10 15:55:00+00:00
1757519760000,3.67,3.68,3.6568,105,3.665,35366,3.667058,2025-09-10 15:56:00+00:00
1757519820000,3.675,3.68,3.675,12,3.6797,6121,3.678135,2025-09-10 15:57:00+00:00
1757519880000,3.695,3.71,3.68,70,3.68,12540,3.694892,2025-09-10 15:58:00+00:00
1757519940000,3.705,3.74,3.69,236,3.69,84132,3.727841,2025-09-10 15:59:00+00:00
1757520000000,3.685,3.715,3.685,191,3.705,65666,3.700303,2025-09-10 16:00:00+00:00
1757520060000,3.6699,3.69,3.665,63,3.685,8592,3.679996,2025-09-10 16:01:00+00:00
1757520120000,3.655,3.6699,3.655,40,3.6699,8429,3.661652,2025-09-10 16:02:00+00:00
1757520180000,3.675,3.68,3.66,47,3.66,15831,3.673501,2025-09-10 16:03:00+00:00
1757520240000,3.6944,3.695,3.68,26,3.68,10560,3.687116,2025-09-10 16:04:00+00:00
1757520300000,3.71,3.71,3.68,77,3.69,17678,3.70424,2025-09-10 16:05:00+00:00
1757520360000,3.7,3.71,3.7,14,3.71,2589,3.704153,2025-09-10 16:06:00+00:00
1757520420000,3.705,3.71,3.7,24,3.7,4280,3.70779,2025-09-10 16:07:00+00:00
1757520480000,3.705,3.705,3.68,35,3.7,4839,3.696113,2025-09-10 16:08:00+00:00
1757520540000,3.7,3.7,3.7,7,3.7,226,3.7,2025-09-10 16:09:00+00:00
1757520600000,3.71,3.71,3.695,21,3.695,1817,3.69716,2025-09-10 16:10:00+00:00
1757520660000,3.715,3.7199,3.7116,9,3.7116,1708,3.714406,2025-09-10 16:11:00+00:00
1757520720000,3.7185,3.7199,3.715,8,3.715,2224,3.717772,2025-09-10 16:12:00+00:00
1757520780000,3.7189,3.72,3.7112,36,3.7112,2206,3.716549,2025-09-10 16:13:00+00:00
1757520840000,3.69,3.72,3.69,146,3.715,16705,3.705336,2025-09-10 16:14:00+00:00
1757520900000,3.71,3.715,3.69,29,3.69,2034,3.697917,2025-09-10 16:15:00+00:00
1757520960000,3.715,3.715,3.715,7,3.715,471,3.715,2025-09-10 16:16:00+00:00
1757521020000,3.7128,3.715,3.7128,13,3.715,633,3.714057,2025-09-10 16:17:00+00:00
1757521080000,3.715,3.7189,3.715,14,3.7189,2255,3.717583,2025-09-10 16:18:00+00:00
1757521140000,3.705,3.7187,3.705,27,3.7187,3916,3.711263,2025-09-10 16:19:00+00:00
1757521200000,3.705,3.71,3.7,20,3.7012,3312,3.703171,2025-09-10 16:20:00+00:00
1757521260000,3.69,3.725,3.69,99,3.705,54108,3.704822,2025-09-10 16:21:00+00:00
1757521320000,3.6689,3.685,3.665,54,3.685,47804,3.672454,2025-09-10 16:22:00+00:00
1757521380000,3.7,3.7,3.67,39,3.67,11044,3.687801,2025-09-10 16:23:00+00:00
1757521440000,3.715,3.715,3.7035,26,3.7035,2973,3.710595,2025-09-10 16:24:00+00:00
1757521500000,3.72,3.72,3.7127,13,3.7189,5702,3.718493,2025-09-10 16:25:00+00:00
1757521560000,3.725,3.725,3.725,8,3.725,1122,3.725,2025-09-10 16:26:00+00:00
1757521680000,3.725,3.73,3.72,16,3.72,1526,3.7288,2025-09-10 16:28:00+00:00
1757521740000,3.72,3.7246,3.7013,69,3.7227,15730,3.714643,2025-09-10 16:29:00+00:00
1757521800000,3.72,3.72,3.715,58,3.715,5353,3.717637,2025-09-10 16:30:00+00:00
1757521860000,3.74,3.74,3.73,21,3.73,3152,3.733289,2025-09-10 16:31:00+00:00
1757521920000,3.725,3.7302,3.7101,68,3.73,9076,3.717659,2025-09-10 16:32:00+00:00
1757521980000,3.73,3.73,3.72,22,3.725,9230,3.723863,2025-09-10 16:33:00+00:00
1757522040000,3.7375,3.74,3.7235,20,3.73,5376,3.73611,2025-09-10 16:34:00+00:00
1757522100000,3.765,3.765,3.73,57,3.7398,8974,3.743429,2025-09-10 16:35:00+00:00
1757522160000,3.8,3.8,3.765,120,3.7699,22909,3.783416,2025-09-10 16:36:00+00:00
1757522220000,3.815,3.815,3.79,139,3.8,53666,3.800695,2025-09-10 16:37:00+00:00
1757522280000,3.83,3.83,3.81,276,3.8184,82518,3.827844,2025-09-10 16:38:00+00:00
1757522340000,3.805,3.8284,3.8,34,3.8284,10986,3.811201,2025-09-10 16:39:00+00:00
1757522400000,3.77,3.8001,3.77,55,3.8,12029,3.785118,2025-09-10 16:40:00+00:00
1757522460000,3.77,3.78,3.77,22,3.778,4758,3.77573,2025-09-10 16:41:00+00:00
