timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755101400000,0.93,0.93,0.93,2,0.93,1010,0.93,2025-08-13 16:10:00+00:00
1755101520000,0.93,0.93,0.93,2,0.93,500,0.93,2025-08-13 16:12:00+00:00
1755101580000,0.9318,0.9318,0.9318,2,0.9318,210,0.9318,2025-08-13 16:13:00+00:00
1755101880000,0.924,0.924,0.924,1,0.924,100,0.924,2025-08-13 16:18:00+00:00
1755101940000,0.9216,0.9216,0.9215,4,0.9215,1420,0.921529,2025-08-13 16:19:00+00:00
1755102000000,0.9399,0.9399,0.9399,1,0.9399,107,0.9399,2025-08-13 16:20:00+00:00
1755102120000,0.9312,0.9312,0.9312,2,0.9312,7460,0.9312,2025-08-13 16:22:00+00:00
1755102240000,0.9311,0.9311,0.9311,1,0.9311,450,0.9311,2025-08-13 16:24:00+00:00
1755102300000,0.9311,0.9311,0.9263,5,0.9269,1181,0.928139,2025-08-13 16:25:00+00:00
1755102420000,0.9257,0.9257,0.9242,4,0.9242,806,0.925271,2025-08-13 16:27:00+00:00
1755102480000,0.9216,0.9216,0.9216,1,0.9216,500,0.9216,2025-08-13 16:28:00+00:00
1755102600000,0.9215,0.9263,0.9215,3,0.9218,2100,0.923814,2025-08-13 16:30:00+00:00
1755102660000,0.9191,0.9312,0.9191,16,0.9215,5662,0.920698,2025-08-13 16:31:00+00:00
1755102840000,0.915,0.915,0.915,1,0.915,300,0.915,2025-08-13 16:34:00+00:00
1755102900000,0.915,0.915,0.915,1,0.915,720,0.915,2025-08-13 16:35:00+00:00
1755102960000,0.91,0.91,0.91,5,0.91,1079,0.91,2025-08-13 16:36:00+00:00
1755103080000,0.9261,0.9261,0.91,3,0.91,1300,0.913715,2025-08-13 16:38:00+00:00
1755103140000,0.91,0.9368,0.91,3,0.9101,2165,0.912489,2025-08-13 16:39:00+00:00
1755103200000,0.9101,0.9101,0.91,3,0.9101,1831,0.910031,2025-08-13 16:40:00+00:00
1755103500000,0.9212,0.9212,0.9212,1,0.9212,2400,0.9212,2025-08-13 16:45:00+00:00
1755103620000,0.91,0.9261,0.91,6,0.9261,1089,0.91966,2025-08-13 16:47:00+00:00
1755103740000,0.9212,0.9212,0.9212,1,0.9212,100,0.9212,2025-08-13 16:49:00+00:00
1755103920000,0.9311,0.9311,0.9311,1,0.9311,276,0.9311,2025-08-13 16:52:00+00:00
1755103980000,0.9212,0.9212,0.92,9,0.92,1523,0.920503,2025-08-13 16:53:00+00:00
1755104460000,0.9421,0.9421,0.9421,1,0.9421,553,0.9421,2025-08-13 17:01:00+00:00
1755104520000,0.9422,0.9422,0.9422,2,0.9422,503,0.9422,2025-08-13 17:02:00+00:00
1755104580000,0.9415,0.9415,0.9415,1,0.9415,100,0.9415,2025-08-13 17:03:00+00:00
1755104820000,0.922,0.922,0.922,2,0.922,319,0.922,2025-08-13 17:07:00+00:00
1755104940000,0.9422,0.9422,0.9422,1,0.9422,100,0.9422,2025-08-13 17:09:00+00:00
1755105240000,0.9317,0.9317,0.9317,2,0.9317,109,0.9317,2025-08-13 17:14:00+00:00
1755105300000,0.9422,0.9422,0.9422,1,0.9422,100,0.9422,2025-08-13 17:15:00+00:00
1755105600000,0.9399,0.9422,0.9399,9,0.94,2795,0.940026,2025-08-13 17:20:00+00:00
1755105900000,0.9401,0.9422,0.9401,7,0.9422,1031,0.941177,2025-08-13 17:25:00+00:00
1755106020000,0.9333,0.9333,0.9333,1,0.9333,401,0.9333,2025-08-13 17:27:00+00:00
1755106140000,0.9439,0.9439,0.9326,3,0.9326,2105,0.943362,2025-08-13 17:29:00+00:00
1755106200000,0.944,0.944,0.944,1,0.944,100,0.944,2025-08-13 17:30:00+00:00
1755106260000,0.932,0.932,0.932,4,0.932,215,0.932,2025-08-13 17:31:00+00:00
1755106320000,0.932,0.932,0.932,2,0.932,200,0.932,2025-08-13 17:32:00+00:00
1755106440000,0.9438,0.9438,0.9438,1,0.9438,450,0.9438,2025-08-13 17:34:00+00:00
1755106500000,0.9305,0.9305,0.9201,3,0.93,864,0.927977,2025-08-13 17:35:00+00:00
1755106740000,0.9202,0.9202,0.9202,1,0.9202,100,0.9202,2025-08-13 17:39:00+00:00
1755106800000,0.9202,0.9202,0.9202,1,0.9202,100,0.9202,2025-08-13 17:40:00+00:00
1755106920000,0.94,0.94,0.94,2,0.94,338,0.94,2025-08-13 17:42:00+00:00
1755106980000,0.94,0.94,0.94,1,0.94,300,0.94,2025-08-13 17:43:00+00:00
1755107040000,0.9365,0.9365,0.9365,1,0.9365,200,0.9365,2025-08-13 17:44:00+00:00
1755107160000,0.932,0.932,0.932,2,0.932,120,0.932,2025-08-13 17:46:00+00:00
1755107400000,0.944,0.944,0.944,1,0.944,100,0.944,2025-08-13 17:50:00+00:00
1755107700000,0.944,0.944,0.944,3,0.944,182,0.944,2025-08-13 17:55:00+00:00
1755108000000,0.94,0.944,0.94,5,0.944,1201,0.943667,2025-08-13 18:00:00+00:00
1755108060000,0.9365,0.9365,0.9365,3,0.9365,300,0.9365,2025-08-13 18:01:00+00:00
1755108480000,0.944,0.944,0.944,2,0.944,280,0.944,2025-08-13 18:08:00+00:00
1755108540000,0.929,0.9305,0.929,15,0.9305,5652,0.929069,2025-08-13 18:09:00+00:00
1755108600000,0.929,0.9439,0.929,3,0.9439,350,0.933257,2025-08-13 18:10:00+00:00
1755108660000,0.9285,0.9285,0.9202,8,0.9284,16100,0.920404,2025-08-13 18:11:00+00:00
1755109080000,0.944,0.944,0.944,2,0.944,500,0.944,2025-08-13 18:18:00+00:00
1755109140000,0.944,0.944,0.944,2,0.944,125,0.944,2025-08-13 18:19:00+00:00
1755109320000,0.9477,0.9477,0.9402,6,0.944,1800,0.944628,2025-08-13 18:22:00+00:00
1755109380000,0.9387,0.9387,0.9387,3,0.9387,257,0.9387,2025-08-13 18:23:00+00:00
1755109740000,0.9381,0.9381,0.9381,2,0.9381,295,0.9381,2025-08-13 18:29:00+00:00
1755109860000,0.9387,0.9387,0.9387,2,0.9387,220,0.9387,2025-08-13 18:31:00+00:00
1755109920000,0.9389,0.9389,0.9389,4,0.9389,1110,0.9389,2025-08-13 18:32:00+00:00
1755110100000,0.9508,0.9508,0.949,20,0.949,8298,0.949985,2025-08-13 18:35:00+00:00
1755110280000,0.9406,0.9406,0.9401,2,0.9401,400,0.94035,2025-08-13 18:38:00+00:00
1755110460000,0.9509,0.9509,0.9509,1,0.9509,100,0.9509,2025-08-13 18:41:00+00:00
1755110640000,0.9459,0.9484,0.9459,3,0.9484,1700,0.948106,2025-08-13 18:44:00+00:00
1755110880000,0.9509,0.9509,0.9509,1,0.9509,5000,0.9509,2025-08-13 18:48:00+00:00
1755111000000,0.9508,0.9508,0.9508,1,0.9508,246,0.9508,2025-08-13 18:50:00+00:00
1755111180000,0.9508,0.9508,0.9508,2,0.9508,200,0.9508,2025-08-13 18:53:00+00:00
