timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757512140000,7.9857,8.95,7.41,18498,8.72,2466089,8.081429,2025-09-10 13:49:00+00:00
1757512200000,7.8599,8.34,7.6501,12049,7.94,1671378,8.014956,2025-09-10 13:50:00+00:00
1757512260000,7.715,8.26,6.86,14036,7.87,1943411,7.621638,2025-09-10 13:51:00+00:00
1757512320000,7.235,7.82,7.0,7743,7.6901,1023925,7.427977,2025-09-10 13:52:00+00:00
1757512380000,7.8495,8.1499,7.18,10140,7.1945,1425823,7.738029,2025-09-10 13:53:00+00:00
1757512440000,7.7599,8.13,7.57,8095,7.84,1162118,7.856451,2025-09-10 13:54:00+00:00
1757512500000,7.54,8.2599,7.3001,10356,7.78,1407467,7.701049,2025-09-10 13:55:00+00:00
1757512560000,7.01,7.6999,7.0,7206,7.5389,849556,7.284347,2025-09-10 13:56:00+00:00
1757512620000,7.53,7.9499,6.74,9548,7.0,1398438,7.478476,2025-09-10 13:57:00+00:00
1757512680000,7.5,7.83,7.33,6180,7.5671,935953,7.604402,2025-09-10 13:58:00+00:00
1757512740000,7.4579,7.57,7.06,6132,7.48,874747,7.32548,2025-09-10 13:59:00+00:00
1757512800000,7.355,7.63,7.0001,6071,7.4385,961786,7.329191,2025-09-10 14:00:00+00:00
1757512860000,7.1897,7.45,7.05,5267,7.34,788044,7.214776,2025-09-10 14:01:00+00:00
1757512920000,7.22,7.67,6.75,9334,7.18,1321822,7.282636,2025-09-10 14:02:00+00:00
1757512980000,7.337,7.49,7.1751,3617,7.2099,496713,7.334628,2025-09-10 14:03:00+00:00
1757513040000,7.0099,7.66,6.84,9607,7.3491,1359071,7.229681,2025-09-10 14:04:00+00:00
1757513100000,7.07,7.29,6.85,5676,7.0,735801,7.047083,2025-09-10 14:05:00+00:00
1757513160000,6.35,7.2199,6.1,8110,7.0697,1073885,6.632909,2025-09-10 14:06:00+00:00
1757513220000,6.1799,6.6,6.01,8105,6.32,1102386,6.274924,2025-09-10 14:07:00+00:00
1757513280000,5.585,6.4,5.58,8829,6.16,1149947,5.960628,2025-09-10 14:08:00+00:00
1757513340000,5.0101,5.9,5.0,12540,5.58,1649707,5.450817,2025-09-10 14:09:00+00:00
1757513400000,5.48,5.5977,4.93,7173,5.0102,1096162,5.312317,2025-09-10 14:10:00+00:00
1757513460000,5.575,5.67,5.25,4791,5.48,619110,5.436937,2025-09-10 14:11:00+00:00
1757513520000,5.3337,5.6,5.22,3818,5.5899,500691,5.422224,2025-09-10 14:12:00+00:00
1757513580000,5.5671,5.57,4.7,9401,5.3591,1295231,5.120668,2025-09-10 14:13:00+00:00
1757513640000,5.19,5.56,5.1,3743,5.56,450047,5.297329,2025-09-10 14:14:00+00:00
