timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,1.41,1.41,1.38,53,1.41,28016,1.409019,2025-09-02 13:30:00+00:00
1756819860000,1.4184,1.4184,1.3973,3,1.3973,3200,1.417243,2025-09-02 13:31:00+00:00
1756819980000,1.38,1.395,1.38,3,1.39,2000,1.386,2025-09-02 13:33:00+00:00
1756820040000,1.395,1.395,1.395,1,1.395,1000,1.395,2025-09-02 13:34:00+00:00
1756820100000,1.4,1.41,1.39,4,1.41,7825,1.409359,2025-09-02 13:35:00+00:00
1756820160000,1.4,1.4094,1.4,6,1.4094,7795,1.40061,2025-09-02 13:36:00+00:00
1756820280000,1.42,1.42,1.4098,22,1.4098,7271,1.417728,2025-09-02 13:38:00+00:00
1756820400000,1.42,1.43,1.415,39,1.415,12239,1.420853,2025-09-02 13:40:00+00:00
1756820460000,1.43,1.43,1.43,23,1.43,7703,1.43,2025-09-02 13:41:00+00:00
1756820520000,1.43,1.43,1.429,10,1.429,13119,1.429969,2025-09-02 13:42:00+00:00
1756820700000,1.435,1.435,1.435,2,1.435,536,1.435,2025-09-02 13:45:00+00:00
1756820880000,1.44,1.44,1.4399,10,1.44,2609,1.43996,2025-09-02 13:48:00+00:00
1756820940000,1.45,1.45,1.45,18,1.45,10155,1.45,2025-09-02 13:49:00+00:00
1756821000000,1.48,1.5,1.455,39,1.455,14057,1.475355,2025-09-02 13:50:00+00:00
1756821060000,1.48,1.4926,1.48,7,1.4926,350,1.4842,2025-09-02 13:51:00+00:00
1756821120000,1.4969,1.4997,1.47,13,1.485,3273,1.490988,2025-09-02 13:52:00+00:00
1756821180000,1.4703,1.4725,1.4701,14,1.4701,11710,1.470502,2025-09-02 13:53:00+00:00
1756821240000,1.48,1.485,1.48,4,1.485,409,1.481351,2025-09-02 13:54:00+00:00
1756821360000,1.49,1.49,1.49,10,1.49,2296,1.49,2025-09-02 13:56:00+00:00
1756821480000,1.49,1.49,1.485,6,1.4895,4121,1.489866,2025-09-02 13:58:00+00:00
1756821600000,1.4801,1.485,1.4801,6,1.485,1116,1.48067,2025-09-02 14:00:00+00:00
