timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755110340000,5.05,5.05,5.05,1,5.05,1000,5.05,2025-08-13 18:39:00+00:00
1755110400000,5.0937,5.0937,5.0937,1,5.0937,300,5.0937,2025-08-13 18:40:00+00:00
1755110640000,5.016,5.016,5.016,1,5.016,1000,5.016,2025-08-13 18:44:00+00:00
1755111180000,5.0079,5.0079,5.0079,3,5.0079,535,5.0079,2025-08-13 18:53:00+00:00
1755111480000,5.0,5.0,5.0,1,5.0,215,5.0,2025-08-13 18:58:00+00:00
1755112260000,5.05,5.05,5.05,11,5.05,1379,5.05,2025-08-13 19:11:00+00:00
1755112380000,5.02,5.04,5.02,13,5.04,2400,5.030417,2025-08-13 19:13:00+00:00
1755112500000,5.03,5.03,5.0206,6,5.0206,977,5.028076,2025-08-13 19:15:00+00:00
1755112680000,5.06,5.06,5.06,1,5.06,100,5.06,2025-08-13 19:18:00+00:00
1755112920000,5.03,5.06,5.03,13,5.03,1621,5.039375,2025-08-13 19:22:00+00:00
1755113160000,5.06,5.08,5.06,15,5.08,1871,5.065882,2025-08-13 19:26:00+00:00
1755113460000,5.0917,5.0917,5.0917,1,5.0917,600,5.0917,2025-08-13 19:31:00+00:00
1755113760000,5.08,5.08,5.08,2,5.08,157,5.08,2025-08-13 19:36:00+00:00
1755113820000,5.1,5.1,5.1,2,5.1,159,5.1,2025-08-13 19:37:00+00:00
1755113880000,5.12,5.12,5.12,5,5.12,2416,5.12,2025-08-13 19:38:00+00:00
1755113940000,5.09,5.12,5.09,6,5.12,1536,5.109931,2025-08-13 19:39:00+00:00
1755114000000,5.08,5.115,5.08,19,5.115,1530,5.091812,2025-08-13 19:40:00+00:00
1755114240000,5.13,5.13,5.04,6,5.04,1451,5.116207,2025-08-13 19:44:00+00:00
1755114300000,5.02,5.08,5.02,12,5.08,15781,5.025687,2025-08-13 19:45:00+00:00
1755114480000,5.06,5.06,5.06,2,5.06,509,5.06,2025-08-13 19:48:00+00:00
1755114660000,5.0625,5.0625,5.0625,1,5.0625,200,5.0625,2025-08-13 19:51:00+00:00
1755114720000,5.1,5.1,5.1,1,5.1,100,5.1,2025-08-13 19:52:00+00:00
1755114840000,5.06,5.06,5.06,8,5.06,637,5.06,2025-08-13 19:54:00+00:00
1755114960000,5.074,5.09,5.06,13,5.09,2100,5.078627,2025-08-13 19:56:00+00:00
1755115080000,5.0541,5.0541,5.0541,1,5.0541,120,5.0541,2025-08-13 19:58:00+00:00
1755115140000,5.03,5.03,5.03,2,5.03,120,5.03,2025-08-13 19:59:00+00:00
1755115200000,5.02,5.02,5.02,1,5.02,1261,5.02,2025-08-13 20:00:00+00:00
1755178200000,4.96,4.96,4.9,14,4.95,1534,4.940954,2025-08-14 13:30:00+00:00
1755178260000,4.9734,4.9734,4.9734,1,4.9734,100,4.9734,2025-08-14 13:31:00+00:00
1755178380000,4.9071,4.9071,4.9071,1,4.9071,1000,4.9071,2025-08-14 13:33:00+00:00
1755178560000,5.04,5.04,4.98,6,4.98,466,5.01,2025-08-14 13:36:00+00:00
1755179160000,5.0321,5.0321,5.0321,1,5.0321,500,5.0321,2025-08-14 13:46:00+00:00
1755179400000,5.0,5.03,5.0,9,5.03,2655,5.003032,2025-08-14 13:50:00+00:00
1755179580000,5.0,5.0,5.0,1,5.0,200,5.0,2025-08-14 13:53:00+00:00
1755180120000,4.9564,4.9564,4.9564,1,4.9564,800,4.9564,2025-08-14 14:02:00+00:00
1755180660000,4.9681,4.9681,4.9681,2,4.9681,230,4.9681,2025-08-14 14:11:00+00:00
1755181200000,4.96,4.97,4.96,4,4.97,851,4.968739,2025-08-14 14:20:00+00:00
1755181500000,4.9104,4.95,4.9104,8,4.95,3501,4.940331,2025-08-14 14:25:00+00:00
1755181560000,4.91,4.91,4.91,2,4.91,102,4.91,2025-08-14 14:26:00+00:00
1755181620000,4.95,4.95,4.95,1,4.95,400,4.95,2025-08-14 14:27:00+00:00
1755181740000,4.955,4.9991,4.955,5,4.9991,242,4.97705,2025-08-14 14:29:00+00:00
1755182040000,4.955,4.955,4.955,1,4.955,500,4.955,2025-08-14 14:34:00+00:00
1755182100000,4.96,4.96,4.935,6,4.935,1217,4.957911,2025-08-14 14:35:00+00:00
1755183000000,5.0,5.0,5.0,1,5.0,175,5.0,2025-08-14 14:50:00+00:00
1755183600000,4.97,4.97,4.97,1,4.97,500,4.97,2025-08-14 15:00:00+00:00
1755184140000,4.91,4.91,4.91,1,4.91,100,4.91,2025-08-14 15:09:00+00:00
1755184380000,4.92,4.941,4.92,12,4.941,1223,4.926928,2025-08-14 15:13:00+00:00
1755184440000,4.9101,4.9101,4.9101,1,4.9101,300,4.9101,2025-08-14 15:14:00+00:00
1755184740000,4.91,4.91,4.91,2,4.91,120,4.91,2025-08-14 15:19:00+00:00
1755184860000,4.91,4.91,4.91,1,4.91,100,4.91,2025-08-14 15:21:00+00:00
1755185040000,4.96,4.96,4.96,2,4.96,200,4.96,2025-08-14 15:24:00+00:00
1755185280000,4.99,4.99,4.99,1,4.99,1900,4.99,2025-08-14 15:28:00+00:00
1755185400000,4.9918,4.9918,4.9918,2,4.9918,220,4.9918,2025-08-14 15:30:00+00:00
1755185700000,4.9844,4.9844,4.9844,2,4.9844,116,4.9844,2025-08-14 15:35:00+00:00
1755186360000,4.93,4.93,4.93,1,4.93,200,4.93,2025-08-14 15:46:00+00:00
1755186720000,4.98,4.98,4.98,1,4.98,100,4.98,2025-08-14 15:52:00+00:00
1755187080000,4.95,4.95,4.95,2,4.95,390,4.95,2025-08-14 15:58:00+00:00
1755187140000,4.95,4.95,4.93,5,4.93,588,4.936667,2025-08-14 15:59:00+00:00
1755187200000,4.9309,4.931,4.9309,3,4.931,800,4.930963,2025-08-14 16:00:00+00:00
1755187380000,4.9375,4.9375,4.9375,2,4.9375,501,4.9375,2025-08-14 16:03:00+00:00
1755187620000,4.955,4.9799,4.955,10,4.97,10100,4.978673,2025-08-14 16:07:00+00:00
1755187980000,4.9738,4.9738,4.9738,1,4.9738,370,4.9738,2025-08-14 16:13:00+00:00
