timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753279200000,2.43,2.43,2.43,1,2.43,200,2.43,2025-07-23 14:00:00+00:00
1753279620000,2.43,2.43,2.43,3,2.43,1400,2.43,2025-07-23 14:07:00+00:00
1753279920000,2.42,2.42,2.42,1,2.42,100,2.42,2025-07-23 14:12:00+00:00
1753280700000,2.4354,2.4354,2.4354,1,2.4354,200,2.4354,2025-07-23 14:25:00+00:00
1753282320000,2.4301,2.4301,2.4301,1,2.4301,3000,2.4301,2025-07-23 14:52:00+00:00
1753282440000,2.4674,2.4674,2.4674,2,2.4674,1001,2.4674,2025-07-23 14:54:00+00:00
1753282620000,2.4755,2.4755,2.4674,2,2.4674,1500,2.4701,2025-07-23 14:57:00+00:00
1753283940000,2.46,2.46,2.46,3,2.46,108,2.46,2025-07-23 15:19:00+00:00
1753284960000,2.4301,2.4749,2.43,21,2.46,3000,2.448593,2025-07-23 15:36:00+00:00
1753285140000,2.4323,2.4323,2.4323,3,2.4323,558,2.4323,2025-07-23 15:39:00+00:00
1753285860000,2.44,2.44,2.44,1,2.44,100,2.44,2025-07-23 15:51:00+00:00
1753285980000,2.43,2.43,2.43,3,2.43,205,2.43,2025-07-23 15:53:00+00:00
1753287780000,2.44,2.44,2.44,3,2.44,292,2.44,2025-07-23 16:23:00+00:00
1753288560000,2.43,2.43,2.43,2,2.43,103,2.43,2025-07-23 16:36:00+00:00
1753290360000,2.42,2.42,2.42,4,2.42,417,2.42,2025-07-23 17:06:00+00:00
1753290420000,2.4199,2.42,2.41,17,2.42,22638,2.419584,2025-07-23 17:07:00+00:00
1753290480000,2.46,2.5,2.41,29,2.41,31695,2.475658,2025-07-23 17:08:00+00:00
1753290540000,2.47,2.49,2.4344,25,2.45,6325,2.465656,2025-07-23 17:09:00+00:00
1753291020000,2.45,2.45,2.415,38,2.44,24000,2.430825,2025-07-23 17:17:00+00:00
1753291080000,2.51,2.5147,2.445,46,2.46,28824,2.499897,2025-07-23 17:18:00+00:00
1753291140000,2.46,2.46,2.45,6,2.45,2876,2.459642,2025-07-23 17:19:00+00:00
1753294860000,2.42,2.42,2.42,1,2.42,100,2.42,2025-07-23 18:21:00+00:00
1753298160000,2.44,2.44,2.44,1,2.44,114,2.44,2025-07-23 19:16:00+00:00
1753299180000,2.45,2.45,2.45,2,2.45,200,2.45,2025-07-23 19:33:00+00:00
1753299780000,2.505,2.505,2.505,1,2.505,100,2.505,2025-07-23 19:43:00+00:00
1753300620000,2.47,2.47,2.47,3,2.47,166,2.47,2025-07-23 19:57:00+00:00
1753300740000,2.47,2.47,2.47,3,2.47,226,2.47,2025-07-23 19:59:00+00:00
1753300800000,2.53,2.53,2.53,1,2.53,419,2.53,2025-07-23 20:00:00+00:00
1753363800000,2.47,2.47,2.47,1,2.47,2087,2.47,2025-07-24 13:30:00+00:00
1753363860000,2.46,2.47,2.46,2,2.47,200,2.465,2025-07-24 13:31:00+00:00
1753364220000,2.53,2.53,2.51,7,2.51,1800,2.526471,2025-07-24 13:37:00+00:00
1753367040000,2.53,2.53,2.53,3,2.53,299,2.53,2025-07-24 14:24:00+00:00
1753367400000,2.555,2.555,2.555,2,2.555,101,2.555,2025-07-24 14:30:00+00:00
1753368000000,2.54,2.54,2.52,12,2.5326,1113,2.532934,2025-07-24 14:40:00+00:00
1753368060000,2.59,2.59,2.548,54,2.55,14726,2.573644,2025-07-24 14:41:00+00:00
1753368720000,2.54,2.54,2.54,1,2.54,750,2.54,2025-07-24 14:52:00+00:00
1753369620000,2.595,2.595,2.56,4,2.56,357,2.571667,2025-07-24 15:07:00+00:00
1753369860000,2.59,2.59,2.59,1,2.59,500,2.59,2025-07-24 15:11:00+00:00
