timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756819800000,1.78,1.82,1.78,35,1.8,109077,1.799871,2025-09-02 13:30:00+00:00
1756819860000,1.8,1.8,1.8,3,1.8,3738,1.8,2025-09-02 13:31:00+00:00
1756819920000,1.78,1.79,1.77,55,1.78,3590,1.78621,2025-09-02 13:32:00+00:00
1756819980000,1.77,1.82,1.75,25,1.79,14000,1.803768,2025-09-02 13:33:00+00:00
1756820040000,1.7132,1.7132,1.7132,4,1.7132,426,1.7132,2025-09-02 13:34:00+00:00
1756820100000,1.713,1.713,1.713,2,1.713,234,1.713,2025-09-02 13:35:00+00:00
1756820280000,1.74,1.74,1.74,2,1.74,300,1.74,2025-09-02 13:38:00+00:00
1756820640000,1.7699,1.7699,1.745,3,1.745,3000,1.76409,2025-09-02 13:44:00+00:00
1756820820000,1.775,1.775,1.75,20,1.75,5311,1.765278,2025-09-02 13:47:00+00:00
1756820940000,1.77,1.78,1.77,6,1.78,19040,1.778954,2025-09-02 13:49:00+00:00
1756821000000,1.8,1.8,1.78,30,1.78,6666,1.791604,2025-09-02 13:50:00+00:00
1756821060000,1.81,1.81,1.785,12,1.81,680,1.80375,2025-09-02 13:51:00+00:00
1756821120000,1.81,1.81,1.81,12,1.81,798,1.81,2025-09-02 13:52:00+00:00
1756821180000,1.81,1.81,1.81,2,1.81,1500,1.81,2025-09-02 13:53:00+00:00
1756821240000,1.8108,1.8108,1.8108,2,1.8108,808,1.8108,2025-09-02 13:54:00+00:00
1756821300000,1.83,1.83,1.83,5,1.83,2026,1.83,2025-09-02 13:55:00+00:00
1756821360000,1.85,1.85,1.84,7,1.84,1290,1.849167,2025-09-02 13:56:00+00:00
1756821420000,1.85,1.85,1.85,3,1.85,1511,1.85,2025-09-02 13:57:00+00:00
1756821480000,1.86,1.86,1.86,7,1.86,4020,1.86,2025-09-02 13:58:00+00:00
1756821660000,1.855,1.86,1.855,17,1.86,3325,1.859219,2025-09-02 14:01:00+00:00
1756821720000,1.85,1.858,1.85,6,1.858,527,1.8564,2025-09-02 14:02:00+00:00
1756821840000,1.85,1.85,1.85,9,1.85,1031,1.85,2025-09-02 14:04:00+00:00
1756821960000,1.87,1.88,1.87,20,1.88,2487,1.879375,2025-09-02 14:06:00+00:00
1756822020000,1.89,1.9,1.86,85,1.86,20694,1.88636,2025-09-02 14:07:00+00:00
1756822080000,1.92,1.92,1.88,39,1.88,33803,1.906196,2025-09-02 14:08:00+00:00
1756822140000,1.9197,1.9197,1.9197,7,1.9197,1165,1.9197,2025-09-02 14:09:00+00:00
1756822200000,1.92,1.92,1.92,5,1.92,230,1.92,2025-09-02 14:10:00+00:00
1756822320000,1.92,1.92,1.915,9,1.92,3119,1.919838,2025-09-02 14:12:00+00:00
1756822380000,1.91,1.92,1.91,10,1.92,7917,1.918172,2025-09-02 14:13:00+00:00
1756822440000,1.93,1.93,1.92,20,1.92,1928,1.923468,2025-09-02 14:14:00+00:00
1756822500000,1.95,1.95,1.95,3,1.95,7105,1.95,2025-09-02 14:15:00+00:00
1756822560000,1.969,1.98,1.969,4,1.98,1260,1.9712,2025-09-02 14:16:00+00:00
1756822620000,1.96,1.9668,1.96,5,1.9668,4326,1.965416,2025-09-02 14:17:00+00:00
1756822680000,1.95,1.96,1.95,18,1.96,5239,1.957376,2025-09-02 14:18:00+00:00
1756822800000,1.9576,1.9576,1.9549,2,1.9549,600,1.95715,2025-09-02 14:20:00+00:00
1756822860000,1.98,1.98,1.97,4,1.97,279,1.975,2025-09-02 14:21:00+00:00
1756822920000,1.98,1.98,1.9799,6,1.9799,226,1.97995,2025-09-02 14:22:00+00:00
1756822980000,1.99,2.0532,1.9899,22,1.99,3514,2.003166,2025-09-02 14:23:00+00:00
1756823040000,2.0,2.04,1.99,11,2.04,3180,1.994383,2025-09-02 14:24:00+00:00
1756823100000,2.01,2.06,2.01,10,2.035,2007,2.03384,2025-09-02 14:25:00+00:00
1756823220000,2.025,2.0434,2.01,7,2.0434,3831,2.016767,2025-09-02 14:27:00+00:00
1756823280000,2.01,2.0116,2.01,7,2.0116,2490,2.010228,2025-09-02 14:28:00+00:00
1756823340000,2.01,2.01,2.0,10,2.0,3318,2.000695,2025-09-02 14:29:00+00:00
1756823460000,2.0,2.0012,2.0,9,2.0,3539,2.000034,2025-09-02 14:31:00+00:00
1756823520000,2.0,2.0,2.0,6,2.0,6369,2.0,2025-09-02 14:32:00+00:00
