timeStamp,close,high,low,trade_count,open,volume,vwap,date
1747663200000,3.915,3.915,3.915,1,3.915,153,3.915,2025-05-19 14:00:00+00:00
1747663440000,3.9015,3.9015,3.9015,1,3.9015,146,3.9015,2025-05-19 14:04:00+00:00
1747663560000,3.91,3.91,3.91,2,3.91,112,3.91,2025-05-19 14:06:00+00:00
1747663620000,3.9,3.9,3.9,3,3.9,130,3.9,2025-05-19 14:07:00+00:00
1747663680000,3.9,3.9,3.9,4,3.9,1081,3.9,2025-05-19 14:08:00+00:00
1747663740000,3.9452,3.9452,3.9452,1,3.9452,1100,3.9452,2025-05-19 14:09:00+00:00
1747663980000,3.93,3.97,3.93,7,3.97,701,3.957143,2025-05-19 14:13:00+00:00
1747664040000,4.0,4.0,3.9422,17,3.9422,2818,3.9721,2025-05-19 14:14:00+00:00
1747664400000,3.98,3.98,3.98,2,3.98,301,3.98,2025-05-19 14:20:00+00:00
1747664640000,3.99,4.0,3.99,10,3.99,752,3.991429,2025-05-19 14:24:00+00:00
1747664700000,4.12,4.12,3.99,17,4.0,2374,4.077265,2025-05-19 14:25:00+00:00
1747664880000,4.09,4.09,4.09,1,4.09,101,4.09,2025-05-19 14:28:00+00:00
1747664940000,4.159,4.159,4.159,3,4.159,161,4.159,2025-05-19 14:29:00+00:00
1747665000000,4.075,4.075,4.075,4,4.075,470,4.075,2025-05-19 14:30:00+00:00
1747665120000,4.13,4.13,4.13,1,4.13,250,4.13,2025-05-19 14:32:00+00:00
1747665360000,4.1,4.1,4.09,9,4.09,859,4.097143,2025-05-19 14:36:00+00:00
1747665480000,4.12,4.13,4.015,9,4.015,728,4.103,2025-05-19 14:38:00+00:00
1747665960000,4.0004,4.0004,4.0004,3,4.0004,183,4.0004,2025-05-19 14:46:00+00:00
1747666080000,4.14,4.14,4.14,8,4.14,371,4.14,2025-05-19 14:48:00+00:00
1747666380000,4.08,4.08,4.0,2,4.0,500,4.016,2025-05-19 14:53:00+00:00
1747666500000,4.0,4.0,4.0,2,4.0,185,4.0,2025-05-19 14:55:00+00:00
1747666560000,3.96,3.96,3.96,6,3.96,311,3.96,2025-05-19 14:56:00+00:00
1747666800000,4.0738,4.0738,4.0738,1,4.0738,331,4.0738,2025-05-19 15:00:00+00:00
1747667040000,3.96,3.96,3.96,4,3.96,640,3.96,2025-05-19 15:04:00+00:00
1747667100000,4.08,4.08,3.99,23,3.99,3439,4.072239,2025-05-19 15:05:00+00:00
1747667400000,3.931,3.931,3.931,2,3.931,111,3.931,2025-05-19 15:10:00+00:00
1747667940000,4.07,4.07,4.07,10,4.07,523,4.07,2025-05-19 15:19:00+00:00
1747668000000,4.13,4.13,4.13,13,4.13,450,4.13,2025-05-19 15:20:00+00:00
1747668300000,4.12,4.12,4.12,2,4.12,180,4.12,2025-05-19 15:25:00+00:00
1747668900000,4.13,4.14,4.0514,23,4.1,1828,4.109869,2025-05-19 15:35:00+00:00
1747669200000,4.1331,4.1331,4.13,4,4.13,1134,4.132818,2025-05-19 15:40:00+00:00
1747669260000,4.085,4.17,4.085,28,4.13,7695,4.14519,2025-05-19 15:41:00+00:00
1747669320000,4.26,4.3,4.18,62,4.18,11631,4.285746,2025-05-19 15:42:00+00:00
1747669380000,4.3499,4.3499,4.24,32,4.29,3028,4.298651,2025-05-19 15:43:00+00:00
1747669440000,4.3534,4.3534,4.29,12,4.34,1826,4.335733,2025-05-19 15:44:00+00:00
1747669500000,4.25,4.32,4.25,18,4.31,954,4.281667,2025-05-19 15:45:00+00:00
1747669560000,4.2,4.25,4.03,19,4.25,1543,4.182371,2025-05-19 15:46:00+00:00
1747669680000,4.2,4.2,4.2,9,4.2,352,4.2,2025-05-19 15:48:00+00:00
1747669740000,4.2,4.2,4.2,7,4.2,314,4.2,2025-05-19 15:49:00+00:00
1747670040000,4.28,4.29,4.28,11,4.28,688,4.282188,2025-05-19 15:54:00+00:00
1747670220000,4.2,4.2399,4.2,2,4.2399,1586,4.206289,2025-05-19 15:57:00+00:00
1747670280000,4.23,4.23,4.23,1,4.23,100,4.23,2025-05-19 15:58:00+00:00
1747670340000,4.24,4.24,4.24,1,4.24,100,4.24,2025-05-19 15:59:00+00:00
1747670400000,4.22,4.22,4.22,1,4.22,100,4.22,2025-05-19 16:00:00+00:00
1747670460000,4.16,4.24,4.16,6,4.24,401,4.21,2025-05-19 16:01:00+00:00
1747670700000,4.0832,4.0832,4.0832,1,4.0832,100,4.0832,2025-05-19 16:05:00+00:00
1747670880000,4.2682,4.2682,4.2682,1,4.2682,560,4.2682,2025-05-19 16:08:00+00:00
1747671000000,4.136,4.136,4.136,1,4.136,100,4.136,2025-05-19 16:10:00+00:00
1747671240000,4.04,4.04,4.04,1,4.04,160,4.04,2025-05-19 16:14:00+00:00
1747671900000,4.0401,4.0401,4.04,2,4.04,3000,4.040095,2025-05-19 16:25:00+00:00
1747672080000,4.14,4.14,4.0896,2,4.0896,210,4.1136,2025-05-19 16:28:00+00:00
1747672140000,4.04,4.04,4.04,1,4.04,200,4.04,2025-05-19 16:29:00+00:00
1747672440000,4.05,4.17,4.04,23,4.14,2729,4.097014,2025-05-19 16:34:00+00:00
1747672800000,4.14,4.14,4.14,4,4.14,121,4.14,2025-05-19 16:40:00+00:00
1747673280000,4.14,4.14,4.14,2,4.14,155,4.14,2025-05-19 16:48:00+00:00
1747673520000,4.14,4.14,4.14,1,4.14,130,4.14,2025-05-19 16:52:00+00:00
1747674180000,4.14,4.14,4.14,4,4.14,397,4.14,2025-05-19 17:03:00+00:00
1747674480000,4.095,4.095,4.095,1,4.095,100,4.095,2025-05-19 17:08:00+00:00
1747674540000,4.09,4.09,4.09,1,4.09,282,4.09,2025-05-19 17:09:00+00:00
1747675080000,4.14,4.14,4.14,2,4.14,101,4.14,2025-05-19 17:18:00+00:00
1747675140000,4.0501,4.06,4.05,5,4.06,1700,4.051806,2025-05-19 17:19:00+00:00
1747677360000,4.12,4.121,4.12,4,4.121,2130,4.120147,2025-05-19 17:56:00+00:00
1747677420000,4.16,4.16,4.16,1,4.16,100,4.16,2025-05-19 17:57:00+00:00
1747677660000,4.2207,4.2207,4.15,2,4.15,200,4.18535,2025-05-19 18:01:00+00:00
1747677780000,4.2076,4.2076,4.2076,1,4.2076,100,4.2076,2025-05-19 18:03:00+00:00
1747677840000,4.24,4.24,4.24,3,4.24,961,4.24,2025-05-19 18:04:00+00:00
1747678200000,4.16,4.16,4.16,1,4.16,100,4.16,2025-05-19 18:10:00+00:00
1747678320000,4.2287,4.2287,4.2287,1,4.2287,101,4.2287,2025-05-19 18:12:00+00:00
1747678500000,4.13,4.13,4.13,1,4.13,200,4.13,2025-05-19 18:15:00+00:00
1747678620000,4.12,4.12,4.09,3,4.09,990,4.096667,2025-05-19 18:17:00+00:00
1747678680000,4.2,4.2,4.16,10,4.16,625,4.175686,2025-05-19 18:18:00+00:00
1747678740000,4.07,4.07,4.07,2,4.07,131,4.07,2025-05-19 18:19:00+00:00
1747679880000,4.1601,4.1601,4.1601,2,4.1601,102,4.1601,2025-05-19 18:38:00+00:00
1747680060000,4.26,4.3,4.23,32,4.23,3585,4.253583,2025-05-19 18:41:00+00:00
1747680240000,4.29,4.31,4.29,7,4.31,777,4.300624,2025-05-19 18:44:00+00:00
1747680540000,4.2101,4.3,4.2101,3,4.3,350,4.240067,2025-05-19 18:49:00+00:00
1747680660000,4.2101,4.2101,4.2101,4,4.2101,477,4.2101,2025-05-19 18:51:00+00:00
