timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758032880000,0.0922,0.0939,0.0905,965,0.0937,1626886,0.092627,2025-09-16 14:28:00+00:00
1758032940000,0.0923,0.093,0.0896,1093,0.0922,2285545,0.091109,2025-09-16 14:29:00+00:00
1758033000000,0.0911,0.0929,0.089,803,0.0911,996056,0.090809,2025-09-16 14:30:00+00:00
1758033060000,0.091,0.0925,0.0892,691,0.0912,1399619,0.09082,2025-09-16 14:31:00+00:00
1758033120000,0.0934,0.0943,0.0905,1287,0.091,4115198,0.093169,2025-09-16 14:32:00+00:00
1758033180000,0.0953,0.0963,0.0928,1885,0.0934,5006949,0.095058,2025-09-16 14:33:00+00:00
1758033240000,0.0988,0.0988,0.095,2442,0.0953,7147625,0.09749,2025-09-16 14:34:00+00:00
1758033300000,0.0951,0.1019,0.0934,4912,0.0986,14414984,0.098537,2025-09-16 14:35:00+00:00
1758033360000,0.0957,0.0977,0.0931,1758,0.0951,4068035,0.095171,2025-09-16 14:36:00+00:00
1758033420000,0.0941,0.0976,0.0936,1459,0.0958,3728168,0.095499,2025-09-16 14:37:00+00:00
1758033480000,0.0944,0.096,0.0933,897,0.0938,2133531,0.094893,2025-09-16 14:38:00+00:00
1758033540000,0.0931,0.0945,0.0911,1342,0.0945,3282805,0.092627,2025-09-16 14:39:00+00:00
1758033600000,0.0917,0.0931,0.0905,1010,0.093,2515525,0.091727,2025-09-16 14:40:00+00:00
1758033660000,0.0932,0.0933,0.0916,594,0.0918,1494631,0.09251,2025-09-16 14:41:00+00:00
1758033720000,0.0924,0.0934,0.0915,621,0.0931,1549321,0.092604,2025-09-16 14:42:00+00:00
1758033780000,0.0917,0.093,0.0916,448,0.0924,1554344,0.09206,2025-09-16 14:43:00+00:00
1758033840000,0.0888,0.0921,0.0876,1260,0.0918,5302211,0.08947,2025-09-16 14:44:00+00:00
1758033900000,0.0873,0.0895,0.087,940,0.0886,2267981,0.087921,2025-09-16 14:45:00+00:00
1758033960000,0.0863,0.0874,0.086,958,0.0874,2344082,0.086822,2025-09-16 14:46:00+00:00
1758034020000,0.0877,0.0879,0.0863,493,0.0864,1414369,0.087049,2025-09-16 14:47:00+00:00
1758034080000,0.0883,0.0889,0.0873,536,0.0875,1385775,0.088228,2025-09-16 14:48:00+00:00
1758034140000,0.088,0.0895,0.0874,616,0.0884,829943,0.08809,2025-09-16 14:49:00+00:00
1758034200000,0.0884,0.0888,0.0879,423,0.088,920069,0.08823,2025-09-16 14:50:00+00:00
1758034260000,0.0902,0.0908,0.0884,542,0.0884,2008331,0.089494,2025-09-16 14:51:00+00:00
1758034320000,0.0897,0.0908,0.0889,624,0.0902,1280912,0.090083,2025-09-16 14:52:00+00:00
