timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,19.3195,19.42,19.08,3878,19.105,856323,19.197044,2025-09-15 13:30:00+00:00
1757943060000,19.47,19.48,19.09,1913,19.31,315935,19.296424,2025-09-15 13:31:00+00:00
1757943120000,19.3535,19.6,19.3,1874,19.47,336344,19.478205,2025-09-15 13:32:00+00:00
1757943180000,19.1999,19.3697,19.1601,930,19.34,258427,19.27398,2025-09-15 13:33:00+00:00
1757943240000,19.0335,19.24,19.02,1196,19.2,232336,19.138634,2025-09-15 13:34:00+00:00
1757943300000,18.8248,19.04,18.8,1449,19.04,379561,18.935917,2025-09-15 13:35:00+00:00
1757943360000,18.88,19.02,18.78,1013,18.81,219970,18.916222,2025-09-15 13:36:00+00:00
1757943420000,18.935,19.0497,18.86,938,18.87,152055,18.96213,2025-09-15 13:37:00+00:00
1757943480000,18.87,19.02,18.8654,771,18.939,133835,18.951173,2025-09-15 13:38:00+00:00
1757943540000,18.97,19.01,18.8672,944,18.8672,164769,18.943291,2025-09-15 13:39:00+00:00
1757943600000,19.005,19.05,18.97,1072,18.97,141489,19.008991,2025-09-15 13:40:00+00:00
1757943660000,18.87,19.045,18.82,975,19.0,139939,18.924242,2025-09-15 13:41:00+00:00
1757943720000,19.0999,19.0999,18.83,1148,18.8954,175777,18.965792,2025-09-15 13:42:00+00:00
1757943780000,19.0271,19.14,19.025,845,19.07,130122,19.088312,2025-09-15 13:43:00+00:00
1757943840000,19.05,19.08,18.97,825,19.01,143825,19.030287,2025-09-15 13:44:00+00:00
1757943900000,19.15,19.16,19.03,856,19.04,180172,19.091141,2025-09-15 13:45:00+00:00
1757943960000,19.205,19.26,19.12,816,19.16,145488,19.174583,2025-09-15 13:46:00+00:00
1757944020000,19.27,19.2976,19.2,789,19.205,138381,19.243498,2025-09-15 13:47:00+00:00
1757944080000,19.311,19.35,19.269,1029,19.269,260642,19.302802,2025-09-15 13:48:00+00:00
1757944140000,19.195,19.34,19.15,932,19.3253,224223,19.240055,2025-09-15 13:49:00+00:00
1757944200000,19.3,19.38,19.195,1016,19.2,207276,19.317414,2025-09-15 13:50:00+00:00
1757944260000,19.2825,19.36,19.21,669,19.3064,120938,19.275951,2025-09-15 13:51:00+00:00
1757944320000,19.219,19.3,19.2,588,19.275,87581,19.243515,2025-09-15 13:52:00+00:00
1757944380000,19.26,19.3161,19.21,515,19.22,76894,19.258379,2025-09-15 13:53:00+00:00
1757944440000,19.3098,19.34,19.26,440,19.26,82026,19.307826,2025-09-15 13:54:00+00:00
1757944500000,19.23,19.3099,19.18,513,19.3,71441,19.250316,2025-09-15 13:55:00+00:00
1757944560000,19.199,19.2876,19.199,447,19.2298,68451,19.242443,2025-09-15 13:56:00+00:00
1757944620000,19.315,19.32,19.195,509,19.2,80508,19.286792,2025-09-15 13:57:00+00:00
1757944680000,19.341,19.38,19.32,553,19.32,116237,19.35541,2025-09-15 13:58:00+00:00
1757944740000,19.38,19.4097,19.335,1086,19.345,134309,19.372157,2025-09-15 13:59:00+00:00
1757944800000,19.275,19.395,19.265,1454,19.385,219541,19.348172,2025-09-15 14:00:00+00:00
1757944860000,19.2955,19.34,19.27,480,19.28,72480,19.303897,2025-09-15 14:01:00+00:00
1757944920000,19.27,19.335,19.2,578,19.2951,80818,19.243717,2025-09-15 14:02:00+00:00
1757944980000,19.245,19.2961,19.23,447,19.26,52019,19.265791,2025-09-15 14:03:00+00:00
1757945040000,19.27,19.3,19.245,655,19.25,70501,19.271924,2025-09-15 14:04:00+00:00
1757945100000,19.25,19.31,19.225,377,19.27,59397,19.245888,2025-09-15 14:05:00+00:00
1757945160000,19.225,19.27,19.2,407,19.2314,70918,19.225249,2025-09-15 14:06:00+00:00
1757945220000,19.265,19.275,19.215,305,19.23,81412,19.23885,2025-09-15 14:07:00+00:00
1757945280000,19.37,19.4,19.25,786,19.265,120608,19.331732,2025-09-15 14:08:00+00:00
1757945340000,19.3251,19.39,19.3251,527,19.37,94614,19.369011,2025-09-15 14:09:00+00:00
1757945400000,19.28,19.34,19.25,435,19.3238,66263,19.289668,2025-09-15 14:10:00+00:00
1757945460000,19.22,19.305,19.195,615,19.275,99037,19.238043,2025-09-15 14:11:00+00:00
1757945520000,19.165,19.25,19.135,584,19.2265,88007,19.196905,2025-09-15 14:12:00+00:00
1757945580000,19.19,19.21,19.15,408,19.165,65941,19.183689,2025-09-15 14:13:00+00:00
1757945640000,19.085,19.21,19.0812,545,19.1964,110290,19.143179,2025-09-15 14:14:00+00:00
1757945700000,19.115,19.175,19.0899,468,19.09,77180,19.13446,2025-09-15 14:15:00+00:00
1757945760000,19.14,19.155,19.07,411,19.105,55450,19.096087,2025-09-15 14:16:00+00:00
1757945820000,19.085,19.135,19.05,382,19.135,48906,19.078453,2025-09-15 14:17:00+00:00
1757945880000,19.1628,19.17,19.0808,453,19.0808,75073,19.141161,2025-09-15 14:18:00+00:00
1757945940000,19.225,19.225,19.13,422,19.165,63911,19.160709,2025-09-15 14:19:00+00:00
1757946000000,19.315,19.33,19.2,696,19.22,132082,19.297766,2025-09-15 14:20:00+00:00
1757946060000,19.345,19.38,19.31,596,19.315,99152,19.354145,2025-09-15 14:21:00+00:00
1757946120000,19.23,19.355,19.22,1122,19.3493,144437,19.289235,2025-09-15 14:22:00+00:00
1757946180000,19.2913,19.32,19.23,433,19.24,64721,19.297158,2025-09-15 14:23:00+00:00
1757946240000,19.36,19.39,19.3,608,19.3,96519,19.360389,2025-09-15 14:24:00+00:00
1757946300000,19.36,19.38,19.34,386,19.365,54454,19.36102,2025-09-15 14:25:00+00:00
1757946360000,19.41,19.41,19.3431,474,19.37,68357,19.376052,2025-09-15 14:26:00+00:00
1757946420000,19.368,19.41,19.365,353,19.405,40239,19.38757,2025-09-15 14:27:00+00:00
1757946480000,19.32,19.3651,19.27,542,19.36,65160,19.324667,2025-09-15 14:28:00+00:00
1757946540000,19.37,19.3799,19.295,551,19.315,75028,19.32922,2025-09-15 14:29:00+00:00
1757946600000,19.295,19.37,19.275,319,19.37,37299,19.311354,2025-09-15 14:30:00+00:00
1757946660000,19.32,19.335,19.295,249,19.3,21907,19.316865,2025-09-15 14:31:00+00:00
1757946720000,19.42,19.42,19.3101,352,19.3101,80025,19.383008,2025-09-15 14:32:00+00:00
1757946780000,19.4502,19.49,19.3928,867,19.405,136409,19.444045,2025-09-15 14:33:00+00:00
1757946840000,19.4351,19.5,19.43,383,19.4684,100548,19.469238,2025-09-15 14:34:00+00:00
1757946900000,19.43,19.5,19.43,495,19.435,109992,19.472025,2025-09-15 14:35:00+00:00
1757946960000,19.53,19.57,19.43,701,19.43,146472,19.524715,2025-09-15 14:36:00+00:00
1757947020000,19.579,19.6,19.535,673,19.54,184879,19.578277,2025-09-15 14:37:00+00:00
1757947080000,19.5245,19.59,19.48,1074,19.58,206071,19.540577,2025-09-15 14:38:00+00:00
1757947140000,19.565,19.57,19.5001,313,19.53,35938,19.542202,2025-09-15 14:39:00+00:00
1757947200000,19.56,19.5899,19.49,512,19.56,90920,19.543167,2025-09-15 14:40:00+00:00
1757947260000,19.65,19.67,19.5515,620,19.5515,130868,19.612504,2025-09-15 14:41:00+00:00
1757947320000,19.63,19.67,19.6,527,19.647,135582,19.637464,2025-09-15 14:42:00+00:00
1757947380000,19.6213,19.65,19.61,411,19.63,68783,19.631098,2025-09-15 14:43:00+00:00
1757947440000,19.64,19.69,19.6235,602,19.6235,106926,19.661165,2025-09-15 14:44:00+00:00
1757947500000,19.6653,19.6998,19.635,321,19.646,51548,19.666815,2025-09-15 14:45:00+00:00
1757947560000,19.6801,19.6999,19.64,468,19.6687,95046,19.675628,2025-09-15 14:46:00+00:00
1757947620000,19.695,19.72,19.65,523,19.685,80098,19.68862,2025-09-15 14:47:00+00:00
1757947680000,19.685,19.7055,19.665,477,19.69,69024,19.688024,2025-09-15 14:48:00+00:00
1757947740000,19.715,19.74,19.68,538,19.6999,85269,19.709355,2025-09-15 14:49:00+00:00
1757947800000,19.625,19.735,19.615,832,19.7055,130381,19.681432,2025-09-15 14:50:00+00:00
1757947860000,19.6686,19.68,19.61,758,19.62,149401,19.648412,2025-09-15 14:51:00+00:00
1757947920000,19.67,19.7057,19.6601,395,19.6627,75089,19.692674,2025-09-15 14:52:00+00:00
1757947980000,19.66,19.7,19.6599,347,19.6701,50401,19.669062,2025-09-15 14:53:00+00:00
1757948040000,19.67,19.675,19.635,419,19.6603,55793,19.65403,2025-09-15 14:54:00+00:00
1757948100000,19.635,19.69,19.62,795,19.6704,125909,19.650044,2025-09-15 14:55:00+00:00
1757948160000,19.6635,19.68,19.64,288,19.64,32778,19.668711,2025-09-15 14:56:00+00:00
1757948220000,19.665,19.685,19.64,364,19.665,54948,19.664685,2025-09-15 14:57:00+00:00
1757948280000,19.6851,19.6851,19.645,339,19.6615,60055,19.670069,2025-09-15 14:58:00+00:00
1757948340000,19.7,19.71,19.675,651,19.685,126430,19.698285,2025-09-15 14:59:00+00:00
