timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757514360000,1.335,1.335,1.335,4,1.335,10035,1.335,2025-09-10 14:26:00+00:00
1757514420000,1.3368,1.3399,1.33,55,1.33,17613,1.331282,2025-09-10 14:27:00+00:00
1757514480000,1.339,1.339,1.33,11,1.3342,2432,1.333294,2025-09-10 14:28:00+00:00
1757514540000,1.33,1.335,1.33,5,1.335,758,1.333571,2025-09-10 14:29:00+00:00
1757514840000,1.3358,1.3399,1.335,6,1.335,370,1.33673,2025-09-10 14:34:00+00:00
1757514960000,1.33,1.3365,1.33,19,1.3351,2441,1.330536,2025-09-10 14:36:00+00:00
1757515080000,1.335,1.335,1.335,1,1.335,1248,1.335,2025-09-10 14:38:00+00:00
1757515140000,1.3305,1.3387,1.3305,6,1.335,634,1.334513,2025-09-10 14:39:00+00:00
1757515200000,1.3399,1.3399,1.3305,2,1.3305,1390,1.333881,2025-09-10 14:40:00+00:00
1757515260000,1.3306,1.335,1.33,7,1.335,1330,1.332333,2025-09-10 14:41:00+00:00
1757515440000,1.3353,1.3353,1.3353,3,1.3353,153,1.3353,2025-09-10 14:44:00+00:00
1757515500000,1.335,1.335,1.335,2,1.335,550,1.335,2025-09-10 14:45:00+00:00
1757515560000,1.3346,1.3346,1.3346,7,1.3346,239,1.3346,2025-09-10 14:46:00+00:00
1757515620000,1.3365,1.3387,1.3365,4,1.3387,1408,1.338537,2025-09-10 14:47:00+00:00
1757515680000,1.3305,1.3305,1.3305,2,1.3305,170,1.3305,2025-09-10 14:48:00+00:00
1757515740000,1.33,1.3387,1.33,5,1.3301,4650,1.332104,2025-09-10 14:49:00+00:00
1757515860000,1.3305,1.3308,1.3305,2,1.3308,605,1.330599,2025-09-10 14:51:00+00:00
1757515920000,1.335,1.335,1.335,2,1.335,760,1.335,2025-09-10 14:52:00+00:00
1757516040000,1.3351,1.3387,1.3351,4,1.3387,353,1.3363,2025-09-10 14:54:00+00:00
1757516100000,1.3387,1.3387,1.3387,6,1.3387,424,1.3387,2025-09-10 14:55:00+00:00
1757516160000,1.335,1.335,1.335,2,1.335,105,1.335,2025-09-10 14:56:00+00:00
1757516220000,1.3308,1.335,1.3308,5,1.335,336,1.332587,2025-09-10 14:57:00+00:00
1757516280000,1.325,1.33,1.32,46,1.33,4248,1.326026,2025-09-10 14:58:00+00:00
1757516340000,1.3249,1.325,1.3248,14,1.3249,3541,1.3249,2025-09-10 14:59:00+00:00
1757516400000,1.325,1.325,1.32,4,1.325,1204,1.320833,2025-09-10 15:00:00+00:00
1757516520000,1.3203,1.3288,1.3203,5,1.3288,15022,1.321037,2025-09-10 15:02:00+00:00
1757516580000,1.3295,1.3295,1.3295,2,1.3295,1076,1.3295,2025-09-10 15:03:00+00:00
1757516640000,1.325,1.329,1.325,4,1.329,2141,1.32881,2025-09-10 15:04:00+00:00
1757516700000,1.325,1.325,1.325,4,1.325,2003,1.325,2025-09-10 15:05:00+00:00
1757516820000,1.3281,1.3281,1.3213,6,1.325,2450,1.327476,2025-09-10 15:07:00+00:00
1757516880000,1.32,1.328,1.32,6,1.328,824,1.325,2025-09-10 15:08:00+00:00
1757516940000,1.325,1.325,1.325,4,1.325,319,1.325,2025-09-10 15:09:00+00:00
1757517000000,1.33,1.33,1.33,6,1.33,315,1.33,2025-09-10 15:10:00+00:00
1757517060000,1.3251,1.3251,1.3251,4,1.3251,129,1.3251,2025-09-10 15:11:00+00:00
1757517420000,1.3222,1.3222,1.3213,4,1.3213,1702,1.321436,2025-09-10 15:17:00+00:00
1757517540000,1.32,1.32,1.32,3,1.32,106,1.32,2025-09-10 15:19:00+00:00
1757517600000,1.31,1.325,1.31,60,1.32,55063,1.319476,2025-09-10 15:20:00+00:00
1757517660000,1.315,1.315,1.315,5,1.315,1751,1.315,2025-09-10 15:21:00+00:00
1757517840000,1.3167,1.3177,1.3167,4,1.3177,1211,1.316867,2025-09-10 15:24:00+00:00
1757518020000,1.314,1.314,1.31,3,1.31,1178,1.313636,2025-09-10 15:27:00+00:00
1757518200000,1.3105,1.3105,1.3105,2,1.3105,630,1.3105,2025-09-10 15:30:00+00:00
1757518320000,1.32,1.32,1.32,2,1.32,1001,1.32,2025-09-10 15:32:00+00:00
1757518380000,1.3193,1.3193,1.3193,4,1.3193,521,1.3193,2025-09-10 15:33:00+00:00
1757518500000,1.314,1.315,1.314,5,1.315,12307,1.314685,2025-09-10 15:35:00+00:00
1757518560000,1.32,1.32,1.32,4,1.32,153,1.32,2025-09-10 15:36:00+00:00
1757518860000,1.315,1.315,1.315,9,1.315,615,1.315,2025-09-10 15:41:00+00:00
1757519040000,1.315,1.315,1.3105,2,1.3105,876,1.313068,2025-09-10 15:44:00+00:00
1757519220000,1.3189,1.3189,1.3189,1,1.3189,120,1.3189,2025-09-10 15:47:00+00:00
1757519340000,1.3105,1.3105,1.3105,2,1.3105,388,1.3105,2025-09-10 15:49:00+00:00
1757519460000,1.31,1.31,1.31,2,1.31,115,1.31,2025-09-10 15:51:00+00:00
1757519700000,1.3151,1.3151,1.3151,2,1.3151,101,1.3151,2025-09-10 15:55:00+00:00
1757519820000,1.319,1.319,1.319,2,1.319,540,1.319,2025-09-10 15:57:00+00:00
1757520120000,1.3113,1.3113,1.3113,3,1.3113,537,1.3113,2025-09-10 16:02:00+00:00
1757520360000,1.3199,1.3199,1.3199,3,1.3199,310,1.3199,2025-09-10 16:06:00+00:00
1757520420000,1.315,1.315,1.315,3,1.315,203,1.315,2025-09-10 16:07:00+00:00
1757520540000,1.315,1.315,1.315,2,1.315,120,1.315,2025-09-10 16:09:00+00:00
1757520720000,1.3113,1.3113,1.3113,2,1.3113,101,1.3113,2025-09-10 16:12:00+00:00
1757520840000,1.315,1.315,1.315,2,1.315,200,1.315,2025-09-10 16:14:00+00:00
1757521080000,1.3199,1.3199,1.3199,1,1.3199,1000,1.3199,2025-09-10 16:18:00+00:00
1757521140000,1.31,1.315,1.31,4,1.31,606,1.310825,2025-09-10 16:19:00+00:00
1757521440000,1.3127,1.315,1.3127,3,1.315,1371,1.314664,2025-09-10 16:24:00+00:00
1757521680000,1.3113,1.3113,1.3113,1,1.3113,110,1.3113,2025-09-10 16:28:00+00:00
1757521740000,1.3168,1.3168,1.315,2,1.315,200,1.3159,2025-09-10 16:29:00+00:00
1757521920000,1.3158,1.3158,1.3158,2,1.3158,458,1.3158,2025-09-10 16:32:00+00:00
1757522100000,1.32,1.32,1.315,3,1.315,683,1.31763,2025-09-10 16:35:00+00:00
1757522340000,1.31,1.31,1.31,2,1.31,200,1.31,2025-09-10 16:39:00+00:00
1757522460000,1.3101,1.3101,1.3101,2,1.3101,182,1.3101,2025-09-10 16:41:00+00:00
1757522760000,1.31,1.31,1.31,2,1.31,800,1.31,2025-09-10 16:46:00+00:00
