timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756827600000,3.23,3.23,3.23,1,3.23,100,3.23,2025-09-02 15:40:00+00:00
1756827660000,3.23,3.23,3.225,6,3.225,607,3.228012,2025-09-02 15:41:00+00:00
1756827780000,3.22,3.23,3.22,5,3.23,405,3.2275,2025-09-02 15:43:00+00:00
1756827900000,3.24,3.24,3.2393,3,3.2393,250,3.23965,2025-09-02 15:45:00+00:00
1756828020000,3.225,3.225,3.225,3,3.225,102,3.225,2025-09-02 15:47:00+00:00
1756828080000,3.228,3.228,3.228,2,3.228,110,3.228,2025-09-02 15:48:00+00:00
1756828200000,3.22,3.22,3.219,5,3.22,900,3.219778,2025-09-02 15:50:00+00:00
1756828320000,3.21,3.21,3.21,8,3.21,249,3.21,2025-09-02 15:52:00+00:00
1756828380000,3.21,3.21,3.2,12,3.21,976,3.20881,2025-09-02 15:53:00+00:00
1756828440000,3.2,3.21,3.2,13,3.21,5802,3.201965,2025-09-02 15:54:00+00:00
1756828500000,3.2,3.21,3.2,14,3.21,1290,3.202235,2025-09-02 15:55:00+00:00
1756828560000,3.205,3.205,3.205,3,3.205,459,3.205,2025-09-02 15:56:00+00:00
1756828620000,3.2,3.2,3.2,10,3.2,619,3.2,2025-09-02 15:57:00+00:00
1756828860000,3.21,3.21,3.21,15,3.21,1180,3.21,2025-09-02 16:01:00+00:00
1756828920000,3.21,3.21,3.2,11,3.21,4091,3.20552,2025-09-02 16:02:00+00:00
1756828980000,3.2185,3.2185,3.2185,1,3.2185,500,3.2185,2025-09-02 16:03:00+00:00
1756829040000,3.2,3.2,3.2,17,3.2,433,3.2,2025-09-02 16:04:00+00:00
1756829280000,3.2,3.2,3.2,1,3.2,100,3.2,2025-09-02 16:08:00+00:00
1756829700000,3.19,3.19,3.19,8,3.19,347,3.19,2025-09-02 16:15:00+00:00
1756830240000,3.18,3.18,3.18,28,3.18,542,3.18,2025-09-02 16:24:00+00:00
1756830480000,3.18,3.18,3.18,3,3.18,434,3.18,2025-09-02 16:28:00+00:00
1756830780000,3.172,3.18,3.172,6,3.18,851,3.177,2025-09-02 16:33:00+00:00
1756831080000,3.18,3.18,3.18,2,3.18,501,3.18,2025-09-02 16:38:00+00:00
1756831140000,3.17,3.17,3.17,5,3.17,177,3.17,2025-09-02 16:39:00+00:00
1756831440000,3.1715,3.1876,3.1715,5,3.1876,216,3.17955,2025-09-02 16:44:00+00:00
1756831860000,3.175,3.175,3.175,1,3.175,134,3.175,2025-09-02 16:51:00+00:00
1756831920000,3.175,3.175,3.175,3,3.175,1589,3.175,2025-09-02 16:52:00+00:00
1756832160000,3.1644,3.1644,3.1644,3,3.1644,177,3.1644,2025-09-02 16:56:00+00:00
1756832280000,3.175,3.175,3.175,3,3.175,543,3.175,2025-09-02 16:58:00+00:00
1756832520000,3.19,3.1998,3.19,63,3.19,2874,3.190399,2025-09-02 17:02:00+00:00
1756832640000,3.19,3.19,3.19,4,3.19,433,3.19,2025-09-02 17:04:00+00:00
1756832700000,3.19,3.19,3.19,2,3.19,101,3.19,2025-09-02 17:05:00+00:00
1756832880000,3.19,3.19,3.18,3,3.18,210,3.185,2025-09-02 17:08:00+00:00
1756833060000,3.18,3.18,3.18,11,3.18,378,3.18,2025-09-02 17:11:00+00:00
1756833240000,3.161,3.161,3.161,3,3.161,894,3.161,2025-09-02 17:14:00+00:00
1756833300000,3.16,3.18,3.16,6,3.17,2617,3.174615,2025-09-02 17:15:00+00:00
1756833360000,3.17,3.17,3.17,1,3.17,100,3.17,2025-09-02 17:16:00+00:00
1756833720000,3.17,3.17,3.17,2,3.17,433,3.17,2025-09-02 17:22:00+00:00
1756833780000,3.178,3.178,3.178,4,3.178,116,3.178,2025-09-02 17:23:00+00:00
1756833840000,3.17,3.17,3.17,5,3.17,132,3.17,2025-09-02 17:24:00+00:00
1756834200000,3.165,3.165,3.165,4,3.165,113,3.165,2025-09-02 17:30:00+00:00
1756834260000,3.165,3.165,3.165,3,3.165,140,3.165,2025-09-02 17:31:00+00:00
1756834440000,3.17,3.17,3.17,8,3.17,318,3.17,2025-09-02 17:34:00+00:00
1756834560000,3.17,3.17,3.17,11,3.17,486,3.17,2025-09-02 17:36:00+00:00
1756834920000,3.17,3.17,3.17,5,3.17,145,3.17,2025-09-02 17:42:00+00:00
1756835040000,3.18,3.18,3.175,47,3.175,3815,3.176112,2025-09-02 17:44:00+00:00
1756835100000,3.18,3.18,3.18,13,3.18,126,3.18,2025-09-02 17:45:00+00:00
1756835520000,3.18,3.18,3.18,21,3.18,667,3.18,2025-09-02 17:52:00+00:00
1756836360000,3.17,3.17,3.165,45,3.17,1201,3.169444,2025-09-02 18:06:00+00:00
1756836780000,3.17,3.1799,3.17,11,3.1799,3508,3.178684,2025-09-02 18:13:00+00:00
1756837080000,3.178,3.178,3.178,8,3.178,188,3.178,2025-09-02 18:18:00+00:00
1756837200000,3.17,3.1799,3.17,18,3.1799,5938,3.178727,2025-09-02 18:20:00+00:00
1756837320000,3.16,3.17,3.16,11,3.17,5421,3.161648,2025-09-02 18:22:00+00:00
1756837380000,3.17,3.1787,3.17,12,3.1787,1999,3.176668,2025-09-02 18:23:00+00:00
1756837560000,3.17,3.17,3.17,7,3.17,620,3.17,2025-09-02 18:26:00+00:00
1756837680000,3.16,3.16,3.16,6,3.16,134,3.16,2025-09-02 18:28:00+00:00
1756837800000,3.168,3.168,3.168,6,3.168,295,3.168,2025-09-02 18:30:00+00:00
1756837860000,3.165,3.17,3.165,7,3.17,758,3.165714,2025-09-02 18:31:00+00:00
1756837920000,3.17,3.17,3.165,8,3.165,405,3.167727,2025-09-02 18:32:00+00:00
1756837980000,3.16,3.16,3.16,3,3.16,215,3.16,2025-09-02 18:33:00+00:00
1756838040000,3.179,3.179,3.179,2,3.179,151,3.179,2025-09-02 18:34:00+00:00
1756838220000,3.16,3.16,3.16,5,3.16,215,3.16,2025-09-02 18:37:00+00:00
1756838460000,3.17,3.17,3.17,17,3.17,623,3.17,2025-09-02 18:41:00+00:00
1756838520000,3.2,3.2,3.18,35,3.18,2042,3.187654,2025-09-02 18:42:00+00:00
1756838580000,3.2088,3.2088,3.2088,2,3.2088,250,3.2088,2025-09-02 18:43:00+00:00
1756838700000,3.205,3.205,3.2,18,3.205,1248,3.201689,2025-09-02 18:45:00+00:00
1756838880000,3.215,3.215,3.21,49,3.21,1712,3.211712,2025-09-02 18:48:00+00:00
1756838940000,3.22,3.23,3.22,57,3.23,4707,3.222892,2025-09-02 18:49:00+00:00
1756839060000,3.24,3.24,3.24,8,3.24,190,3.24,2025-09-02 18:51:00+00:00
1756839120000,3.24,3.24,3.24,2,3.24,301,3.24,2025-09-02 18:52:00+00:00
1756839240000,3.24,3.24,3.2315,25,3.2315,1849,3.235058,2025-09-02 18:54:00+00:00
1756839300000,3.225,3.24,3.225,42,3.24,1745,3.234408,2025-09-02 18:55:00+00:00
1756839360000,3.225,3.225,3.225,6,3.225,274,3.225,2025-09-02 18:56:00+00:00
1756839420000,3.221,3.225,3.221,5,3.225,282,3.222575,2025-09-02 18:57:00+00:00
1756839480000,3.22,3.225,3.22,30,3.225,1109,3.222857,2025-09-02 18:58:00+00:00
1756839540000,3.21,3.21,3.21,17,3.21,373,3.21,2025-09-02 18:59:00+00:00
1756839600000,3.225,3.225,3.21,14,3.21,640,3.219304,2025-09-02 19:00:00+00:00
1756839660000,3.225,3.225,3.225,2,3.225,108,3.225,2025-09-02 19:01:00+00:00
1756839720000,3.22,3.225,3.22,13,3.225,456,3.221667,2025-09-02 19:02:00+00:00
1756839840000,3.215,3.215,3.215,2,3.215,104,3.215,2025-09-02 19:04:00+00:00
1756840560000,3.2263,3.2263,3.2263,1,3.2263,400,3.2263,2025-09-02 19:16:00+00:00
1756840680000,3.23,3.23,3.23,26,3.23,684,3.23,2025-09-02 19:18:00+00:00
1756840740000,3.24,3.24,3.24,7,3.24,365,3.24,2025-09-02 19:19:00+00:00
1756840860000,3.227,3.227,3.227,4,3.227,248,3.227,2025-09-02 19:21:00+00:00
1756840920000,3.22,3.235,3.22,38,3.23,2223,3.229546,2025-09-02 19:22:00+00:00
1756841220000,3.23,3.23,3.23,6,3.23,386,3.23,2025-09-02 19:27:00+00:00
1756841280000,3.2275,3.23,3.22,6,3.23,723,3.2275,2025-09-02 19:28:00+00:00
1756841340000,3.22,3.22,3.22,3,3.22,144,3.22,2025-09-02 19:29:00+00:00
1756841460000,3.22,3.23,3.21,30,3.22,2242,3.224066,2025-09-02 19:31:00+00:00
1756841520000,3.225,3.225,3.22,10,3.225,767,3.223451,2025-09-02 19:32:00+00:00
1756841580000,3.22,3.225,3.22,23,3.225,1431,3.220473,2025-09-02 19:33:00+00:00
1756841640000,3.22,3.22,3.22,8,3.22,593,3.22,2025-09-02 19:34:00+00:00
1756841700000,3.22,3.22,3.22,6,3.22,229,3.22,2025-09-02 19:35:00+00:00
1756841760000,3.22,3.22,3.22,8,3.22,647,3.22,2025-09-02 19:36:00+00:00
1756841940000,3.22,3.22,3.22,4,3.22,138,3.22,2025-09-02 19:39:00+00:00
1756842000000,3.21,3.22,3.21,22,3.22,1198,3.216459,2025-09-02 19:40:00+00:00
1756842060000,3.215,3.2188,3.215,5,3.2188,1112,3.215345,2025-09-02 19:41:00+00:00
1756842120000,3.215,3.22,3.215,16,3.22,1064,3.21667,2025-09-02 19:42:00+00:00
1756842180000,3.215,3.215,3.215,3,3.215,308,3.215,2025-09-02 19:43:00+00:00
1756842240000,3.215,3.215,3.215,7,3.215,276,3.215,2025-09-02 19:44:00+00:00
1756842300000,3.21,3.21,3.21,21,3.21,775,3.21,2025-09-02 19:45:00+00:00
1756842360000,3.22,3.22,3.22,7,3.22,301,3.22,2025-09-02 19:46:00+00:00
