timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757430540000,9.54,9.56,9.54,24,9.56,2159,9.546541,2025-09-09 15:09:00+00:00
1757430600000,9.513,9.54,9.513,39,9.54,3070,9.532303,2025-09-09 15:10:00+00:00
1757430660000,9.49,9.53,9.47,40,9.51,3043,9.505609,2025-09-09 15:11:00+00:00
1757430720000,9.495,9.495,9.47,15,9.49,834,9.486883,2025-09-09 15:12:00+00:00
1757430780000,9.51,9.51,9.49,34,9.49,3284,9.50318,2025-09-09 15:13:00+00:00
1757430840000,9.54,9.54,9.5134,19,9.52,1611,9.522784,2025-09-09 15:14:00+00:00
1757430900000,9.55,9.55,9.53,29,9.53,7777,9.539757,2025-09-09 15:15:00+00:00
1757430960000,9.53,9.55,9.53,23,9.54,1433,9.538677,2025-09-09 15:16:00+00:00
1757431020000,9.5274,9.5274,9.5109,18,9.52,1791,9.522125,2025-09-09 15:17:00+00:00
1757431080000,9.55,9.55,9.525,36,9.54,3754,9.540158,2025-09-09 15:18:00+00:00
1757431140000,9.565,9.565,9.56,27,9.56,1095,9.560786,2025-09-09 15:19:00+00:00
1757431200000,9.53,9.55,9.53,52,9.55,3514,9.536917,2025-09-09 15:20:00+00:00
1757431260000,9.545,9.545,9.52,42,9.52,3368,9.5314,2025-09-09 15:21:00+00:00
1757431320000,9.535,9.56,9.53,25,9.56,2745,9.53515,2025-09-09 15:22:00+00:00
1757431380000,9.55,9.55,9.54,19,9.54,1515,9.543107,2025-09-09 15:23:00+00:00
1757431440000,9.525,9.53,9.52,42,9.53,4760,9.524607,2025-09-09 15:24:00+00:00
1757431500000,9.5,9.53,9.48,52,9.52,4566,9.512161,2025-09-09 15:25:00+00:00
1757431560000,9.53,9.53,9.51,31,9.51,3300,9.517391,2025-09-09 15:26:00+00:00
1757431620000,9.528,9.53,9.52,13,9.52,1509,9.527052,2025-09-09 15:27:00+00:00
1757431680000,9.505,9.51,9.5,52,9.51,6130,9.507712,2025-09-09 15:28:00+00:00
1757431740000,9.51,9.51,9.5,30,9.5,2286,9.50875,2025-09-09 15:29:00+00:00
1757431800000,9.485,9.5199,9.485,39,9.51,5969,9.511085,2025-09-09 15:30:00+00:00
1757431860000,9.5,9.51,9.5,15,9.5,1359,9.501667,2025-09-09 15:31:00+00:00
1757431920000,9.5,9.53,9.5,65,9.5093,6188,9.515406,2025-09-09 15:32:00+00:00
1757431980000,9.5,9.51,9.5,6,9.51,828,9.502333,2025-09-09 15:33:00+00:00
1757432040000,9.54,9.54,9.52,25,9.52,1832,9.527222,2025-09-09 15:34:00+00:00
1757432100000,9.54,9.55,9.54,37,9.55,4493,9.548994,2025-09-09 15:35:00+00:00
1757432160000,9.55,9.55,9.55,2,9.55,111,9.55,2025-09-09 15:36:00+00:00
1757432220000,9.5325,9.54,9.52,31,9.54,2594,9.535114,2025-09-09 15:37:00+00:00
1757432280000,9.52,9.52,9.51,28,9.51,868,9.513333,2025-09-09 15:38:00+00:00
1757432340000,9.51,9.5321,9.51,17,9.52,701,9.5207,2025-09-09 15:39:00+00:00
1757432400000,9.51,9.51,9.51,18,9.51,1599,9.51,2025-09-09 15:40:00+00:00
1757432460000,9.5,9.51,9.5,27,9.51,1844,9.504265,2025-09-09 15:41:00+00:00
1757432520000,9.49,9.513,9.49,15,9.513,1323,9.499099,2025-09-09 15:42:00+00:00
