timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754314200000,13.56,13.56,13.56,3,13.56,592,13.56,2025-08-04 13:30:00+00:00
1754315280000,13.69,13.69,13.53,12,13.53,905,13.589681,2025-08-04 13:48:00+00:00
1754315580000,13.6996,13.7,13.6996,13,13.6998,2132,13.699702,2025-08-04 13:53:00+00:00
1754316300000,13.56,13.56,13.56,10,13.56,300,13.56,2025-08-04 14:05:00+00:00
1754316360000,13.56,13.56,13.56,17,13.56,2893,13.56,2025-08-04 14:06:00+00:00
1754316540000,13.53,13.53,13.45,13,13.51,788,13.507495,2025-08-04 14:09:00+00:00
1754317200000,13.675,13.675,13.675,4,13.675,357,13.675,2025-08-04 14:20:00+00:00
1754317260000,13.56,13.57,13.56,4,13.57,337,13.563333,2025-08-04 14:21:00+00:00
1754318160000,13.655,13.655,13.655,5,13.655,450,13.655,2025-08-04 14:36:00+00:00
1754319480000,13.8293,13.8293,13.8293,1,13.8293,198,13.8293,2025-08-04 14:58:00+00:00
1754320260000,13.655,13.655,13.45,3,13.45,560,13.491,2025-08-04 15:11:00+00:00
1754322540000,13.545,13.545,13.545,12,13.545,308,13.545,2025-08-04 15:49:00+00:00
1754323440000,13.5268,13.5268,13.5268,3,13.5268,275,13.5268,2025-08-04 16:04:00+00:00
1754323860000,13.61,13.61,13.54,8,13.54,731,13.595,2025-08-04 16:11:00+00:00
1754324160000,13.65,13.65,13.6,24,13.6,928,13.636166,2025-08-04 16:16:00+00:00
1754329440000,13.6159,13.6159,13.59,4,13.59,1328,13.611958,2025-08-04 17:44:00+00:00
1754330580000,13.5,13.5,13.5,1,13.5,215,13.5,2025-08-04 18:03:00+00:00
1754332860000,13.72,13.72,13.72,14,13.72,325,13.72,2025-08-04 18:41:00+00:00
1754333220000,13.6675,13.6675,13.6675,25,13.6675,157,13.6675,2025-08-04 18:47:00+00:00
1754334120000,13.835,13.835,13.835,1,13.835,100,13.835,2025-08-04 19:02:00+00:00
1754334900000,13.735,13.735,13.735,3,13.735,114,13.735,2025-08-04 19:15:00+00:00
1754335260000,13.75,13.75,13.75,2,13.75,397,13.75,2025-08-04 19:21:00+00:00
1754335560000,13.71,13.735,13.71,18,13.735,501,13.726667,2025-08-04 19:26:00+00:00
1754335680000,13.71,13.71,13.71,2,13.71,101,13.71,2025-08-04 19:28:00+00:00
1754335800000,13.71,13.71,13.71,14,13.71,472,13.71,2025-08-04 19:30:00+00:00
1754336400000,13.68,13.695,13.68,34,13.695,519,13.6875,2025-08-04 19:40:00+00:00
1754336820000,13.6,13.6802,13.6,21,13.6802,789,13.666833,2025-08-04 19:47:00+00:00
1754337000000,13.695,13.695,13.62,18,13.62,774,13.67,2025-08-04 19:50:00+00:00
1754337060000,13.635,13.7,13.635,10,13.7,384,13.66,2025-08-04 19:51:00+00:00
1754337120000,13.635,13.635,13.635,4,13.635,139,13.635,2025-08-04 19:52:00+00:00
1754337360000,13.6,13.6476,13.6,12,13.6476,778,13.639519,2025-08-04 19:56:00+00:00
1754337600000,13.76,13.76,13.76,5,13.76,3300,13.76,2025-08-04 20:00:00+00:00
1754400600000,13.65,13.65,13.65,6,13.65,263,13.65,2025-08-05 13:30:00+00:00
1754403240000,13.8899,13.8899,13.8899,4,13.8899,1103,13.8899,2025-08-05 14:14:00+00:00
1754403660000,13.67,13.67,13.67,2,13.67,101,13.67,2025-08-05 14:21:00+00:00
1754404860000,13.67,13.67,13.67,3,13.67,106,13.67,2025-08-05 14:41:00+00:00
1754404920000,13.78,13.78,13.67,3,13.67,201,13.725,2025-08-05 14:42:00+00:00
1754406120000,13.67,13.67,13.67,13,13.67,311,13.67,2025-08-05 15:02:00+00:00
1754407500000,13.65,13.65,13.65,4,13.65,110,13.65,2025-08-05 15:25:00+00:00
1754410380000,13.65,13.65,13.65,4,13.65,165,13.65,2025-08-05 16:13:00+00:00
1754413560000,13.85,13.85,13.85,2,13.85,103,13.85,2025-08-05 17:06:00+00:00
1754414040000,13.835,13.835,13.835,9,13.835,171,13.835,2025-08-05 17:14:00+00:00
