timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757437740000,44.98,44.99,44.8,110,44.93,8475,44.906947,2025-09-09 17:09:00+00:00
1757437800000,45.03,45.03,45.03,7,45.03,282,45.03,2025-09-09 17:10:00+00:00
1757437860000,45.1485,45.1485,45.08,12,45.08,1033,45.125313,2025-09-09 17:11:00+00:00
1757438040000,45.06,45.06,45.06,9,45.06,168,45.06,2025-09-09 17:14:00+00:00
1757438100000,45.0,45.03,44.96,37,45.0,2188,44.998058,2025-09-09 17:15:00+00:00
1757438160000,45.03,45.03,45.02,7,45.02,378,45.025,2025-09-09 17:16:00+00:00
1757438220000,45.07,45.07,45.07,17,45.07,1511,45.07,2025-09-09 17:17:00+00:00
1757438280000,45.15,45.15,45.09,13,45.09,464,45.12,2025-09-09 17:18:00+00:00
1757438340000,45.105,45.105,45.105,5,45.105,161,45.105,2025-09-09 17:19:00+00:00
1757438400000,45.19,45.19,45.105,31,45.105,1406,45.172143,2025-09-09 17:20:00+00:00
1757438460000,45.23,45.23,45.23,12,45.23,408,45.23,2025-09-09 17:21:00+00:00
1757438520000,45.215,45.3,45.215,12,45.25,567,45.273,2025-09-09 17:22:00+00:00
1757438580000,45.415,45.46,45.26,64,45.26,3910,45.349199,2025-09-09 17:23:00+00:00
1757438640000,45.41,45.41,45.41,7,45.41,364,45.41,2025-09-09 17:24:00+00:00
1757438760000,45.46,45.46,45.46,11,45.46,365,45.46,2025-09-09 17:26:00+00:00
1757438820000,45.24,45.37,45.24,102,45.36,2897,45.341698,2025-09-09 17:27:00+00:00
1757438880000,45.35,45.35,45.27,7,45.27,341,45.307333,2025-09-09 17:28:00+00:00
1757438940000,45.27,45.27,45.27,16,45.27,599,45.27,2025-09-09 17:29:00+00:00
1757439000000,45.17,45.225,45.17,30,45.225,733,45.191667,2025-09-09 17:30:00+00:00
1757439060000,45.22,45.22,45.165,42,45.165,1068,45.209168,2025-09-09 17:31:00+00:00
1757439120000,45.21,45.21,45.21,9,45.21,124,45.21,2025-09-09 17:32:00+00:00
