timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,1.54,1.54,1.54,5,1.54,1541,1.54,2025-09-08 13:30:00+00:00
1757338260000,1.505,1.53,1.505,11,1.52,1080,1.512,2025-09-08 13:31:00+00:00
1757338320000,1.46,1.505,1.46,5,1.505,501,1.471,2025-09-08 13:32:00+00:00
1757338680000,1.515,1.56,1.515,7,1.56,1641,1.551636,2025-09-08 13:38:00+00:00
1757338920000,1.51,1.5296,1.51,2,1.5296,2711,1.528075,2025-09-08 13:42:00+00:00
1757338980000,1.505,1.51,1.505,3,1.51,1080,1.5075,2025-09-08 13:43:00+00:00
1757339040000,1.47,1.47,1.47,1,1.47,500,1.47,2025-09-08 13:44:00+00:00
1757339100000,1.46,1.46,1.46,2,1.46,535,1.46,2025-09-08 13:45:00+00:00
1757341500000,1.55,1.55,1.55,1,1.55,100,1.55,2025-09-08 14:25:00+00:00
1757341560000,1.51,1.51,1.51,1,1.51,449,1.51,2025-09-08 14:26:00+00:00
1757341740000,1.53,1.53,1.53,3,1.53,1149,1.53,2025-09-08 14:29:00+00:00
1757342040000,1.55,1.55,1.55,1,1.55,100,1.55,2025-09-08 14:34:00+00:00
1757342160000,1.5049,1.5049,1.5049,1,1.5049,350,1.5049,2025-09-08 14:36:00+00:00
1757342640000,1.55,1.55,1.55,2,1.55,142,1.55,2025-09-08 14:44:00+00:00
1757343180000,1.55,1.55,1.55,1,1.55,100,1.55,2025-09-08 14:53:00+00:00
1757343240000,1.53,1.53,1.53,1,1.53,108,1.53,2025-09-08 14:54:00+00:00
1757343420000,1.5,1.5,1.5,1,1.5,432,1.5,2025-09-08 14:57:00+00:00
1757343780000,1.55,1.55,1.55,1,1.55,100,1.55,2025-09-08 15:03:00+00:00
1757344380000,1.55,1.55,1.55,4,1.55,237,1.55,2025-09-08 15:13:00+00:00
1757344980000,1.5049,1.5049,1.5049,1,1.5049,300,1.5049,2025-09-08 15:23:00+00:00
1757345040000,1.54,1.54,1.54,1,1.54,100,1.54,2025-09-08 15:24:00+00:00
1757345460000,1.55,1.55,1.54,8,1.54,2131,1.5445,2025-09-08 15:31:00+00:00
1757345520000,1.535,1.55,1.535,2,1.55,1319,1.546372,2025-09-08 15:32:00+00:00
1757345580000,1.55,1.55,1.545,8,1.55,2000,1.5495,2025-09-08 15:33:00+00:00
1757345700000,1.55,1.55,1.55,1,1.55,100,1.55,2025-09-08 15:35:00+00:00
1757345760000,1.55,1.55,1.545,23,1.55,3837,1.549571,2025-09-08 15:36:00+00:00
1757345820000,1.55,1.55,1.55,2,1.55,500,1.55,2025-09-08 15:37:00+00:00
1757345880000,1.55,1.55,1.54,2,1.54,743,1.544495,2025-09-08 15:38:00+00:00
1757346000000,1.58,1.6,1.555,19,1.555,5928,1.563758,2025-09-08 15:40:00+00:00
1757346060000,1.58,1.59,1.562,14,1.59,2988,1.575134,2025-09-08 15:41:00+00:00
1757346120000,1.57,1.57,1.57,2,1.57,220,1.57,2025-09-08 15:42:00+00:00
1757346240000,1.58,1.58,1.56,13,1.58,4760,1.562731,2025-09-08 15:44:00+00:00
1757346300000,1.58,1.58,1.56,4,1.58,1700,1.578824,2025-09-08 15:45:00+00:00
1757346360000,1.58,1.58,1.58,7,1.58,1782,1.58,2025-09-08 15:46:00+00:00
1757346420000,1.52,1.58,1.51,14,1.58,4036,1.557203,2025-09-08 15:47:00+00:00
1757346480000,1.55,1.55,1.55,1,1.55,1000,1.55,2025-09-08 15:48:00+00:00
1757346540000,1.57,1.57,1.55,5,1.55,2000,1.56,2025-09-08 15:49:00+00:00
1757346660000,1.56,1.56,1.55,5,1.56,1536,1.557038,2025-09-08 15:51:00+00:00
1757346780000,1.55,1.575,1.55,20,1.57,4780,1.566739,2025-09-08 15:53:00+00:00
1757346840000,1.565,1.565,1.565,2,1.565,139,1.565,2025-09-08 15:54:00+00:00
1757346960000,1.565,1.565,1.565,1,1.565,500,1.565,2025-09-08 15:56:00+00:00
1757347020000,1.575,1.58,1.57,6,1.575,621,1.573503,2025-09-08 15:57:00+00:00
1757347080000,1.605,1.61,1.595,15,1.595,5300,1.59993,2025-09-08 15:58:00+00:00
1757347140000,1.56,1.59,1.56,6,1.59,2005,1.582424,2025-09-08 15:59:00+00:00
1757347200000,1.56,1.585,1.55,10,1.585,2999,1.564789,2025-09-08 16:00:00+00:00
1757347260000,1.59,1.59,1.59,3,1.59,1020,1.59,2025-09-08 16:01:00+00:00
1757347320000,1.59,1.5901,1.59,8,1.59,2254,1.590029,2025-09-08 16:02:00+00:00
1757347380000,1.61,1.61,1.59,18,1.59,3300,1.602253,2025-09-08 16:03:00+00:00
1757347560000,1.62,1.62,1.6101,3,1.6101,1466,1.616858,2025-09-08 16:06:00+00:00
1757347620000,1.62,1.63,1.6169,21,1.6169,28213,1.619815,2025-09-08 16:07:00+00:00
1757347680000,1.62,1.62,1.62,2,1.62,405,1.62,2025-09-08 16:08:00+00:00
1757347740000,1.65,1.65,1.6398,34,1.6398,14166,1.640056,2025-09-08 16:09:00+00:00
1757347800000,1.65,1.65,1.65,3,1.65,217,1.65,2025-09-08 16:10:00+00:00
1757347860000,1.6565,1.66,1.6401,16,1.65,4100,1.655993,2025-09-08 16:11:00+00:00
1757347920000,1.66,1.66,1.655,7,1.655,1751,1.658858,2025-09-08 16:12:00+00:00
1757348040000,1.67,1.67,1.665,16,1.665,3714,1.668977,2025-09-08 16:14:00+00:00
1757348160000,1.665,1.67,1.6631,7,1.67,599,1.664975,2025-09-08 16:16:00+00:00
1757348280000,1.6672,1.6672,1.66,4,1.665,551,1.663355,2025-09-08 16:18:00+00:00
1757348400000,1.67,1.67,1.6625,13,1.6625,2857,1.668194,2025-09-08 16:20:00+00:00
1757348520000,1.67,1.67,1.67,2,1.67,816,1.67,2025-09-08 16:22:00+00:00
1757348580000,1.6602,1.6602,1.6602,1,1.6602,250,1.6602,2025-09-08 16:23:00+00:00
1757348880000,1.66,1.66,1.66,5,1.66,263,1.66,2025-09-08 16:28:00+00:00
1757348940000,1.65,1.65,1.65,5,1.65,282,1.65,2025-09-08 16:29:00+00:00
1757349000000,1.68,1.68,1.68,8,1.68,307,1.68,2025-09-08 16:30:00+00:00
1757349060000,1.7589,1.7589,1.689,109,1.69,19527,1.724156,2025-09-08 16:31:00+00:00
1757349120000,1.7,1.71,1.7,3,1.71,201,1.705,2025-09-08 16:32:00+00:00
1757349180000,1.72,1.78,1.7,97,1.72,8195,1.746145,2025-09-08 16:33:00+00:00
1757349240000,1.72,1.72,1.72,2,1.72,500,1.72,2025-09-08 16:34:00+00:00
