timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753709400000,0.6115,0.613,0.61,6,0.613,1593,0.612148,2025-07-28 13:30:00+00:00
1753709580000,0.6129,0.6129,0.6101,4,0.6101,5245,0.612743,2025-07-28 13:33:00+00:00
1753709880000,0.6101,0.6101,0.6101,2,0.6101,2500,0.6101,2025-07-28 13:38:00+00:00
1753710240000,0.6116,0.6116,0.6116,1,0.6116,100,0.6116,2025-07-28 13:44:00+00:00
1753710900000,0.6117,0.6129,0.6117,2,0.6129,5100,0.612876,2025-07-28 13:55:00+00:00
1753711020000,0.613,0.613,0.6123,4,0.6123,1005,0.612801,2025-07-28 13:57:00+00:00
1753711560000,0.613,0.613,0.613,1,0.613,164,0.613,2025-07-28 14:06:00+00:00
1753712880000,0.6117,0.6117,0.6117,1,0.6117,1000,0.6117,2025-07-28 14:28:00+00:00
1753712940000,0.6153,0.6153,0.6153,3,0.6153,151,0.6153,2025-07-28 14:29:00+00:00
1753713000000,0.6173,0.6173,0.6173,1,0.6173,225,0.6173,2025-07-28 14:30:00+00:00
1753714260000,0.6189,0.6189,0.6189,1,0.6189,2000,0.6189,2025-07-28 14:51:00+00:00
1753714620000,0.6189,0.6189,0.6189,1,0.6189,200,0.6189,2025-07-28 14:57:00+00:00
1753714800000,0.6189,0.6189,0.6189,1,0.6189,100,0.6189,2025-07-28 15:00:00+00:00
1753714860000,0.62,0.62,0.6189,19,0.6189,14967,0.619882,2025-07-28 15:01:00+00:00
1753714920000,0.619,0.62,0.619,4,0.62,7100,0.619851,2025-07-28 15:02:00+00:00
1753714980000,0.6162,0.6162,0.6162,1,0.6162,122,0.6162,2025-07-28 15:03:00+00:00
1753715160000,0.6189,0.6189,0.6189,1,0.6189,150,0.6189,2025-07-28 15:06:00+00:00
1753716420000,0.6122,0.6123,0.6122,2,0.6123,5000,0.61225,2025-07-28 15:27:00+00:00
1753716540000,0.621,0.621,0.621,1,0.621,350,0.621,2025-07-28 15:29:00+00:00
1753716840000,0.612,0.612,0.612,1,0.612,700,0.612,2025-07-28 15:34:00+00:00
1753717320000,0.63,0.63,0.63,1,0.63,111,0.63,2025-07-28 15:42:00+00:00
1753717860000,0.6245,0.6245,0.6245,1,0.6245,1000,0.6245,2025-07-28 15:51:00+00:00
1753718040000,0.62,0.6202,0.62,15,0.6201,13444,0.620072,2025-07-28 15:54:00+00:00
1753718340000,0.6121,0.6121,0.6121,2,0.6121,9938,0.6121,2025-07-28 15:59:00+00:00
1753718580000,0.6198,0.6198,0.6198,1,0.6198,200,0.6198,2025-07-28 16:03:00+00:00
1753719420000,0.6276,0.6276,0.6276,1,0.6276,100,0.6276,2025-07-28 16:17:00+00:00
1753720200000,0.6198,0.6198,0.6198,1,0.6198,954,0.6198,2025-07-28 16:30:00+00:00
1753721640000,0.6226,0.6226,0.6226,1,0.6226,5092,0.6226,2025-07-28 16:54:00+00:00
1753721700000,0.6219,0.6219,0.6219,4,0.6219,301,0.6219,2025-07-28 16:55:00+00:00
1753721940000,0.6201,0.6201,0.6201,1,0.6201,101,0.6201,2025-07-28 16:59:00+00:00
1753722360000,0.6299,0.6299,0.6299,3,0.6299,3039,0.6299,2025-07-28 17:06:00+00:00
1753722420000,0.629,0.629,0.629,2,0.629,150,0.629,2025-07-28 17:07:00+00:00
1753723500000,0.6268,0.63,0.6267,8,0.63,10704,0.629789,2025-07-28 17:25:00+00:00
1753723560000,0.64,0.64,0.6293,24,0.63,21524,0.630157,2025-07-28 17:26:00+00:00
1753723620000,0.6404,0.6404,0.6398,14,0.6398,11461,0.640327,2025-07-28 17:27:00+00:00
1753723800000,0.6403,0.6403,0.6403,3,0.6403,206,0.6403,2025-07-28 17:30:00+00:00
1753723860000,0.639,0.6404,0.6309,13,0.6404,7108,0.637783,2025-07-28 17:31:00+00:00
1753723920000,0.6248,0.6248,0.6248,5,0.6248,500,0.6248,2025-07-28 17:32:00+00:00
1753725300000,0.6248,0.6248,0.6201,2,0.6201,200,0.62245,2025-07-28 17:55:00+00:00
1753725360000,0.65,0.65,0.65,1,0.65,335,0.65,2025-07-28 17:56:00+00:00
1753725420000,0.65,0.65,0.65,1,0.65,499,0.65,2025-07-28 17:57:00+00:00
1753725540000,0.6499,0.6499,0.6499,1,0.6499,100,0.6499,2025-07-28 17:59:00+00:00
