timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754402820000,0.888,0.888,0.888,3,0.888,398,0.888,2025-08-05 14:07:00+00:00
1754402940000,0.89,0.89,0.8877,8,0.8877,1494,0.888241,2025-08-05 14:09:00+00:00
1754403000000,0.916,0.916,0.9008,3,0.9008,315,0.905867,2025-08-05 14:10:00+00:00
1754403060000,0.886,0.886,0.886,1,0.886,300,0.886,2025-08-05 14:11:00+00:00
1754403120000,0.9154,0.9154,0.9154,1,0.9154,1000,0.9154,2025-08-05 14:12:00+00:00
1754403360000,0.9221,0.9221,0.9221,2,0.9221,200,0.9221,2025-08-05 14:16:00+00:00
1754403420000,0.9035,0.9035,0.9035,2,0.9035,226,0.9035,2025-08-05 14:17:00+00:00
1754403480000,0.9215,0.9215,0.9215,1,0.9215,5000,0.9215,2025-08-05 14:18:00+00:00
1754403840000,0.9196,0.9196,0.9196,3,0.9196,786,0.9196,2025-08-05 14:24:00+00:00
1754403960000,0.9075,0.91,0.9075,10,0.91,3352,0.908704,2025-08-05 14:26:00+00:00
1754404020000,0.9,0.9099,0.9,5,0.9,3746,0.900264,2025-08-05 14:27:00+00:00
1754404080000,0.901,0.901,0.901,2,0.901,744,0.901,2025-08-05 14:28:00+00:00
1754404140000,0.9099,0.9099,0.9099,1,0.9099,200,0.9099,2025-08-05 14:29:00+00:00
1754404200000,0.9129,0.92,0.9099,10,0.9099,2221,0.915752,2025-08-05 14:30:00+00:00
1754404500000,0.9199,0.9199,0.9199,1,0.9199,500,0.9199,2025-08-05 14:35:00+00:00
1754404560000,0.9075,0.9075,0.9075,1,0.9075,2100,0.9075,2025-08-05 14:36:00+00:00
1754404980000,0.9125,0.9125,0.9105,2,0.9105,400,0.911,2025-08-05 14:43:00+00:00
1754405280000,0.9184,0.9184,0.9184,2,0.9184,566,0.9184,2025-08-05 14:48:00+00:00
1754405340000,0.92,0.9221,0.9143,32,0.918,8315,0.918525,2025-08-05 14:49:00+00:00
1754405400000,0.92,0.92,0.92,4,0.92,267,0.92,2025-08-05 14:50:00+00:00
1754405460000,0.9161,0.9161,0.9161,3,0.9161,1250,0.9161,2025-08-05 14:51:00+00:00
1754405880000,0.9151,0.9151,0.9121,2,0.9121,500,0.9139,2025-08-05 14:58:00+00:00
1754405940000,0.9151,0.9151,0.9151,1,0.9151,1100,0.9151,2025-08-05 14:59:00+00:00
1754406540000,0.9185,0.9185,0.9175,7,0.9185,506,0.9183,2025-08-05 15:09:00+00:00
1754406600000,0.9151,0.92,0.9151,16,0.9151,12953,0.917892,2025-08-05 15:10:00+00:00
1754406660000,0.9103,0.92,0.9103,13,0.92,6844,0.919692,2025-08-05 15:11:00+00:00
1754406960000,0.9186,0.9186,0.9186,1,0.9186,1800,0.9186,2025-08-05 15:16:00+00:00
1754407080000,0.9186,0.9186,0.9104,5,0.9104,10110,0.910481,2025-08-05 15:18:00+00:00
1754407620000,0.9129,0.9129,0.9129,2,0.9129,605,0.9129,2025-08-05 15:27:00+00:00
1754407740000,0.9221,0.9221,0.9221,1,0.9221,100,0.9221,2025-08-05 15:29:00+00:00
1754407920000,0.8974,0.9161,0.8974,8,0.9161,2629,0.905931,2025-08-05 15:32:00+00:00
1754408520000,0.8999,0.8999,0.8999,1,0.8999,350,0.8999,2025-08-05 15:42:00+00:00
1754408580000,0.8939,0.9,0.8939,7,0.9,495,0.898644,2025-08-05 15:43:00+00:00
1754409480000,0.9037,0.9037,0.9037,1,0.9037,750,0.9037,2025-08-05 15:58:00+00:00
1754410260000,0.91,0.91,0.91,4,0.91,366,0.91,2025-08-05 16:11:00+00:00
1754410320000,0.9073,0.9073,0.9073,2,0.9073,1400,0.9073,2025-08-05 16:12:00+00:00
1754410800000,0.91,0.91,0.91,2,0.91,105,0.91,2025-08-05 16:20:00+00:00
1754410860000,0.9087,0.91,0.9087,4,0.91,1700,0.908781,2025-08-05 16:21:00+00:00
1754410920000,0.8974,0.8974,0.8974,2,0.8974,2255,0.8974,2025-08-05 16:22:00+00:00
1754411400000,0.9087,0.9087,0.9087,4,0.9087,108,0.9087,2025-08-05 16:30:00+00:00
1754411520000,0.907,0.907,0.907,1,0.907,125,0.907,2025-08-05 16:32:00+00:00
1754411820000,0.9199,0.9199,0.8987,4,0.8987,1557,0.918207,2025-08-05 16:37:00+00:00
1754412180000,0.9,0.91,0.9,2,0.91,700,0.902857,2025-08-05 16:43:00+00:00
1754412240000,0.9001,0.9001,0.9001,1,0.9001,15000,0.9001,2025-08-05 16:44:00+00:00
1754412420000,0.91,0.91,0.91,4,0.91,354,0.91,2025-08-05 16:47:00+00:00
1754412960000,0.9,0.9,0.9,1,0.9,100,0.9,2025-08-05 16:56:00+00:00
1754414100000,0.91,0.92,0.91,5,0.92,1133,0.918985,2025-08-05 17:15:00+00:00
1754414160000,0.9,0.9199,0.9,5,0.9199,2333,0.919022,2025-08-05 17:16:00+00:00
1754414220000,0.91,0.91,0.91,1,0.91,1000,0.91,2025-08-05 17:17:00+00:00
1754414520000,0.9003,0.9003,0.9003,2,0.9003,5000,0.9003,2025-08-05 17:22:00+00:00
1754414880000,0.9099,0.9099,0.9099,2,0.9099,364,0.9099,2025-08-05 17:28:00+00:00
1754415300000,0.9002,0.9002,0.9002,1,0.9002,100,0.9002,2025-08-05 17:35:00+00:00
1754415480000,0.9095,0.9095,0.9095,2,0.9095,562,0.9095,2025-08-05 17:38:00+00:00
1754415660000,0.9039,0.9039,0.9039,1,0.9039,1000,0.9039,2025-08-05 17:41:00+00:00
1754416140000,0.9099,0.9099,0.905,3,0.905,1204,0.909493,2025-08-05 17:49:00+00:00
1754416200000,0.905,0.905,0.905,2,0.905,201,0.905,2025-08-05 17:50:00+00:00
1754416500000,0.9083,0.9105,0.9083,14,0.91,1378,0.909527,2025-08-05 17:55:00+00:00
1754416560000,0.9083,0.9083,0.9083,1,0.9083,998,0.9083,2025-08-05 17:56:00+00:00
1754416620000,0.9055,0.9056,0.9055,2,0.9056,1000,0.90559,2025-08-05 17:57:00+00:00
1754416860000,0.9149,0.915,0.9085,6,0.9085,778,0.91303,2025-08-05 18:01:00+00:00
1754417280000,0.913,0.913,0.913,1,0.913,166,0.913,2025-08-05 18:08:00+00:00
1754417760000,0.913,0.9136,0.906,25,0.9092,13228,0.907577,2025-08-05 18:16:00+00:00
1754417820000,0.92,0.92,0.92,1,0.92,100,0.92,2025-08-05 18:17:00+00:00
1754418180000,0.92,0.92,0.92,2,0.92,4301,0.92,2025-08-05 18:23:00+00:00
1754418540000,0.919,0.919,0.906,5,0.906,605,0.914623,2025-08-05 18:29:00+00:00
1754418660000,0.92,0.92,0.92,2,0.92,400,0.92,2025-08-05 18:31:00+00:00
1754418720000,0.91,0.91,0.91,2,0.91,1160,0.91,2025-08-05 18:32:00+00:00
1754419440000,0.9001,0.9001,0.9001,1,0.9001,100,0.9001,2025-08-05 18:44:00+00:00
1754420160000,0.91,0.92,0.91,8,0.92,957,0.917696,2025-08-05 18:56:00+00:00
1754420340000,0.91,0.91,0.91,5,0.91,875,0.91,2025-08-05 18:59:00+00:00
1754420520000,0.9002,0.9002,0.9002,1,0.9002,134,0.9002,2025-08-05 19:02:00+00:00
1754421060000,0.9004,0.9004,0.9004,1,0.9004,100,0.9004,2025-08-05 19:11:00+00:00
1754421120000,0.91,0.91,0.91,1,0.91,100,0.91,2025-08-05 19:12:00+00:00
1754421660000,0.8915,0.9007,0.89,21,0.9006,15516,0.895516,2025-08-05 19:21:00+00:00
1754421840000,0.89,0.89,0.89,5,0.89,307,0.89,2025-08-05 19:24:00+00:00
1754422500000,0.89,0.8925,0.89,12,0.89,1481,0.890357,2025-08-05 19:35:00+00:00
1754422740000,0.9071,0.9071,0.885,8,0.885,2769,0.898713,2025-08-05 19:39:00+00:00
1754422800000,0.88,0.911,0.88,8,0.88,3027,0.883183,2025-08-05 19:40:00+00:00
1754423100000,0.8834,0.8972,0.88,6,0.88,1150,0.890382,2025-08-05 19:45:00+00:00
1754423280000,0.88,0.88,0.88,15,0.88,3359,0.88,2025-08-05 19:48:00+00:00
1754423520000,0.8897,0.8897,0.8897,4,0.8897,393,0.8897,2025-08-05 19:52:00+00:00
1754423580000,0.8897,0.8897,0.8897,1,0.8897,100,0.8897,2025-08-05 19:53:00+00:00
1754423700000,0.8831,0.8831,0.8831,10,0.8831,758,0.8831,2025-08-05 19:55:00+00:00
1754423820000,0.8955,0.8955,0.8801,14,0.8841,931,0.8856,2025-08-05 19:57:00+00:00
1754424000000,0.917,0.917,0.917,1,0.917,1148,0.917,2025-08-05 20:00:00+00:00
1754487000000,0.87,0.909,0.87,15,0.8895,4140,0.887548,2025-08-06 13:30:00+00:00
1754487180000,0.91,0.91,0.89,4,0.91,13296,0.909549,2025-08-06 13:33:00+00:00
1754487300000,0.8704,0.8704,0.8704,1,0.8704,7000,0.8704,2025-08-06 13:35:00+00:00
1754487480000,0.8701,0.89,0.8701,5,0.89,920,0.876525,2025-08-06 13:38:00+00:00
