timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756128600000,0.7602,0.7602,0.7602,17,0.7602,1738,0.7602,2025-08-25 13:30:00+00:00
1756128720000,0.76,0.7632,0.76,21,0.7632,13689,0.760825,2025-08-25 13:32:00+00:00
1756128780000,0.77,0.77,0.7601,5,0.7601,599,0.761918,2025-08-25 13:33:00+00:00
1756128840000,0.77,0.77,0.77,4,0.77,165,0.77,2025-08-25 13:34:00+00:00
1756128960000,0.7602,0.7602,0.7602,2,0.7602,1512,0.7602,2025-08-25 13:36:00+00:00
1756129080000,0.7603,0.7603,0.7603,3,0.7603,325,0.7603,2025-08-25 13:38:00+00:00
1756129140000,0.7615,0.7615,0.7615,1,0.7615,660,0.7615,2025-08-25 13:39:00+00:00
1756129500000,0.76,0.7615,0.76,16,0.7615,13710,0.760573,2025-08-25 13:45:00+00:00
1756129680000,0.76,0.7601,0.76,9,0.76,1974,0.760045,2025-08-25 13:48:00+00:00
1756129740000,0.75,0.7583,0.75,19,0.7583,1924,0.750571,2025-08-25 13:49:00+00:00
1756129800000,0.7529,0.7529,0.7499,14,0.7499,1450,0.750343,2025-08-25 13:50:00+00:00
1756130160000,0.7495,0.7499,0.7495,8,0.7499,466,0.749696,2025-08-25 13:56:00+00:00
1756130220000,0.7471,0.7471,0.7471,1,0.7471,100,0.7471,2025-08-25 13:57:00+00:00
1756130280000,0.7472,0.7472,0.7472,6,0.7472,257,0.7472,2025-08-25 13:58:00+00:00
1756130340000,0.7464,0.7498,0.7444,8,0.7479,2452,0.746007,2025-08-25 13:59:00+00:00
1756130400000,0.7472,0.7472,0.7472,3,0.7472,329,0.7472,2025-08-25 14:00:00+00:00
1756130460000,0.7499,0.7499,0.7444,4,0.7444,3300,0.747838,2025-08-25 14:01:00+00:00
1756130520000,0.7499,0.7499,0.7499,3,0.7499,175,0.7499,2025-08-25 14:02:00+00:00
1756130580000,0.7482,0.7482,0.7482,6,0.7482,2300,0.7482,2025-08-25 14:03:00+00:00
1756130640000,0.7498,0.7499,0.7498,8,0.7499,761,0.749873,2025-08-25 14:04:00+00:00
1756130700000,0.7474,0.7499,0.7474,5,0.7499,324,0.748521,2025-08-25 14:05:00+00:00
1756130760000,0.7499,0.7499,0.7499,4,0.7499,1192,0.7499,2025-08-25 14:06:00+00:00
1756130820000,0.749,0.749,0.749,2,0.749,506,0.749,2025-08-25 14:07:00+00:00
1756130880000,0.7475,0.7475,0.7475,1,0.7475,170,0.7475,2025-08-25 14:08:00+00:00
1756130940000,0.7499,0.7499,0.7499,12,0.7499,8676,0.7499,2025-08-25 14:09:00+00:00
1756131180000,0.7475,0.7475,0.7475,3,0.7475,4052,0.7475,2025-08-25 14:13:00+00:00
1756131240000,0.7499,0.7499,0.7499,1,0.7499,100,0.7499,2025-08-25 14:14:00+00:00
1756131420000,0.7501,0.7501,0.7501,2,0.7501,310,0.7501,2025-08-25 14:17:00+00:00
1756131600000,0.7558,0.7558,0.7558,3,0.7558,141,0.7558,2025-08-25 14:20:00+00:00
1756131660000,0.759,0.759,0.759,2,0.759,184,0.759,2025-08-25 14:21:00+00:00
1756131840000,0.7513,0.755,0.7501,3,0.7501,1439,0.750672,2025-08-25 14:24:00+00:00
1756131900000,0.7513,0.7513,0.7513,5,0.7513,404,0.7513,2025-08-25 14:25:00+00:00
1756132020000,0.7513,0.7513,0.7513,2,0.7513,560,0.7513,2025-08-25 14:27:00+00:00
1756132080000,0.753,0.753,0.753,1,0.753,5000,0.753,2025-08-25 14:28:00+00:00
1756132140000,0.7569,0.7569,0.7569,2,0.7569,1091,0.7569,2025-08-25 14:29:00+00:00
1756132320000,0.7591,0.7591,0.7591,3,0.7591,832,0.7591,2025-08-25 14:32:00+00:00
1756132380000,0.757,0.757,0.757,1,0.757,1000,0.757,2025-08-25 14:33:00+00:00
1756132620000,0.7568,0.7568,0.753,5,0.753,1002,0.7549,2025-08-25 14:37:00+00:00
1756132800000,0.7581,0.7591,0.7581,2,0.7591,240,0.758517,2025-08-25 14:40:00+00:00
1756132920000,0.7591,0.7591,0.759,7,0.759,522,0.759075,2025-08-25 14:42:00+00:00
1756132980000,0.7591,0.7591,0.7561,5,0.7591,468,0.757433,2025-08-25 14:43:00+00:00
1756133040000,0.7531,0.7531,0.7531,2,0.7531,266,0.7531,2025-08-25 14:44:00+00:00
1756133100000,0.7531,0.7531,0.7531,3,0.7531,145,0.7531,2025-08-25 14:45:00+00:00
1756133160000,0.7531,0.7561,0.7531,8,0.7561,924,0.754426,2025-08-25 14:46:00+00:00
1756133280000,0.7535,0.7562,0.7535,4,0.7562,400,0.754271,2025-08-25 14:48:00+00:00
1756133460000,0.7531,0.7531,0.7501,3,0.7501,1100,0.750373,2025-08-25 14:51:00+00:00
1756133580000,0.7501,0.7501,0.7501,4,0.7501,375,0.7501,2025-08-25 14:53:00+00:00
1756133760000,0.7515,0.7515,0.7515,5,0.7515,1048,0.7515,2025-08-25 14:56:00+00:00
1756133820000,0.7501,0.7501,0.7501,1,0.7501,100,0.7501,2025-08-25 14:57:00+00:00
1756133880000,0.7501,0.7501,0.7501,5,0.7501,670,0.7501,2025-08-25 14:58:00+00:00
1756133940000,0.7512,0.7512,0.7512,1,0.7512,105,0.7512,2025-08-25 14:59:00+00:00
1756134120000,0.7523,0.7524,0.75,5,0.7524,4815,0.750274,2025-08-25 15:02:00+00:00
1756134180000,0.7524,0.7524,0.7524,2,0.7524,180,0.7524,2025-08-25 15:03:00+00:00
1756134240000,0.7516,0.7523,0.7516,7,0.7523,606,0.751717,2025-08-25 15:04:00+00:00
1756134360000,0.75,0.75,0.75,1,0.75,1000,0.75,2025-08-25 15:06:00+00:00
1756134420000,0.7499,0.7499,0.7499,7,0.7499,5325,0.7499,2025-08-25 15:07:00+00:00
1756134600000,0.7511,0.7524,0.7511,2,0.7524,400,0.751425,2025-08-25 15:10:00+00:00
1756134720000,0.7511,0.7511,0.7511,3,0.7511,211,0.7511,2025-08-25 15:12:00+00:00
1756134780000,0.7499,0.7512,0.7499,7,0.7512,1101,0.750021,2025-08-25 15:13:00+00:00
1756134840000,0.7475,0.7495,0.7438,31,0.7495,21159,0.746494,2025-08-25 15:14:00+00:00
1756134960000,0.7448,0.7448,0.7448,2,0.7448,204,0.7448,2025-08-25 15:16:00+00:00
1756135020000,0.7438,0.7481,0.7438,2,0.7481,2925,0.74451,2025-08-25 15:17:00+00:00
1756135080000,0.7409,0.7438,0.7409,4,0.7438,255,0.74264,2025-08-25 15:18:00+00:00
1756135200000,0.7436,0.7482,0.7436,3,0.7482,1173,0.747525,2025-08-25 15:20:00+00:00
1756135260000,0.744,0.744,0.744,5,0.744,401,0.744,2025-08-25 15:21:00+00:00
1756135560000,0.7437,0.7437,0.7436,3,0.7436,1121,0.743682,2025-08-25 15:26:00+00:00
1756135620000,0.7402,0.7436,0.7402,5,0.7436,1661,0.742455,2025-08-25 15:27:00+00:00
1756135680000,0.7402,0.742,0.7402,2,0.742,500,0.74092,2025-08-25 15:28:00+00:00
1756135740000,0.748,0.748,0.744,6,0.744,789,0.744762,2025-08-25 15:29:00+00:00
1756135920000,0.75,0.75,0.75,2,0.75,101,0.75,2025-08-25 15:32:00+00:00
1756135980000,0.7481,0.7481,0.7481,4,0.7481,407,0.7481,2025-08-25 15:33:00+00:00
1756136160000,0.7443,0.7443,0.74,22,0.744,15637,0.742193,2025-08-25 15:36:00+00:00
1756136220000,0.7401,0.7401,0.7401,3,0.7401,830,0.7401,2025-08-25 15:37:00+00:00
1756136520000,0.75,0.75,0.7493,2,0.7493,2000,0.749825,2025-08-25 15:42:00+00:00
1756136640000,0.7443,0.7443,0.7443,2,0.7443,200,0.7443,2025-08-25 15:44:00+00:00
