timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756483200000,57.8,57.8,57.8,3,57.8,280,57.8,2025-08-29 16:00:00+00:00
1756485120000,62.7,62.7,61.56,74,61.56,4083,62.280078,2025-08-29 16:32:00+00:00
1756485180000,64.0,64.0,62.45,51,62.45,6306,63.163408,2025-08-29 16:33:00+00:00
1756485480000,64.0,64.0,64.0,11,64.0,294,64.0,2025-08-29 16:38:00+00:00
1756485540000,64.0,64.0,64.0,25,64.0,2109,64.0,2025-08-29 16:39:00+00:00
1756485960000,64.009,64.009,64.009,18,64.009,770,64.009,2025-08-29 16:46:00+00:00
1756486320000,64.0,64.0,64.0,17,64.0,578,64.0,2025-08-29 16:52:00+00:00
1756486680000,64.0,64.0,64.0,13,64.0,872,64.0,2025-08-29 16:58:00+00:00
1756486980000,64.261,64.261,64.261,3,64.261,1038,64.261,2025-08-29 17:03:00+00:00
1756487100000,64.0,64.0,64.0,33,64.0,3179,64.0,2025-08-29 17:05:00+00:00
1756488840000,60.75,60.75,60.75,9,60.75,159,60.75,2025-08-29 17:34:00+00:00
1756493400000,62.305,62.305,62.305,1,62.305,100,62.305,2025-08-29 18:50:00+00:00
1756495320000,62.4,62.4,62.4,1,62.4,100,62.4,2025-08-29 19:22:00+00:00
1756497600000,60.5,60.5,60.5,1,60.5,404,60.5,2025-08-29 20:00:00+00:00
1756819800000,59.91,59.91,59.91,19,59.91,636,59.91,2025-09-02 13:30:00+00:00
1756821900000,60.625,60.625,60.625,2,60.625,138,60.625,2025-09-02 14:05:00+00:00
1756822620000,61.5,61.5,61.5,3,61.5,148,61.5,2025-09-02 14:17:00+00:00
1756822680000,61.5,61.5,61.5,33,61.5,1204,61.5,2025-09-02 14:18:00+00:00
1756823640000,63.0,63.0,63.0,3,63.0,228,63.0,2025-09-02 14:34:00+00:00
1756824000000,60.515,61.28,60.0,21,60.0,1360,60.160125,2025-09-02 14:40:00+00:00
1756824120000,60.18,60.18,60.18,8,60.18,217,60.18,2025-09-02 14:42:00+00:00
1756825320000,61.48,61.48,61.48,16,61.48,387,61.48,2025-09-02 15:02:00+00:00
1756825440000,62.45,62.45,62.45,4,62.45,216,62.45,2025-09-02 15:04:00+00:00
1756825980000,62.19,62.19,62.19,5,62.19,216,62.19,2025-09-02 15:13:00+00:00
1756826100000,61.2,61.2,61.2,1,61.2,100,61.2,2025-09-02 15:15:00+00:00
1756826400000,61.2,61.2,61.2,3,61.2,130,61.2,2025-09-02 15:20:00+00:00
1756827420000,62.19,62.19,62.19,4,62.19,235,62.19,2025-09-02 15:37:00+00:00
1756827600000,61.1,61.1,61.1,4,61.1,259,61.1,2025-09-02 15:40:00+00:00
1756827720000,61.1,61.1,61.1,1,61.1,100,61.1,2025-09-02 15:42:00+00:00
1756827900000,62.19,62.19,62.19,4,62.19,299,62.19,2025-09-02 15:45:00+00:00
1756827960000,61.1608,62.16,61.1608,6,62.16,207,61.6604,2025-09-02 15:46:00+00:00
1756828020000,61.1,61.1,59.9614,5,59.9614,295,60.507928,2025-09-02 15:47:00+00:00
