timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742823000000,3.71,3.71,3.71,1,3.71,102,3.71,2025-03-24 13:30:00+00:00
1742823360000,3.73,3.73,3.72,7,3.72,1105,3.729091,2025-03-24 13:36:00+00:00
1742823480000,3.76,3.76,3.76,1,3.76,470,3.76,2025-03-24 13:38:00+00:00
1742823540000,3.8101,3.8101,3.8101,1,3.8101,100,3.8101,2025-03-24 13:39:00+00:00
1742824140000,3.66,3.66,3.66,1,3.66,100,3.66,2025-03-24 13:49:00+00:00
1742826360000,3.63,3.65,3.63,4,3.65,601,3.646667,2025-03-24 14:26:00+00:00
1742826420000,3.6,3.63,3.6,9,3.63,1266,3.623728,2025-03-24 14:27:00+00:00
1742826960000,3.65,3.65,3.65,1,3.65,1000,3.65,2025-03-24 14:36:00+00:00
1742832900000,3.6,3.6,3.6,1,3.6,200,3.6,2025-03-24 16:15:00+00:00
1742842920000,3.64,3.64,3.63,3,3.63,300,3.633333,2025-03-24 19:02:00+00:00
1742843820000,3.64,3.64,3.64,2,3.64,155,3.64,2025-03-24 19:17:00+00:00
1742910540000,3.67,3.67,3.67,2,3.67,900,3.67,2025-03-25 13:49:00+00:00
1742911500000,3.625,3.625,3.52,16,3.55,5000,3.57242,2025-03-25 14:05:00+00:00
1742913060000,3.56,3.56,3.56,4,3.56,921,3.56,2025-03-25 14:31:00+00:00
1742914200000,3.522,3.522,3.522,1,3.522,100,3.522,2025-03-25 14:50:00+00:00
1742918700000,3.6,3.6,3.6,2,3.6,101,3.6,2025-03-25 16:05:00+00:00
1742918760000,3.6,3.65,3.6,3,3.65,1100,3.604545,2025-03-25 16:06:00+00:00
1742920620000,3.65,3.65,3.65,2,3.65,1001,3.65,2025-03-25 16:37:00+00:00
1742921160000,3.61,3.61,3.61,1,3.61,1000,3.61,2025-03-25 16:46:00+00:00
1742921520000,3.64,3.64,3.64,3,3.64,1002,3.64,2025-03-25 16:52:00+00:00
1742922660000,3.61,3.61,3.61,2,3.61,1001,3.61,2025-03-25 17:11:00+00:00
1742925240000,3.611,3.611,3.611,1,3.611,2000,3.611,2025-03-25 17:54:00+00:00
1742925360000,3.68,3.68,3.68,4,3.68,1003,3.68,2025-03-25 17:56:00+00:00
1742926920000,3.61,3.61,3.61,2,3.61,1001,3.61,2025-03-25 18:22:00+00:00
1742927460000,3.66,3.67,3.66,5,3.67,1002,3.663,2025-03-25 18:31:00+00:00
1742928540000,3.55,3.55,3.55,3,3.55,1100,3.55,2025-03-25 18:49:00+00:00
1742928600000,3.6795,3.6795,3.6795,1,3.6795,100,3.6795,2025-03-25 18:50:00+00:00
1742929020000,3.54,3.54,3.54,1,3.54,100,3.54,2025-03-25 18:57:00+00:00
1742932260000,3.5445,3.5445,3.54,3,3.54,5000,3.54378,2025-03-25 19:51:00+00:00
1742932560000,3.6591,3.6591,3.6591,1,3.6591,100,3.6591,2025-03-25 19:56:00+00:00
1742932620000,3.54,3.54,3.54,2,3.54,200,3.54,2025-03-25 19:57:00+00:00
1742932680000,3.54,3.54,3.54,1,3.54,100,3.54,2025-03-25 19:58:00+00:00
1742932740000,3.54,3.54,3.5,10,3.54,1563,3.529417,2025-03-25 19:59:00+00:00
1742995800000,3.62,3.62,3.62,1,3.62,100,3.62,2025-03-26 13:30:00+00:00
1742996400000,3.6798,3.6798,3.6798,1,3.6798,500,3.6798,2025-03-26 13:40:00+00:00
1742998680000,3.5,3.5,3.5,2,3.5,148,3.5,2025-03-26 14:18:00+00:00
1742999760000,3.37,3.37,3.37,3,3.37,1100,3.37,2025-03-26 14:36:00+00:00
1743002940000,3.36,3.36,3.36,3,3.36,300,3.36,2025-03-26 15:29:00+00:00
1743004380000,3.38,3.38,3.38,1,3.38,115,3.38,2025-03-26 15:53:00+00:00
1743004500000,3.37,3.37,3.37,4,3.37,722,3.37,2025-03-26 15:55:00+00:00
1743004560000,3.37,3.37,3.37,1,3.37,235,3.37,2025-03-26 15:56:00+00:00
1743010800000,3.38,3.38,3.37,3,3.371,300,3.373667,2025-03-26 17:40:00+00:00
1743082200000,3.35,3.35,3.35,1,3.35,302,3.35,2025-03-27 13:30:00+00:00
1743085380000,3.45,3.45,3.38,3,3.38,201,3.415,2025-03-27 14:23:00+00:00
1743085620000,3.41,3.41,3.26,12,3.3,5002,3.317704,2025-03-27 14:27:00+00:00
1743086760000,3.4,3.4,3.38,5,3.38,1986,3.398421,2025-03-27 14:46:00+00:00
1743086820000,3.325,3.325,3.325,2,3.325,200,3.325,2025-03-27 14:47:00+00:00
1743086940000,3.325,3.325,3.325,2,3.325,200,3.325,2025-03-27 14:49:00+00:00
1743087180000,3.325,3.325,3.325,1,3.325,100,3.325,2025-03-27 14:53:00+00:00
1743087360000,3.325,3.325,3.325,2,3.325,200,3.325,2025-03-27 14:56:00+00:00
1743087900000,3.325,3.325,3.325,2,3.325,200,3.325,2025-03-27 15:05:00+00:00
1743089880000,3.25,3.37,3.25,6,3.37,500,3.33,2025-03-27 15:38:00+00:00
1743090000000,3.2852,3.2852,3.2852,1,3.2852,500,3.2852,2025-03-27 15:40:00+00:00
1743090180000,3.26,3.26,3.26,1,3.26,100,3.26,2025-03-27 15:43:00+00:00
1743101700000,3.31,3.32,3.31,6,3.32,1297,3.310909,2025-03-27 18:55:00+00:00
1743101820000,3.34,3.35,3.34,11,3.35,1100,3.343182,2025-03-27 18:57:00+00:00
1743104220000,3.2786,3.2786,3.2786,1,3.2786,150,3.2786,2025-03-27 19:37:00+00:00
1743104820000,3.3809,3.3809,3.3809,1,3.3809,100,3.3809,2025-03-27 19:47:00+00:00
1743170100000,3.31,3.31,3.31,3,3.31,302,3.31,2025-03-28 13:55:00+00:00
1743170940000,3.325,3.325,3.325,1,3.325,358,3.325,2025-03-28 14:09:00+00:00
1743174000000,3.3,3.32,3.3,6,3.32,204,3.31,2025-03-28 15:00:00+00:00
1743174120000,3.34,3.34,3.34,1,3.34,200,3.34,2025-03-28 15:02:00+00:00
1743177780000,3.25,3.25,3.25,6,3.25,383,3.25,2025-03-28 16:03:00+00:00
1743178020000,3.155,3.155,3.155,1,3.155,500,3.155,2025-03-28 16:07:00+00:00
1743178080000,3.228,3.228,3.228,1,3.228,100,3.228,2025-03-28 16:08:00+00:00
1743181620000,3.25,3.25,3.24,6,3.24,1026,3.243333,2025-03-28 17:07:00+00:00
1743183420000,3.265,3.265,3.265,1,3.265,100,3.265,2025-03-28 17:37:00+00:00
1743190440000,3.305,3.305,3.305,1,3.305,1000,3.305,2025-03-28 19:34:00+00:00
