timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757513940000,0.1183,0.1183,0.1183,2,0.1183,458,0.1183,2025-09-10 14:19:00+00:00
1757514000000,0.1183,0.1184,0.1182,8,0.1182,31910,0.118302,2025-09-10 14:20:00+00:00
1757514060000,0.1179,0.118,0.1178,8,0.1178,3835,0.117893,2025-09-10 14:21:00+00:00
1757514120000,0.1187,0.1187,0.1186,4,0.1186,1553,0.118635,2025-09-10 14:22:00+00:00
1757514180000,0.1187,0.1188,0.1184,17,0.1187,19877,0.118738,2025-09-10 14:23:00+00:00
1757514240000,0.1205,0.1205,0.1188,28,0.1188,29573,0.120273,2025-09-10 14:24:00+00:00
1757514300000,0.1202,0.1202,0.1199,8,0.1199,6324,0.120186,2025-09-10 14:25:00+00:00
1757514420000,0.1189,0.1193,0.1189,8,0.119,62231,0.119003,2025-09-10 14:27:00+00:00
1757514480000,0.1182,0.1189,0.1181,25,0.1189,92799,0.11814,2025-09-10 14:28:00+00:00
1757514540000,0.119,0.119,0.118,12,0.118,5165,0.118236,2025-09-10 14:29:00+00:00
1757514600000,0.1185,0.1185,0.1185,3,0.1185,10913,0.1185,2025-09-10 14:30:00+00:00
1757514660000,0.1184,0.1184,0.1183,3,0.1183,10105,0.118301,2025-09-10 14:31:00+00:00
1757514720000,0.1184,0.1184,0.118,28,0.1182,15002,0.118191,2025-09-10 14:32:00+00:00
1757514780000,0.1184,0.1184,0.1183,11,0.1183,5431,0.118367,2025-09-10 14:33:00+00:00
1757514840000,0.1184,0.1184,0.1184,6,0.1184,319,0.1184,2025-09-10 14:34:00+00:00
1757514960000,0.1183,0.1183,0.1183,3,0.1183,754,0.1183,2025-09-10 14:36:00+00:00
1757515020000,0.1182,0.1184,0.1182,14,0.1184,11954,0.118362,2025-09-10 14:37:00+00:00
1757515080000,0.1181,0.1184,0.1181,9,0.1184,5980,0.118212,2025-09-10 14:38:00+00:00
1757515140000,0.1181,0.1181,0.118,3,0.1181,962,0.11809,2025-09-10 14:39:00+00:00
1757515200000,0.1181,0.1182,0.1181,6,0.1181,27739,0.118199,2025-09-10 14:40:00+00:00
1757515260000,0.1181,0.1181,0.1181,8,0.1181,511,0.1181,2025-09-10 14:41:00+00:00
1757515320000,0.1181,0.1181,0.118,13,0.1181,5481,0.118057,2025-09-10 14:42:00+00:00
1757515380000,0.1184,0.1184,0.1181,9,0.1181,9154,0.118133,2025-09-10 14:43:00+00:00
1757515440000,0.1192,0.1192,0.1192,1,0.1192,250,0.1192,2025-09-10 14:44:00+00:00
1757515500000,0.1192,0.1192,0.1181,8,0.1192,1527,0.119072,2025-09-10 14:45:00+00:00
1757515620000,0.1192,0.1203,0.1192,10,0.1192,12902,0.119326,2025-09-10 14:47:00+00:00
1757515740000,0.1193,0.1193,0.1193,2,0.1193,133,0.1193,2025-09-10 14:49:00+00:00
1757515860000,0.1204,0.1204,0.1198,3,0.1198,874,0.119869,2025-09-10 14:51:00+00:00
1757515980000,0.1204,0.1204,0.1204,4,0.1204,1043,0.1204,2025-09-10 14:53:00+00:00
1757516100000,0.1199,0.1199,0.1198,9,0.1199,8685,0.119894,2025-09-10 14:55:00+00:00
1757516160000,0.1192,0.1199,0.1192,13,0.1198,16081,0.119632,2025-09-10 14:56:00+00:00
1757516220000,0.1193,0.1193,0.1193,7,0.1193,315,0.1193,2025-09-10 14:57:00+00:00
1757516280000,0.1194,0.1204,0.1193,37,0.1193,33141,0.120071,2025-09-10 14:58:00+00:00
1757516340000,0.1194,0.1194,0.1194,2,0.1194,205,0.1194,2025-09-10 14:59:00+00:00
1757516400000,0.1193,0.1193,0.1193,1,0.1193,100,0.1193,2025-09-10 15:00:00+00:00
