timeStamp,close,high,low,trade_count,open,volume,vwap,date
1751290200000,0.6172,0.6172,0.6172,3,0.6172,820,0.6172,2025-06-30 13:30:00+00:00
1751290500000,0.6,0.6,0.6,2,0.6,161,0.6,2025-06-30 13:35:00+00:00
1751290560000,0.595,0.595,0.595,1,0.595,165,0.595,2025-06-30 13:36:00+00:00
1751290680000,0.6,0.6,0.6,5,0.6,1229,0.6,2025-06-30 13:38:00+00:00
1751290740000,0.6107,0.6107,0.6107,1,0.6107,111,0.6107,2025-06-30 13:39:00+00:00
1751290800000,0.61,0.61,0.61,2,0.61,251,0.61,2025-06-30 13:40:00+00:00
1751291040000,0.61,0.61,0.61,1,0.61,200,0.61,2025-06-30 13:44:00+00:00
1751291220000,0.5974,0.5974,0.5974,2,0.5974,2008,0.5974,2025-06-30 13:47:00+00:00
1751291460000,0.6157,0.6157,0.6157,1,0.6157,100,0.6157,2025-06-30 13:51:00+00:00
1751293020000,0.6305,0.6305,0.6305,4,0.6305,981,0.6305,2025-06-30 14:17:00+00:00
1751293200000,0.6004,0.6004,0.6004,1,0.6004,125,0.6004,2025-06-30 14:20:00+00:00
1751293620000,0.6078,0.6078,0.6078,6,0.6078,501,0.6078,2025-06-30 14:27:00+00:00
1751293800000,0.6149,0.6149,0.6149,3,0.6149,231,0.6149,2025-06-30 14:30:00+00:00
1751294040000,0.615,0.615,0.615,2,0.615,228,0.615,2025-06-30 14:34:00+00:00
1751294640000,0.6149,0.6149,0.6149,2,0.6149,101,0.6149,2025-06-30 14:44:00+00:00
1751295900000,0.615,0.615,0.615,1,0.615,100,0.615,2025-06-30 15:05:00+00:00
1751297520000,0.6158,0.6158,0.6158,3,0.6158,2306,0.6158,2025-06-30 15:32:00+00:00
1751298000000,0.6235,0.6235,0.6235,2,0.6235,154,0.6235,2025-06-30 15:40:00+00:00
1751298180000,0.62,0.62,0.62,3,0.62,210,0.62,2025-06-30 15:43:00+00:00
1751298720000,0.62,0.62,0.62,2,0.62,347,0.62,2025-06-30 15:52:00+00:00
1751300520000,0.6275,0.6275,0.6275,2,0.6275,1001,0.6275,2025-06-30 16:22:00+00:00
1751300580000,0.6254,0.6254,0.6254,1,0.6254,500,0.6254,2025-06-30 16:23:00+00:00
1751301120000,0.63,0.6307,0.6254,6,0.63,3292,0.629199,2025-06-30 16:32:00+00:00
1751301300000,0.63,0.63,0.63,1,0.63,100,0.63,2025-06-30 16:35:00+00:00
1751301420000,0.6307,0.6307,0.63,2,0.63,2100,0.630033,2025-06-30 16:37:00+00:00
1751301720000,0.6305,0.6307,0.6305,7,0.6307,800,0.630579,2025-06-30 16:42:00+00:00
1751302140000,0.6301,0.6301,0.6301,1,0.6301,2998,0.6301,2025-06-30 16:49:00+00:00
1751302260000,0.6308,0.6308,0.6308,2,0.6308,204,0.6308,2025-06-30 16:51:00+00:00
1751302500000,0.6303,0.6303,0.6303,1,0.6303,476,0.6303,2025-06-30 16:55:00+00:00
1751302560000,0.6303,0.6304,0.6303,8,0.6304,3000,0.630313,2025-06-30 16:56:00+00:00
1751302800000,0.6308,0.6308,0.6308,4,0.6308,10656,0.6308,2025-06-30 17:00:00+00:00
1751303400000,0.6351,0.6351,0.6351,4,0.6351,244,0.6351,2025-06-30 17:10:00+00:00
1751304120000,0.641,0.641,0.641,2,0.641,233,0.641,2025-06-30 17:22:00+00:00
1751304360000,0.635,0.6402,0.635,5,0.6402,800,0.635662,2025-06-30 17:26:00+00:00
1751304840000,0.635,0.6395,0.635,12,0.635,7384,0.636353,2025-06-30 17:34:00+00:00
1751304900000,0.642,0.642,0.642,1,0.642,500,0.642,2025-06-30 17:35:00+00:00
1751305020000,0.63,0.635,0.63,9,0.635,12264,0.631919,2025-06-30 17:37:00+00:00
1751305080000,0.6367,0.6367,0.6367,2,0.6367,3174,0.6367,2025-06-30 17:38:00+00:00
1751305200000,0.6254,0.6254,0.6254,2,0.6254,113,0.6254,2025-06-30 17:40:00+00:00
1751305260000,0.62,0.62,0.62,2,0.62,504,0.62,2025-06-30 17:41:00+00:00
1751305860000,0.62,0.62,0.62,1,0.62,200,0.62,2025-06-30 17:51:00+00:00
1751308260000,0.632,0.632,0.632,1,0.632,100,0.632,2025-06-30 18:31:00+00:00
1751308440000,0.642,0.642,0.642,2,0.642,116,0.642,2025-06-30 18:34:00+00:00
1751309280000,0.6201,0.6201,0.6201,7,0.6201,726,0.6201,2025-06-30 18:48:00+00:00
1751309520000,0.642,0.642,0.642,3,0.642,102,0.642,2025-06-30 18:52:00+00:00
1751311680000,0.6249,0.6249,0.6247,7,0.6247,4034,0.624762,2025-06-30 19:28:00+00:00
1751311860000,0.6234,0.6256,0.6234,4,0.6256,221,0.6245,2025-06-30 19:31:00+00:00
1751311980000,0.6299,0.6299,0.6299,3,0.6299,1603,0.6299,2025-06-30 19:33:00+00:00
1751312280000,0.62,0.62,0.62,2,0.62,310,0.62,2025-06-30 19:38:00+00:00
1751312340000,0.6219,0.6237,0.621,6,0.621,5388,0.621785,2025-06-30 19:39:00+00:00
