timeStamp,close,high,low,trade_count,open,volume,vwap,date
1742825160000,15.2,15.2,15.2,6,15.2,155,15.2,2025-03-24 14:06:00+00:00
1742825400000,15.2,15.2,15.2,4,15.2,425,15.2,2025-03-24 14:10:00+00:00
1742825640000,15.55,15.55,15.55,1,15.55,100,15.55,2025-03-24 14:14:00+00:00
1742828700000,14.94,14.99,14.94,8,14.99,376,14.965,2025-03-24 15:05:00+00:00
1742830500000,14.8,14.8,14.8,10,14.8,451,14.8,2025-03-24 15:35:00+00:00
1742836800000,14.94,14.94,14.94,4,14.94,103,14.94,2025-03-24 17:20:00+00:00
1742838120000,14.595,14.595,14.595,1,14.595,100,14.595,2025-03-24 17:42:00+00:00
1742838600000,14.2601,14.275,14.26,17,14.275,3434,14.260548,2025-03-24 17:50:00+00:00
1742839440000,14.25,14.25,14.25,3,14.25,110,14.25,2025-03-24 18:04:00+00:00
1742841960000,14.02,14.02,14.02,9,14.02,347,14.02,2025-03-24 18:46:00+00:00
1742842140000,13.734,13.734,13.734,2,13.734,148,13.734,2025-03-24 18:49:00+00:00
1742843160000,13.82,13.82,13.82,4,13.82,262,13.82,2025-03-24 19:06:00+00:00
1742843340000,13.55,13.6,13.55,4,13.6,220,13.575,2025-03-24 19:09:00+00:00
1742843400000,14.0,14.1,14.0,6,14.1,231,14.05,2025-03-24 19:10:00+00:00
1742844600000,14.5311,14.5311,14.5311,6,14.5311,139,14.5311,2025-03-24 19:30:00+00:00
1742845080000,14.0,14.0,14.0,4,14.0,235,14.0,2025-03-24 19:38:00+00:00
1742909820000,13.41,13.51,13.41,25,13.51,600,13.476667,2025-03-25 13:37:00+00:00
1742910000000,13.98,13.98,13.69,33,13.69,689,13.834279,2025-03-25 13:40:00+00:00
1742910180000,13.16,13.35,13.16,7,13.35,302,13.255,2025-03-25 13:43:00+00:00
1742910240000,12.9,12.9,12.9,4,12.9,124,12.9,2025-03-25 13:44:00+00:00
1742910420000,12.5,12.5,12.5,6,12.5,537,12.5,2025-03-25 13:47:00+00:00
1742912100000,13.55,13.55,13.55,3,13.55,113,13.55,2025-03-25 14:15:00+00:00
1742916000000,13.06,13.07,13.06,8,13.07,280,13.065,2025-03-25 15:20:00+00:00
1742916180000,12.93,12.93,12.93,9,12.93,200,12.93,2025-03-25 15:23:00+00:00
1742916300000,12.92,13.11,12.92,14,13.11,780,12.993333,2025-03-25 15:25:00+00:00
1742916840000,13.2907,13.2907,13.2907,7,13.2907,270,13.2907,2025-03-25 15:34:00+00:00
1742917500000,12.96,12.96,12.96,6,12.96,305,12.96,2025-03-25 15:45:00+00:00
1742921400000,12.93,12.93,12.93,5,12.93,285,12.93,2025-03-25 16:50:00+00:00
1742923320000,12.92,12.92,12.92,7,12.92,420,12.92,2025-03-25 17:22:00+00:00
1742927700000,12.9,12.9,12.9,2,12.9,143,12.9,2025-03-25 18:35:00+00:00
1742929260000,12.81,12.9,12.81,4,12.9,316,12.855,2025-03-25 19:01:00+00:00
1742932560000,12.95,12.95,12.95,8,12.95,161,12.95,2025-03-25 19:56:00+00:00
1742932620000,13.04,13.04,13.04,5,13.04,126,13.04,2025-03-25 19:57:00+00:00
1742996160000,13.12,13.12,13.12,1,13.12,604,13.12,2025-03-26 13:36:00+00:00
1742998380000,12.4,12.4,12.4,4,12.4,180,12.4,2025-03-26 14:13:00+00:00
1742999700000,12.0301,12.0301,12.0301,2,12.0301,310,12.0301,2025-03-26 14:35:00+00:00
1742999940000,13.12,13.12,13.12,4,13.12,130,13.12,2025-03-26 14:39:00+00:00
1743000060000,13.17,13.17,13.17,4,13.17,340,13.17,2025-03-26 14:41:00+00:00
1743000840000,12.5073,12.81,12.5073,2,12.81,400,12.582975,2025-03-26 14:54:00+00:00
1743001680000,12.5007,12.5007,12.5007,7,12.5007,569,12.5007,2025-03-26 15:08:00+00:00
1743007920000,12.5126,12.5126,12.5126,3,12.5126,300,12.5126,2025-03-26 16:52:00+00:00
1743008640000,12.5,12.5002,12.5,10,12.5002,799,12.50003,2025-03-26 17:04:00+00:00
1743008820000,12.5,12.53,12.5,5,12.53,549,12.512658,2025-03-26 17:07:00+00:00
1743012000000,12.4148,12.4148,12.4148,3,12.4148,356,12.4148,2025-03-26 18:00:00+00:00
1743083160000,12.378,12.378,12.085,9,12.085,517,12.300033,2025-03-27 13:46:00+00:00
1743083760000,12.14,12.14,12.14,5,12.14,163,12.14,2025-03-27 13:56:00+00:00
1743083940000,11.89,11.89,11.89,6,11.89,180,11.89,2025-03-27 13:59:00+00:00
1743084060000,12.1594,12.1594,12.1594,9,12.1594,196,12.1594,2025-03-27 14:01:00+00:00
1743085320000,11.57,11.77,11.57,7,11.77,760,11.602258,2025-03-27 14:22:00+00:00
1743086220000,12.0,12.0,12.0,3,12.0,248,12.0,2025-03-27 14:37:00+00:00
1743087240000,12.29,12.29,12.29,3,12.29,160,12.29,2025-03-27 14:54:00+00:00
1743093960000,12.59,12.59,12.59,8,12.59,212,12.59,2025-03-27 16:46:00+00:00
1743096300000,12.25,12.25,12.25,6,12.25,300,12.25,2025-03-27 17:25:00+00:00
1743096900000,12.1,12.1,12.1,6,12.1,462,12.1,2025-03-27 17:35:00+00:00
1743099420000,12.0,12.0,12.0,3,12.0,212,12.0,2025-03-27 18:17:00+00:00
1743100800000,12.01,12.01,12.01,2,12.01,110,12.01,2025-03-27 18:40:00+00:00
1743104220000,12.1,12.1,12.1,10,12.1,820,12.1,2025-03-27 19:37:00+00:00
1743105360000,12.1,12.1,12.1,8,12.1,213,12.1,2025-03-27 19:56:00+00:00
1743171360000,11.25,11.25,11.25,9,11.25,296,11.25,2025-03-28 14:16:00+00:00
1743173100000,11.84,11.84,11.84,6,11.84,191,11.84,2025-03-28 14:45:00+00:00
1743175920000,11.68,11.68,11.68,4,11.68,160,11.68,2025-03-28 15:32:00+00:00
1743176940000,11.74,11.74,11.74,4,11.74,130,11.74,2025-03-28 15:49:00+00:00
1743180300000,11.86,11.86,11.86,2,11.86,110,11.86,2025-03-28 16:45:00+00:00
1743181440000,11.7915,11.7915,11.7915,3,11.7915,462,11.7915,2025-03-28 17:04:00+00:00
1743183240000,11.98,11.98,11.98,10,11.98,602,11.98,2025-03-28 17:34:00+00:00
1743183360000,12.15,12.15,12.15,2,12.15,120,12.15,2025-03-28 17:36:00+00:00
1743185700000,11.99,12.2,11.99,3,12.2,230,12.095,2025-03-28 18:15:00+00:00
1743186000000,12.525,12.525,12.5028,14,12.5028,1125,12.514909,2025-03-28 18:20:00+00:00
1743186060000,12.01,12.01,12.01,2,12.01,301,12.01,2025-03-28 18:21:00+00:00
1743186660000,12.54,12.54,12.54,8,12.54,407,12.54,2025-03-28 18:31:00+00:00
1743188940000,12.538,12.538,12.538,1,12.538,200,12.538,2025-03-28 19:09:00+00:00
1743429540000,11.49,11.49,11.49,4,11.49,244,11.49,2025-03-31 13:59:00+00:00
1743443520000,11.6,11.6,11.6,3,11.6,160,11.6,2025-03-31 17:52:00+00:00
1743520200000,11.0432,11.0432,11.0432,1,11.0432,132,11.0432,2025-04-01 15:10:00+00:00
1743520800000,11.25,11.25,11.25,3,11.25,363,11.25,2025-04-01 15:20:00+00:00
1743522300000,11.25,11.25,11.25,7,11.25,731,11.25,2025-04-01 15:45:00+00:00
1743523560000,10.89,10.89,10.89,1,10.89,200,10.89,2025-04-01 16:06:00+00:00
1743523980000,10.89,10.89,10.88,5,10.88,580,10.888182,2025-04-01 16:13:00+00:00
1743527220000,10.64,10.64,10.64,2,10.64,495,10.64,2025-04-01 17:07:00+00:00
1743535020000,10.8556,10.8556,10.8556,1,10.8556,130,10.8556,2025-04-01 19:17:00+00:00
1743537240000,10.6411,10.6411,10.6411,3,10.6411,480,10.6411,2025-04-01 19:54:00+00:00
1743537420000,10.69,10.69,10.69,7,10.69,139,10.69,2025-04-01 19:57:00+00:00
1743600780000,10.9,10.9,10.9,7,10.9,166,10.9,2025-04-02 13:33:00+00:00
1743600840000,10.9,10.9,10.9,6,10.9,514,10.9,2025-04-02 13:34:00+00:00
1743601320000,10.9296,10.9296,10.9296,2,10.9296,510,10.9296,2025-04-02 13:42:00+00:00
1743601440000,10.44,10.44,10.44,3,10.44,112,10.44,2025-04-02 13:44:00+00:00
