timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757531460000,31.905,31.95,31.88,60,31.92,3931,31.910364,2025-09-10 19:11:00+00:00
1757531520000,31.895,31.9,31.88,23,31.895,2198,31.898202,2025-09-10 19:12:00+00:00
1757531580000,31.87,31.9,31.87,42,31.89,2582,31.883258,2025-09-10 19:13:00+00:00
1757531640000,31.86,31.89,31.83,62,31.89,3868,31.870518,2025-09-10 19:14:00+00:00
1757531700000,31.91,31.92,31.845,90,31.845,4468,31.891202,2025-09-10 19:15:00+00:00
1757531760000,31.91,31.91,31.9,27,31.9,1490,31.906653,2025-09-10 19:16:00+00:00
1757531820000,31.86,31.9,31.86,48,31.9,1682,31.883996,2025-09-10 19:17:00+00:00
1757531880000,31.935,31.935,31.89,48,31.89,1841,31.903902,2025-09-10 19:18:00+00:00
1757531940000,31.98,31.98,31.945,41,31.96,2164,31.962557,2025-09-10 19:19:00+00:00
1757532000000,31.93,31.955,31.915,54,31.955,3735,31.940038,2025-09-10 19:20:00+00:00
1757532060000,31.97,31.97,31.93,101,31.95,7669,31.950213,2025-09-10 19:21:00+00:00
1757532120000,31.98,31.99,31.97,37,31.97,2175,31.974459,2025-09-10 19:22:00+00:00
1757532180000,32.045,32.05,31.96,65,31.9779,4113,31.995916,2025-09-10 19:23:00+00:00
1757532240000,32.06,32.09,32.06,26,32.06,2028,32.079348,2025-09-10 19:24:00+00:00
1757532300000,32.11,32.125,32.09,70,32.09,4104,32.107612,2025-09-10 19:25:00+00:00
1757532360000,32.12,32.12,32.065,53,32.09,4759,32.09211,2025-09-10 19:26:00+00:00
1757532420000,32.115,32.115,32.08,45,32.11,4923,32.098687,2025-09-10 19:27:00+00:00
1757532480000,32.115,32.13,32.115,34,32.13,1519,32.120714,2025-09-10 19:28:00+00:00
1757532540000,32.105,32.12,32.1,34,32.12,1451,32.109286,2025-09-10 19:29:00+00:00
1757532600000,32.05,32.11,32.05,57,32.105,4573,32.087582,2025-09-10 19:30:00+00:00
1757532660000,32.0977,32.12,31.99,294,32.045,17705,32.054119,2025-09-10 19:31:00+00:00
1757532720000,32.105,32.12,32.095,32,32.095,1347,32.10741,2025-09-10 19:32:00+00:00
1757532780000,32.165,32.17,32.1,114,32.107,11351,32.136707,2025-09-10 19:33:00+00:00
1757532840000,32.15,32.2,32.15,118,32.2,9602,32.18165,2025-09-10 19:34:00+00:00
1757532900000,32.19,32.2,32.15,92,32.16,5428,32.172839,2025-09-10 19:35:00+00:00
1757532960000,32.13,32.18,32.105,84,32.18,6006,32.143595,2025-09-10 19:36:00+00:00
1757533020000,32.12,32.1312,32.095,70,32.1312,8487,32.115144,2025-09-10 19:37:00+00:00
1757533080000,32.11,32.11,32.06,71,32.07,3618,32.078481,2025-09-10 19:38:00+00:00
1757533140000,32.09,32.12,32.09,50,32.1,2426,32.103889,2025-09-10 19:39:00+00:00
1757533200000,32.08,32.0986,32.05,77,32.06,6451,32.0645,2025-09-10 19:40:00+00:00
1757533260000,32.13,32.13,32.04,98,32.075,9115,32.069261,2025-09-10 19:41:00+00:00
1757533320000,32.1332,32.16,32.11,46,32.15,2938,32.13539,2025-09-10 19:42:00+00:00
1757533380000,32.15,32.15,32.105,47,32.11,3053,32.127727,2025-09-10 19:43:00+00:00
1757533440000,32.15,32.18,32.13,96,32.16,5572,32.167519,2025-09-10 19:44:00+00:00
1757533500000,32.205,32.23,32.15,118,32.15,19428,32.185884,2025-09-10 19:45:00+00:00
1757533560000,32.17,32.1962,32.1496,46,32.18,3950,32.179969,2025-09-10 19:46:00+00:00
1757533620000,32.165,32.17,32.14,62,32.145,3907,32.157942,2025-09-10 19:47:00+00:00
1757533680000,32.14,32.155,32.13,47,32.15,2999,32.149,2025-09-10 19:48:00+00:00
1757533740000,32.16,32.17,32.13,118,32.14,6930,32.160476,2025-09-10 19:49:00+00:00
1757533800000,32.09,32.195,32.09,155,32.17,13951,32.170517,2025-09-10 19:50:00+00:00
1757533860000,32.125,32.18,32.1205,56,32.16,5157,32.147608,2025-09-10 19:51:00+00:00
1757533920000,32.15,32.15,32.1,85,32.1,6558,32.13366,2025-09-10 19:52:00+00:00
1757533980000,32.125,32.14,32.125,70,32.13,4956,32.13425,2025-09-10 19:53:00+00:00
1757534040000,32.12,32.15,32.108,201,32.125,21332,32.129306,2025-09-10 19:54:00+00:00
1757534100000,32.16,32.19,32.115,208,32.115,20136,32.159516,2025-09-10 19:55:00+00:00
1757534160000,32.1,32.16,32.09,245,32.16,21208,32.126728,2025-09-10 19:56:00+00:00
1757534220000,32.105,32.12,32.08,425,32.102,33180,32.0966,2025-09-10 19:57:00+00:00
1757534280000,32.095,32.13,32.06,336,32.12,43286,32.084592,2025-09-10 19:58:00+00:00
1757534340000,32.04,32.118,32.03,487,32.09,49237,32.078791,2025-09-10 19:59:00+00:00
1757534400000,32.07,32.07,32.07,7,32.07,59805,32.07,2025-09-10 20:00:00+00:00
1757597400000,32.04,32.08,31.7715,144,31.82,48658,31.895105,2025-09-11 13:30:00+00:00
1757597460000,32.2,32.38,32.1,82,32.25,16268,32.268661,2025-09-11 13:31:00+00:00
1757597520000,31.76,32.2,31.7,86,32.08,11145,31.933177,2025-09-11 13:32:00+00:00
1757597580000,31.9,32.0187,31.71,71,31.79,5563,31.828124,2025-09-11 13:33:00+00:00
1757597640000,31.73,31.97,31.71,97,31.94,7110,31.835566,2025-09-11 13:34:00+00:00
1757597700000,31.6947,31.74,31.62,159,31.71,12980,31.683847,2025-09-11 13:35:00+00:00
1757597760000,31.57,31.72,31.49,111,31.72,15478,31.58846,2025-09-11 13:36:00+00:00
1757597820000,31.59,31.62,31.458,94,31.5699,7703,31.536355,2025-09-11 13:37:00+00:00
1757597880000,31.75,31.79,31.55,81,31.55,4475,31.694026,2025-09-11 13:38:00+00:00
1757597940000,31.87,31.88,31.735,140,31.8,29698,31.81812,2025-09-11 13:39:00+00:00
1757598000000,31.86,31.88,31.7,304,31.8,29195,31.7886,2025-09-11 13:40:00+00:00
1757598060000,32.18,32.18,31.82,84,31.82,7852,32.002967,2025-09-11 13:41:00+00:00
1757598120000,32.09,32.1152,32.075,20,32.075,2485,32.092598,2025-09-11 13:42:00+00:00
1757598180000,32.0,32.02,31.91,84,32.0,7256,31.969411,2025-09-11 13:43:00+00:00
1757598240000,32.14,32.14,31.96,68,31.97,4400,32.018427,2025-09-11 13:44:00+00:00
1757598300000,32.02,32.21,32.02,177,32.21,66070,32.049191,2025-09-11 13:45:00+00:00
