timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,2.145,2.16,2.08,1388,2.08,382994,2.119555,2025-09-15 13:30:00+00:00
1757943060000,2.1501,2.16,2.145,257,2.145,106892,2.15289,2025-09-15 13:31:00+00:00
1757943120000,2.1032,2.16,2.1,218,2.1524,137188,2.134093,2025-09-15 13:32:00+00:00
1757943180000,2.08,2.12,2.08,321,2.1037,166265,2.104272,2025-09-15 13:33:00+00:00
1757943240000,2.1099,2.1099,2.07,154,2.079,80065,2.088655,2025-09-15 13:34:00+00:00
1757943300000,2.1071,2.1092,2.1003,33,2.1043,10703,2.105296,2025-09-15 13:35:00+00:00
1757943360000,2.1245,2.13,2.1,111,2.105,47826,2.115844,2025-09-15 13:36:00+00:00
1757943420000,2.115,2.1299,2.1135,64,2.1299,22661,2.12306,2025-09-15 13:37:00+00:00
1757943480000,2.1099,2.115,2.1,76,2.115,69294,2.107875,2025-09-15 13:38:00+00:00
1757943540000,2.175,2.209,2.105,404,2.1055,295101,2.174336,2025-09-15 13:39:00+00:00
1757943600000,2.1481,2.1799,2.142,163,2.1793,181442,2.159678,2025-09-15 13:40:00+00:00
1757943660000,2.155,2.16,2.1449,155,2.1454,51411,2.150022,2025-09-15 13:41:00+00:00
1757943720000,2.1824,2.21,2.155,520,2.155,347066,2.187748,2025-09-15 13:42:00+00:00
1757943780000,2.19,2.1998,2.1616,144,2.1812,60016,2.182497,2025-09-15 13:43:00+00:00
1757943840000,2.1915,2.2,2.18,133,2.19,59457,2.192524,2025-09-15 13:44:00+00:00
1757943900000,2.185,2.21,2.18,219,2.1949,218525,2.198686,2025-09-15 13:45:00+00:00
1757943960000,2.17,2.19,2.17,210,2.1899,96277,2.179888,2025-09-15 13:46:00+00:00
1757944020000,2.215,2.2199,2.165,207,2.17,105004,2.197998,2025-09-15 13:47:00+00:00
1757944080000,2.1692,2.225,2.1599,219,2.2154,513551,2.191018,2025-09-15 13:48:00+00:00
1757944140000,2.165,2.17,2.15,128,2.1643,168738,2.159563,2025-09-15 13:49:00+00:00
1757944200000,2.21,2.21,2.16,115,2.165,43319,2.190413,2025-09-15 13:50:00+00:00
1757944260000,2.19,2.205,2.17,123,2.2,113719,2.185622,2025-09-15 13:51:00+00:00
1757944320000,2.1799,2.18,2.16,83,2.18,62767,2.170938,2025-09-15 13:52:00+00:00
1757944380000,2.1965,2.21,2.175,226,2.175,291985,2.202485,2025-09-15 13:53:00+00:00
1757944440000,2.191,2.198,2.1816,69,2.195,55367,2.186102,2025-09-15 13:54:00+00:00
1757944500000,2.2081,2.21,2.195,69,2.1967,34321,2.203756,2025-09-15 13:55:00+00:00
1757944560000,2.224,2.23,2.2,143,2.2001,96453,2.217174,2025-09-15 13:56:00+00:00
1757944620000,2.235,2.24,2.22,144,2.228,67617,2.235449,2025-09-15 13:57:00+00:00
1757944680000,2.235,2.24,2.23,97,2.235,70254,2.236945,2025-09-15 13:58:00+00:00
1757944740000,2.255,2.2587,2.23,280,2.2341,225448,2.244821,2025-09-15 13:59:00+00:00
1757944800000,2.2699,2.27,2.2301,290,2.255,314922,2.252864,2025-09-15 14:00:00+00:00
1757944860000,2.2501,2.28,2.2501,230,2.27,165604,2.26744,2025-09-15 14:01:00+00:00
1757944920000,2.2457,2.26,2.2408,359,2.2516,173152,2.256765,2025-09-15 14:02:00+00:00
1757944980000,2.245,2.26,2.241,150,2.245,117086,2.251666,2025-09-15 14:03:00+00:00
1757945040000,2.254,2.26,2.23,213,2.25,170830,2.249638,2025-09-15 14:04:00+00:00
1757945100000,2.255,2.27,2.24,184,2.2551,141343,2.257583,2025-09-15 14:05:00+00:00
1757945160000,2.2784,2.28,2.25,191,2.2562,107027,2.263893,2025-09-15 14:06:00+00:00
1757945220000,2.265,2.2768,2.26,120,2.275,67205,2.267534,2025-09-15 14:07:00+00:00
1757945280000,2.28,2.2893,2.2635,204,2.2699,146212,2.276517,2025-09-15 14:08:00+00:00
1757945340000,2.295,2.3,2.2809,217,2.2809,147636,2.293906,2025-09-15 14:09:00+00:00
1757945400000,2.2961,2.3,2.29,175,2.3,125788,2.297335,2025-09-15 14:10:00+00:00
1757945460000,2.325,2.33,2.29,330,2.2909,183072,2.306976,2025-09-15 14:11:00+00:00
1757945520000,2.35,2.36,2.324,698,2.33,390561,2.347864,2025-09-15 14:12:00+00:00
1757945580000,2.3888,2.4,2.34,1114,2.3411,527429,2.368893,2025-09-15 14:13:00+00:00
1757945640000,2.4093,2.42,2.375,832,2.385,501104,2.394266,2025-09-15 14:14:00+00:00
1757945700000,2.395,2.4183,2.35,966,2.41,598941,2.385083,2025-09-15 14:15:00+00:00
1757945760000,2.365,2.3901,2.36,359,2.39,184611,2.371944,2025-09-15 14:16:00+00:00
1757945820000,2.3611,2.37,2.355,311,2.3665,169877,2.363469,2025-09-15 14:17:00+00:00
1757945880000,2.355,2.3693,2.34,379,2.3693,219592,2.356051,2025-09-15 14:18:00+00:00
1757945940000,2.35,2.3655,2.34,288,2.3515,141017,2.351449,2025-09-15 14:19:00+00:00
1757946000000,2.3486,2.3599,2.34,173,2.3599,69309,2.347401,2025-09-15 14:20:00+00:00
1757946060000,2.345,2.36,2.33,236,2.34,188690,2.343244,2025-09-15 14:21:00+00:00
1757946120000,2.335,2.3491,2.33,146,2.345,60303,2.335714,2025-09-15 14:22:00+00:00
1757946180000,2.335,2.3545,2.33,316,2.3391,211401,2.342708,2025-09-15 14:23:00+00:00
1757946240000,2.335,2.35,2.3338,174,2.3343,70103,2.343027,2025-09-15 14:24:00+00:00
1757946300000,2.345,2.3479,2.33,189,2.335,58718,2.335589,2025-09-15 14:25:00+00:00
1757946360000,2.335,2.3492,2.33,153,2.3411,59613,2.341028,2025-09-15 14:26:00+00:00
1757946420000,2.305,2.35,2.3,252,2.335,175541,2.328446,2025-09-15 14:27:00+00:00
1757946480000,2.335,2.345,2.3,297,2.3001,113670,2.321545,2025-09-15 14:28:00+00:00
1757946540000,2.34,2.34,2.3201,239,2.335,121079,2.331748,2025-09-15 14:29:00+00:00
1757946600000,2.3372,2.34,2.33,88,2.34,61154,2.333472,2025-09-15 14:30:00+00:00
1757946660000,2.3108,2.335,2.31,87,2.3303,29801,2.324752,2025-09-15 14:31:00+00:00
1757946720000,2.2735,2.315,2.2711,256,2.315,240986,2.291052,2025-09-15 14:32:00+00:00
1757946780000,2.277,2.28,2.26,248,2.28,143743,2.274596,2025-09-15 14:33:00+00:00
1757946840000,2.2511,2.28,2.2511,171,2.2765,64455,2.26522,2025-09-15 14:34:00+00:00
1757946900000,2.266,2.28,2.25,186,2.255,203934,2.267454,2025-09-15 14:35:00+00:00
1757946960000,2.265,2.28,2.26,103,2.2655,68514,2.26733,2025-09-15 14:36:00+00:00
1757947020000,2.255,2.265,2.24,172,2.265,83006,2.253666,2025-09-15 14:37:00+00:00
1757947080000,2.269,2.27,2.255,111,2.255,103457,2.261944,2025-09-15 14:38:00+00:00
1757947140000,2.2601,2.27,2.2511,100,2.2695,38743,2.262736,2025-09-15 14:39:00+00:00
1757947200000,2.295,2.3,2.2615,161,2.265,86344,2.278715,2025-09-15 14:40:00+00:00
1757947260000,2.315,2.32,2.2901,120,2.2993,64889,2.306792,2025-09-15 14:41:00+00:00
1757947320000,2.305,2.3199,2.3,67,2.3199,18019,2.310802,2025-09-15 14:42:00+00:00
1757947380000,2.295,2.305,2.2901,64,2.305,18853,2.298512,2025-09-15 14:43:00+00:00
1757947440000,2.32,2.32,2.2998,105,2.2998,65794,2.308597,2025-09-15 14:44:00+00:00
1757947500000,2.2979,2.32,2.29,253,2.32,88973,2.305687,2025-09-15 14:45:00+00:00
1757947560000,2.27,2.3,2.27,120,2.295,120326,2.287801,2025-09-15 14:46:00+00:00
1757947620000,2.2881,2.2881,2.2701,103,2.275,69939,2.279798,2025-09-15 14:47:00+00:00
1757947680000,2.2999,2.3,2.27,116,2.2814,69136,2.284186,2025-09-15 14:48:00+00:00
