timeStamp,close,high,low,trade_count,open,volume,vwap,date
1751895000000,4.99,4.99,4.99,12,4.99,585,4.99,2025-07-07 13:30:00+00:00
1751895060000,5.03,5.03,5.03,2,5.03,800,5.03,2025-07-07 13:31:00+00:00
1751895180000,4.9106,4.93,4.9106,2,4.93,1208,4.9203,2025-07-07 13:33:00+00:00
1751895240000,4.99,4.99,4.95,2,4.95,400,4.98,2025-07-07 13:34:00+00:00
1751895300000,4.9101,4.9101,4.9101,2,4.9101,127,4.9101,2025-07-07 13:35:00+00:00
1751895660000,4.95,4.95,4.95,2,4.95,162,4.95,2025-07-07 13:41:00+00:00
1751895780000,4.99,4.99,4.934,4,4.934,2086,4.942534,2025-07-07 13:43:00+00:00
1751895900000,4.9668,4.9668,4.9668,1,4.9668,230,4.9668,2025-07-07 13:45:00+00:00
1751896440000,5.03,5.03,4.985,19,5.006,6380,5.016202,2025-07-07 13:54:00+00:00
1751896500000,5.0201,5.0201,5.0201,1,5.0201,100,5.0201,2025-07-07 13:55:00+00:00
1751896620000,5.021,5.021,5.021,6,5.021,1942,5.021,2025-07-07 13:57:00+00:00
1751896680000,4.97,5.02,4.97,15,5.02,2726,5.018043,2025-07-07 13:58:00+00:00
1751896800000,4.9,4.93,4.9,6,4.93,328,4.914493,2025-07-07 14:00:00+00:00
1751896860000,4.94,4.94,4.94,5,4.94,1000,4.94,2025-07-07 14:01:00+00:00
1751896920000,4.87,4.87,4.76,10,4.77,12202,4.764571,2025-07-07 14:02:00+00:00
1751897100000,4.87,4.87,4.87,2,4.87,200,4.87,2025-07-07 14:05:00+00:00
1751897160000,4.8261,4.8261,4.77,4,4.78,385,4.791254,2025-07-07 14:06:00+00:00
1751897220000,4.82,4.82,4.82,1,4.82,250,4.82,2025-07-07 14:07:00+00:00
1751897640000,4.9599,4.9599,4.82,2,4.82,726,4.91635,2025-07-07 14:14:00+00:00
1751897940000,4.77,4.77,4.77,1,4.77,100,4.77,2025-07-07 14:19:00+00:00
1751898300000,4.84,4.84,4.84,3,4.84,5062,4.84,2025-07-07 14:25:00+00:00
1751898480000,4.78,4.78,4.78,2,4.78,104,4.78,2025-07-07 14:28:00+00:00
1751899320000,4.79,4.79,4.78,3,4.78,255,4.785,2025-07-07 14:42:00+00:00
1751899380000,4.77,4.79,4.77,10,4.79,1000,4.78125,2025-07-07 14:43:00+00:00
1751899440000,4.75,4.75,4.75,1,4.75,100,4.75,2025-07-07 14:44:00+00:00
1751899560000,4.75,4.75,4.75,1,4.75,300,4.75,2025-07-07 14:46:00+00:00
1751900100000,4.8505,4.8505,4.85,4,4.85,860,4.85025,2025-07-07 14:55:00+00:00
1751900520000,4.6,4.7602,4.6,16,4.76,3587,4.717765,2025-07-07 15:02:00+00:00
1751900760000,4.74,4.74,4.74,3,4.74,1024,4.74,2025-07-07 15:06:00+00:00
1751900820000,4.8015,4.8015,4.8015,1,4.8015,250,4.8015,2025-07-07 15:07:00+00:00
1751900880000,4.8,4.8,4.8,3,4.8,199,4.8,2025-07-07 15:08:00+00:00
1751900940000,4.848,4.848,4.848,2,4.848,8325,4.848,2025-07-07 15:09:00+00:00
1751901240000,4.8566,4.8566,4.8566,1,4.8566,100,4.8566,2025-07-07 15:14:00+00:00
1751901300000,4.875,4.875,4.875,1,4.875,100,4.875,2025-07-07 15:15:00+00:00
1751901480000,4.875,4.875,4.875,1,4.875,100,4.875,2025-07-07 15:18:00+00:00
1751901660000,4.89,4.89,4.89,1,4.89,100,4.89,2025-07-07 15:21:00+00:00
1751902080000,4.91,4.91,4.91,1,4.91,100,4.91,2025-07-07 15:28:00+00:00
1751902740000,4.9751,4.9751,4.9751,1,4.9751,500,4.9751,2025-07-07 15:39:00+00:00
1751902920000,4.9694,4.9694,4.9694,1,4.9694,1105,4.9694,2025-07-07 15:42:00+00:00
1751903040000,4.93,4.93,4.93,1,4.93,100,4.93,2025-07-07 15:44:00+00:00
1751903460000,4.9799,4.9799,4.955,8,4.97,750,4.967814,2025-07-07 15:51:00+00:00
1751903940000,4.9337,4.9337,4.9337,1,4.9337,439,4.9337,2025-07-07 15:59:00+00:00
1751904900000,4.957,4.957,4.957,2,4.957,501,4.957,2025-07-07 16:15:00+00:00
1751904960000,4.9336,4.9336,4.9336,4,4.9336,633,4.9336,2025-07-07 16:16:00+00:00
1751905200000,4.93,4.93,4.93,5,4.93,532,4.93,2025-07-07 16:20:00+00:00
1751906220000,4.83,4.83,4.83,1,4.83,100,4.83,2025-07-07 16:37:00+00:00
