timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755523800000,0.5538,0.5538,0.5538,3,0.5538,170,0.5538,2025-08-18 13:30:00+00:00
1755523980000,0.5399,0.54,0.5376,21,0.54,2930,0.539092,2025-08-18 13:33:00+00:00
1755524160000,0.5399,0.5399,0.5399,2,0.5399,395,0.5399,2025-08-18 13:36:00+00:00
1755524220000,0.541,0.541,0.54,6,0.54,3911,0.540762,2025-08-18 13:37:00+00:00
1755524400000,0.54,0.54,0.54,3,0.54,200,0.54,2025-08-18 13:40:00+00:00
1755524460000,0.5507,0.5507,0.5437,3,0.5437,2300,0.545201,2025-08-18 13:41:00+00:00
1755524520000,0.5515,0.5515,0.5515,1,0.5515,200,0.5515,2025-08-18 13:42:00+00:00
1755524760000,0.5437,0.5437,0.5437,1,0.5437,190,0.5437,2025-08-18 13:46:00+00:00
1755525000000,0.5487,0.5487,0.5487,1,0.5487,500,0.5487,2025-08-18 13:50:00+00:00
1755525240000,0.5538,0.5538,0.5491,4,0.5491,928,0.549929,2025-08-18 13:54:00+00:00
1755525420000,0.549,0.5645,0.549,6,0.5645,360,0.554264,2025-08-18 13:57:00+00:00
1755525600000,0.55,0.55,0.549,5,0.549,1429,0.549458,2025-08-18 14:00:00+00:00
1755525660000,0.5645,0.5645,0.5645,2,0.5645,735,0.5645,2025-08-18 14:01:00+00:00
1755525840000,0.5644,0.5644,0.5644,2,0.5644,288,0.5644,2025-08-18 14:04:00+00:00
1755525900000,0.549,0.549,0.549,1,0.549,116,0.549,2025-08-18 14:05:00+00:00
1755526020000,0.54,0.54,0.54,1,0.54,276,0.54,2025-08-18 14:07:00+00:00
1755526200000,0.5469,0.5469,0.5469,3,0.5469,277,0.5469,2025-08-18 14:10:00+00:00
1755526800000,0.5411,0.5421,0.5411,7,0.5421,2878,0.542022,2025-08-18 14:20:00+00:00
1755527100000,0.54,0.54,0.54,1,0.54,195,0.54,2025-08-18 14:25:00+00:00
1755527160000,0.54,0.54,0.54,1,0.54,100,0.54,2025-08-18 14:26:00+00:00
1755527280000,0.5399,0.54,0.5399,24,0.54,2575,0.539936,2025-08-18 14:28:00+00:00
1755527340000,0.5385,0.5385,0.5385,2,0.5385,215,0.5385,2025-08-18 14:29:00+00:00
1755527400000,0.535,0.537,0.5325,15,0.537,6050,0.536585,2025-08-18 14:30:00+00:00
1755527460000,0.5385,0.54,0.5385,2,0.54,3943,0.539962,2025-08-18 14:31:00+00:00
1755527520000,0.5367,0.5367,0.5367,1,0.5367,214,0.5367,2025-08-18 14:32:00+00:00
1755527760000,0.5469,0.5469,0.5469,5,0.5469,5077,0.5469,2025-08-18 14:36:00+00:00
1755528000000,0.5415,0.5415,0.5415,1,0.5415,100,0.5415,2025-08-18 14:40:00+00:00
1755528120000,0.5469,0.5469,0.5469,5,0.5469,1633,0.5469,2025-08-18 14:42:00+00:00
1755529260000,0.5469,0.5469,0.5469,2,0.5469,1000,0.5469,2025-08-18 15:01:00+00:00
1755530640000,0.5799,0.58,0.5695,9,0.5764,820,0.576278,2025-08-18 15:24:00+00:00
1755530820000,0.5695,0.5695,0.5695,1,0.5695,611,0.5695,2025-08-18 15:27:00+00:00
1755530880000,0.5695,0.5695,0.5695,3,0.5695,309,0.5695,2025-08-18 15:28:00+00:00
1755531060000,0.56,0.56,0.56,1,0.56,460,0.56,2025-08-18 15:31:00+00:00
1755531240000,0.5695,0.5695,0.5695,1,0.5695,100,0.5695,2025-08-18 15:34:00+00:00
1755531660000,0.5695,0.5695,0.5695,1,0.5695,2000,0.5695,2025-08-18 15:41:00+00:00
1755531960000,0.5695,0.5695,0.5695,1,0.5695,100,0.5695,2025-08-18 15:46:00+00:00
1755533280000,0.569,0.569,0.5545,5,0.5545,1468,0.564027,2025-08-18 16:08:00+00:00
1755533460000,0.566,0.566,0.566,1,0.566,200,0.566,2025-08-18 16:11:00+00:00
1755533760000,0.553,0.553,0.553,2,0.553,3300,0.553,2025-08-18 16:16:00+00:00
1755534000000,0.553,0.553,0.553,4,0.553,462,0.553,2025-08-18 16:20:00+00:00
1755534180000,0.5612,0.5612,0.553,11,0.553,1417,0.556741,2025-08-18 16:23:00+00:00
1755535440000,0.553,0.5565,0.553,2,0.5565,1000,0.55475,2025-08-18 16:44:00+00:00
1755536400000,0.56,0.56,0.56,5,0.56,830,0.56,2025-08-18 17:00:00+00:00
1755537420000,0.5694,0.5694,0.5694,1,0.5694,700,0.5694,2025-08-18 17:17:00+00:00
1755537540000,0.5694,0.5695,0.5694,4,0.5695,1471,0.569489,2025-08-18 17:19:00+00:00
1755537780000,0.5617,0.5617,0.5617,5,0.5617,1436,0.5617,2025-08-18 17:23:00+00:00
1755538620000,0.56,0.5601,0.56,5,0.5601,1400,0.560062,2025-08-18 17:37:00+00:00
1755538920000,0.56,0.56,0.56,7,0.56,1308,0.56,2025-08-18 17:42:00+00:00
1755538980000,0.56,0.56,0.56,1,0.56,300,0.56,2025-08-18 17:43:00+00:00
1755539040000,0.5799,0.5799,0.5799,1,0.5799,100,0.5799,2025-08-18 17:44:00+00:00
1755539940000,0.5532,0.5532,0.5532,1,0.5532,978,0.5532,2025-08-18 17:59:00+00:00
1755541260000,0.5534,0.5534,0.5534,3,0.5534,265,0.5534,2025-08-18 18:21:00+00:00
1755544080000,0.5535,0.5536,0.5535,5,0.5536,1600,0.553574,2025-08-18 19:08:00+00:00
1755544200000,0.5666,0.5666,0.5666,1,0.5666,100,0.5666,2025-08-18 19:10:00+00:00
1755544380000,0.57,0.57,0.57,1,0.57,300,0.57,2025-08-18 19:13:00+00:00
1755544740000,0.56,0.56,0.56,1,0.56,100,0.56,2025-08-18 19:19:00+00:00
1755545280000,0.565,0.565,0.565,1,0.565,200,0.565,2025-08-18 19:28:00+00:00
1755545340000,0.564,0.564,0.564,4,0.564,440,0.564,2025-08-18 19:29:00+00:00
1755545400000,0.565,0.565,0.565,2,0.565,510,0.565,2025-08-18 19:30:00+00:00
1755546060000,0.56,0.56,0.56,3,0.56,450,0.56,2025-08-18 19:41:00+00:00
1755546240000,0.564,0.564,0.564,1,0.564,1000,0.564,2025-08-18 19:44:00+00:00
1755546300000,0.5535,0.5535,0.5535,4,0.5535,308,0.5535,2025-08-18 19:45:00+00:00
1755546600000,0.564,0.564,0.564,1,0.564,1000,0.564,2025-08-18 19:50:00+00:00
1755546900000,0.564,0.564,0.564,1,0.564,1000,0.564,2025-08-18 19:55:00+00:00
1755546960000,0.564,0.564,0.564,1,0.564,1000,0.564,2025-08-18 19:56:00+00:00
1755547020000,0.5798,0.5798,0.564,18,0.564,3220,0.567583,2025-08-18 19:57:00+00:00
1755547080000,0.5798,0.5798,0.5798,4,0.5798,150,0.5798,2025-08-18 19:58:00+00:00
1755547140000,0.5799,0.5799,0.5799,2,0.5799,3002,0.5799,2025-08-18 19:59:00+00:00
1755610200000,0.5625,0.5625,0.5625,2,0.5625,252,0.5625,2025-08-19 13:30:00+00:00
1755611640000,0.575,0.58,0.575,4,0.58,3030,0.576671,2025-08-19 13:54:00+00:00
1755612000000,0.5923,0.5923,0.5923,3,0.5923,300,0.5923,2025-08-19 14:00:00+00:00
1755612060000,0.5923,0.5923,0.5923,2,0.5923,230,0.5923,2025-08-19 14:01:00+00:00
1755613080000,0.5745,0.5751,0.5745,7,0.5751,700,0.574673,2025-08-19 14:18:00+00:00
1755613440000,0.5751,0.5751,0.5751,7,0.5751,419,0.5751,2025-08-19 14:24:00+00:00
1755613500000,0.5751,0.5751,0.5751,1,0.5751,800,0.5751,2025-08-19 14:25:00+00:00
1755613560000,0.6,0.6,0.5925,15,0.5925,7051,0.598239,2025-08-19 14:26:00+00:00
1755613680000,0.6,0.6,0.6,1,0.6,500,0.6,2025-08-19 14:28:00+00:00
1755614040000,0.5919,0.5919,0.5919,1,0.5919,8000,0.5919,2025-08-19 14:34:00+00:00
1755614160000,0.5751,0.5751,0.5751,2,0.5751,4001,0.5751,2025-08-19 14:36:00+00:00
1755614700000,0.5973,0.5973,0.595,3,0.595,1100,0.595227,2025-08-19 14:45:00+00:00
1755614880000,0.59,0.5931,0.59,8,0.5931,966,0.591135,2025-08-19 14:48:00+00:00
1755615000000,0.5901,0.5901,0.5901,1,0.5901,343,0.5901,2025-08-19 14:50:00+00:00
1755615540000,0.5963,0.5963,0.5963,2,0.5963,500,0.5963,2025-08-19 14:59:00+00:00
1755615780000,0.5901,0.5901,0.5901,1,0.5901,2000,0.5901,2025-08-19 15:03:00+00:00
1755615840000,0.5902,0.5902,0.5902,1,0.5902,350,0.5902,2025-08-19 15:04:00+00:00
1755615960000,0.5988,0.5988,0.5988,4,0.5988,758,0.5988,2025-08-19 15:06:00+00:00
1755617160000,0.5906,0.5906,0.5906,1,0.5906,180,0.5906,2025-08-19 15:26:00+00:00
1755617580000,0.6,0.6,0.5998,14,0.6,5673,0.599981,2025-08-19 15:33:00+00:00
1755617640000,0.5998,0.5998,0.5988,3,0.5988,1332,0.599262,2025-08-19 15:34:00+00:00
1755618240000,0.5992,0.5992,0.5992,1,0.5992,200,0.5992,2025-08-19 15:44:00+00:00
1755618780000,0.6,0.6,0.6,4,0.6,1035,0.6,2025-08-19 15:53:00+00:00
1755618900000,0.6,0.6,0.6,3,0.6,364,0.6,2025-08-19 15:55:00+00:00
1755619020000,0.6,0.6,0.6,5,0.6,200,0.6,2025-08-19 15:57:00+00:00
1755619500000,0.6043,0.6043,0.6043,1,0.6043,350,0.6043,2025-08-19 16:05:00+00:00
