timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757429400000,6.23,6.23,6.22,25,6.22,1157,6.223413,2025-09-09 14:50:00+00:00
1757429460000,6.23,6.23,6.2249,39,6.2249,3030,6.228811,2025-09-09 14:51:00+00:00
1757429520000,6.23,6.23,6.23,13,6.23,559,6.23,2025-09-09 14:52:00+00:00
1757429580000,6.23,6.23,6.22,17,6.22,871,6.225716,2025-09-09 14:53:00+00:00
1757429640000,6.23,6.23,6.23,9,6.23,391,6.23,2025-09-09 14:54:00+00:00
1757429700000,6.23,6.23,6.225,13,6.23,1043,6.2275,2025-09-09 14:55:00+00:00
1757429760000,6.22,6.22,6.21,35,6.22,1790,6.218415,2025-09-09 14:56:00+00:00
1757429820000,6.23,6.23,6.22,22,6.22,717,6.226667,2025-09-09 14:57:00+00:00
1757429880000,6.22,6.2208,6.22,32,6.2208,2394,6.220208,2025-09-09 14:58:00+00:00
1757429940000,6.23,6.23,6.22,13,6.22,1215,6.224167,2025-09-09 14:59:00+00:00
1757430000000,6.23,6.23,6.23,7,6.23,307,6.23,2025-09-09 15:00:00+00:00
1757430060000,6.23,6.23,6.23,15,6.23,781,6.23,2025-09-09 15:01:00+00:00
1757430120000,6.23,6.23,6.23,26,6.23,1376,6.23,2025-09-09 15:02:00+00:00
1757430180000,6.23,6.235,6.23,18,6.23,835,6.230833,2025-09-09 15:03:00+00:00
1757430240000,6.215,6.2254,6.215,24,6.2254,1570,6.221073,2025-09-09 15:04:00+00:00
1757430300000,6.215,6.22,6.215,6,6.22,750,6.218,2025-09-09 15:05:00+00:00
1757430360000,6.22,6.22,6.22,8,6.22,286,6.22,2025-09-09 15:06:00+00:00
1757430420000,6.235,6.235,6.2142,38,6.2142,11016,6.222988,2025-09-09 15:07:00+00:00
1757430480000,6.226,6.24,6.226,17,6.24,1115,6.233591,2025-09-09 15:08:00+00:00
1757430540000,6.23,6.23,6.23,7,6.23,337,6.23,2025-09-09 15:09:00+00:00
1757430600000,6.23,6.23,6.23,4,6.23,194,6.23,2025-09-09 15:10:00+00:00
1757430660000,6.23,6.23,6.215,28,6.22,1596,6.21968,2025-09-09 15:11:00+00:00
1757430780000,6.225,6.23,6.225,7,6.23,529,6.228333,2025-09-09 15:13:00+00:00
1757430840000,6.2201,6.2201,6.2201,5,6.2201,491,6.2201,2025-09-09 15:14:00+00:00
1757430900000,6.215,6.23,6.215,29,6.23,1219,6.223125,2025-09-09 15:15:00+00:00
1757430960000,6.22,6.22,6.2149,14,6.22,4007,6.217803,2025-09-09 15:16:00+00:00
1757431080000,6.22,6.22,6.22,23,6.22,1436,6.22,2025-09-09 15:18:00+00:00
1757431200000,6.23,6.23,6.225,8,6.225,1403,6.226154,2025-09-09 15:20:00+00:00
1757431260000,6.23,6.23,6.23,23,6.23,836,6.23,2025-09-09 15:21:00+00:00
1757431320000,6.24,6.24,6.24,11,6.24,458,6.24,2025-09-09 15:22:00+00:00
1757431380000,6.245,6.245,6.24,18,6.24,843,6.2425,2025-09-09 15:23:00+00:00
1757431500000,6.25,6.25,6.245,13,6.25,795,6.247459,2025-09-09 15:25:00+00:00
1757431620000,6.24,6.25,6.24,25,6.25,1272,6.244286,2025-09-09 15:27:00+00:00
1757431680000,6.25,6.25,6.24,23,6.24,1052,6.247,2025-09-09 15:28:00+00:00
1757431800000,6.25,6.25,6.25,7,6.25,396,6.25,2025-09-09 15:30:00+00:00
1757431860000,6.245,6.25,6.245,29,6.25,1837,6.247672,2025-09-09 15:31:00+00:00
1757431920000,6.25,6.25,6.25,9,6.25,332,6.25,2025-09-09 15:32:00+00:00
1757431980000,6.25,6.25,6.2465,9,6.2465,1403,6.247308,2025-09-09 15:33:00+00:00
1757432040000,6.255,6.255,6.25,38,6.25,2557,6.253056,2025-09-09 15:34:00+00:00
1757432100000,6.26,6.26,6.26,35,6.26,1438,6.26,2025-09-09 15:35:00+00:00
1757432160000,6.265,6.265,6.26,30,6.26,1486,6.260487,2025-09-09 15:36:00+00:00
1757432220000,6.265,6.265,6.26,5,6.265,431,6.26375,2025-09-09 15:37:00+00:00
1757432280000,6.26,6.265,6.26,23,6.265,1112,6.262957,2025-09-09 15:38:00+00:00
1757432340000,6.255,6.26,6.255,13,6.26,1124,6.258,2025-09-09 15:39:00+00:00
1757432400000,6.245,6.25,6.245,52,6.25,3500,6.248056,2025-09-09 15:40:00+00:00
1757432460000,6.24,6.245,6.24,24,6.245,1872,6.241563,2025-09-09 15:41:00+00:00
1757432640000,6.23,6.23,6.215,104,6.23,8360,6.223976,2025-09-09 15:44:00+00:00
1757432700000,6.235,6.235,6.235,9,6.235,454,6.235,2025-09-09 15:45:00+00:00
1757432760000,6.235,6.235,6.235,15,6.235,344,6.235,2025-09-09 15:46:00+00:00
1757432880000,6.235,6.235,6.235,5,6.235,190,6.235,2025-09-09 15:48:00+00:00
1757432940000,6.23,6.235,6.23,19,6.235,1020,6.232059,2025-09-09 15:49:00+00:00
1757433000000,6.235,6.235,6.235,3,6.235,707,6.235,2025-09-09 15:50:00+00:00
1757433060000,6.235,6.235,6.235,6,6.235,627,6.235,2025-09-09 15:51:00+00:00
