timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755523800000,1.3,1.34,1.3,9,1.34,3140,1.32763,2025-08-18 13:30:00+00:00
1755523980000,1.3151,1.3151,1.3097,5,1.3097,491,1.313916,2025-08-18 13:33:00+00:00
1755524520000,1.3309,1.3309,1.3309,2,1.3309,325,1.3309,2025-08-18 13:42:00+00:00
1755524760000,1.3148,1.3148,1.3148,2,1.3148,115,1.3148,2025-08-18 13:46:00+00:00
1755525360000,1.33,1.3495,1.31,6,1.3495,3440,1.330344,2025-08-18 13:56:00+00:00
1755525600000,1.3476,1.3476,1.3476,1,1.3476,600,1.3476,2025-08-18 14:00:00+00:00
1755525660000,1.35,1.35,1.3101,13,1.3101,9670,1.311915,2025-08-18 14:01:00+00:00
1755526620000,1.34,1.34,1.34,1,1.34,128,1.34,2025-08-18 14:17:00+00:00
1755527400000,1.3382,1.3382,1.3382,2,1.3382,1200,1.3382,2025-08-18 14:30:00+00:00
1755528420000,1.345,1.345,1.345,2,1.345,111,1.345,2025-08-18 14:47:00+00:00
1755529560000,1.3405,1.3405,1.3405,1,1.3405,150,1.3405,2025-08-18 15:06:00+00:00
1755529620000,1.32,1.341,1.32,52,1.341,12106,1.328174,2025-08-18 15:07:00+00:00
1755529680000,1.3258,1.3258,1.3258,6,1.3258,1200,1.3258,2025-08-18 15:08:00+00:00
1755529740000,1.3,1.3,1.3,6,1.3,220,1.3,2025-08-18 15:09:00+00:00
1755529800000,1.3,1.31,1.3,5,1.3,5417,1.309259,2025-08-18 15:10:00+00:00
1755529860000,1.3,1.3,1.3,1,1.3,100,1.3,2025-08-18 15:11:00+00:00
1755530040000,1.32,1.32,1.32,3,1.32,500,1.32,2025-08-18 15:14:00+00:00
1755530100000,1.32,1.32,1.32,1,1.32,150,1.32,2025-08-18 15:15:00+00:00
1755530460000,1.3398,1.3398,1.3398,1,1.3398,1000,1.3398,2025-08-18 15:21:00+00:00
1755530520000,1.3399,1.3399,1.3399,1,1.3399,100,1.3399,2025-08-18 15:22:00+00:00
1755530820000,1.3364,1.3364,1.3364,1,1.3364,400,1.3364,2025-08-18 15:27:00+00:00
1755531000000,1.3201,1.3201,1.3201,5,1.3201,1117,1.3201,2025-08-18 15:30:00+00:00
1755531300000,1.3,1.321,1.3,22,1.32,7073,1.319784,2025-08-18 15:35:00+00:00
1755532080000,1.3,1.3002,1.3,2,1.3002,200,1.3001,2025-08-18 15:48:00+00:00
1755532140000,1.32,1.32,1.32,2,1.32,102,1.32,2025-08-18 15:49:00+00:00
1755532380000,1.3,1.3015,1.3,7,1.3015,3266,1.301406,2025-08-18 15:53:00+00:00
1755532500000,1.3,1.3,1.3,1,1.3,100,1.3,2025-08-18 15:55:00+00:00
1755532620000,1.32,1.32,1.32,2,1.32,200,1.32,2025-08-18 15:57:00+00:00
1755532860000,1.31,1.31,1.31,7,1.31,502,1.31,2025-08-18 16:01:00+00:00
1755532920000,1.32,1.32,1.32,1,1.32,100,1.32,2025-08-18 16:02:00+00:00
1755533460000,1.31,1.31,1.31,3,1.31,112,1.31,2025-08-18 16:11:00+00:00
1755533520000,1.315,1.315,1.315,1,1.315,100,1.315,2025-08-18 16:12:00+00:00
1755533580000,1.31,1.31,1.31,2,1.31,190,1.31,2025-08-18 16:13:00+00:00
1755533700000,1.315,1.315,1.315,1,1.315,200,1.315,2025-08-18 16:15:00+00:00
1755533760000,1.32,1.32,1.32,15,1.32,1548,1.32,2025-08-18 16:16:00+00:00
1755534240000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 16:24:00+00:00
1755534600000,1.3399,1.3399,1.3399,1,1.3399,900,1.3399,2025-08-18 16:30:00+00:00
1755534660000,1.33,1.33,1.33,31,1.33,535,1.33,2025-08-18 16:31:00+00:00
1755535080000,1.31,1.34,1.31,107,1.33,18371,1.332413,2025-08-18 16:38:00+00:00
1755535140000,1.32,1.32,1.32,6,1.32,1100,1.32,2025-08-18 16:39:00+00:00
1755535680000,1.33,1.33,1.33,2,1.33,257,1.33,2025-08-18 16:48:00+00:00
1755535800000,1.3107,1.3107,1.3107,1,1.3107,247,1.3107,2025-08-18 16:50:00+00:00
1755536460000,1.31,1.31,1.31,3,1.31,10000,1.31,2025-08-18 17:01:00+00:00
1755536700000,1.34,1.34,1.34,2,1.34,200,1.34,2025-08-18 17:05:00+00:00
1755536820000,1.325,1.325,1.325,1,1.325,100,1.325,2025-08-18 17:07:00+00:00
1755536880000,1.32,1.32,1.32,2,1.32,200,1.32,2025-08-18 17:08:00+00:00
1755537000000,1.32,1.32,1.32,1,1.32,100,1.32,2025-08-18 17:10:00+00:00
1755537360000,1.31,1.32,1.31,3,1.32,3200,1.3105,2025-08-18 17:16:00+00:00
1755537480000,1.32,1.33,1.32,5,1.33,437,1.32375,2025-08-18 17:18:00+00:00
1755537600000,1.325,1.325,1.325,1,1.325,100,1.325,2025-08-18 17:20:00+00:00
1755537840000,1.31,1.32,1.31,6,1.32,5700,1.319825,2025-08-18 17:24:00+00:00
1755538020000,1.3184,1.3184,1.3184,1,1.3184,300,1.3184,2025-08-18 17:27:00+00:00
1755538200000,1.31,1.3228,1.31,3,1.32,1302,1.321382,2025-08-18 17:30:00+00:00
1755538500000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 17:35:00+00:00
1755538560000,1.3289,1.3289,1.3289,2,1.3289,537,1.3289,2025-08-18 17:36:00+00:00
1755538740000,1.32,1.32,1.32,1,1.32,100,1.32,2025-08-18 17:39:00+00:00
1755539640000,1.32,1.33,1.32,8,1.32,572,1.325,2025-08-18 17:54:00+00:00
1755539940000,1.32,1.32,1.32,1,1.32,100,1.32,2025-08-18 17:59:00+00:00
1755540360000,1.33,1.33,1.33,3,1.33,200,1.33,2025-08-18 18:06:00+00:00
1755540960000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 18:16:00+00:00
1755541080000,1.33,1.33,1.33,6,1.33,243,1.33,2025-08-18 18:18:00+00:00
1755541260000,1.32,1.32,1.32,4,1.32,202,1.32,2025-08-18 18:21:00+00:00
1755541800000,1.33,1.33,1.33,3,1.33,300,1.33,2025-08-18 18:30:00+00:00
1755541860000,1.33,1.33,1.33,2,1.33,137,1.33,2025-08-18 18:31:00+00:00
1755542100000,1.33,1.33,1.33,2,1.33,175,1.33,2025-08-18 18:35:00+00:00
1755542580000,1.33,1.33,1.33,4,1.33,212,1.33,2025-08-18 18:43:00+00:00
1755542700000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 18:45:00+00:00
1755542820000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 18:47:00+00:00
1755542940000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 18:49:00+00:00
1755543060000,1.33,1.33,1.33,3,1.33,200,1.33,2025-08-18 18:51:00+00:00
1755543180000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 18:53:00+00:00
1755543300000,1.33,1.33,1.33,2,1.33,200,1.33,2025-08-18 18:55:00+00:00
1755543540000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 18:59:00+00:00
1755543600000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 19:00:00+00:00
1755543720000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 19:02:00+00:00
1755543780000,1.33,1.33,1.3298,2,1.3298,329,1.329861,2025-08-18 19:03:00+00:00
1755543840000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 19:04:00+00:00
1755544080000,1.33,1.33,1.33,1,1.33,100,1.33,2025-08-18 19:08:00+00:00
1755544200000,1.33,1.33,1.33,2,1.33,200,1.33,2025-08-18 19:10:00+00:00
1755544260000,1.33,1.33,1.33,3,1.33,102,1.33,2025-08-18 19:11:00+00:00
