timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,1.73,1.85,1.7,289,1.83,206318,1.764898,2025-09-15 13:30:00+00:00
1757943060000,1.7375,1.75,1.71,139,1.7112,32470,1.733808,2025-09-15 13:31:00+00:00
1757943120000,1.755,1.77,1.7201,144,1.7314,52594,1.756547,2025-09-15 13:32:00+00:00
1757943180000,1.75,1.77,1.73,106,1.755,31961,1.753435,2025-09-15 13:33:00+00:00
1757943240000,1.6958,1.7473,1.66,465,1.74,173286,1.694832,2025-09-15 13:34:00+00:00
1757943300000,1.72,1.73,1.67,173,1.67,61255,1.68894,2025-09-15 13:35:00+00:00
1757943360000,1.7486,1.7499,1.7106,94,1.715,30233,1.729745,2025-09-15 13:36:00+00:00
1757943420000,1.7513,1.76,1.74,91,1.74,27670,1.747441,2025-09-15 13:37:00+00:00
1757943480000,1.775,1.78,1.75,160,1.7501,34501,1.762306,2025-09-15 13:38:00+00:00
1757943540000,1.76,1.7797,1.75,73,1.77,18630,1.76675,2025-09-15 13:39:00+00:00
1757943600000,1.7699,1.77,1.751,66,1.76,27825,1.765031,2025-09-15 13:40:00+00:00
1757943660000,1.775,1.79,1.76,119,1.77,47669,1.781214,2025-09-15 13:41:00+00:00
1757943720000,1.7713,1.8,1.76,149,1.7706,49303,1.782769,2025-09-15 13:42:00+00:00
1757943780000,1.7699,1.79,1.7699,70,1.789,21009,1.777528,2025-09-15 13:43:00+00:00
1757943840000,1.76,1.77,1.73,139,1.765,70485,1.753508,2025-09-15 13:44:00+00:00
1757943900000,1.7688,1.7688,1.76,32,1.7688,11040,1.764019,2025-09-15 13:45:00+00:00
1757943960000,1.7701,1.78,1.7601,55,1.765,12009,1.771021,2025-09-15 13:46:00+00:00
1757944020000,1.79,1.79,1.77,68,1.77,36529,1.775895,2025-09-15 13:47:00+00:00
1757944080000,1.789,1.79,1.78,22,1.785,7267,1.785979,2025-09-15 13:48:00+00:00
1757944140000,1.7907,1.8,1.7801,66,1.7899,12197,1.792759,2025-09-15 13:49:00+00:00
1757944200000,1.77,1.795,1.76,146,1.795,20329,1.782605,2025-09-15 13:50:00+00:00
1757944260000,1.76,1.7632,1.74,77,1.76,33034,1.754935,2025-09-15 13:51:00+00:00
1757944320000,1.77,1.776,1.755,33,1.755,13189,1.762636,2025-09-15 13:52:00+00:00
1757944380000,1.765,1.7886,1.75,46,1.77,6334,1.76702,2025-09-15 13:53:00+00:00
1757944440000,1.7601,1.7799,1.76,19,1.76,10102,1.764669,2025-09-15 13:54:00+00:00
1757944500000,1.77,1.77,1.76,38,1.77,7314,1.767127,2025-09-15 13:55:00+00:00
1757944560000,1.7701,1.7701,1.7613,35,1.7698,5664,1.768339,2025-09-15 13:56:00+00:00
1757944620000,1.79,1.79,1.78,21,1.78,4331,1.788714,2025-09-15 13:57:00+00:00
1757944680000,1.79,1.79,1.7703,20,1.788,9226,1.779496,2025-09-15 13:58:00+00:00
1757944740000,1.7713,1.79,1.77,105,1.78,11863,1.783038,2025-09-15 13:59:00+00:00
1757944800000,1.775,1.7891,1.77,19,1.7721,11679,1.776424,2025-09-15 14:00:00+00:00
1757944860000,1.7899,1.7899,1.7701,61,1.7711,19865,1.783645,2025-09-15 14:01:00+00:00
1757944920000,1.7835,1.79,1.7801,30,1.7892,26654,1.78518,2025-09-15 14:02:00+00:00
