timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756494660000,0.1739,0.1739,0.1739,1,0.1739,100,0.1739,2025-08-29 19:11:00+00:00
1756495080000,0.1752,0.1752,0.1752,2,0.1752,114,0.1752,2025-08-29 19:18:00+00:00
1756495140000,0.1739,0.1739,0.1739,5,0.1739,803,0.1739,2025-08-29 19:19:00+00:00
1756495680000,0.174,0.174,0.174,1,0.174,134,0.174,2025-08-29 19:28:00+00:00
1756495740000,0.1739,0.1739,0.1739,1,0.1739,1000,0.1739,2025-08-29 19:29:00+00:00
1756496220000,0.174,0.174,0.174,2,0.174,306,0.174,2025-08-29 19:37:00+00:00
1756496340000,0.1742,0.1742,0.174,8,0.174,5000,0.174116,2025-08-29 19:39:00+00:00
1756496400000,0.1739,0.1742,0.1739,11,0.1742,6140,0.174066,2025-08-29 19:40:00+00:00
1756496460000,0.174,0.174,0.174,8,0.174,700,0.174,2025-08-29 19:41:00+00:00
1756496580000,0.1747,0.1747,0.1747,9,0.1747,1700,0.1747,2025-08-29 19:43:00+00:00
1756496940000,0.1747,0.1747,0.1746,9,0.1746,15500,0.174662,2025-08-29 19:49:00+00:00
1756497300000,0.1743,0.1743,0.1743,5,0.1743,492,0.1743,2025-08-29 19:55:00+00:00
1756497360000,0.1743,0.1743,0.1743,1,0.1743,100,0.1743,2025-08-29 19:56:00+00:00
1756497480000,0.1745,0.1745,0.1745,2,0.1745,200,0.1745,2025-08-29 19:58:00+00:00
1756497540000,0.1744,0.1744,0.1744,4,0.1744,1310,0.1744,2025-08-29 19:59:00+00:00
1756819800000,0.176,0.176,0.1744,9,0.176,11046,0.175947,2025-09-02 13:30:00+00:00
1756820040000,0.1757,0.1757,0.1757,2,0.1757,482,0.1757,2025-09-02 13:34:00+00:00
1756820400000,0.175,0.1752,0.175,6,0.1752,651,0.175109,2025-09-02 13:40:00+00:00
1756820580000,0.1752,0.1752,0.1752,1,0.1752,2500,0.1752,2025-09-02 13:43:00+00:00
1756820640000,0.175,0.175,0.175,2,0.175,733,0.175,2025-09-02 13:44:00+00:00
1756821000000,0.175,0.175,0.175,1,0.175,2250,0.175,2025-09-02 13:50:00+00:00
1756821120000,0.175,0.175,0.175,1,0.175,750,0.175,2025-09-02 13:52:00+00:00
