timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756925580000,0.5403,0.5403,0.5401,24,0.5401,10620,0.540279,2025-09-03 18:53:00+00:00
1756925640000,0.5401,0.5403,0.5401,22,0.5403,1209,0.5402,2025-09-03 18:54:00+00:00
1756925700000,0.54,0.5401,0.54,28,0.54,9003,0.540015,2025-09-03 18:55:00+00:00
1756925760000,0.5302,0.54,0.5301,45,0.5399,10614,0.532861,2025-09-03 18:56:00+00:00
1756925820000,0.53,0.5303,0.53,59,0.5301,11270,0.530046,2025-09-03 18:57:00+00:00
1756925880000,0.5322,0.5323,0.5304,36,0.5312,3742,0.531679,2025-09-03 18:58:00+00:00
1756925940000,0.5322,0.5322,0.5311,26,0.5311,760,0.531683,2025-09-03 18:59:00+00:00
1756926000000,0.5301,0.5322,0.53,86,0.5313,13631,0.530543,2025-09-03 19:00:00+00:00
1756926060000,0.5333,0.5333,0.5301,67,0.5301,5561,0.530725,2025-09-03 19:01:00+00:00
1756926120000,0.5331,0.5337,0.5331,27,0.5337,3723,0.53312,2025-09-03 19:02:00+00:00
1756926180000,0.5329,0.533,0.5315,32,0.532,3530,0.532012,2025-09-03 19:03:00+00:00
1756926240000,0.531,0.539,0.5308,88,0.5326,28895,0.532318,2025-09-03 19:04:00+00:00
1756926300000,0.5383,0.5384,0.5301,48,0.5306,13365,0.531189,2025-09-03 19:05:00+00:00
1756926360000,0.5348,0.5373,0.5302,38,0.5373,4915,0.531209,2025-09-03 19:06:00+00:00
1756926420000,0.5388,0.5392,0.5381,26,0.5391,7342,0.539157,2025-09-03 19:07:00+00:00
1756926480000,0.5345,0.5377,0.5303,23,0.5313,4269,0.531147,2025-09-03 19:08:00+00:00
1756926540000,0.53,0.5303,0.53,37,0.5302,5783,0.530051,2025-09-03 19:09:00+00:00
1756926600000,0.5298,0.53,0.5288,29,0.5297,1616,0.529528,2025-09-03 19:10:00+00:00
1756926660000,0.5293,0.5296,0.5288,28,0.5292,6761,0.529214,2025-09-03 19:11:00+00:00
1756926720000,0.5293,0.5296,0.5288,32,0.5296,3297,0.529137,2025-09-03 19:12:00+00:00
1756926780000,0.527,0.5297,0.527,58,0.5297,6023,0.528573,2025-09-03 19:13:00+00:00
1756926840000,0.5241,0.5288,0.524,56,0.5288,4606,0.525907,2025-09-03 19:14:00+00:00
1756926900000,0.527,0.5272,0.524,67,0.5241,4051,0.524922,2025-09-03 19:15:00+00:00
1756926960000,0.5271,0.5271,0.5263,54,0.5271,3954,0.526746,2025-09-03 19:16:00+00:00
1756927020000,0.527,0.5271,0.5256,76,0.5271,15819,0.526458,2025-09-03 19:17:00+00:00
1756927080000,0.5294,0.5294,0.5268,63,0.5268,13765,0.527748,2025-09-03 19:18:00+00:00
1756927140000,0.533,0.533,0.53,48,0.5302,7568,0.530168,2025-09-03 19:19:00+00:00
1756927200000,0.5357,0.5357,0.534,36,0.535,879,0.534541,2025-09-03 19:20:00+00:00
1756927260000,0.5336,0.5357,0.5314,31,0.5357,1925,0.533195,2025-09-03 19:21:00+00:00
1756927320000,0.5357,0.5357,0.5314,20,0.5314,787,0.53334,2025-09-03 19:22:00+00:00
1756927380000,0.5357,0.5357,0.5302,30,0.534,1365,0.532331,2025-09-03 19:23:00+00:00
1756927440000,0.5348,0.5356,0.5329,27,0.5329,2140,0.53389,2025-09-03 19:24:00+00:00
1756927500000,0.5329,0.5357,0.5302,24,0.5302,2698,0.532208,2025-09-03 19:25:00+00:00
1756927560000,0.533,0.533,0.533,12,0.533,4159,0.533,2025-09-03 19:26:00+00:00
1756927620000,0.5304,0.5326,0.5302,29,0.5302,1703,0.531369,2025-09-03 19:27:00+00:00
1756927680000,0.5321,0.5326,0.5302,30,0.5326,4150,0.530368,2025-09-03 19:28:00+00:00
1756927740000,0.5318,0.5318,0.5318,25,0.5318,228,0.5318,2025-09-03 19:29:00+00:00
1756927800000,0.5302,0.5315,0.5302,37,0.5315,1167,0.530364,2025-09-03 19:30:00+00:00
1756927860000,0.5302,0.5303,0.5302,43,0.5303,837,0.530218,2025-09-03 19:31:00+00:00
1756927920000,0.5303,0.5303,0.5302,37,0.5302,6664,0.530223,2025-09-03 19:32:00+00:00
1756927980000,0.5302,0.5303,0.5302,28,0.5303,1525,0.530268,2025-09-03 19:33:00+00:00
1756928040000,0.527,0.5303,0.527,82,0.5303,21847,0.527868,2025-09-03 19:34:00+00:00
1756928100000,0.5286,0.5286,0.5286,56,0.5286,382,0.5286,2025-09-03 19:35:00+00:00
1756928160000,0.5266,0.5286,0.5266,57,0.5286,2522,0.527686,2025-09-03 19:36:00+00:00
1756928220000,0.5268,0.5269,0.5256,44,0.5268,10078,0.526393,2025-09-03 19:37:00+00:00
1756928280000,0.5268,0.5268,0.5268,27,0.5268,1150,0.5268,2025-09-03 19:38:00+00:00
1756928340000,0.5259,0.5269,0.5259,39,0.5268,3927,0.526741,2025-09-03 19:39:00+00:00
1756928400000,0.5259,0.5259,0.5259,46,0.5259,643,0.5259,2025-09-03 19:40:00+00:00
1756928460000,0.526,0.526,0.5259,68,0.5259,11637,0.525991,2025-09-03 19:41:00+00:00
1756928520000,0.526,0.526,0.5259,64,0.526,10813,0.525978,2025-09-03 19:42:00+00:00
1756928580000,0.5261,0.5266,0.526,68,0.526,7975,0.526111,2025-09-03 19:43:00+00:00
1756928640000,0.526,0.5261,0.526,48,0.5261,4626,0.526096,2025-09-03 19:44:00+00:00
1756928700000,0.5261,0.5261,0.5261,71,0.5261,2195,0.5261,2025-09-03 19:45:00+00:00
1756928760000,0.5261,0.5261,0.526,97,0.526,44193,0.526084,2025-09-03 19:46:00+00:00
1756928820000,0.5292,0.5294,0.5261,130,0.5261,34382,0.528585,2025-09-03 19:47:00+00:00
1756928880000,0.5293,0.5294,0.5286,96,0.5293,55031,0.529281,2025-09-03 19:48:00+00:00
1756928940000,0.5292,0.5294,0.5286,42,0.5294,8118,0.529277,2025-09-03 19:49:00+00:00
1756929000000,0.5278,0.5286,0.5278,47,0.5282,3540,0.528121,2025-09-03 19:50:00+00:00
1756929060000,0.528,0.5286,0.5279,58,0.5286,2788,0.528196,2025-09-03 19:51:00+00:00
1756929120000,0.528,0.528,0.5279,49,0.5279,1604,0.527933,2025-09-03 19:52:00+00:00
1756929180000,0.5279,0.5279,0.5279,36,0.5279,2434,0.5279,2025-09-03 19:53:00+00:00
1756929240000,0.528,0.528,0.5279,38,0.5279,10022,0.527983,2025-09-03 19:54:00+00:00
1756929300000,0.526,0.528,0.526,67,0.5279,11379,0.526967,2025-09-03 19:55:00+00:00
1756929360000,0.5261,0.5261,0.526,48,0.5261,11088,0.52608,2025-09-03 19:56:00+00:00
1756929420000,0.526,0.5261,0.526,47,0.5261,9500,0.526007,2025-09-03 19:57:00+00:00
1756929480000,0.5256,0.5257,0.5256,64,0.5257,6205,0.525633,2025-09-03 19:58:00+00:00
1756929540000,0.5241,0.5256,0.524,57,0.5256,18886,0.524289,2025-09-03 19:59:00+00:00
1756929600000,0.5241,0.5241,0.5241,9,0.5241,13167,0.5241,2025-09-03 20:00:00+00:00
1756992600000,0.5241,0.537,0.5212,43,0.5238,54587,0.525394,2025-09-04 13:30:00+00:00
1756992660000,0.53,0.5303,0.5212,16,0.5212,8166,0.526834,2025-09-04 13:31:00+00:00
1756992720000,0.5304,0.5304,0.5212,21,0.53,29972,0.522264,2025-09-04 13:32:00+00:00
1756992780000,0.525,0.5303,0.5212,41,0.5241,48099,0.524196,2025-09-04 13:33:00+00:00
1756992840000,0.5232,0.5232,0.5232,17,0.5232,206,0.5232,2025-09-04 13:34:00+00:00
1756992900000,0.5223,0.5241,0.5214,23,0.5236,13355,0.522067,2025-09-04 13:35:00+00:00
1756992960000,0.5201,0.5232,0.52,60,0.5223,38779,0.521337,2025-09-04 13:36:00+00:00
1756993020000,0.52,0.5214,0.52,38,0.5201,8581,0.520434,2025-09-04 13:37:00+00:00
1756993080000,0.5209,0.5211,0.5209,14,0.5211,545,0.52095,2025-09-04 13:38:00+00:00
1756993140000,0.5201,0.5201,0.52,40,0.5201,17903,0.520081,2025-09-04 13:39:00+00:00
1756993200000,0.52,0.5205,0.52,30,0.5201,10881,0.520129,2025-09-04 13:40:00+00:00
1756993260000,0.5208,0.5212,0.52,36,0.5212,3258,0.520613,2025-09-04 13:41:00+00:00
1756993320000,0.5213,0.5214,0.5201,20,0.5213,1472,0.520864,2025-09-04 13:42:00+00:00
1756993380000,0.5202,0.5208,0.52,14,0.5201,1348,0.520408,2025-09-04 13:43:00+00:00
1756993440000,0.5211,0.5214,0.5172,56,0.5207,32627,0.518338,2025-09-04 13:44:00+00:00
1756993500000,0.5173,0.5201,0.5173,27,0.5201,1751,0.518543,2025-09-04 13:45:00+00:00
1756993560000,0.521,0.521,0.5186,33,0.5187,2502,0.518947,2025-09-04 13:46:00+00:00
1756993620000,0.5195,0.521,0.5195,26,0.521,1136,0.520864,2025-09-04 13:47:00+00:00
1756993680000,0.516,0.5198,0.516,41,0.5198,1521,0.518561,2025-09-04 13:48:00+00:00
1756993740000,0.516,0.5196,0.516,24,0.5178,10644,0.516752,2025-09-04 13:49:00+00:00
1756993800000,0.5155,0.5155,0.5155,16,0.5155,534,0.5155,2025-09-04 13:50:00+00:00
1756993860000,0.5151,0.5199,0.515,46,0.5152,23111,0.515561,2025-09-04 13:51:00+00:00
1756993920000,0.515,0.515,0.515,22,0.515,28096,0.515,2025-09-04 13:52:00+00:00
1756993980000,0.515,0.5151,0.515,24,0.515,11026,0.515005,2025-09-04 13:53:00+00:00
1756994040000,0.515,0.5151,0.515,31,0.5151,3069,0.515074,2025-09-04 13:54:00+00:00
1756994100000,0.515,0.515,0.515,33,0.515,31777,0.515,2025-09-04 13:55:00+00:00
1756994160000,0.5151,0.5151,0.515,31,0.515,1092,0.515013,2025-09-04 13:56:00+00:00
1756994220000,0.5151,0.5151,0.515,17,0.515,567,0.515056,2025-09-04 13:57:00+00:00
1756994280000,0.5151,0.5151,0.515,19,0.5151,6200,0.515084,2025-09-04 13:58:00+00:00
1756994340000,0.5151,0.5151,0.515,36,0.515,880,0.515013,2025-09-04 13:59:00+00:00
1756994400000,0.5151,0.5151,0.515,30,0.515,15471,0.515085,2025-09-04 14:00:00+00:00
1756994460000,0.5151,0.5151,0.515,21,0.5151,9307,0.515094,2025-09-04 14:01:00+00:00
1756994520000,0.515,0.5151,0.515,16,0.5151,964,0.515014,2025-09-04 14:02:00+00:00
1756994580000,0.5151,0.5151,0.515,33,0.5151,7233,0.515043,2025-09-04 14:03:00+00:00
1756994640000,0.515,0.5151,0.515,30,0.515,7034,0.515001,2025-09-04 14:04:00+00:00
1756994700000,0.515,0.515,0.515,11,0.515,287,0.515,2025-09-04 14:05:00+00:00
1756994760000,0.515,0.5151,0.515,32,0.5151,9672,0.515002,2025-09-04 14:06:00+00:00
1756994820000,0.515,0.5151,0.515,21,0.5151,2023,0.515041,2025-09-04 14:07:00+00:00
1756994880000,0.5151,0.5151,0.515,31,0.515,10552,0.515001,2025-09-04 14:08:00+00:00
1756994940000,0.5151,0.5151,0.5151,26,0.5151,522,0.5151,2025-09-04 14:09:00+00:00
1756995000000,0.515,0.5151,0.515,14,0.5151,875,0.515043,2025-09-04 14:10:00+00:00
1756995060000,0.5151,0.5151,0.5151,20,0.5151,544,0.5151,2025-09-04 14:11:00+00:00
1756995120000,0.515,0.515,0.515,24,0.515,520,0.515,2025-09-04 14:12:00+00:00
1756995180000,0.515,0.515,0.515,34,0.515,152,0.515,2025-09-04 14:13:00+00:00
1756995240000,0.5151,0.5151,0.515,27,0.515,4562,0.515011,2025-09-04 14:14:00+00:00
1756995300000,0.5125,0.5151,0.5125,86,0.515,16694,0.514208,2025-09-04 14:15:00+00:00
1756995360000,0.5123,0.5133,0.5123,60,0.5125,9356,0.512813,2025-09-04 14:16:00+00:00
1756995420000,0.5115,0.5122,0.5115,70,0.5122,21390,0.51178,2025-09-04 14:17:00+00:00
