timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757512320000,2.191,2.191,2.191,4,2.191,1019,2.191,2025-09-10 13:52:00+00:00
1757512380000,2.1994,2.1994,2.1994,5,2.1994,356,2.1994,2025-09-10 13:53:00+00:00
1757512500000,2.1703,2.1703,2.1703,2,2.1703,808,2.1703,2025-09-10 13:55:00+00:00
1757512560000,2.1701,2.1994,2.1701,5,2.1994,1297,2.174232,2025-09-10 13:56:00+00:00
1757512620000,2.1987,2.2,2.1987,5,2.2,1160,2.198832,2025-09-10 13:57:00+00:00
1757512680000,2.2121,2.2121,2.2,17,2.2,2620,2.208865,2025-09-10 13:58:00+00:00
1757512740000,2.2299,2.2299,2.2299,4,2.2299,5046,2.2299,2025-09-10 13:59:00+00:00
1757512800000,2.2285,2.2285,2.2285,4,2.2285,1056,2.2285,2025-09-10 14:00:00+00:00
1757512920000,2.25,2.2696,2.23,32,2.23,9451,2.258278,2025-09-10 14:02:00+00:00
1757512980000,2.2599,2.26,2.25,25,2.26,11126,2.258993,2025-09-10 14:03:00+00:00
1757513040000,2.27,2.27,2.25,30,2.2582,6030,2.265518,2025-09-10 14:04:00+00:00
1757513100000,2.29,2.2926,2.2732,12,2.2926,2082,2.288772,2025-09-10 14:05:00+00:00
1757513160000,2.2801,2.2893,2.2801,2,2.2893,2300,2.2881,2025-09-10 14:06:00+00:00
1757513220000,2.28,2.2999,2.28,12,2.2818,4993,2.285292,2025-09-10 14:07:00+00:00
1757513280000,2.28,2.28,2.27,16,2.27,2449,2.274268,2025-09-10 14:08:00+00:00
1757513340000,2.28,2.28,2.2562,16,2.26,2273,2.270989,2025-09-10 14:09:00+00:00
1757513460000,2.27,2.28,2.27,2,2.28,5400,2.270741,2025-09-10 14:11:00+00:00
1757513580000,2.265,2.28,2.265,4,2.28,513,2.273915,2025-09-10 14:13:00+00:00
1757513640000,2.2744,2.3,2.2744,15,2.28,2786,2.280365,2025-09-10 14:14:00+00:00
1757513700000,2.31,2.31,2.295,42,2.3,15959,2.308094,2025-09-10 14:15:00+00:00
1757513760000,2.3091,2.3091,2.29,21,2.2901,6646,2.290648,2025-09-10 14:16:00+00:00
