timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756926720000,14.73,14.73,14.67,32,14.67,1836,14.714615,2025-09-03 19:12:00+00:00
1756926780000,14.71,14.71,14.71,10,14.71,227,14.71,2025-09-03 19:13:00+00:00
1756926840000,14.74,14.75,14.71,56,14.71,3339,14.732381,2025-09-03 19:14:00+00:00
1756926900000,14.73,14.74,14.73,3,14.74,353,14.733333,2025-09-03 19:15:00+00:00
1756926960000,14.73,14.74,14.72,11,14.73,778,14.730323,2025-09-03 19:16:00+00:00
1756927020000,14.745,14.78,14.73,45,14.74,2342,14.747058,2025-09-03 19:17:00+00:00
1756927080000,14.73,14.75,14.73,7,14.745,549,14.741,2025-09-03 19:18:00+00:00
1756927140000,14.745,14.745,14.73,10,14.745,694,14.74,2025-09-03 19:19:00+00:00
1756927200000,14.69,14.77,14.69,122,14.73,5588,14.732615,2025-09-03 19:20:00+00:00
1756927260000,14.7,14.7,14.7,4,14.7,203,14.7,2025-09-03 19:21:00+00:00
1756927320000,14.73,14.73,14.69,24,14.69,1072,14.722308,2025-09-03 19:22:00+00:00
1756927380000,14.68,14.735,14.68,14,14.735,697,14.69625,2025-09-03 19:23:00+00:00
1756927440000,14.69,14.69,14.69,18,14.69,426,14.69,2025-09-03 19:24:00+00:00
1756927500000,14.62,14.64,14.62,38,14.64,1651,14.63,2025-09-03 19:25:00+00:00
1756927620000,14.6,14.64,14.6,37,14.635,1467,14.617243,2025-09-03 19:27:00+00:00
1756927740000,14.57,14.57,14.57,17,14.57,479,14.57,2025-09-03 19:29:00+00:00
1756927800000,14.5,14.57,14.5,16,14.57,655,14.554,2025-09-03 19:30:00+00:00
1756927920000,14.54,14.5947,14.54,25,14.5947,1364,14.560128,2025-09-03 19:32:00+00:00
1756927980000,14.55,14.56,14.54,21,14.54,1418,14.550455,2025-09-03 19:33:00+00:00
1756928040000,14.54,14.54,14.54,3,14.54,104,14.54,2025-09-03 19:34:00+00:00
1756928100000,14.52,14.55,14.52,7,14.55,255,14.535,2025-09-03 19:35:00+00:00
1756928160000,14.55,14.55,14.55,9,14.55,160,14.55,2025-09-03 19:36:00+00:00
1756928220000,14.55,14.55,14.55,8,14.55,157,14.55,2025-09-03 19:37:00+00:00
1756928280000,14.55,14.57,14.54,22,14.55,1050,14.554353,2025-09-03 19:38:00+00:00
1756928340000,14.53,14.55,14.53,8,14.55,310,14.54,2025-09-03 19:39:00+00:00
1756928400000,14.5,14.53,14.5,38,14.53,1666,14.517804,2025-09-03 19:40:00+00:00
1756928460000,14.48,14.48,14.48,16,14.48,447,14.48,2025-09-03 19:41:00+00:00
1756928520000,14.48,14.48,14.48,3,14.48,164,14.48,2025-09-03 19:42:00+00:00
1756928580000,14.485,14.53,14.485,54,14.51,2056,14.503868,2025-09-03 19:43:00+00:00
1756928640000,14.46,14.5,14.46,10,14.5,627,14.492,2025-09-03 19:44:00+00:00
1756928700000,14.47,14.49,14.47,10,14.49,375,14.48,2025-09-03 19:45:00+00:00
1756928760000,14.545,14.58,14.49,43,14.49,1232,14.535,2025-09-03 19:46:00+00:00
1756928820000,14.635,14.66,14.545,60,14.545,3382,14.616818,2025-09-03 19:47:00+00:00
1756928880000,14.58,14.61,14.58,43,14.6,2363,14.591538,2025-09-03 19:48:00+00:00
1756929000000,14.54,14.6,14.54,42,14.57,1679,14.554167,2025-09-03 19:50:00+00:00
1756929060000,14.54,14.595,14.54,27,14.54,1141,14.555,2025-09-03 19:51:00+00:00
1756929120000,14.55,14.6,14.54,65,14.54,3350,14.577232,2025-09-03 19:52:00+00:00
1756929180000,14.575,14.63,14.56,56,14.62,4357,14.582964,2025-09-03 19:53:00+00:00
1756929240000,14.58,14.59,14.56,111,14.56,5977,14.573727,2025-09-03 19:54:00+00:00
1756929300000,14.59,14.62,14.58,53,14.58,2983,14.601633,2025-09-03 19:55:00+00:00
1756929360000,14.515,14.63,14.51,262,14.615,19865,14.574731,2025-09-03 19:56:00+00:00
1756929420000,14.48,14.51,14.45,66,14.51,4253,14.479177,2025-09-03 19:57:00+00:00
1756929480000,14.4,14.495,14.39,119,14.47,7318,14.436646,2025-09-03 19:58:00+00:00
1756929540000,14.385,14.43,14.355,141,14.405,7263,14.393922,2025-09-03 19:59:00+00:00
1756929600000,14.4,14.4,14.4,4,14.4,17621,14.4,2025-09-03 20:00:00+00:00
1756992600000,14.4,14.41,14.4,8,14.41,703,14.408387,2025-09-04 13:30:00+00:00
1756992660000,14.95,14.95,14.95,3,14.95,1008,14.95,2025-09-04 13:31:00+00:00
1756992900000,14.41,14.41,14.41,11,14.41,249,14.41,2025-09-04 13:35:00+00:00
1756993560000,14.07,14.42,14.01,56,14.4,4634,14.21873,2025-09-04 13:46:00+00:00
1756993740000,13.99,13.99,13.99,2,13.99,196,13.99,2025-09-04 13:49:00+00:00
1756993860000,13.71,13.82,13.65,36,13.75,3302,13.758632,2025-09-04 13:51:00+00:00
1756994040000,13.9574,13.9574,13.9574,6,13.9574,379,13.9574,2025-09-04 13:54:00+00:00
1756994160000,13.75,13.99,13.75,29,13.925,1574,13.807424,2025-09-04 13:56:00+00:00
1756994220000,13.765,13.78,13.765,6,13.78,306,13.7725,2025-09-04 13:57:00+00:00
1756994280000,13.76,13.76,13.76,6,13.76,301,13.76,2025-09-04 13:58:00+00:00
1756994340000,13.96,13.96,13.96,2,13.96,142,13.96,2025-09-04 13:59:00+00:00
1756994400000,13.96,13.96,13.96,4,13.96,106,13.96,2025-09-04 14:00:00+00:00
1756994460000,13.93,14.11,13.93,7,14.11,1577,13.99,2025-09-04 14:01:00+00:00
1756994520000,14.0475,14.0475,13.92,2,13.92,200,13.98375,2025-09-04 14:02:00+00:00
1756994640000,13.79,13.81,13.79,9,13.81,650,13.798,2025-09-04 14:04:00+00:00
1756994700000,13.845,13.845,13.845,4,13.845,154,13.845,2025-09-04 14:05:00+00:00
1756994820000,13.61,13.82,13.61,6,13.82,599,13.762727,2025-09-04 14:07:00+00:00
1756994940000,13.79,13.79,13.61,5,13.61,266,13.7,2025-09-04 14:09:00+00:00
1756995000000,13.61,13.635,13.61,7,13.635,835,13.624667,2025-09-04 14:10:00+00:00
1756995120000,13.73,13.73,13.73,2,13.73,101,13.73,2025-09-04 14:12:00+00:00
1756995240000,13.73,13.73,13.73,8,13.73,380,13.73,2025-09-04 14:14:00+00:00
1756995300000,13.57,13.705,13.57,18,13.705,502,13.658333,2025-09-04 14:15:00+00:00
1756995480000,13.55,13.55,13.55,6,13.55,136,13.55,2025-09-04 14:18:00+00:00
1756995540000,13.9,13.9,13.9,12,13.9,5338,13.9,2025-09-04 14:19:00+00:00
