timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755792600000,4.6273,4.6273,4.6273,1,4.6273,115,4.6273,2025-08-21 16:10:00+00:00
1755793620000,4.64,4.64,4.64,7,4.64,403,4.64,2025-08-21 16:27:00+00:00
1755793860000,4.64,4.64,4.64,5,4.64,122,4.64,2025-08-21 16:31:00+00:00
1755793920000,4.64,4.64,4.64,1,4.64,100,4.64,2025-08-21 16:32:00+00:00
1755794040000,4.62,4.62,4.62,11,4.62,403,4.62,2025-08-21 16:34:00+00:00
1755794100000,4.62,4.62,4.62,3,4.62,497,4.62,2025-08-21 16:35:00+00:00
1755794160000,4.62,4.62,4.62,20,4.62,986,4.62,2025-08-21 16:36:00+00:00
1755794220000,4.58,4.6,4.58,16,4.6,607,4.596,2025-08-21 16:37:00+00:00
1755794580000,4.54,4.55,4.54,15,4.55,712,4.548319,2025-08-21 16:43:00+00:00
1755796320000,4.58,4.58,4.58,5,4.58,302,4.58,2025-08-21 17:12:00+00:00
1755796440000,4.55,4.55,4.55,6,4.55,402,4.55,2025-08-21 17:14:00+00:00
1755797880000,4.59,4.59,4.59,1,4.59,580,4.59,2025-08-21 17:38:00+00:00
1755798360000,4.6,4.6,4.59,9,4.6,641,4.598305,2025-08-21 17:46:00+00:00
1755798720000,4.57,4.59,4.57,15,4.59,734,4.583333,2025-08-21 17:52:00+00:00
1755799500000,4.5856,4.5856,4.5856,1,4.5856,100,4.5856,2025-08-21 18:05:00+00:00
1755802500000,4.59,4.59,4.5699,26,4.58,4198,4.571952,2025-08-21 18:55:00+00:00
1755802560000,4.58,4.58,4.57,18,4.57,645,4.575,2025-08-21 18:56:00+00:00
1755802620000,4.54,4.56,4.54,13,4.56,871,4.55,2025-08-21 18:57:00+00:00
1755802740000,4.54,4.54,4.54,12,4.54,365,4.54,2025-08-21 18:59:00+00:00
1755802860000,4.535,4.535,4.535,1,4.535,100,4.535,2025-08-21 19:01:00+00:00
1755803280000,4.53,4.53,4.53,2,4.53,603,4.53,2025-08-21 19:08:00+00:00
1755803340000,4.57,4.57,4.53,31,4.53,2172,4.544768,2025-08-21 19:09:00+00:00
1755803400000,4.57,4.57,4.57,32,4.57,570,4.57,2025-08-21 19:10:00+00:00
1755803700000,4.54,4.56,4.54,18,4.56,1081,4.553333,2025-08-21 19:15:00+00:00
1755804600000,4.55,4.55,4.54,44,4.55,1795,4.549002,2025-08-21 19:30:00+00:00
1755804660000,4.52,4.545,4.52,17,4.545,825,4.528932,2025-08-21 19:31:00+00:00
1755804780000,4.53,4.53,4.53,2,4.53,102,4.53,2025-08-21 19:33:00+00:00
1755804960000,4.53,4.53,4.53,1,4.53,100,4.53,2025-08-21 19:36:00+00:00
1755805020000,4.51,4.51,4.51,14,4.51,528,4.51,2025-08-21 19:37:00+00:00
1755805260000,4.52,4.52,4.52,9,4.52,327,4.52,2025-08-21 19:41:00+00:00
