timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754919000000,1.115,1.13,1.115,14,1.13,6131,1.129403,2025-08-11 13:30:00+00:00
1754919060000,1.1034,1.1034,1.1034,2,1.1034,1405,1.1034,2025-08-11 13:31:00+00:00
1754919120000,1.115,1.1263,1.115,5,1.1263,1560,1.11758,2025-08-11 13:32:00+00:00
1754919180000,1.12,1.12,1.12,5,1.12,617,1.12,2025-08-11 13:33:00+00:00
1754919240000,1.11,1.11,1.1066,3,1.1066,465,1.1083,2025-08-11 13:34:00+00:00
1754919300000,1.1,1.1,1.1,2,1.1,4001,1.1,2025-08-11 13:35:00+00:00
1754919360000,1.1,1.11,1.09,19,1.11,5126,1.100807,2025-08-11 13:36:00+00:00
1754919480000,1.08,1.0801,1.08,9,1.0801,1178,1.080009,2025-08-11 13:38:00+00:00
1754919540000,1.08,1.08,1.08,8,1.08,1065,1.08,2025-08-11 13:39:00+00:00
1754919660000,1.07,1.07,1.07,1,1.07,500,1.07,2025-08-11 13:41:00+00:00
1754919720000,1.07,1.07,1.07,5,1.07,1263,1.07,2025-08-11 13:42:00+00:00
1754919900000,1.0693,1.0693,1.0693,2,1.0693,1101,1.0693,2025-08-11 13:45:00+00:00
1754919960000,1.07,1.07,1.07,3,1.07,1151,1.07,2025-08-11 13:46:00+00:00
1754920080000,1.0615,1.0799,1.0615,2,1.0799,6068,1.076662,2025-08-11 13:48:00+00:00
1754920260000,1.061,1.061,1.061,1,1.061,3000,1.061,2025-08-11 13:51:00+00:00
1754920440000,1.0641,1.0641,1.0641,1,1.0641,100,1.0641,2025-08-11 13:54:00+00:00
1754920560000,1.06,1.06,1.06,2,1.06,368,1.06,2025-08-11 13:56:00+00:00
1754920680000,1.06,1.06,1.06,1,1.06,336,1.06,2025-08-11 13:58:00+00:00
1754920740000,1.06,1.06,1.06,3,1.06,172,1.06,2025-08-11 13:59:00+00:00
1754920920000,1.07,1.07,1.065,2,1.065,300,1.068333,2025-08-11 14:02:00+00:00
1754920980000,1.06,1.06,1.06,1,1.06,299,1.06,2025-08-11 14:03:00+00:00
1754921040000,1.065,1.065,1.065,2,1.065,331,1.065,2025-08-11 14:04:00+00:00
1754921100000,1.065,1.065,1.0601,29,1.065,7995,1.061929,2025-08-11 14:05:00+00:00
1754921220000,1.0601,1.0601,1.0601,1,1.0601,200,1.0601,2025-08-11 14:07:00+00:00
1754921280000,1.06,1.06,1.06,1,1.06,100,1.06,2025-08-11 14:08:00+00:00
1754921340000,1.065,1.065,1.06,11,1.06,567,1.06232,2025-08-11 14:09:00+00:00
1754921700000,1.065,1.065,1.065,2,1.065,2000,1.065,2025-08-11 14:15:00+00:00
1754921820000,1.06,1.06,1.06,8,1.06,2267,1.06,2025-08-11 14:17:00+00:00
1754921880000,1.06,1.06,1.06,2,1.06,120,1.06,2025-08-11 14:18:00+00:00
1754922000000,1.05,1.06,1.05,6,1.06,2051,1.050488,2025-08-11 14:20:00+00:00
1754922240000,1.05,1.05,1.05,4,1.05,686,1.05,2025-08-11 14:24:00+00:00
1754922480000,1.045,1.045,1.045,2,1.045,2540,1.045,2025-08-11 14:28:00+00:00
1754922540000,1.045,1.045,1.045,3,1.045,228,1.045,2025-08-11 14:29:00+00:00
1754922960000,1.0495,1.0495,1.0495,1,1.0495,2500,1.0495,2025-08-11 14:36:00+00:00
1754923560000,1.0488,1.0488,1.0488,2,1.0488,1908,1.0488,2025-08-11 14:46:00+00:00
1754923740000,1.05,1.05,1.05,1,1.05,3500,1.05,2025-08-11 14:49:00+00:00
1754923980000,1.02,1.0203,1.02,9,1.0203,1244,1.020028,2025-08-11 14:53:00+00:00
1754924100000,1.02,1.02,1.02,1,1.02,700,1.02,2025-08-11 14:55:00+00:00
1754924520000,1.12,1.12,1.045,55,1.045,17379,1.071987,2025-08-11 15:02:00+00:00
1754924700000,1.12,1.12,1.12,2,1.12,468,1.12,2025-08-11 15:05:00+00:00
1754925180000,1.1299,1.13,1.1299,7,1.1299,2500,1.129966,2025-08-11 15:13:00+00:00
1754925360000,1.13,1.13,1.125,7,1.1299,3000,1.129653,2025-08-11 15:16:00+00:00
1754925540000,1.12,1.12,1.12,1,1.12,1000,1.12,2025-08-11 15:19:00+00:00
1754925600000,1.1201,1.1201,1.1201,1,1.1201,145,1.1201,2025-08-11 15:20:00+00:00
