timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757512200000,36.5005,36.5931,36.5005,40,36.5931,1398,36.5695,2025-09-10 13:50:00+00:00
1757512260000,36.47,36.6,36.46,63,36.51,2318,36.55375,2025-09-10 13:51:00+00:00
1757512320000,36.32,36.32,36.32,18,36.32,344,36.32,2025-09-10 13:52:00+00:00
1757512380000,36.26,36.32,36.25,78,36.32,3052,36.290474,2025-09-10 13:53:00+00:00
1757512440000,36.2731,36.2731,36.2731,13,36.2731,546,36.2731,2025-09-10 13:54:00+00:00
1757512500000,36.345,36.345,36.3,17,36.3,755,36.33,2025-09-10 13:55:00+00:00
1757512560000,36.35,36.41,36.34,90,36.355,8130,36.370632,2025-09-10 13:56:00+00:00
1757512620000,36.515,36.54,36.355,54,36.42,4151,36.437137,2025-09-10 13:57:00+00:00
1757512680000,36.6,36.6,36.525,20,36.525,991,36.582037,2025-09-10 13:58:00+00:00
1757512740000,36.9,36.9,36.6475,30,36.6475,610,36.7375,2025-09-10 13:59:00+00:00
1757512800000,36.715,36.9,36.67,55,36.9,3214,36.76723,2025-09-10 14:00:00+00:00
1757512860000,36.73,36.785,36.73,21,36.785,723,36.7575,2025-09-10 14:01:00+00:00
1757512920000,36.665,36.82,36.63,31,36.7,2132,36.766736,2025-09-10 14:02:00+00:00
1757512980000,36.47,36.6742,36.47,83,36.665,4294,36.535602,2025-09-10 14:03:00+00:00
1757513040000,36.525,36.56,36.39,64,36.56,6455,36.421166,2025-09-10 14:04:00+00:00
1757513100000,36.4825,36.4825,36.4575,17,36.4575,658,36.4725,2025-09-10 14:05:00+00:00
1757513160000,36.475,36.5799,36.44,159,36.5799,6493,36.511845,2025-09-10 14:06:00+00:00
1757513220000,36.695,36.695,36.475,112,36.52,5509,36.590049,2025-09-10 14:07:00+00:00
1757513280000,36.87,36.87,36.76,38,36.76,2557,36.832684,2025-09-10 14:08:00+00:00
1757513340000,36.8,36.82,36.78,64,36.78,3468,36.803307,2025-09-10 14:09:00+00:00
1757513400000,36.87,36.87,36.805,14,36.805,507,36.835,2025-09-10 14:10:00+00:00
1757513460000,36.895,36.895,36.895,17,36.895,1983,36.895,2025-09-10 14:11:00+00:00
1757513520000,36.78,36.83,36.78,55,36.83,1455,36.82,2025-09-10 14:12:00+00:00
1757513580000,36.835,36.835,36.82,28,36.82,1199,36.825,2025-09-10 14:13:00+00:00
1757513640000,36.825,36.825,36.825,8,36.825,331,36.825,2025-09-10 14:14:00+00:00
1757513700000,36.88,36.94,36.83,128,36.87,7358,36.874537,2025-09-10 14:15:00+00:00
1757513820000,36.88,36.88,36.88,36,36.88,1383,36.88,2025-09-10 14:17:00+00:00
1757513880000,36.88,36.9307,36.88,22,36.9307,944,36.90535,2025-09-10 14:18:00+00:00
1757513940000,36.89,36.89,36.88,40,36.88,1307,36.88625,2025-09-10 14:19:00+00:00
1757514000000,36.9399,36.9399,36.85,32,36.85,2044,36.884577,2025-09-10 14:20:00+00:00
1757514060000,36.94,36.94,36.86,19,36.86,876,36.886866,2025-09-10 14:21:00+00:00
1757514120000,36.88,36.9266,36.88,31,36.9266,1284,36.88932,2025-09-10 14:22:00+00:00
1757514180000,36.81,36.88,36.81,60,36.88,2828,36.822459,2025-09-10 14:23:00+00:00
1757514240000,36.77,36.82,36.77,48,36.82,1128,36.78471,2025-09-10 14:24:00+00:00
1757514300000,36.835,36.835,36.835,20,36.835,603,36.835,2025-09-10 14:25:00+00:00
1757514360000,36.74,36.785,36.7,77,36.785,3283,36.735372,2025-09-10 14:26:00+00:00
1757514420000,36.7,36.74,36.69,44,36.74,1645,36.714531,2025-09-10 14:27:00+00:00
1757514480000,36.735,36.7438,36.735,15,36.7438,607,36.737792,2025-09-10 14:28:00+00:00
1757514540000,36.835,36.835,36.725,190,36.78,9970,36.784776,2025-09-10 14:29:00+00:00
1757514600000,36.84,36.91,36.82,33,36.91,2077,36.841657,2025-09-10 14:30:00+00:00
1757514660000,36.92,36.92,36.815,24,36.87,987,36.894498,2025-09-10 14:31:00+00:00
1757514720000,36.875,36.94,36.84,132,36.94,6732,36.886113,2025-09-10 14:32:00+00:00
1757514780000,36.895,36.895,36.89,24,36.895,645,36.893333,2025-09-10 14:33:00+00:00
1757514840000,36.68,36.86,36.68,102,36.85,4303,36.789848,2025-09-10 14:34:00+00:00
1757514900000,36.68,36.68,36.68,13,36.68,248,36.68,2025-09-10 14:35:00+00:00
1757514960000,36.85,36.87,36.74,96,36.76,29659,36.766886,2025-09-10 14:36:00+00:00
1757515020000,36.815,36.815,36.795,20,36.795,672,36.8,2025-09-10 14:37:00+00:00
1757515080000,36.71,36.795,36.67,115,36.73,5689,36.715741,2025-09-10 14:38:00+00:00
1757515260000,36.65,36.65,36.59,82,36.62,2459,36.611793,2025-09-10 14:41:00+00:00
1757515320000,36.67,36.67,36.66,34,36.66,945,36.6675,2025-09-10 14:42:00+00:00
1757515380000,36.79,36.79,36.72,86,36.72,4828,36.746179,2025-09-10 14:43:00+00:00
1757515440000,36.88,36.88,36.88,8,36.88,262,36.88,2025-09-10 14:44:00+00:00
1757515500000,37.09,37.17,36.84,121,36.84,7668,37.011065,2025-09-10 14:45:00+00:00
1757515560000,37.21,37.21,37.21,15,37.21,696,37.21,2025-09-10 14:46:00+00:00
1757515620000,37.38,37.38,37.17,115,37.17,9685,37.298036,2025-09-10 14:47:00+00:00
1757515680000,37.21,37.38,37.2,90,37.32,8073,37.263956,2025-09-10 14:48:00+00:00
1757515740000,37.205,37.3,37.1,25,37.12,3384,37.234737,2025-09-10 14:49:00+00:00
1757515800000,37.17,37.31,37.07,122,37.2151,6438,37.193345,2025-09-10 14:50:00+00:00
1757515860000,37.25,37.25,37.22,23,37.22,1480,37.225993,2025-09-10 14:51:00+00:00
1757515920000,37.18,37.18,37.16,23,37.16,723,37.166667,2025-09-10 14:52:00+00:00
1757515980000,37.09,37.17,37.07,46,37.17,1225,37.105,2025-09-10 14:53:00+00:00
1757516040000,37.11,37.18,37.105,22,37.105,1037,37.115,2025-09-10 14:54:00+00:00
1757516100000,37.105,37.12,37.105,21,37.11,929,37.109167,2025-09-10 14:55:00+00:00
1757516160000,37.01,37.105,37.01,48,37.105,2167,37.063077,2025-09-10 14:56:00+00:00
1757516220000,37.075,37.075,37.075,19,37.075,566,37.075,2025-09-10 14:57:00+00:00
1757516280000,36.98,36.98,36.98,38,36.98,1032,36.98,2025-09-10 14:58:00+00:00
1757516340000,37.0769,37.0769,37.03,43,37.03,2283,37.04983,2025-09-10 14:59:00+00:00
1757516400000,37.12,37.12,37.035,121,37.0769,6133,37.069015,2025-09-10 15:00:00+00:00
1757516460000,37.06,37.12,37.06,34,37.07,1306,37.082857,2025-09-10 15:01:00+00:00
1757516520000,37.1,37.1,37.06,16,37.07,755,37.0825,2025-09-10 15:02:00+00:00
1757516580000,37.075,37.12,37.075,42,37.11,1484,37.104868,2025-09-10 15:03:00+00:00
1757516640000,36.95,37.075,36.95,128,37.07,5898,37.019747,2025-09-10 15:04:00+00:00
1757516700000,37.05,37.05,37.005,53,37.03,2307,37.033214,2025-09-10 15:05:00+00:00
1757516820000,36.87,36.96,36.86,50,36.96,1107,36.908997,2025-09-10 15:07:00+00:00
1757516880000,36.94,36.94,36.84,52,36.845,2258,36.885667,2025-09-10 15:08:00+00:00
1757516940000,37.02,37.03,36.96,53,36.98,3120,36.988698,2025-09-10 15:09:00+00:00
1757517000000,37.023,37.1,36.94,56,36.98,4058,37.008093,2025-09-10 15:10:00+00:00
1757517060000,36.975,36.99,36.91,41,36.93,1529,36.945,2025-09-10 15:11:00+00:00
1757517120000,36.95,36.97,36.87,25,36.97,807,36.915,2025-09-10 15:12:00+00:00
