timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758045720000,1.755,1.755,1.75,31,1.75,5400,1.752284,2025-09-16 18:02:00+00:00
1758045780000,1.745,1.7558,1.7406,139,1.7558,63112,1.749301,2025-09-16 18:03:00+00:00
1758045840000,1.7401,1.75,1.74,53,1.7494,56454,1.745476,2025-09-16 18:04:00+00:00
1758045900000,1.745,1.76,1.74,461,1.74,330104,1.750819,2025-09-16 18:05:00+00:00
1758045960000,1.745,1.75,1.745,101,1.7499,34449,1.749267,2025-09-16 18:06:00+00:00
1758046020000,1.745,1.76,1.7406,201,1.7455,72604,1.750948,2025-09-16 18:07:00+00:00
1758046080000,1.75,1.7599,1.7425,140,1.75,73459,1.749074,2025-09-16 18:08:00+00:00
1758046140000,1.7702,1.785,1.75,356,1.75,193513,1.765057,2025-09-16 18:09:00+00:00
1758046200000,1.7759,1.78,1.77,313,1.78,128386,1.776439,2025-09-16 18:10:00+00:00
1758046260000,1.7772,1.7799,1.77,101,1.775,40208,1.777367,2025-09-16 18:11:00+00:00
1758046320000,1.765,1.78,1.76,146,1.778,57917,1.772166,2025-09-16 18:12:00+00:00
1758046380000,1.76,1.7699,1.76,123,1.765,42473,1.762905,2025-09-16 18:13:00+00:00
1758046440000,1.765,1.77,1.76,131,1.7694,64979,1.763246,2025-09-16 18:14:00+00:00
1758046500000,1.77,1.775,1.76,192,1.77,66797,1.768211,2025-09-16 18:15:00+00:00
1758046560000,1.77,1.78,1.77,144,1.77,44208,1.776123,2025-09-16 18:16:00+00:00
1758046620000,1.8099,1.81,1.775,486,1.775,354219,1.794829,2025-09-16 18:17:00+00:00
1758046680000,1.7964,1.82,1.78,622,1.805,325341,1.799673,2025-09-16 18:18:00+00:00
1758046740000,1.8,1.81,1.79,207,1.79,232596,1.800036,2025-09-16 18:19:00+00:00
1758046800000,1.805,1.81,1.8,132,1.8089,46201,1.805929,2025-09-16 18:20:00+00:00
1758046860000,1.83,1.83,1.8,417,1.8045,228279,1.81509,2025-09-16 18:21:00+00:00
1758046920000,1.835,1.835,1.82,283,1.8207,129634,1.826934,2025-09-16 18:22:00+00:00
1758046980000,1.855,1.86,1.83,591,1.835,433222,1.843853,2025-09-16 18:23:00+00:00
1758047040000,1.8346,1.86,1.83,309,1.86,131430,1.844767,2025-09-16 18:24:00+00:00
1758047100000,1.84,1.85,1.83,276,1.835,140821,1.838189,2025-09-16 18:25:00+00:00
1758047160000,1.84,1.85,1.83,217,1.83,83881,1.843756,2025-09-16 18:26:00+00:00
1758047220000,1.85,1.86,1.84,305,1.84,277797,1.849228,2025-09-16 18:27:00+00:00
1758047280000,1.855,1.87,1.85,382,1.8574,186222,1.859436,2025-09-16 18:28:00+00:00
1758047340000,1.855,1.86,1.85,103,1.855,50318,1.85688,2025-09-16 18:29:00+00:00
1758047400000,1.835,1.86,1.8307,395,1.86,130507,1.848131,2025-09-16 18:30:00+00:00
1758047460000,1.8399,1.84,1.8335,134,1.835,49977,1.838786,2025-09-16 18:31:00+00:00
1758047520000,1.84,1.84,1.8325,135,1.8399,69617,1.839468,2025-09-16 18:32:00+00:00
1758047580000,1.85,1.875,1.8381,748,1.84,594814,1.854143,2025-09-16 18:33:00+00:00
1758047640000,1.86,1.86,1.85,116,1.855,56303,1.855637,2025-09-16 18:34:00+00:00
1758047700000,1.8551,1.865,1.85,243,1.8581,101457,1.859344,2025-09-16 18:35:00+00:00
1758047760000,1.8599,1.86,1.85,62,1.8597,34821,1.853995,2025-09-16 18:36:00+00:00
1758047820000,1.8535,1.86,1.85,126,1.8525,47906,1.85705,2025-09-16 18:37:00+00:00
1758047880000,1.8563,1.86,1.8535,87,1.855,30782,1.856419,2025-09-16 18:38:00+00:00
