timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757943000000,0.4026,0.4079,0.398,34,0.4079,25345,0.403065,2025-09-15 13:30:00+00:00
1757943060000,0.4082,0.4166,0.4027,35,0.4027,3282,0.40856,2025-09-15 13:31:00+00:00
1757943120000,0.4152,0.4166,0.4102,20,0.4102,14457,0.414138,2025-09-15 13:32:00+00:00
1757943180000,0.4152,0.4153,0.4127,23,0.4127,11771,0.414529,2025-09-15 13:33:00+00:00
1757943240000,0.4164,0.417,0.4101,25,0.4152,84470,0.414864,2025-09-15 13:34:00+00:00
1757943300000,0.4121,0.4148,0.4121,19,0.4148,7093,0.414148,2025-09-15 13:35:00+00:00
1757943360000,0.4154,0.4154,0.4121,31,0.4154,19201,0.414164,2025-09-15 13:36:00+00:00
1757943420000,0.4152,0.4169,0.4122,9,0.4169,2733,0.414208,2025-09-15 13:37:00+00:00
1757943480000,0.4169,0.417,0.4137,9,0.4137,9155,0.41625,2025-09-15 13:38:00+00:00
1757943540000,0.417,0.417,0.417,5,0.417,13490,0.417,2025-09-15 13:39:00+00:00
1757943600000,0.4169,0.4172,0.4162,16,0.417,8513,0.416654,2025-09-15 13:40:00+00:00
1757943660000,0.4177,0.4199,0.4166,27,0.4174,10272,0.418373,2025-09-15 13:41:00+00:00
1757943720000,0.4229,0.4229,0.4179,21,0.4179,15362,0.420958,2025-09-15 13:42:00+00:00
1757943780000,0.4337,0.4337,0.4229,36,0.4229,35731,0.427618,2025-09-15 13:43:00+00:00
1757943840000,0.4333,0.4388,0.427,44,0.4388,40333,0.434358,2025-09-15 13:44:00+00:00
1757943900000,0.4301,0.4332,0.427,15,0.4305,27006,0.431753,2025-09-15 13:45:00+00:00
1757943960000,0.4333,0.4333,0.43,44,0.4301,45446,0.430539,2025-09-15 13:46:00+00:00
1757944020000,0.4302,0.4378,0.43,41,0.4378,24726,0.434422,2025-09-15 13:47:00+00:00
1757944080000,0.433,0.4359,0.43,24,0.4302,26362,0.430811,2025-09-15 13:48:00+00:00
1757944140000,0.4307,0.4329,0.43,23,0.432,23246,0.431189,2025-09-15 13:49:00+00:00
1757944200000,0.4319,0.4328,0.4302,22,0.4328,10648,0.431049,2025-09-15 13:50:00+00:00
1757944260000,0.4319,0.436,0.4302,42,0.432,32394,0.433883,2025-09-15 13:51:00+00:00
1757944320000,0.4335,0.436,0.4335,7,0.4335,6429,0.435569,2025-09-15 13:52:00+00:00
1757944380000,0.4357,0.436,0.4312,18,0.4335,12923,0.435478,2025-09-15 13:53:00+00:00
1757944440000,0.4335,0.435,0.4334,10,0.4334,2909,0.434419,2025-09-15 13:54:00+00:00
1757944500000,0.436,0.436,0.4336,21,0.4346,8759,0.434844,2025-09-15 13:55:00+00:00
1757944560000,0.436,0.4378,0.436,22,0.4378,22362,0.436176,2025-09-15 13:56:00+00:00
1757944620000,0.4302,0.4378,0.43,83,0.4361,50216,0.43465,2025-09-15 13:57:00+00:00
1757944680000,0.4365,0.4378,0.4301,22,0.4302,30647,0.43085,2025-09-15 13:58:00+00:00
1757944740000,0.432,0.4371,0.4302,35,0.4371,20560,0.431748,2025-09-15 13:59:00+00:00
1757944800000,0.4301,0.431,0.4301,10,0.431,1641,0.4307,2025-09-15 14:00:00+00:00
1757944860000,0.4311,0.4321,0.43,18,0.4302,5636,0.430317,2025-09-15 14:01:00+00:00
1757944920000,0.432,0.4321,0.4301,24,0.432,11482,0.431886,2025-09-15 14:02:00+00:00
1757944980000,0.43,0.432,0.43,49,0.4309,18565,0.430335,2025-09-15 14:03:00+00:00
1757945040000,0.432,0.432,0.4273,14,0.4273,6548,0.427664,2025-09-15 14:04:00+00:00
1757945100000,0.4225,0.4272,0.4225,49,0.4263,3003,0.425074,2025-09-15 14:05:00+00:00
1757945160000,0.4213,0.4271,0.4213,5,0.4271,418,0.425537,2025-09-15 14:06:00+00:00
1757945220000,0.4249,0.4249,0.4227,5,0.4227,873,0.42449,2025-09-15 14:07:00+00:00
1757945280000,0.4237,0.4237,0.4237,1,0.4237,150,0.4237,2025-09-15 14:08:00+00:00
1757945340000,0.42,0.4237,0.42,14,0.4226,5955,0.421905,2025-09-15 14:09:00+00:00
1757945400000,0.4202,0.4202,0.4201,5,0.4201,440,0.420127,2025-09-15 14:10:00+00:00
1757945460000,0.42,0.4202,0.42,7,0.4202,438,0.420075,2025-09-15 14:11:00+00:00
1757945520000,0.4178,0.42,0.4177,12,0.42,12243,0.418058,2025-09-15 14:12:00+00:00
1757945580000,0.4201,0.4201,0.4181,12,0.4189,4027,0.419826,2025-09-15 14:13:00+00:00
1757945640000,0.4136,0.4208,0.4024,152,0.4208,49958,0.413126,2025-09-15 14:14:00+00:00
1757945700000,0.4136,0.4136,0.4136,13,0.4136,441,0.4136,2025-09-15 14:15:00+00:00
1757945760000,0.4147,0.4178,0.41,35,0.4143,24080,0.411433,2025-09-15 14:16:00+00:00
1757945820000,0.4,0.4169,0.4,17,0.4169,27082,0.401015,2025-09-15 14:17:00+00:00
1757945880000,0.4162,0.4162,0.4096,5,0.4096,1400,0.415057,2025-09-15 14:18:00+00:00
1757945940000,0.4111,0.4167,0.41,8,0.41,2733,0.412619,2025-09-15 14:19:00+00:00
1757946000000,0.4105,0.411,0.4105,7,0.411,5359,0.410875,2025-09-15 14:20:00+00:00
1757946060000,0.4101,0.4101,0.4101,2,0.4101,408,0.4101,2025-09-15 14:21:00+00:00
1757946120000,0.412,0.4136,0.412,7,0.4136,967,0.413233,2025-09-15 14:22:00+00:00
1757946180000,0.4117,0.4125,0.4117,4,0.4125,2950,0.411872,2025-09-15 14:23:00+00:00
1757946300000,0.4069,0.4117,0.4068,22,0.4117,5087,0.407252,2025-09-15 14:25:00+00:00
1757946360000,0.405,0.4069,0.405,41,0.4069,8122,0.40589,2025-09-15 14:26:00+00:00
1757946420000,0.4051,0.4051,0.4051,2,0.4051,111,0.4051,2025-09-15 14:27:00+00:00
1757946480000,0.4051,0.4051,0.405,17,0.405,2964,0.405054,2025-09-15 14:28:00+00:00
1757946540000,0.4099,0.4099,0.4075,6,0.4075,4089,0.408056,2025-09-15 14:29:00+00:00
1757946600000,0.4088,0.4135,0.407,33,0.407,33241,0.412057,2025-09-15 14:30:00+00:00
1757946660000,0.4099,0.4134,0.4051,8,0.4051,14612,0.406295,2025-09-15 14:31:00+00:00
1757946720000,0.4051,0.4062,0.405,6,0.4062,3382,0.405075,2025-09-15 14:32:00+00:00
1757946780000,0.4134,0.4169,0.4051,18,0.4051,4246,0.409439,2025-09-15 14:33:00+00:00
1757946840000,0.4075,0.43,0.4074,26,0.41,29018,0.414583,2025-09-15 14:34:00+00:00
1757946960000,0.41,0.4249,0.41,17,0.4166,8711,0.415438,2025-09-15 14:36:00+00:00
1757947020000,0.4218,0.4227,0.412,14,0.4227,3001,0.413032,2025-09-15 14:37:00+00:00
1757947080000,0.4218,0.4218,0.4218,2,0.4218,202,0.4218,2025-09-15 14:38:00+00:00
1757947140000,0.4159,0.4217,0.4101,11,0.4217,24883,0.413782,2025-09-15 14:39:00+00:00
1757947200000,0.4153,0.4153,0.4137,3,0.4137,5001,0.41402,2025-09-15 14:40:00+00:00
1757947320000,0.4152,0.4152,0.4112,4,0.4112,268,0.412738,2025-09-15 14:42:00+00:00
1757947380000,0.4151,0.4151,0.4151,1,0.4151,5000,0.4151,2025-09-15 14:43:00+00:00
1757947440000,0.4111,0.4131,0.4111,10,0.4112,4886,0.411599,2025-09-15 14:44:00+00:00
1757947500000,0.41,0.411,0.41,10,0.411,3335,0.410658,2025-09-15 14:45:00+00:00
1757947560000,0.4102,0.4106,0.4101,26,0.4102,5004,0.410216,2025-09-15 14:46:00+00:00
1757947680000,0.4102,0.4102,0.4102,1,0.4102,150,0.4102,2025-09-15 14:48:00+00:00
1757947740000,0.4075,0.4102,0.4075,17,0.4102,3766,0.409961,2025-09-15 14:49:00+00:00
1757947800000,0.4075,0.4075,0.4075,5,0.4075,365,0.4075,2025-09-15 14:50:00+00:00
1757947860000,0.4111,0.4111,0.4076,14,0.4077,2523,0.410174,2025-09-15 14:51:00+00:00
1757947920000,0.4104,0.4104,0.4104,3,0.4104,310,0.4104,2025-09-15 14:52:00+00:00
1757947980000,0.415,0.415,0.4104,3,0.4127,3000,0.41086,2025-09-15 14:53:00+00:00
1757948040000,0.4126,0.4126,0.4126,4,0.4126,362,0.4126,2025-09-15 14:54:00+00:00
1757948220000,0.4126,0.4126,0.4126,1,0.4126,250,0.4126,2025-09-15 14:57:00+00:00
1757948280000,0.415,0.415,0.415,7,0.415,12089,0.415,2025-09-15 14:58:00+00:00
1757948340000,0.4151,0.4151,0.4151,3,0.4151,142,0.4151,2025-09-15 14:59:00+00:00
1757948400000,0.4107,0.4151,0.4107,5,0.4151,2524,0.414827,2025-09-15 15:00:00+00:00
1757948460000,0.4132,0.4132,0.4113,10,0.4132,4553,0.411536,2025-09-15 15:01:00+00:00
1757948520000,0.4141,0.4151,0.412,9,0.4121,2572,0.413716,2025-09-15 15:02:00+00:00
1757948580000,0.4131,0.4153,0.4131,19,0.4151,4765,0.414266,2025-09-15 15:03:00+00:00
1757948640000,0.4159,0.4159,0.4159,5,0.4159,401,0.4159,2025-09-15 15:04:00+00:00
1757948760000,0.4159,0.4165,0.4159,3,0.4165,335,0.416281,2025-09-15 15:06:00+00:00
1757948820000,0.4176,0.4177,0.4176,2,0.4177,4500,0.417633,2025-09-15 15:07:00+00:00
1757948880000,0.4177,0.4177,0.4161,4,0.4162,1220,0.41637,2025-09-15 15:08:00+00:00
1757948940000,0.4181,0.4181,0.4181,2,0.4181,126,0.4181,2025-09-15 15:09:00+00:00
1757949000000,0.4166,0.4199,0.4166,7,0.4199,2616,0.418399,2025-09-15 15:10:00+00:00
1757949060000,0.4182,0.4182,0.4182,4,0.4182,1738,0.4182,2025-09-15 15:11:00+00:00
1757949120000,0.418,0.4199,0.418,13,0.4191,6064,0.418681,2025-09-15 15:12:00+00:00
1757949240000,0.4162,0.4163,0.4162,9,0.4162,8664,0.416252,2025-09-15 15:14:00+00:00
1757949360000,0.4164,0.4164,0.4164,3,0.4164,102,0.4164,2025-09-15 15:16:00+00:00
1757949420000,0.4181,0.4199,0.4181,10,0.4199,2056,0.419721,2025-09-15 15:17:00+00:00
1757949480000,0.4173,0.4173,0.4166,19,0.4173,2023,0.417003,2025-09-15 15:18:00+00:00
1757949540000,0.4167,0.4167,0.4167,6,0.4167,624,0.4167,2025-09-15 15:19:00+00:00
1757949600000,0.4166,0.4166,0.4166,3,0.4166,309,0.4166,2025-09-15 15:20:00+00:00
1757949660000,0.4155,0.4163,0.4153,45,0.4163,7164,0.415512,2025-09-15 15:21:00+00:00
1757949720000,0.4153,0.4154,0.4152,12,0.4153,2869,0.415293,2025-09-15 15:22:00+00:00
1757949780000,0.4132,0.4133,0.4131,17,0.4131,12711,0.413193,2025-09-15 15:23:00+00:00
1757949900000,0.4132,0.4132,0.41,38,0.4131,34584,0.411282,2025-09-15 15:25:00+00:00
1757949960000,0.4133,0.4133,0.4103,5,0.4115,676,0.411929,2025-09-15 15:26:00+00:00
1757950020000,0.4153,0.4153,0.4129,8,0.4133,1786,0.413349,2025-09-15 15:27:00+00:00
1757950080000,0.4104,0.4129,0.4104,9,0.4129,1091,0.41165,2025-09-15 15:28:00+00:00
1757950140000,0.4146,0.4146,0.4145,4,0.4146,3295,0.414592,2025-09-15 15:29:00+00:00
1757950200000,0.4145,0.4145,0.4104,3,0.4104,1724,0.413982,2025-09-15 15:30:00+00:00
1757950260000,0.4105,0.4105,0.4104,5,0.4104,6444,0.410492,2025-09-15 15:31:00+00:00
