timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757514120000,0.567,0.567,0.5657,9,0.5657,12698,0.566051,2025-09-10 14:22:00+00:00
1757514240000,0.5663,0.5664,0.5656,24,0.5663,14896,0.566297,2025-09-10 14:24:00+00:00
1757514300000,0.5603,0.5651,0.5603,14,0.5651,10563,0.560667,2025-09-10 14:25:00+00:00
1757514360000,0.5599,0.5602,0.5599,10,0.5602,12801,0.559916,2025-09-10 14:26:00+00:00
1757514420000,0.5599,0.5599,0.5599,8,0.5599,2897,0.5599,2025-09-10 14:27:00+00:00
1757514480000,0.561,0.5634,0.5599,31,0.56,26947,0.560335,2025-09-10 14:28:00+00:00
1757514540000,0.5622,0.5622,0.5622,4,0.5622,262,0.5622,2025-09-10 14:29:00+00:00
1757514600000,0.5612,0.564,0.5612,4,0.564,2519,0.563533,2025-09-10 14:30:00+00:00
1757514660000,0.5634,0.5634,0.5634,3,0.5634,506,0.5634,2025-09-10 14:31:00+00:00
1757514720000,0.5663,0.5663,0.5663,1,0.5663,2000,0.5663,2025-09-10 14:32:00+00:00
1757514780000,0.5622,0.5622,0.5598,26,0.5612,6650,0.56096,2025-09-10 14:33:00+00:00
1757514840000,0.5669,0.5669,0.5669,3,0.5669,8271,0.5669,2025-09-10 14:34:00+00:00
1757514900000,0.5637,0.567,0.5609,3,0.5609,300,0.563867,2025-09-10 14:35:00+00:00
1757515020000,0.5638,0.5638,0.5638,3,0.5638,2036,0.5638,2025-09-10 14:37:00+00:00
1757515080000,0.5624,0.5624,0.5622,2,0.5622,1100,0.562382,2025-09-10 14:38:00+00:00
1757515140000,0.5608,0.5608,0.5608,3,0.5608,810,0.5608,2025-09-10 14:39:00+00:00
1757515200000,0.56,0.5622,0.56,10,0.5622,7496,0.561717,2025-09-10 14:40:00+00:00
1757515260000,0.5631,0.5631,0.5631,1,0.5631,1000,0.5631,2025-09-10 14:41:00+00:00
1757515320000,0.5603,0.5609,0.5603,4,0.5609,2363,0.56077,2025-09-10 14:42:00+00:00
1757515380000,0.5609,0.5609,0.5574,2,0.5574,770,0.560445,2025-09-10 14:43:00+00:00
1757515500000,0.5592,0.5592,0.5575,5,0.5575,316,0.558633,2025-09-10 14:45:00+00:00
1757515560000,0.5587,0.5592,0.5584,8,0.5592,2100,0.558919,2025-09-10 14:46:00+00:00
1757515620000,0.5595,0.56,0.5587,10,0.5587,1700,0.559475,2025-09-10 14:47:00+00:00
1757515680000,0.558,0.5603,0.558,4,0.5603,7238,0.558089,2025-09-10 14:48:00+00:00
1757515740000,0.5584,0.5584,0.5584,9,0.5584,623,0.5584,2025-09-10 14:49:00+00:00
1757515800000,0.5584,0.5584,0.5584,3,0.5584,1014,0.5584,2025-09-10 14:50:00+00:00
1757515860000,0.558,0.5584,0.558,11,0.5581,1151,0.558209,2025-09-10 14:51:00+00:00
1757515920000,0.56,0.561,0.5596,15,0.5596,9522,0.560086,2025-09-10 14:52:00+00:00
