timeStamp,close,high,low,trade_count,open,volume,vwap,date
1756907460000,20.71,20.71,20.69,15,20.69,363,20.7,2025-09-03 13:51:00+00:00
1756907520000,20.65,20.65,20.59,18,20.59,489,20.62,2025-09-03 13:52:00+00:00
1756907580000,20.69,20.69,20.655,3,20.655,459,20.682375,2025-09-03 13:53:00+00:00
1756907640000,20.71,20.71,20.635,8,20.635,405,20.678333,2025-09-03 13:54:00+00:00
1756907820000,20.7,20.7,20.625,14,20.625,572,20.676807,2025-09-03 13:57:00+00:00
1756907880000,20.64,20.7,20.64,53,20.7,2151,20.67443,2025-09-03 13:58:00+00:00
1756907940000,20.69,20.69,20.69,5,20.69,136,20.69,2025-09-03 13:59:00+00:00
1756908000000,20.7,20.7,20.69,10,20.69,448,20.6925,2025-09-03 14:00:00+00:00
1756908060000,20.78,20.78,20.695,41,20.695,1026,20.736098,2025-09-03 14:01:00+00:00
1756908120000,20.75,20.75,20.75,21,20.75,487,20.75,2025-09-03 14:02:00+00:00
1756908180000,20.7853,20.7853,20.73,22,20.73,2433,20.767725,2025-09-03 14:03:00+00:00
1756908240000,20.69,20.69,20.69,38,20.69,1198,20.69,2025-09-03 14:04:00+00:00
1756908360000,20.75,20.76,20.75,6,20.75,304,20.753333,2025-09-03 14:06:00+00:00
1756908540000,20.79,20.79,20.74,15,20.74,430,20.77,2025-09-03 14:09:00+00:00
1756908660000,20.7,20.73,20.7,52,20.7,1397,20.72026,2025-09-03 14:11:00+00:00
1756908720000,20.77,20.79,20.7088,30,20.7088,994,20.752975,2025-09-03 14:12:00+00:00
1756908840000,20.69,20.69,20.69,14,20.69,363,20.69,2025-09-03 14:14:00+00:00
1756908900000,20.75,20.75,20.72,18,20.72,481,20.73,2025-09-03 14:15:00+00:00
1756908960000,20.525,20.525,20.525,5,20.525,135,20.525,2025-09-03 14:16:00+00:00
1756909080000,20.76,20.76,20.76,6,20.76,226,20.76,2025-09-03 14:18:00+00:00
1756909260000,20.67,20.76,20.67,11,20.76,385,20.73,2025-09-03 14:21:00+00:00
1756909320000,20.72,20.72,20.72,10,20.72,133,20.72,2025-09-03 14:22:00+00:00
1756909440000,20.78,20.78,20.76,12,20.76,416,20.773333,2025-09-03 14:24:00+00:00
1756909500000,20.75,20.765,20.75,16,20.765,617,20.7575,2025-09-03 14:25:00+00:00
1756909560000,20.75,20.75,20.665,16,20.6651,1112,20.673001,2025-09-03 14:26:00+00:00
1756909620000,20.75,20.75,20.74,12,20.74,521,20.744,2025-09-03 14:27:00+00:00
1756909680000,20.75,20.75,20.75,7,20.75,120,20.75,2025-09-03 14:28:00+00:00
1756909740000,20.74,20.74,20.74,16,20.74,450,20.74,2025-09-03 14:29:00+00:00
1756909800000,20.73,20.73,20.65,23,20.7,1579,20.684286,2025-09-03 14:30:00+00:00
1756909860000,20.795,20.8,20.715,68,20.73,2888,20.756167,2025-09-03 14:31:00+00:00
1756909980000,20.85,20.85,20.69,572,20.81,32243,20.744361,2025-09-03 14:33:00+00:00
1756910160000,20.925,20.925,20.88,28,20.88,1300,20.901,2025-09-03 14:36:00+00:00
1756910220000,20.92,20.925,20.92,11,20.925,276,20.9225,2025-09-03 14:37:00+00:00
1756910340000,20.92,20.92,20.92,11,20.92,1021,20.92,2025-09-03 14:39:00+00:00
1756910520000,20.87,20.87,20.85,131,20.86,1749,20.853906,2025-09-03 14:42:00+00:00
