timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753709400000,0.7995,0.7995,0.7995,8,0.7995,5826,0.7995,2025-07-28 13:30:00+00:00
1753709460000,0.8072,0.8072,0.8072,2,0.8072,1004,0.8072,2025-07-28 13:31:00+00:00
1753709820000,0.7995,0.7995,0.7995,2,0.7995,158,0.7995,2025-07-28 13:37:00+00:00
1753710000000,0.8102,0.8102,0.7996,5,0.7996,367,0.807171,2025-07-28 13:40:00+00:00
1753710060000,0.8,0.8,0.7995,2,0.7995,790,0.79988,2025-07-28 13:41:00+00:00
1753710120000,0.795,0.795,0.795,3,0.795,1400,0.795,2025-07-28 13:42:00+00:00
1753710420000,0.795,0.795,0.795,1,0.795,150,0.795,2025-07-28 13:47:00+00:00
1753710540000,0.79,0.79,0.79,1,0.79,200,0.79,2025-07-28 13:49:00+00:00
1753710900000,0.8,0.8,0.8,4,0.8,1150,0.8,2025-07-28 13:55:00+00:00
1753710960000,0.81,0.82,0.8001,27,0.8001,10308,0.80913,2025-07-28 13:56:00+00:00
1753711020000,0.81,0.81,0.81,1,0.81,6000,0.81,2025-07-28 13:57:00+00:00
1753711620000,0.8,0.801,0.8,9,0.8,10000,0.80003,2025-07-28 14:07:00+00:00
1753711680000,0.8,0.8,0.8,1,0.8,300,0.8,2025-07-28 14:08:00+00:00
1753711980000,0.8,0.8,0.8,2,0.8,815,0.8,2025-07-28 14:13:00+00:00
1753712040000,0.8,0.8,0.8,3,0.8,252,0.8,2025-07-28 14:14:00+00:00
1753712100000,0.8002,0.8002,0.8002,1,0.8002,800,0.8002,2025-07-28 14:15:00+00:00
1753712280000,0.8002,0.8002,0.8002,1,0.8002,800,0.8002,2025-07-28 14:18:00+00:00
1753712400000,0.8002,0.8198,0.8002,3,0.8198,1600,0.81245,2025-07-28 14:20:00+00:00
1753712580000,0.8002,0.8002,0.8002,1,0.8002,480,0.8002,2025-07-28 14:23:00+00:00
1753712700000,0.8002,0.8002,0.8002,1,0.8002,200,0.8002,2025-07-28 14:25:00+00:00
1753712760000,0.805,0.805,0.805,1,0.805,8000,0.805,2025-07-28 14:26:00+00:00
1753712880000,0.82,0.82,0.8002,2,0.8002,4750,0.800825,2025-07-28 14:28:00+00:00
1753713000000,0.8002,0.806,0.8002,10,0.806,17604,0.804221,2025-07-28 14:30:00+00:00
1753713540000,0.8002,0.8101,0.8002,4,0.8002,4000,0.806388,2025-07-28 14:39:00+00:00
