timeStamp,close,high,low,trade_count,open,volume,vwap,date
1751290200000,1.7,1.7,1.7,7,1.7,577,1.7,2025-06-30 13:30:00+00:00
1751290380000,1.7209,1.7209,1.71,6,1.71,400,1.71545,2025-06-30 13:33:00+00:00
1751290560000,1.71,1.71,1.71,2,1.71,342,1.71,2025-06-30 13:36:00+00:00
1751291400000,1.715,1.715,1.715,1,1.715,800,1.715,2025-06-30 13:50:00+00:00
1751298660000,1.72,1.72,1.72,4,1.72,2208,1.72,2025-06-30 15:51:00+00:00
1751302740000,1.7,1.7,1.7,2,1.7,204,1.7,2025-06-30 16:59:00+00:00
1751307900000,1.715,1.715,1.715,1,1.715,462,1.715,2025-06-30 18:25:00+00:00
1751309460000,1.715,1.715,1.715,1,1.715,125,1.715,2025-06-30 18:51:00+00:00
1751310360000,1.725,1.725,1.725,2,1.725,101,1.725,2025-06-30 19:06:00+00:00
1751311740000,1.73,1.73,1.73,1,1.73,500,1.73,2025-06-30 19:29:00+00:00
1751312340000,1.73,1.7399,1.73,5,1.7399,5300,1.739337,2025-06-30 19:39:00+00:00
1751312520000,1.7399,1.7399,1.7399,1,1.7399,100,1.7399,2025-06-30 19:42:00+00:00
1751376600000,1.74,1.74,1.74,6,1.74,319,1.74,2025-07-01 13:30:00+00:00
1751376840000,1.7554,1.77,1.7554,4,1.7699,3179,1.769084,2025-07-01 13:34:00+00:00
1751377740000,1.7651,1.7651,1.7646,6,1.7646,527,1.764752,2025-07-01 13:49:00+00:00
1751377800000,1.77,1.77,1.7693,11,1.7699,4339,1.769811,2025-07-01 13:50:00+00:00
1751377860000,1.82,1.82,1.8,22,1.81,5951,1.808028,2025-07-01 13:51:00+00:00
1751377920000,1.8088,1.82,1.8088,9,1.82,3288,1.819002,2025-07-01 13:52:00+00:00
1751377980000,1.805,1.81,1.805,2,1.81,390,1.80641,2025-07-01 13:53:00+00:00
1751378040000,1.8853,2.02,1.78,161,1.7817,57088,1.895966,2025-07-01 13:54:00+00:00
1751378100000,1.9797,1.99,1.88,49,1.8802,11101,1.930489,2025-07-01 13:55:00+00:00
1751378160000,1.93,2.0,1.93,49,1.93,23033,1.968539,2025-07-01 13:56:00+00:00
1751378220000,1.88,1.95,1.85,52,1.91,14124,1.901349,2025-07-01 13:57:00+00:00
1751378280000,1.93,1.968,1.9234,31,1.9234,5293,1.939118,2025-07-01 13:58:00+00:00
1751378340000,1.925,1.9678,1.92,14,1.92,2636,1.948063,2025-07-01 13:59:00+00:00
1751378400000,1.93,1.935,1.9001,15,1.9001,5756,1.913892,2025-07-01 14:00:00+00:00
1751378460000,1.9348,1.95,1.9025,10,1.94,1797,1.927425,2025-07-01 14:01:00+00:00
1751378520000,1.9277,1.9277,1.9,8,1.9027,1826,1.907998,2025-07-01 14:02:00+00:00
1751378580000,1.91,1.92,1.8806,8,1.92,859,1.897827,2025-07-01 14:03:00+00:00
1751378640000,1.8805,1.9,1.8801,12,1.8914,1816,1.886576,2025-07-01 14:04:00+00:00
1751378700000,1.88,1.89,1.88,14,1.89,2331,1.882276,2025-07-01 14:05:00+00:00
1751378760000,1.85,1.885,1.85,24,1.88,4058,1.873873,2025-07-01 14:06:00+00:00
1751378820000,1.8983,1.9,1.8983,15,1.9,4062,1.899425,2025-07-01 14:07:00+00:00
1751378880000,1.85,1.88,1.85,4,1.88,654,1.87,2025-07-01 14:08:00+00:00
1751378940000,1.8795,1.8799,1.855,4,1.8799,4028,1.868687,2025-07-01 14:09:00+00:00
1751379000000,1.88,1.88,1.8601,5,1.8601,1074,1.876617,2025-07-01 14:10:00+00:00
1751379060000,1.8768,1.88,1.85,4,1.85,485,1.872479,2025-07-01 14:11:00+00:00
1751379120000,1.85,1.85,1.84,3,1.84,208,1.845,2025-07-01 14:12:00+00:00
1751379240000,1.9,1.9,1.865,17,1.865,3028,1.891061,2025-07-01 14:14:00+00:00
1751379300000,1.915,1.915,1.8875,13,1.8875,1468,1.90021,2025-07-01 14:15:00+00:00
1751379360000,1.9267,1.935,1.9267,10,1.9298,997,1.930184,2025-07-01 14:16:00+00:00
1751379420000,1.905,1.9174,1.905,2,1.9174,408,1.912902,2025-07-01 14:17:00+00:00
1751379480000,1.905,1.905,1.87,5,1.87,1400,1.891986,2025-07-01 14:18:00+00:00
1751379540000,1.9,1.9,1.88,8,1.8812,2331,1.882165,2025-07-01 14:19:00+00:00
1751379600000,1.96,1.96,1.93,17,1.93,3405,1.939458,2025-07-01 14:20:00+00:00
1751379720000,1.9614,1.9646,1.9614,3,1.9646,620,1.964067,2025-07-01 14:22:00+00:00
1751379780000,1.96,1.96,1.96,8,1.96,1118,1.96,2025-07-01 14:23:00+00:00
1751379900000,1.985,1.985,1.965,8,1.965,2428,1.97393,2025-07-01 14:25:00+00:00
1751379960000,1.97,1.9907,1.97,11,1.99,580,1.981285,2025-07-01 14:26:00+00:00
1751380020000,1.9692,1.98,1.9692,6,1.98,1515,1.974749,2025-07-01 14:27:00+00:00
1751380080000,1.95,1.95,1.93,11,1.93,887,1.942857,2025-07-01 14:28:00+00:00
1751380140000,2.06,2.07,1.98,33,1.99,5326,2.043789,2025-07-01 14:29:00+00:00
1751380200000,2.16,2.16,2.06,142,2.06,20144,2.104677,2025-07-01 14:30:00+00:00
1751380260000,2.145,2.1599,2.1006,65,2.13,18325,2.136829,2025-07-01 14:31:00+00:00
1751380320000,2.14,2.16,2.1019,42,2.1537,13520,2.134414,2025-07-01 14:32:00+00:00
1751380380000,2.1,2.13,2.1,40,2.115,9228,2.108221,2025-07-01 14:33:00+00:00
1751380440000,2.191,2.22,2.121,46,2.13,7995,2.167401,2025-07-01 14:34:00+00:00
1751380500000,2.055,2.1604,1.9801,82,2.1604,17339,2.091573,2025-07-01 14:35:00+00:00
1751380560000,2.01,2.06,2.01,44,2.05,8291,2.029583,2025-07-01 14:36:00+00:00
1751380620000,2.01,2.03,2.01,33,2.02,4236,2.025279,2025-07-01 14:37:00+00:00
1751380680000,2.02,2.02,2.01,10,2.01,2623,2.013099,2025-07-01 14:38:00+00:00
1751380740000,2.0192,2.0202,2.01,27,2.02,4463,2.014938,2025-07-01 14:39:00+00:00
1751380800000,2.0,2.02,2.0,17,2.02,2065,2.007472,2025-07-01 14:40:00+00:00
1751380860000,1.9,1.9961,1.89,34,1.9961,8993,1.932515,2025-07-01 14:41:00+00:00
1751380920000,1.95,1.95,1.9,14,1.9,4025,1.927789,2025-07-01 14:42:00+00:00
1751380980000,1.95,1.95,1.92,15,1.92,2408,1.932604,2025-07-01 14:43:00+00:00
1751381040000,1.95,1.95,1.9484,2,1.9484,428,1.948879,2025-07-01 14:44:00+00:00
1751381100000,1.96,1.96,1.95,7,1.95,1523,1.950667,2025-07-01 14:45:00+00:00
1751381160000,1.9605,1.965,1.9605,3,1.965,1500,1.964534,2025-07-01 14:46:00+00:00
1751381220000,1.96,1.97,1.96,14,1.965,3556,1.962986,2025-07-01 14:47:00+00:00
1751381280000,1.96,1.97,1.96,11,1.97,1215,1.963714,2025-07-01 14:48:00+00:00
1751381340000,1.9899,1.9899,1.97,11,1.97,1746,1.988573,2025-07-01 14:49:00+00:00
1751381400000,1.995,1.999,1.99,16,1.999,2019,1.991829,2025-07-01 14:50:00+00:00
1751381460000,2.0,2.0,1.9999,6,2.0,1061,1.999964,2025-07-01 14:51:00+00:00
1751381520000,2.01,2.01,1.9952,12,1.9952,1758,1.999154,2025-07-01 14:52:00+00:00
1751381760000,2.0716,2.1,2.0716,5,2.1,1231,2.09577,2025-07-01 14:56:00+00:00
1751381880000,2.0,2.03,2.0,13,2.03,1365,2.02046,2025-07-01 14:58:00+00:00
1751381940000,2.0,2.0,2.0,1,2.0,382,2.0,2025-07-01 14:59:00+00:00
1751382000000,2.0,2.0057,2.0,7,2.0057,738,2.00253,2025-07-01 15:00:00+00:00
1751382060000,1.9998,1.9998,1.99,8,1.9901,2514,1.990501,2025-07-01 15:01:00+00:00
1751382180000,1.99,1.99,1.99,6,1.99,317,1.99,2025-07-01 15:03:00+00:00
1751382240000,1.99,1.99,1.99,8,1.99,709,1.99,2025-07-01 15:04:00+00:00
1751382300000,1.99,1.99,1.99,3,1.99,410,1.99,2025-07-01 15:05:00+00:00
1751382480000,1.9999,1.9999,1.96,7,1.9656,5926,1.987887,2025-07-01 15:08:00+00:00
1751382540000,2.0,2.0,1.98,10,1.98,3578,1.999423,2025-07-01 15:09:00+00:00
1751382600000,2.0301,2.06,2.03,7,2.06,2850,2.050175,2025-07-01 15:10:00+00:00
1751382660000,2.0,2.02,2.0,6,2.02,397,2.012717,2025-07-01 15:11:00+00:00
1751382780000,2.0,2.04,2.0,12,2.0,6490,2.013464,2025-07-01 15:13:00+00:00
1751382840000,2.04,2.04,1.9883,7,2.038,929,2.008392,2025-07-01 15:14:00+00:00
1751382900000,2.0604,2.0872,2.04,19,2.04,5677,2.067267,2025-07-01 15:15:00+00:00
1751382960000,2.14,2.14,2.0604,39,2.08,11778,2.107929,2025-07-01 15:16:00+00:00
1751383020000,2.1,2.14,2.07,28,2.1392,6704,2.09844,2025-07-01 15:17:00+00:00
1751383080000,2.16,2.1898,2.12,46,2.12,10401,2.167166,2025-07-01 15:18:00+00:00
1751383140000,2.16,2.18,2.16,15,2.16,4551,2.174979,2025-07-01 15:19:00+00:00
1751383200000,2.12,2.18,2.12,19,2.17,11283,2.169946,2025-07-01 15:20:00+00:00
1751383260000,2.0712,2.0821,2.0701,6,2.0821,1406,2.073394,2025-07-01 15:21:00+00:00
1751383320000,2.11,2.11,2.11,2,2.11,326,2.11,2025-07-01 15:22:00+00:00
1751383380000,2.136,2.1557,2.136,16,2.1499,5746,2.150033,2025-07-01 15:23:00+00:00
1751383440000,2.2914,2.3399,2.16,112,2.16,24642,2.239965,2025-07-01 15:24:00+00:00
1751383500000,2.41,2.45,2.28,528,2.3299,109290,2.378633,2025-07-01 15:25:00+00:00
1751383560000,2.44,2.58,2.4,1189,2.41,170736,2.475157,2025-07-01 15:26:00+00:00
1751383620000,2.5899,2.7,2.43,1887,2.4308,271951,2.558603,2025-07-01 15:27:00+00:00
1751383680000,2.44,2.63,2.385,1520,2.5501,218537,2.502832,2025-07-01 15:28:00+00:00
1751383740000,2.6,2.75,2.44,2198,2.445,311876,2.6271,2025-07-01 15:29:00+00:00
1751383800000,2.36,2.67,2.31,2014,2.6,330149,2.471444,2025-07-01 15:30:00+00:00
1751383860000,2.45,2.54,2.362,953,2.38,174497,2.427325,2025-07-01 15:31:00+00:00
1751383920000,2.7186,2.72,2.43,1557,2.43,258050,2.591839,2025-07-01 15:32:00+00:00
1751383980000,2.5807,2.72,2.58,2046,2.71,383227,2.663153,2025-07-01 15:33:00+00:00
1751384040000,2.1798,2.67,2.11,3155,2.59,625680,2.36481,2025-07-01 15:34:00+00:00
1751384100000,1.98,2.19,1.98,991,2.18,164053,2.056241,2025-07-01 15:35:00+00:00
1751384400000,2.015,2.2301,1.91,680,1.98,157744,2.049888,2025-07-01 15:40:00+00:00
1751384460000,2.01,2.15,1.96,1374,2.0101,244873,2.067357,2025-07-01 15:41:00+00:00
1751384520000,1.9906,2.03,1.9,838,2.01,154321,1.967445,2025-07-01 15:42:00+00:00
1751384580000,1.9994,2.0699,1.9601,334,1.995,49051,2.013489,2025-07-01 15:43:00+00:00
1751384640000,2.01,2.02,1.96,203,1.99,33355,1.998696,2025-07-01 15:44:00+00:00
1751384700000,2.0399,2.04,1.97,168,2.015,20142,2.008004,2025-07-01 15:45:00+00:00
1751384760000,2.02,2.1,2.0,342,2.0208,74246,2.061687,2025-07-01 15:46:00+00:00
1751384820000,1.9401,2.06,1.92,345,2.0074,75369,1.960231,2025-07-01 15:47:00+00:00
1751384880000,1.9276,1.9887,1.92,191,1.94,37175,1.942078,2025-07-01 15:48:00+00:00
1751384940000,1.83,1.9208,1.7801,502,1.9208,84086,1.845483,2025-07-01 15:49:00+00:00
1751385000000,1.8,1.835,1.78,238,1.83,34527,1.795849,2025-07-01 15:50:00+00:00
1751385060000,1.65,1.8,1.62,472,1.7991,79677,1.695834,2025-07-01 15:51:00+00:00
1751385120000,1.725,1.74,1.6,448,1.6407,109979,1.65115,2025-07-01 15:52:00+00:00
1751385180000,1.69,1.73,1.68,185,1.7205,31319,1.70361,2025-07-01 15:53:00+00:00
1751385240000,1.6601,1.69,1.6262,116,1.6801,18731,1.658135,2025-07-01 15:54:00+00:00
