timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757089740000,15.49,15.49,15.49,14,15.49,264,15.49,2025-09-05 16:29:00+00:00
1757089800000,15.49,15.49,15.49,26,15.49,639,15.49,2025-09-05 16:30:00+00:00
1757089860000,15.49,15.49,15.49,18,15.49,863,15.49,2025-09-05 16:31:00+00:00
1757089920000,15.49,15.49,15.49,9,15.49,252,15.49,2025-09-05 16:32:00+00:00
1757089980000,15.455,15.48,15.455,59,15.48,1721,15.470556,2025-09-05 16:33:00+00:00
1757090040000,15.46,15.46,15.45,28,15.45,857,15.456667,2025-09-05 16:34:00+00:00
1757090460000,15.48,15.48,15.47,24,15.47,1113,15.471486,2025-09-05 16:41:00+00:00
1757090520000,15.485,15.485,15.485,2,15.485,104,15.485,2025-09-05 16:42:00+00:00
1757090580000,15.46,15.47,15.46,27,15.47,872,15.463333,2025-09-05 16:43:00+00:00
1757090640000,15.46,15.46,15.46,25,15.46,744,15.46,2025-09-05 16:44:00+00:00
1757090820000,15.46,15.46,15.45,35,15.45,1016,15.453333,2025-09-05 16:47:00+00:00
1757090940000,15.45,15.45,15.45,8,15.45,275,15.45,2025-09-05 16:49:00+00:00
1757091060000,15.45,15.45,15.44,19,15.44,735,15.441667,2025-09-05 16:51:00+00:00
1757091120000,15.45,15.45,15.45,24,15.45,1076,15.45,2025-09-05 16:52:00+00:00
1757091180000,15.44,15.44,15.44,22,15.44,531,15.44,2025-09-05 16:53:00+00:00
1757091240000,15.47,15.47,15.46,22,15.46,895,15.4625,2025-09-05 16:54:00+00:00
1757091360000,15.49,15.49,15.48,31,15.48,799,15.486667,2025-09-05 16:56:00+00:00
1757091480000,15.493,15.493,15.493,8,15.493,1984,15.493,2025-09-05 16:58:00+00:00
1757091720000,15.48,15.505,15.475,48,15.505,1398,15.485333,2025-09-05 17:02:00+00:00
1757091840000,15.48,15.48,15.4701,14,15.48,586,15.477525,2025-09-05 17:04:00+00:00
1757091900000,15.48,15.48,15.48,11,15.48,526,15.48,2025-09-05 17:05:00+00:00
1757092020000,15.45,15.48,15.45,54,15.48,1759,15.465,2025-09-05 17:07:00+00:00
1757092260000,15.4799,15.4799,15.46,40,15.46,1250,15.465686,2025-09-05 17:11:00+00:00
1757092320000,15.475,15.475,15.475,5,15.475,137,15.475,2025-09-05 17:12:00+00:00
1757092500000,15.47,15.47,15.465,22,15.47,567,15.468333,2025-09-05 17:15:00+00:00
1757092560000,15.44,15.46,15.44,19,15.46,389,15.45,2025-09-05 17:16:00+00:00
1757092620000,15.43,15.44,15.43,29,15.44,614,15.433333,2025-09-05 17:17:00+00:00
1757092740000,15.425,15.425,15.425,12,15.425,192,15.425,2025-09-05 17:19:00+00:00
1757092860000,15.42,15.42,15.42,23,15.42,720,15.42,2025-09-05 17:21:00+00:00
1757093040000,15.4243,15.4243,15.4243,8,15.4243,208,15.4243,2025-09-05 17:24:00+00:00
1757093100000,15.4,15.41,15.4,45,15.4,3132,15.408333,2025-09-05 17:25:00+00:00
