timeStamp,close,high,low,trade_count,open,volume,vwap,date
1753104600000,2.94,2.94,2.9,40,2.9,12983,2.901103,2025-07-21 13:30:00+00:00
1753104720000,2.965,2.979,2.93,8,2.979,1482,2.936948,2025-07-21 13:32:00+00:00
1753104780000,2.87,2.92,2.87,60,2.92,15225,2.894871,2025-07-21 13:33:00+00:00
1753104840000,2.77,2.91,2.77,47,2.91,6815,2.83994,2025-07-21 13:34:00+00:00
1753104900000,2.9027,2.9056,2.845,15,2.845,1050,2.866778,2025-07-21 13:35:00+00:00
1753104960000,2.8813,2.8813,2.8813,1,2.8813,120,2.8813,2025-07-21 13:36:00+00:00
1753105020000,2.8501,2.95,2.846,59,2.846,22294,2.92963,2025-07-21 13:37:00+00:00
1753105080000,2.935,2.9725,2.935,2,2.9725,975,2.953269,2025-07-21 13:38:00+00:00
1753105260000,2.93,2.93,2.91,3,2.91,800,2.926245,2025-07-21 13:41:00+00:00
1753105320000,2.9299,2.9299,2.88,13,2.88,2005,2.905202,2025-07-21 13:42:00+00:00
1753105440000,2.9,2.928,2.88,8,2.88,3210,2.91575,2025-07-21 13:44:00+00:00
1753105500000,2.9324,2.9324,2.8713,7,2.8815,1098,2.905663,2025-07-21 13:45:00+00:00
1753105620000,2.88,2.91,2.88,8,2.88,1580,2.886735,2025-07-21 13:47:00+00:00
1753105680000,2.8851,2.8851,2.88,5,2.88,420,2.881275,2025-07-21 13:48:00+00:00
1753105740000,2.87,2.88,2.87,12,2.88,5782,2.878929,2025-07-21 13:49:00+00:00
1753105800000,2.87,2.87,2.865,13,2.87,1041,2.869222,2025-07-21 13:50:00+00:00
1753105860000,2.87,2.9132,2.87,11,2.87,2466,2.907565,2025-07-21 13:51:00+00:00
1753105920000,2.9185,2.9185,2.865,5,2.865,1160,2.890236,2025-07-21 13:52:00+00:00
1753105980000,2.8734,2.8734,2.86,5,2.86,323,2.868104,2025-07-21 13:53:00+00:00
1753106040000,2.8702,2.8702,2.87,4,2.87,4000,2.8701,2025-07-21 13:54:00+00:00
1753106160000,2.9,2.9217,2.9,5,2.9217,454,2.911991,2025-07-21 13:56:00+00:00
1753106220000,2.93,2.93,2.87,13,2.87,1820,2.8888,2025-07-21 13:57:00+00:00
1753106340000,2.87,2.8701,2.87,2,2.8701,1550,2.870094,2025-07-21 13:59:00+00:00
1753106700000,2.905,2.905,2.87,15,2.8702,2348,2.881254,2025-07-21 14:05:00+00:00
1753106760000,2.89,2.9,2.89,5,2.9,809,2.895051,2025-07-21 14:06:00+00:00
1753107000000,2.9,2.9,2.9,9,2.9,1284,2.9,2025-07-21 14:10:00+00:00
1753107120000,2.9299,2.9299,2.9299,5,2.9299,2078,2.9299,2025-07-21 14:12:00+00:00
1753107180000,2.9117,2.9121,2.9101,7,2.9102,1011,2.910716,2025-07-21 14:13:00+00:00
1753107240000,2.95,2.95,2.93,10,2.93,5598,2.930731,2025-07-21 14:14:00+00:00
1753107300000,2.9889,2.9889,2.9889,3,2.9889,134,2.9889,2025-07-21 14:15:00+00:00
1753107360000,2.96,2.96,2.96,2,2.96,1120,2.96,2025-07-21 14:16:00+00:00
1753107420000,3.03,3.04,3.0,26,3.0,1726,3.015785,2025-07-21 14:17:00+00:00
1753107480000,3.1,3.1315,3.09,21,3.09,1009,3.099328,2025-07-21 14:18:00+00:00
1753107540000,3.12,3.14,3.12,9,3.13,1696,3.124664,2025-07-21 14:19:00+00:00
1753107600000,3.11,3.14,3.11,14,3.14,1124,3.117648,2025-07-21 14:20:00+00:00
1753107720000,3.1104,3.1104,3.1104,6,3.1104,266,3.1104,2025-07-21 14:22:00+00:00
1753107780000,3.0519,3.11,3.05,11,3.11,1367,3.05747,2025-07-21 14:23:00+00:00
1753108140000,3.09,3.09,3.09,6,3.09,177,3.09,2025-07-21 14:29:00+00:00
1753108260000,3.09,3.09,3.065,9,3.08,864,3.078498,2025-07-21 14:31:00+00:00
1753108320000,3.055,3.055,3.055,5,3.055,274,3.055,2025-07-21 14:32:00+00:00
1753108380000,3.09,3.09,3.064,4,3.064,1311,3.082423,2025-07-21 14:33:00+00:00
1753108440000,3.0895,3.0895,3.0591,5,3.0591,550,3.066356,2025-07-21 14:34:00+00:00
1753108500000,3.1036,3.1036,3.06,10,3.09,2491,3.086009,2025-07-21 14:35:00+00:00
1753108560000,3.065,3.065,3.065,6,3.065,235,3.065,2025-07-21 14:36:00+00:00
1753108680000,3.092,3.15,3.092,16,3.12,991,3.132667,2025-07-21 14:38:00+00:00
1753108740000,3.15,3.15,3.1499,7,3.1499,1328,3.149909,2025-07-21 14:39:00+00:00
1753108800000,3.1695,3.1695,3.14,5,3.14,1282,3.164659,2025-07-21 14:40:00+00:00
1753108860000,3.1699,3.17,3.1351,21,3.14,7721,3.168238,2025-07-21 14:41:00+00:00
1753108920000,3.2,3.2,3.14,40,3.15,10131,3.148685,2025-07-21 14:42:00+00:00
1753109040000,3.29,3.29,3.2197,10,3.2197,480,3.239228,2025-07-21 14:44:00+00:00
1753109100000,3.26,3.29,3.21,79,3.26,11166,3.252142,2025-07-21 14:45:00+00:00
1753109160000,3.26,3.26,3.2599,5,3.2599,3915,3.259908,2025-07-21 14:46:00+00:00
1753109460000,3.071,3.151,3.0706,15,3.1502,4762,3.140633,2025-07-21 14:51:00+00:00
1753109520000,3.1568,3.2384,3.13,5,3.13,1222,3.158646,2025-07-21 14:52:00+00:00
1753109580000,3.16,3.16,3.16,2,3.16,1705,3.16,2025-07-21 14:53:00+00:00
