timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758035220000,0.0488,0.0489,0.0488,8,0.0488,17493,0.048836,2025-09-16 15:07:00+00:00
1758035280000,0.0488,0.0489,0.0488,7,0.0488,4630,0.048811,2025-09-16 15:08:00+00:00
1758035340000,0.0488,0.0489,0.0488,11,0.0489,42490,0.048802,2025-09-16 15:09:00+00:00
1758035400000,0.0489,0.049,0.0488,35,0.0489,20261,0.048922,2025-09-16 15:10:00+00:00
1758035460000,0.0488,0.0489,0.0488,11,0.0489,29878,0.048897,2025-09-16 15:11:00+00:00
1758035520000,0.0488,0.0489,0.0488,4,0.0489,31398,0.04881,2025-09-16 15:12:00+00:00
1758035580000,0.0489,0.0489,0.0488,6,0.0488,20379,0.048801,2025-09-16 15:13:00+00:00
1758035640000,0.0488,0.0488,0.0488,3,0.0488,1034,0.0488,2025-09-16 15:14:00+00:00
1758035700000,0.0488,0.0489,0.0488,2,0.0489,851,0.048853,2025-09-16 15:15:00+00:00
1758035760000,0.0489,0.0489,0.0488,11,0.0488,99120,0.0488,2025-09-16 15:16:00+00:00
1758035820000,0.0489,0.0489,0.0488,26,0.0488,149313,0.04887,2025-09-16 15:17:00+00:00
1758035880000,0.0489,0.0489,0.0488,116,0.0488,12432,0.048893,2025-09-16 15:18:00+00:00
1758035940000,0.0488,0.0489,0.0488,159,0.0489,8672,0.04886,2025-09-16 15:19:00+00:00
1758036000000,0.0489,0.0489,0.0488,192,0.0488,5203,0.048846,2025-09-16 15:20:00+00:00
1758036060000,0.0488,0.0489,0.0488,48,0.0489,264692,0.0488,2025-09-16 15:21:00+00:00
1758036120000,0.0489,0.0489,0.0489,10,0.0489,80746,0.0489,2025-09-16 15:22:00+00:00
1758036180000,0.0489,0.0489,0.0488,6,0.0489,5396,0.048891,2025-09-16 15:23:00+00:00
1758036240000,0.0489,0.0489,0.0488,16,0.0488,45290,0.048804,2025-09-16 15:24:00+00:00
1758036300000,0.0481,0.0488,0.048,660,0.0488,343566,0.04828,2025-09-16 15:25:00+00:00
1758036360000,0.0481,0.0482,0.048,34,0.0481,43165,0.048102,2025-09-16 15:26:00+00:00
1758036420000,0.0481,0.0481,0.0481,6,0.0481,25900,0.0481,2025-09-16 15:27:00+00:00
1758036480000,0.0482,0.0482,0.0481,11,0.0481,9281,0.048146,2025-09-16 15:28:00+00:00
1758036540000,0.0483,0.0483,0.0481,89,0.0481,66277,0.04819,2025-09-16 15:29:00+00:00
1758036600000,0.0482,0.0483,0.0482,146,0.0483,226949,0.048268,2025-09-16 15:30:00+00:00
1758036660000,0.0483,0.0494,0.0482,215,0.0482,109440,0.048504,2025-09-16 15:31:00+00:00
1758036720000,0.0482,0.0484,0.0482,138,0.0484,60074,0.048308,2025-09-16 15:32:00+00:00
1758036780000,0.0482,0.0483,0.0482,9,0.0483,53600,0.048298,2025-09-16 15:33:00+00:00
1758036840000,0.0482,0.0482,0.0482,13,0.0482,14971,0.0482,2025-09-16 15:34:00+00:00
1758036900000,0.0483,0.0483,0.0482,17,0.0482,69506,0.048273,2025-09-16 15:35:00+00:00
1758036960000,0.0482,0.0484,0.0482,38,0.0483,44023,0.048298,2025-09-16 15:36:00+00:00
1758037020000,0.0483,0.0483,0.0482,8,0.0482,31126,0.048281,2025-09-16 15:37:00+00:00
1758037080000,0.0482,0.0483,0.0482,32,0.0483,110372,0.048299,2025-09-16 15:38:00+00:00
1758037140000,0.0482,0.0483,0.0482,8,0.0483,18864,0.048256,2025-09-16 15:39:00+00:00
1758037200000,0.0484,0.0484,0.0482,33,0.0483,45623,0.048226,2025-09-16 15:40:00+00:00
1758037260000,0.0486,0.0486,0.0483,12,0.0484,19383,0.04853,2025-09-16 15:41:00+00:00
1758037320000,0.0483,0.0485,0.0483,8,0.0485,43900,0.048329,2025-09-16 15:42:00+00:00
1758037380000,0.0483,0.0484,0.0482,48,0.0483,166409,0.048337,2025-09-16 15:43:00+00:00
1758037440000,0.0483,0.0483,0.0482,19,0.0483,47088,0.048243,2025-09-16 15:44:00+00:00
1758037500000,0.0481,0.0483,0.0481,41,0.0482,160131,0.048197,2025-09-16 15:45:00+00:00
1758037560000,0.048,0.0482,0.0479,40,0.0482,98458,0.048033,2025-09-16 15:46:00+00:00
1758037620000,0.0478,0.0479,0.0478,27,0.0479,36328,0.047824,2025-09-16 15:47:00+00:00
1758037680000,0.0475,0.0477,0.0475,36,0.0476,334669,0.047551,2025-09-16 15:48:00+00:00
1758037740000,0.0475,0.0476,0.0474,29,0.0476,83473,0.047483,2025-09-16 15:49:00+00:00
1758037800000,0.0477,0.0477,0.0476,10,0.0476,99333,0.047691,2025-09-16 15:50:00+00:00
1758037860000,0.0479,0.0479,0.0476,32,0.0477,41765,0.047713,2025-09-16 15:51:00+00:00
1758037920000,0.0479,0.0481,0.0478,11,0.0479,89521,0.047989,2025-09-16 15:52:00+00:00
1758037980000,0.0478,0.0479,0.0477,10,0.0479,49754,0.047899,2025-09-16 15:53:00+00:00
1758038040000,0.0482,0.0482,0.0479,34,0.0479,108166,0.048012,2025-09-16 15:54:00+00:00
1758038100000,0.048,0.0483,0.0477,18,0.0483,50557,0.047939,2025-09-16 15:55:00+00:00
1758038160000,0.0477,0.0482,0.0477,5,0.0477,4104,0.047822,2025-09-16 15:56:00+00:00
1758038220000,0.0482,0.0483,0.048,4,0.0483,2274,0.048222,2025-09-16 15:57:00+00:00
1758038280000,0.0482,0.0483,0.0477,6,0.048,33416,0.047769,2025-09-16 15:58:00+00:00
1758038340000,0.0477,0.0477,0.0477,5,0.0477,1080,0.0477,2025-09-16 15:59:00+00:00
1758038400000,0.0481,0.0483,0.048,3,0.048,35744,0.048071,2025-09-16 16:00:00+00:00
1758038460000,0.0477,0.0477,0.0477,2,0.0477,5022,0.0477,2025-09-16 16:01:00+00:00
1758038520000,0.0483,0.0483,0.0477,21,0.0483,126131,0.048205,2025-09-16 16:02:00+00:00
1758038580000,0.0483,0.0483,0.0481,8,0.0482,12135,0.048294,2025-09-16 16:03:00+00:00
1758038640000,0.0482,0.0483,0.048,6,0.048,57279,0.048086,2025-09-16 16:04:00+00:00
1758038700000,0.0481,0.0483,0.048,8,0.0483,4464,0.048086,2025-09-16 16:05:00+00:00
1758038760000,0.0486,0.0488,0.0481,39,0.0481,167201,0.048287,2025-09-16 16:06:00+00:00
1758038820000,0.0485,0.0485,0.0485,7,0.0485,40158,0.0485,2025-09-16 16:07:00+00:00
1758038880000,0.0488,0.0488,0.0485,38,0.0485,104185,0.048693,2025-09-16 16:08:00+00:00
1758038940000,0.0489,0.0489,0.0488,13,0.0489,177202,0.048899,2025-09-16 16:09:00+00:00
1758039000000,0.0489,0.0489,0.0488,9,0.0488,26207,0.04888,2025-09-16 16:10:00+00:00
1758039060000,0.0488,0.0489,0.0487,18,0.0488,75651,0.048843,2025-09-16 16:11:00+00:00
