timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,0.8467,0.8583,0.84,11,0.84,2269,0.845258,2025-09-08 13:30:00+00:00
1757338320000,0.8475,0.8549,0.8475,2,0.8549,3100,0.854661,2025-09-08 13:32:00+00:00
1757338620000,0.8485,0.8485,0.8485,2,0.8485,168,0.8485,2025-09-08 13:37:00+00:00
1757338800000,0.85,0.85,0.85,3,0.85,504,0.85,2025-09-08 13:40:00+00:00
1757339040000,0.848,0.848,0.848,2,0.848,840,0.848,2025-09-08 13:44:00+00:00
1757339100000,0.85,0.85,0.85,1,0.85,1000,0.85,2025-09-08 13:45:00+00:00
1757339160000,0.86,0.8639,0.86,2,0.8639,1351,0.862887,2025-09-08 13:46:00+00:00
1757339220000,0.869,0.8697,0.8685,9,0.8685,955,0.868744,2025-09-08 13:47:00+00:00
1757339400000,0.8694,0.8694,0.8694,1,0.8694,200,0.8694,2025-09-08 13:50:00+00:00
1757339580000,0.8679,0.8699,0.865,6,0.865,11628,0.86587,2025-09-08 13:53:00+00:00
1757339640000,0.865,0.8699,0.865,5,0.8699,5800,0.869224,2025-09-08 13:54:00+00:00
1757339700000,0.865,0.8699,0.865,8,0.865,3668,0.866881,2025-09-08 13:55:00+00:00
1757339760000,0.8649,0.865,0.8649,4,0.865,370,0.864933,2025-09-08 13:56:00+00:00
1757339880000,0.865,0.8653,0.865,3,0.8653,300,0.8651,2025-09-08 13:58:00+00:00
1757340120000,0.8675,0.8713,0.8675,12,0.8689,6313,0.86938,2025-09-08 14:02:00+00:00
1757340360000,0.8675,0.8675,0.8675,2,0.8675,200,0.8675,2025-09-08 14:06:00+00:00
1757340480000,0.8712,0.8749,0.8681,15,0.8681,8015,0.872006,2025-09-08 14:08:00+00:00
1757340540000,0.8712,0.8725,0.8712,5,0.8722,3007,0.87188,2025-09-08 14:09:00+00:00
1757340600000,0.8653,0.8706,0.8653,5,0.87,2700,0.870381,2025-09-08 14:10:00+00:00
1757340840000,0.8704,0.8704,0.8704,2,0.8704,700,0.8704,2025-09-08 14:14:00+00:00
1757340900000,0.87,0.8704,0.87,5,0.8704,1034,0.87004,2025-09-08 14:15:00+00:00
1757340960000,0.8788,0.8788,0.8702,21,0.8702,4380,0.874042,2025-09-08 14:16:00+00:00
1757341020000,0.8788,0.8789,0.8702,10,0.8702,1806,0.878326,2025-09-08 14:17:00+00:00
1757341080000,0.875,0.875,0.8702,3,0.8702,939,0.87074,2025-09-08 14:18:00+00:00
1757341140000,0.88,0.88,0.8799,6,0.8799,1230,0.879991,2025-09-08 14:19:00+00:00
1757341200000,0.88,0.8801,0.88,3,0.88,300,0.880033,2025-09-08 14:20:00+00:00
1757341260000,0.88,0.88,0.88,3,0.88,300,0.88,2025-09-08 14:21:00+00:00
1757341320000,0.8751,0.88,0.8751,2,0.88,200,0.87755,2025-09-08 14:22:00+00:00
1757341380000,0.8748,0.8748,0.8748,3,0.8748,172,0.8748,2025-09-08 14:23:00+00:00
1757341620000,0.8748,0.8748,0.8748,1,0.8748,145,0.8748,2025-09-08 14:27:00+00:00
1757341740000,0.8863,0.89,0.8748,42,0.8754,13762,0.884913,2025-09-08 14:29:00+00:00
1757341920000,0.88,0.88,0.88,5,0.88,1378,0.88,2025-09-08 14:32:00+00:00
