timeStamp,close,high,low,trade_count,open,volume,vwap,date
1758037020000,3.7677,3.7799,3.76,140,3.765,99660,3.769924,2025-09-16 15:37:00+00:00
1758037080000,3.78,3.78,3.7641,123,3.7693,39658,3.773393,2025-09-16 15:38:00+00:00
1758037140000,3.802,3.805,3.78,300,3.78,193385,3.795744,2025-09-16 15:39:00+00:00
1758037200000,3.8013,3.81,3.8,131,3.805,58224,3.804117,2025-09-16 15:40:00+00:00
1758037260000,3.7937,3.81,3.79,167,3.81,93145,3.802723,2025-09-16 15:41:00+00:00
1758037320000,3.7887,3.8,3.7743,221,3.79,66456,3.786489,2025-09-16 15:42:00+00:00
1758037380000,3.8099,3.8099,3.7843,147,3.7863,105922,3.796395,2025-09-16 15:43:00+00:00
1758037440000,3.795,3.81,3.79,123,3.805,185204,3.807045,2025-09-16 15:44:00+00:00
1758037500000,3.785,3.8099,3.78,187,3.8,143857,3.794744,2025-09-16 15:45:00+00:00
1758037560000,3.785,3.79,3.78,48,3.785,24598,3.785026,2025-09-16 15:46:00+00:00
1758037620000,3.785,3.79,3.78,74,3.7874,33333,3.78799,2025-09-16 15:47:00+00:00
1758037680000,3.785,3.79,3.78,51,3.785,7859,3.786791,2025-09-16 15:48:00+00:00
1758037740000,3.8,3.8,3.78,102,3.785,24618,3.792984,2025-09-16 15:49:00+00:00
1758037800000,3.7961,3.7964,3.79,61,3.795,17997,3.794386,2025-09-16 15:50:00+00:00
1758037860000,3.79,3.8,3.79,64,3.7972,11856,3.795553,2025-09-16 15:51:00+00:00
1758037920000,3.795,3.8,3.7936,68,3.7969,8655,3.7972,2025-09-16 15:52:00+00:00
1758037980000,3.81,3.81,3.8,198,3.8,151407,3.80264,2025-09-16 15:53:00+00:00
1758038040000,3.82,3.83,3.8,334,3.8097,182993,3.814008,2025-09-16 15:54:00+00:00
1758038100000,3.84,3.84,3.82,259,3.83,119993,3.82949,2025-09-16 15:55:00+00:00
1758038160000,3.8212,3.84,3.82,102,3.8399,34206,3.830863,2025-09-16 15:56:00+00:00
