timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757338200000,1.53,1.58,1.53,59,1.57,59362,1.556195,2025-09-08 13:30:00+00:00
1757338260000,1.534,1.534,1.51,21,1.52,6025,1.525426,2025-09-08 13:31:00+00:00
1757338320000,1.5285,1.5299,1.52,10,1.52,3328,1.528169,2025-09-08 13:32:00+00:00
1757338380000,1.4999,1.5281,1.49,24,1.5281,13439,1.501896,2025-09-08 13:33:00+00:00
1757338440000,1.49,1.5099,1.49,25,1.5067,10020,1.50439,2025-09-08 13:34:00+00:00
1757338500000,1.5095,1.5095,1.5057,6,1.5057,9331,1.506609,2025-09-08 13:35:00+00:00
1757338560000,1.495,1.5,1.49,9,1.5,861,1.49613,2025-09-08 13:36:00+00:00
1757338620000,1.495,1.495,1.495,2,1.495,1020,1.495,2025-09-08 13:37:00+00:00
1757338680000,1.4902,1.4902,1.4902,4,1.4902,509,1.4902,2025-09-08 13:38:00+00:00
1757338740000,1.505,1.505,1.4901,18,1.4901,16119,1.498648,2025-09-08 13:39:00+00:00
1757338800000,1.52,1.52,1.49,10,1.49,7066,1.518968,2025-09-08 13:40:00+00:00
1757338860000,1.5,1.5083,1.49,9,1.5051,2239,1.50208,2025-09-08 13:41:00+00:00
1757338920000,1.5098,1.51,1.4902,18,1.5,11581,1.506997,2025-09-08 13:42:00+00:00
1757339040000,1.5,1.5095,1.5,31,1.5,3502,1.501302,2025-09-08 13:44:00+00:00
1757339100000,1.48,1.49,1.48,35,1.49,10565,1.485483,2025-09-08 13:45:00+00:00
1757339160000,1.41,1.47,1.41,181,1.47,234872,1.423409,2025-09-08 13:46:00+00:00
1757339220000,1.4396,1.45,1.4101,16,1.4417,14210,1.439058,2025-09-08 13:47:00+00:00
1757339280000,1.439,1.44,1.4105,14,1.4105,4550,1.427277,2025-09-08 13:48:00+00:00
1757339340000,1.465,1.465,1.465,3,1.465,267,1.465,2025-09-08 13:49:00+00:00
1757339400000,1.465,1.48,1.45,17,1.4726,12356,1.468755,2025-09-08 13:50:00+00:00
1757339460000,1.48,1.48,1.4564,14,1.4564,6499,1.478934,2025-09-08 13:51:00+00:00
1757339520000,1.4597,1.48,1.4597,11,1.48,5757,1.475756,2025-09-08 13:52:00+00:00
1757339580000,1.45,1.475,1.45,13,1.4603,11674,1.460233,2025-09-08 13:53:00+00:00
1757339640000,1.4301,1.45,1.4101,19,1.45,22220,1.447318,2025-09-08 13:54:00+00:00
1757339700000,1.43,1.43,1.43,7,1.43,781,1.43,2025-09-08 13:55:00+00:00
1757339760000,1.4201,1.4398,1.4201,12,1.424,3657,1.425671,2025-09-08 13:56:00+00:00
1757339820000,1.4399,1.44,1.4201,26,1.43,9537,1.437366,2025-09-08 13:57:00+00:00
1757339880000,1.45,1.45,1.45,5,1.45,267,1.45,2025-09-08 13:58:00+00:00
1757339940000,1.4461,1.4715,1.4461,5,1.4715,5436,1.469883,2025-09-08 13:59:00+00:00
1757340000000,1.4275,1.4799,1.4275,13,1.4551,4078,1.467445,2025-09-08 14:00:00+00:00
1757340060000,1.44,1.44,1.44,4,1.44,1009,1.44,2025-09-08 14:01:00+00:00
1757340120000,1.43,1.44,1.43,14,1.44,8130,1.430629,2025-09-08 14:02:00+00:00
1757340180000,1.435,1.4391,1.435,4,1.4391,307,1.43705,2025-09-08 14:03:00+00:00
1757340240000,1.3989,1.4205,1.39,38,1.4205,11619,1.401175,2025-09-08 14:04:00+00:00
1757340300000,1.405,1.405,1.39,30,1.4,15142,1.396594,2025-09-08 14:05:00+00:00
1757340360000,1.3939,1.4,1.39,13,1.39,7868,1.393646,2025-09-08 14:06:00+00:00
1757340420000,1.366,1.405,1.35,98,1.3962,58999,1.372887,2025-09-08 14:07:00+00:00
1757340480000,1.3302,1.3755,1.3,71,1.37,37683,1.343093,2025-09-08 14:08:00+00:00
1757340540000,1.365,1.3821,1.33,37,1.34,12698,1.356063,2025-09-08 14:09:00+00:00
1757340600000,1.35,1.3695,1.3438,8,1.3695,1791,1.356977,2025-09-08 14:10:00+00:00
1757340660000,1.35,1.355,1.3302,22,1.3302,2503,1.341373,2025-09-08 14:11:00+00:00
1757340720000,1.35,1.37,1.34,15,1.37,3306,1.350878,2025-09-08 14:12:00+00:00
1757340780000,1.35,1.35,1.34,32,1.34,12565,1.341516,2025-09-08 14:13:00+00:00
1757340840000,1.3416,1.35,1.3416,10,1.35,3205,1.34789,2025-09-08 14:14:00+00:00
1757340900000,1.35,1.35,1.33,69,1.3401,16707,1.340587,2025-09-08 14:15:00+00:00
1757340960000,1.355,1.355,1.35,11,1.3501,6948,1.350601,2025-09-08 14:16:00+00:00
1757341020000,1.33,1.345,1.33,11,1.345,7619,1.342183,2025-09-08 14:17:00+00:00
1757341080000,1.3322,1.34,1.3322,9,1.34,3201,1.337721,2025-09-08 14:18:00+00:00
1757341140000,1.3314,1.34,1.33,26,1.34,1843,1.337129,2025-09-08 14:19:00+00:00
1757341200000,1.335,1.335,1.335,3,1.335,102,1.335,2025-09-08 14:20:00+00:00
1757341260000,1.3365,1.3365,1.3301,3,1.3305,5837,1.33152,2025-09-08 14:21:00+00:00
1757341320000,1.33,1.34,1.33,58,1.3301,52873,1.338053,2025-09-08 14:22:00+00:00
1757341380000,1.335,1.34,1.3305,16,1.3305,3962,1.337727,2025-09-08 14:23:00+00:00
1757341440000,1.339,1.339,1.339,6,1.339,290,1.339,2025-09-08 14:24:00+00:00
1757341500000,1.3307,1.3312,1.3307,5,1.3312,975,1.330811,2025-09-08 14:25:00+00:00
