timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757521320000,6.165,6.165,6.165,3,6.165,329,6.165,2025-09-10 16:22:00+00:00
1757521380000,6.17,6.17,6.17,9,6.17,534,6.17,2025-09-10 16:23:00+00:00
1757521440000,6.15,6.165,6.15,28,6.16,2528,6.160167,2025-09-10 16:24:00+00:00
1757521500000,6.15,6.15,6.145,11,6.1492,1236,6.149408,2025-09-10 16:25:00+00:00
1757521560000,6.155,6.155,6.155,1,6.155,219,6.155,2025-09-10 16:26:00+00:00
1757521620000,6.15,6.15,6.15,28,6.15,1688,6.15,2025-09-10 16:27:00+00:00
1757521680000,6.16,6.16,6.1535,17,6.1535,878,6.155357,2025-09-10 16:28:00+00:00
1757521740000,6.18,6.18,6.17,14,6.17,1242,6.171613,2025-09-10 16:29:00+00:00
1757521800000,6.18,6.18,6.175,22,6.18,1996,6.179136,2025-09-10 16:30:00+00:00
1757521860000,6.17,6.175,6.17,7,6.175,288,6.1725,2025-09-10 16:31:00+00:00
1757521920000,6.19,6.19,6.175,31,6.175,5018,6.180031,2025-09-10 16:32:00+00:00
1757521980000,6.19,6.195,6.19,25,6.19,1678,6.191979,2025-09-10 16:33:00+00:00
1757522040000,6.185,6.19,6.185,12,6.1886,773,6.18758,2025-09-10 16:34:00+00:00
1757522160000,6.18,6.185,6.17,30,6.185,2166,6.17875,2025-09-10 16:36:00+00:00
1757522220000,6.18,6.18,6.18,20,6.18,665,6.18,2025-09-10 16:37:00+00:00
1757522280000,6.18,6.18,6.18,11,6.18,627,6.18,2025-09-10 16:38:00+00:00
1757522340000,6.18,6.2,6.178,49,6.178,3574,6.189707,2025-09-10 16:39:00+00:00
1757522400000,6.19,6.19,6.19,14,6.19,1233,6.19,2025-09-10 16:40:00+00:00
1757522460000,6.21,6.21,6.1899,47,6.1899,3862,6.1994,2025-09-10 16:41:00+00:00
1757522520000,6.225,6.225,6.215,17,6.215,663,6.218632,2025-09-10 16:42:00+00:00
1757522580000,6.2144,6.22,6.2144,15,6.22,1041,6.216,2025-09-10 16:43:00+00:00
1757522640000,6.22,6.2298,6.215,39,6.215,5596,6.219253,2025-09-10 16:44:00+00:00
