timeStamp,close,high,low,trade_count,open,volume,vwap,date
1755543540000,3.2102,3.2102,3.2102,9,3.2102,585,3.2102,2025-08-18 18:59:00+00:00
1755543600000,3.215,3.215,3.215,1,3.215,100,3.215,2025-08-18 19:00:00+00:00
1755543720000,3.215,3.215,3.215,5,3.215,281,3.215,2025-08-18 19:02:00+00:00
1755544140000,3.215,3.215,3.215,16,3.215,403,3.215,2025-08-18 19:09:00+00:00
1755544200000,3.215,3.215,3.215,3,3.215,121,3.215,2025-08-18 19:10:00+00:00
1755544260000,3.215,3.215,3.215,5,3.215,131,3.215,2025-08-18 19:11:00+00:00
1755544380000,3.21,3.21,3.21,21,3.21,806,3.21,2025-08-18 19:13:00+00:00
1755544440000,3.21,3.21,3.2042,20,3.205,1284,3.20812,2025-08-18 19:14:00+00:00
1755544920000,3.215,3.215,3.215,6,3.215,299,3.215,2025-08-18 19:22:00+00:00
1755544980000,3.215,3.215,3.215,6,3.215,264,3.215,2025-08-18 19:23:00+00:00
1755545220000,3.215,3.22,3.215,4,3.22,272,3.216859,2025-08-18 19:27:00+00:00
1755545280000,3.215,3.215,3.215,19,3.215,516,3.215,2025-08-18 19:28:00+00:00
1755545400000,3.22,3.22,3.215,5,3.215,1100,3.217273,2025-08-18 19:30:00+00:00
1755545460000,3.215,3.215,3.215,3,3.215,276,3.215,2025-08-18 19:31:00+00:00
1755545640000,3.2142,3.2142,3.2142,3,3.2142,132,3.2142,2025-08-18 19:34:00+00:00
1755545700000,3.2111,3.2111,3.21,4,3.21,276,3.21055,2025-08-18 19:35:00+00:00
1755545760000,3.215,3.215,3.215,22,3.215,543,3.215,2025-08-18 19:36:00+00:00
1755545880000,3.23,3.23,3.215,89,3.22,3388,3.221739,2025-08-18 19:38:00+00:00
1755546000000,3.2469,3.2469,3.2469,12,3.2469,927,3.2469,2025-08-18 19:40:00+00:00
1755546060000,3.23,3.23,3.23,16,3.23,573,3.23,2025-08-18 19:41:00+00:00
1755546120000,3.23,3.23,3.23,3,3.23,104,3.23,2025-08-18 19:42:00+00:00
1755546420000,3.23,3.23,3.23,7,3.23,545,3.23,2025-08-18 19:47:00+00:00
1755546480000,3.23,3.23,3.2284,33,3.2284,717,3.22872,2025-08-18 19:48:00+00:00
1755546540000,3.2,3.22,3.2,59,3.22,1801,3.216011,2025-08-18 19:49:00+00:00
1755546600000,3.2,3.2,3.2,3,3.2,252,3.2,2025-08-18 19:50:00+00:00
1755546660000,3.2,3.2,3.2,2,3.2,116,3.2,2025-08-18 19:51:00+00:00
1755546720000,3.195,3.2,3.195,17,3.2,1348,3.199213,2025-08-18 19:52:00+00:00
1755546780000,3.195,3.2,3.195,17,3.195,1456,3.198816,2025-08-18 19:53:00+00:00
1755546840000,3.2,3.21,3.2,28,3.2,2089,3.200587,2025-08-18 19:54:00+00:00
1755546900000,3.205,3.21,3.205,71,3.21,2283,3.207741,2025-08-18 19:55:00+00:00
1755546960000,3.215,3.22,3.21,42,3.21,1081,3.215,2025-08-18 19:56:00+00:00
1755547020000,3.22,3.22,3.21,46,3.21,3409,3.217944,2025-08-18 19:57:00+00:00
1755547080000,3.22,3.229,3.22,18,3.22,1208,3.221871,2025-08-18 19:58:00+00:00
1755547140000,3.21,3.22,3.205,123,3.22,4985,3.213011,2025-08-18 19:59:00+00:00
1755547200000,3.22,3.22,3.22,2,3.22,8410,3.22,2025-08-18 20:00:00+00:00
1755610200000,3.19,3.19,3.19,5,3.19,1803,3.19,2025-08-19 13:30:00+00:00
1755610260000,3.195,3.2,3.195,3,3.2,250,3.1975,2025-08-19 13:31:00+00:00
1755611160000,3.18,3.18,3.18,22,3.18,413,3.18,2025-08-19 13:46:00+00:00
1755611220000,3.1705,3.19,3.1705,37,3.18,2747,3.176924,2025-08-19 13:47:00+00:00
1755611280000,3.18,3.18,3.18,7,3.18,302,3.18,2025-08-19 13:48:00+00:00
1755611340000,3.18,3.18,3.18,14,3.18,312,3.18,2025-08-19 13:49:00+00:00
1755611580000,3.18,3.19,3.18,93,3.185,1977,3.181794,2025-08-19 13:53:00+00:00
1755611760000,3.1884,3.1884,3.1884,16,3.1884,530,3.1884,2025-08-19 13:56:00+00:00
1755612000000,3.175,3.18,3.175,23,3.18,1174,3.178946,2025-08-19 14:00:00+00:00
1755612120000,3.175,3.175,3.175,3,3.175,103,3.175,2025-08-19 14:02:00+00:00
1755612300000,3.175,3.175,3.175,3,3.175,200,3.175,2025-08-19 14:05:00+00:00
1755612360000,3.175,3.175,3.175,1,3.175,100,3.175,2025-08-19 14:06:00+00:00
1755612540000,3.175,3.18,3.175,2,3.18,200,3.1775,2025-08-19 14:09:00+00:00
1755612660000,3.18,3.18,3.18,13,3.18,412,3.18,2025-08-19 14:11:00+00:00
1755612960000,3.15,3.15,3.15,77,3.15,954,3.15,2025-08-19 14:16:00+00:00
1755613140000,3.1314,3.1314,3.1314,4,3.1314,187,3.1314,2025-08-19 14:19:00+00:00
1755613560000,3.125,3.125,3.125,7,3.125,705,3.125,2025-08-19 14:26:00+00:00
1755613620000,3.13,3.13,3.125,3,3.125,216,3.1275,2025-08-19 14:27:00+00:00
1755613680000,3.125,3.15,3.125,3,3.15,1091,3.147666,2025-08-19 14:28:00+00:00
1755613800000,3.13,3.13,3.13,4,3.13,110,3.13,2025-08-19 14:30:00+00:00
1755613860000,3.1175,3.1175,3.1175,4,3.1175,106,3.1175,2025-08-19 14:31:00+00:00
1755613980000,3.12,3.12,3.12,2,3.12,108,3.12,2025-08-19 14:33:00+00:00
