timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757512320000,31.93,31.93,31.67,16,31.67,1083,31.891326,2025-09-10 13:52:00+00:00
1757512380000,31.89,31.93,31.89,15,31.92,964,31.917222,2025-09-10 13:53:00+00:00
1757512440000,31.65,31.82,31.65,33,31.77,1343,31.736082,2025-09-10 13:54:00+00:00
1757512500000,31.58,31.58,31.55,53,31.58,1147,31.574,2025-09-10 13:55:00+00:00
1757512560000,31.79,31.79,31.5914,13,31.5914,810,31.692133,2025-09-10 13:56:00+00:00
1757512620000,31.85,31.91,31.85,14,31.91,1175,31.883525,2025-09-10 13:57:00+00:00
1757512680000,31.819,31.819,31.64,11,31.77,2499,31.718758,2025-09-10 13:58:00+00:00
1757512740000,31.75,31.75,31.75,6,31.75,515,31.75,2025-09-10 13:59:00+00:00
1757512800000,31.93,31.93,31.855,98,31.87,21962,31.8983,2025-09-10 14:00:00+00:00
1757512860000,31.97,32.01,31.94,47,31.98,6091,31.988238,2025-09-10 14:01:00+00:00
1757512920000,32.06,32.06,31.9116,24,32.0,2180,31.994631,2025-09-10 14:02:00+00:00
1757512980000,31.9251,31.99,31.9251,17,31.99,1324,31.947913,2025-09-10 14:03:00+00:00
1757513040000,31.88,32.0,31.82,16,32.0,3555,31.894557,2025-09-10 14:04:00+00:00
1757513100000,31.7,31.87,31.7,26,31.83,2313,31.760625,2025-09-10 14:05:00+00:00
1757513160000,31.75,31.75,31.67,20,31.67,944,31.683333,2025-09-10 14:06:00+00:00
1757513220000,31.8,31.8,31.7244,14,31.76,1004,31.746034,2025-09-10 14:07:00+00:00
1757513280000,31.73,31.82,31.73,12,31.82,548,31.748,2025-09-10 14:08:00+00:00
1757513340000,31.78,31.78,31.76,9,31.76,549,31.769286,2025-09-10 14:09:00+00:00
1757513400000,31.75,31.77,31.75,14,31.77,628,31.75627,2025-09-10 14:10:00+00:00
1757513580000,31.4,31.5,31.4,21,31.5,2027,31.47845,2025-09-10 14:13:00+00:00
1757513640000,31.25,31.4539,31.25,38,31.41,10455,31.293238,2025-09-10 14:14:00+00:00
1757513700000,31.385,31.4175,31.34,26,31.35,3992,31.372796,2025-09-10 14:15:00+00:00
1757513760000,31.42,31.5789,31.42,15,31.479,1800,31.506263,2025-09-10 14:16:00+00:00
1757513820000,31.25,31.4,31.25,28,31.36,1357,31.356335,2025-09-10 14:17:00+00:00
1757513880000,31.13,31.27,31.13,30,31.18,2092,31.207059,2025-09-10 14:18:00+00:00
1757513940000,31.29,31.29,31.0801,15,31.0801,1453,31.185584,2025-09-10 14:19:00+00:00
1757514000000,31.33,31.36,31.33,22,31.36,1137,31.335338,2025-09-10 14:20:00+00:00
1757514060000,31.37,31.37,31.37,7,31.37,142,31.37,2025-09-10 14:21:00+00:00
1757514120000,31.52,31.52,31.38,22,31.46,3094,31.485013,2025-09-10 14:22:00+00:00
1757514180000,31.29,31.66,31.29,40,31.66,3483,31.524319,2025-09-10 14:23:00+00:00
1757514240000,31.285,31.34,31.25,9,31.25,1416,31.286674,2025-09-10 14:24:00+00:00
1757514300000,31.16,31.39,31.16,38,31.3,2860,31.325035,2025-09-10 14:25:00+00:00
1757514360000,31.16,31.22,31.15,18,31.22,824,31.185,2025-09-10 14:26:00+00:00
1757514420000,31.15,31.16,31.15,21,31.16,877,31.151695,2025-09-10 14:27:00+00:00
1757514480000,30.8,31.08,30.8,79,31.08,8457,30.935891,2025-09-10 14:28:00+00:00
1757514540000,30.77,30.84,30.7401,71,30.78,9629,30.830325,2025-09-10 14:29:00+00:00
1757514600000,30.83,30.84,30.76,26,30.76,1679,30.810985,2025-09-10 14:30:00+00:00
1757514660000,30.78,30.8387,30.75,31,30.83,1851,30.791737,2025-09-10 14:31:00+00:00
1757514720000,30.89,30.93,30.7441,26,30.7441,3835,30.876132,2025-09-10 14:32:00+00:00
1757514780000,30.77,30.9,30.7,57,30.82,4309,30.765985,2025-09-10 14:33:00+00:00
1757514840000,30.73,30.84,30.73,26,30.84,1012,30.79625,2025-09-10 14:34:00+00:00
1757514900000,30.76,30.8,30.74,31,30.74,1097,30.772692,2025-09-10 14:35:00+00:00
1757514960000,30.81,30.86,30.7373,28,30.7845,1632,30.806427,2025-09-10 14:36:00+00:00
1757515020000,30.72,30.86,30.71,29,30.81,2439,30.791137,2025-09-10 14:37:00+00:00
1757515080000,30.68,30.86,30.68,44,30.7699,2167,30.820642,2025-09-10 14:38:00+00:00
1757515140000,30.635,30.73,30.6,38,30.73,2666,30.644429,2025-09-10 14:39:00+00:00
1757515200000,30.71,30.7199,30.67,30,30.67,2763,30.711527,2025-09-10 14:40:00+00:00
1757515260000,30.6,30.66,30.6,20,30.6597,948,30.64495,2025-09-10 14:41:00+00:00
1757515320000,30.5,30.62,30.5,75,30.61,4608,30.580409,2025-09-10 14:42:00+00:00
1757515380000,30.59,30.6,30.47,25,30.47,2019,30.561481,2025-09-10 14:43:00+00:00
1757515440000,30.6,30.8406,30.59,31,30.59,2706,30.66971,2025-09-10 14:44:00+00:00
1757515500000,30.71,30.71,30.665,28,30.665,1800,30.686309,2025-09-10 14:45:00+00:00
1757515560000,30.62,30.7495,30.62,19,30.74,861,30.685627,2025-09-10 14:46:00+00:00
1757515620000,30.64,30.64,30.61,17,30.61,2411,30.613487,2025-09-10 14:47:00+00:00
1757515680000,30.54,30.68,30.54,31,30.68,2877,30.615964,2025-09-10 14:48:00+00:00
1757515740000,30.53,30.5593,30.46,49,30.51,2575,30.524501,2025-09-10 14:49:00+00:00
1757515800000,30.55,30.6892,30.53,27,30.53,2552,30.61353,2025-09-10 14:50:00+00:00
1757515860000,30.7637,30.7637,30.595,20,30.595,2800,30.716742,2025-09-10 14:51:00+00:00
1757515920000,30.9527,30.9527,30.74,28,30.7665,4252,30.838486,2025-09-10 14:52:00+00:00
1757515980000,30.94,30.94,30.86,12,30.86,921,30.90528,2025-09-10 14:53:00+00:00
1757516040000,30.8799,30.93,30.81,27,30.93,2462,30.865427,2025-09-10 14:54:00+00:00
1757516100000,30.76,30.76,30.76,6,30.76,203,30.76,2025-09-10 14:55:00+00:00
1757516160000,30.76,30.76,30.76,10,30.76,619,30.76,2025-09-10 14:56:00+00:00
1757516220000,30.75,30.75,30.72,18,30.72,684,30.738664,2025-09-10 14:57:00+00:00
1757516280000,30.72,30.765,30.7,13,30.74,1093,30.730488,2025-09-10 14:58:00+00:00
1757516340000,30.69,30.7,30.69,11,30.7,416,30.696,2025-09-10 14:59:00+00:00
1757516400000,30.9,30.92,30.69,18,30.69,866,30.82125,2025-09-10 15:00:00+00:00
1757516460000,31.035,31.035,30.84,11,30.92,2067,30.98996,2025-09-10 15:01:00+00:00
1757516520000,31.29,31.34,31.15,14,31.18,1127,31.231818,2025-09-10 15:02:00+00:00
1757516580000,31.23,31.3199,31.1501,13,31.3169,3414,31.202632,2025-09-10 15:03:00+00:00
1757516640000,31.2625,31.28,31.2,12,31.2,1329,31.246434,2025-09-10 15:04:00+00:00
1757516700000,31.2,31.26,31.2,16,31.26,2721,31.213432,2025-09-10 15:05:00+00:00
1757516760000,31.39,31.39,31.23,15,31.23,1648,31.328872,2025-09-10 15:06:00+00:00
1757516820000,31.6,31.6,31.55,36,31.57,3521,31.570497,2025-09-10 15:07:00+00:00
1757516880000,31.71,31.78,31.71,19,31.71,1282,31.72204,2025-09-10 15:08:00+00:00
1757516940000,31.75,31.83,31.65,36,31.82,3221,31.743398,2025-09-10 15:09:00+00:00
1757517000000,31.74,31.88,31.74,19,31.75,3711,31.81624,2025-09-10 15:10:00+00:00
1757517060000,31.903,31.903,31.71,30,31.8,2234,31.799136,2025-09-10 15:11:00+00:00
1757517120000,32.0,32.0,31.9,25,31.9455,1947,31.963453,2025-09-10 15:12:00+00:00
1757517180000,32.0188,32.0548,31.945,15,31.945,1023,32.006967,2025-09-10 15:13:00+00:00
1757517240000,31.86,31.9485,31.85,15,31.9466,1830,31.866836,2025-09-10 15:14:00+00:00
1757517300000,31.87,31.94,31.87,14,31.94,601,31.898,2025-09-10 15:15:00+00:00
1757517420000,32.13,32.13,31.9501,22,32.01,1516,32.048477,2025-09-10 15:17:00+00:00
1757517480000,32.05,32.07,32.05,7,32.07,366,32.06,2025-09-10 15:18:00+00:00
1757517540000,32.0996,32.0996,32.0996,7,32.0996,257,32.0996,2025-09-10 15:19:00+00:00
1757517600000,32.15,32.15,32.07,8,32.07,529,32.1225,2025-09-10 15:20:00+00:00
1757517660000,32.1457,32.18,32.1,13,32.18,1295,32.149864,2025-09-10 15:21:00+00:00
1757517720000,32.12,32.17,32.12,17,32.17,1393,32.132488,2025-09-10 15:22:00+00:00
1757517780000,32.35,32.36,32.3,28,32.3,2529,32.315,2025-09-10 15:23:00+00:00
1757517840000,32.3617,32.4,32.24,17,32.24,2025,32.272284,2025-09-10 15:24:00+00:00
1757517900000,32.29,32.37,32.23,27,32.37,1696,32.287454,2025-09-10 15:25:00+00:00
1757517960000,32.5,32.5,32.3,39,32.3,1936,32.365185,2025-09-10 15:26:00+00:00
1757518080000,32.8429,32.86,32.5763,34,32.6382,3184,32.696668,2025-09-10 15:28:00+00:00
1757518140000,33.12,33.13,32.87,236,32.9,26951,32.985358,2025-09-10 15:29:00+00:00
1757518200000,33.15,33.19,33.0875,38,33.125,5211,33.124181,2025-09-10 15:30:00+00:00
1757518260000,33.14,33.33,33.12,52,33.12,4749,33.238965,2025-09-10 15:31:00+00:00
1757518320000,33.0,33.08,32.99,17,33.08,618,33.028,2025-09-10 15:32:00+00:00
1757518380000,33.23,33.29,32.99,52,33.05,8538,33.12494,2025-09-10 15:33:00+00:00
1757518440000,33.425,33.44,33.24,27,33.25,2270,33.316033,2025-09-10 15:34:00+00:00
1757518500000,33.39,33.47,33.37,87,33.4,11821,33.425674,2025-09-10 15:35:00+00:00
1757518560000,33.31,33.4193,33.2828,28,33.39,6836,33.316266,2025-09-10 15:36:00+00:00
1757518620000,33.39,33.39,33.28,22,33.35,1805,33.336533,2025-09-10 15:37:00+00:00
1757518680000,33.25,33.5,33.25,46,33.41,4326,33.422707,2025-09-10 15:38:00+00:00
1757518740000,33.15,33.41,33.15,43,33.34,6735,33.31042,2025-09-10 15:39:00+00:00
1757518800000,33.0,33.12,32.99,23,33.03,2165,33.072371,2025-09-10 15:40:00+00:00
1757518860000,32.8319,32.9,32.775,21,32.9,1747,32.850337,2025-09-10 15:41:00+00:00
1757518920000,33.0,33.0,32.9,10,32.9,2961,32.980534,2025-09-10 15:42:00+00:00
1757518980000,33.02,33.02,32.9,12,32.9,3484,32.903846,2025-09-10 15:43:00+00:00
1757519040000,33.12,33.12,33.11,6,33.11,292,33.115,2025-09-10 15:44:00+00:00
1757519100000,32.9852,33.2113,32.9852,16,33.1,1157,33.10007,2025-09-10 15:45:00+00:00
1757519160000,33.07,33.07,32.9317,11,32.99,515,32.997233,2025-09-10 15:46:00+00:00
1757519220000,32.96,33.1036,32.95,6,33.1036,859,33.058125,2025-09-10 15:47:00+00:00
1757519280000,32.96,33.01,32.96,27,32.99,1464,32.982727,2025-09-10 15:48:00+00:00
1757519340000,33.05,33.05,32.95,9,32.95,414,32.986667,2025-09-10 15:49:00+00:00
1757519400000,32.94,32.94,32.94,2,32.94,110,32.94,2025-09-10 15:50:00+00:00
1757519460000,32.84,32.94,32.84,17,32.94,859,32.888571,2025-09-10 15:51:00+00:00
1757519520000,32.75,32.85,32.75,11,32.7677,2165,32.795411,2025-09-10 15:52:00+00:00
1757519580000,32.84,32.84,32.84,3,32.84,107,32.84,2025-09-10 15:53:00+00:00
1757519640000,32.5501,32.68,32.5501,10,32.68,912,32.5945,2025-09-10 15:54:00+00:00
1757519700000,32.61,32.62,32.51,7,32.51,481,32.585,2025-09-10 15:55:00+00:00
1757519760000,32.58,32.58,32.58,4,32.58,1904,32.58,2025-09-10 15:56:00+00:00
1757519820000,32.69,32.69,32.5681,9,32.5681,699,32.629219,2025-09-10 15:57:00+00:00
1757519880000,32.66,32.68,32.65,12,32.65,655,32.665,2025-09-10 15:58:00+00:00
1757519940000,32.61,32.66,32.61,42,32.66,11412,32.64968,2025-09-10 15:59:00+00:00
1757520000000,32.51,32.51,32.5,7,32.5,342,32.505,2025-09-10 16:00:00+00:00
1757520060000,32.58,32.58,32.58,7,32.58,233,32.58,2025-09-10 16:01:00+00:00
1757520120000,32.51,32.58,32.49,4,32.58,330,32.528387,2025-09-10 16:02:00+00:00
1757520180000,32.5296,32.5945,32.51,24,32.51,2535,32.536121,2025-09-10 16:03:00+00:00
1757520240000,32.52,32.52,32.5,17,32.52,3915,32.515851,2025-09-10 16:04:00+00:00
1757520300000,32.69,32.7,32.69,17,32.7,540,32.695,2025-09-10 16:05:00+00:00
1757520360000,32.79,32.79,32.72,14,32.72,1039,32.74,2025-09-10 16:06:00+00:00
1757520420000,32.77,32.77,32.72,7,32.72,643,32.75,2025-09-10 16:07:00+00:00
1757520480000,32.74,32.74,32.74,5,32.74,182,32.74,2025-09-10 16:08:00+00:00
1757520540000,32.59,32.6852,32.59,6,32.64,749,32.613902,2025-09-10 16:09:00+00:00
1757520600000,32.73,32.74,32.73,9,32.74,624,32.735,2025-09-10 16:10:00+00:00
1757520660000,32.7,32.7,32.7,5,32.7,341,32.7,2025-09-10 16:11:00+00:00
