timeStamp,close,high,low,trade_count,open,volume,vwap,date
1754932140000,1.25,1.25,1.25,1,1.25,111,1.25,2025-08-11 17:09:00+00:00
1754932200000,1.245,1.249,1.245,2,1.249,200,1.247,2025-08-11 17:10:00+00:00
1754932320000,1.25,1.25,1.25,3,1.25,124,1.25,2025-08-11 17:12:00+00:00
1754932440000,1.245,1.245,1.245,3,1.245,343,1.245,2025-08-11 17:14:00+00:00
1754932620000,1.25,1.25,1.245,59,1.245,4781,1.249856,2025-08-11 17:17:00+00:00
1754932860000,1.25,1.25,1.25,38,1.25,1809,1.25,2025-08-11 17:21:00+00:00
1754933100000,1.2496,1.2496,1.245,5,1.245,462,1.248598,2025-08-11 17:25:00+00:00
1754934300000,1.2304,1.24,1.2304,15,1.24,1977,1.238485,2025-08-11 17:45:00+00:00
1754934360000,1.2399,1.2399,1.2399,8,1.2399,1689,1.2399,2025-08-11 17:46:00+00:00
1754934420000,1.24,1.24,1.24,29,1.24,1109,1.24,2025-08-11 17:47:00+00:00
1754934480000,1.24,1.24,1.24,5,1.24,1159,1.24,2025-08-11 17:48:00+00:00
1754934660000,1.25,1.25,1.24,3,1.24,6601,1.243939,2025-08-11 17:51:00+00:00
1754934780000,1.24,1.24,1.24,4,1.24,462,1.24,2025-08-11 17:53:00+00:00
1754935020000,1.25,1.25,1.25,8,1.25,883,1.25,2025-08-11 17:57:00+00:00
1754935320000,1.2599,1.2599,1.2501,2,1.2501,202,1.255,2025-08-11 18:02:00+00:00
1754936340000,1.255,1.255,1.255,3,1.255,399,1.255,2025-08-11 18:19:00+00:00
1754936460000,1.25,1.25,1.25,2,1.25,678,1.25,2025-08-11 18:21:00+00:00
1754936580000,1.2588,1.2588,1.2588,1,1.2588,1116,1.2588,2025-08-11 18:23:00+00:00
1754936700000,1.25,1.25,1.25,3,1.25,116,1.25,2025-08-11 18:25:00+00:00
1754936820000,1.26,1.26,1.25,7,1.25,545,1.252,2025-08-11 18:27:00+00:00
1754937300000,1.24,1.25,1.24,16,1.25,5000,1.240729,2025-08-11 18:35:00+00:00
1754937600000,1.245,1.245,1.245,1,1.245,100,1.245,2025-08-11 18:40:00+00:00
1754937780000,1.245,1.245,1.245,2,1.245,514,1.245,2025-08-11 18:43:00+00:00
1754938020000,1.245,1.245,1.245,1,1.245,100,1.245,2025-08-11 18:47:00+00:00
1754938080000,1.245,1.245,1.245,1,1.245,113,1.245,2025-08-11 18:48:00+00:00
1754938140000,1.25,1.26,1.245,43,1.25,3944,1.25035,2025-08-11 18:49:00+00:00
1754938200000,1.25,1.25,1.25,4,1.25,1227,1.25,2025-08-11 18:50:00+00:00
1754938260000,1.25,1.25,1.25,1,1.25,200,1.25,2025-08-11 18:51:00+00:00
1754938320000,1.25,1.25,1.25,1,1.25,200,1.25,2025-08-11 18:52:00+00:00
1754938380000,1.25,1.25,1.25,1,1.25,200,1.25,2025-08-11 18:53:00+00:00
1754938440000,1.25,1.25,1.25,1,1.25,300,1.25,2025-08-11 18:54:00+00:00
1754938560000,1.25,1.25,1.25,1,1.25,300,1.25,2025-08-11 18:56:00+00:00
1754938680000,1.25,1.25,1.25,5,1.25,607,1.25,2025-08-11 18:58:00+00:00
1754938860000,1.26,1.26,1.26,28,1.26,1086,1.26,2025-08-11 19:01:00+00:00
1754938920000,1.28,1.28,1.27,166,1.27,5772,1.273715,2025-08-11 19:02:00+00:00
1754939040000,1.28,1.28,1.28,24,1.28,588,1.28,2025-08-11 19:04:00+00:00
1754939100000,1.29,1.29,1.28,34,1.28,871,1.285238,2025-08-11 19:05:00+00:00
1754939160000,1.28,1.28,1.28,17,1.28,3605,1.28,2025-08-11 19:06:00+00:00
1754939580000,1.29,1.29,1.29,8,1.29,1438,1.29,2025-08-11 19:13:00+00:00
1754939700000,1.29,1.29,1.29,1,1.29,100,1.29,2025-08-11 19:15:00+00:00
1754939880000,1.29,1.29,1.29,1,1.29,300,1.29,2025-08-11 19:18:00+00:00
1754940060000,1.29,1.29,1.29,1,1.29,300,1.29,2025-08-11 19:21:00+00:00
1754940180000,1.29,1.29,1.29,31,1.29,3181,1.29,2025-08-11 19:23:00+00:00
1754940300000,1.29,1.29,1.29,5,1.29,452,1.29,2025-08-11 19:25:00+00:00
1754940360000,1.29,1.29,1.29,13,1.29,726,1.29,2025-08-11 19:26:00+00:00
1754940480000,1.29,1.3,1.29,6,1.3,752,1.295714,2025-08-11 19:28:00+00:00
1754940600000,1.31,1.31,1.3,20,1.3,753,1.303333,2025-08-11 19:30:00+00:00
1754940660000,1.32,1.32,1.31,5,1.31,566,1.315455,2025-08-11 19:31:00+00:00
1754940780000,1.31,1.31,1.31,5,1.31,419,1.31,2025-08-11 19:33:00+00:00
1754940840000,1.32,1.32,1.32,4,1.32,303,1.32,2025-08-11 19:34:00+00:00
1754940900000,1.32,1.32,1.32,6,1.32,400,1.32,2025-08-11 19:35:00+00:00
1754940960000,1.32,1.32,1.32,9,1.32,611,1.32,2025-08-11 19:36:00+00:00
1754941020000,1.33,1.33,1.33,6,1.33,318,1.33,2025-08-11 19:37:00+00:00
1754941080000,1.33,1.33,1.33,8,1.33,319,1.33,2025-08-11 19:38:00+00:00
1754941200000,1.29,1.32,1.28,33,1.32,6108,1.309026,2025-08-11 19:40:00+00:00
1754941320000,1.295,1.295,1.295,2,1.295,133,1.295,2025-08-11 19:42:00+00:00
1754941500000,1.29,1.29,1.29,1,1.29,200,1.29,2025-08-11 19:45:00+00:00
1754941620000,1.28,1.295,1.28,29,1.295,7466,1.285977,2025-08-11 19:47:00+00:00
1754941680000,1.28,1.28,1.28,6,1.28,1468,1.28,2025-08-11 19:48:00+00:00
1754941800000,1.27,1.27,1.27,3,1.27,400,1.27,2025-08-11 19:50:00+00:00
1754941920000,1.275,1.275,1.275,2,1.275,2041,1.275,2025-08-11 19:52:00+00:00
1754942040000,1.29,1.29,1.28,14,1.28,1257,1.286111,2025-08-11 19:54:00+00:00
1754942100000,1.29,1.29,1.285,33,1.285,1457,1.288936,2025-08-11 19:55:00+00:00
1754942160000,1.28,1.29,1.28,55,1.29,2130,1.285625,2025-08-11 19:56:00+00:00
1754942220000,1.285,1.29,1.285,15,1.285,767,1.285833,2025-08-11 19:57:00+00:00
1754942280000,1.29,1.29,1.285,50,1.29,1711,1.289161,2025-08-11 19:58:00+00:00
1754942340000,1.28,1.3,1.28,172,1.28,9092,1.289925,2025-08-11 19:59:00+00:00
1754942400000,1.27,1.27,1.27,1,1.27,5824,1.27,2025-08-11 20:00:00+00:00
1755005400000,1.3389,1.34,1.33,9,1.33,3818,1.337231,2025-08-12 13:30:00+00:00
