timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757527380000,3.2965,3.305,3.29,50,3.305,15539,3.300223,2025-09-10 18:03:00+00:00
1757527440000,3.3,3.3,3.295,9,3.295,472,3.296147,2025-09-10 18:04:00+00:00
1757527500000,3.295,3.295,3.295,1,3.295,303,3.295,2025-09-10 18:05:00+00:00
1757527560000,3.295,3.3,3.295,3,3.2951,950,3.295542,2025-09-10 18:06:00+00:00
1757527620000,3.2919,3.3,3.2919,7,3.3,1731,3.293796,2025-09-10 18:07:00+00:00
1757527680000,3.29,3.2953,3.29,25,3.2953,3987,3.290709,2025-09-10 18:08:00+00:00
1757527740000,3.295,3.295,3.2897,35,3.2897,4588,3.291967,2025-09-10 18:09:00+00:00
1757527800000,3.295,3.295,3.2945,6,3.2946,3489,3.294521,2025-09-10 18:10:00+00:00
1757527980000,3.3,3.3,3.2945,13,3.2945,772,3.298118,2025-09-10 18:13:00+00:00
1757528040000,3.3,3.3,3.3,15,3.3,1467,3.3,2025-09-10 18:14:00+00:00
1757528100000,3.3,3.3,3.295,13,3.295,1593,3.297319,2025-09-10 18:15:00+00:00
1757528160000,3.295,3.3,3.295,15,3.3,1183,3.297413,2025-09-10 18:16:00+00:00
1757528220000,3.295,3.3,3.295,10,3.295,1673,3.295625,2025-09-10 18:17:00+00:00
1757528340000,3.28,3.3,3.28,58,3.2945,8889,3.291898,2025-09-10 18:19:00+00:00
1757528400000,3.285,3.29,3.285,6,3.29,1005,3.286,2025-09-10 18:20:00+00:00
1757528460000,3.285,3.285,3.285,5,3.285,407,3.285,2025-09-10 18:21:00+00:00
1757528520000,3.29,3.29,3.2835,10,3.29,12358,3.285581,2025-09-10 18:22:00+00:00
1757528580000,3.285,3.285,3.28,5,3.285,653,3.283834,2025-09-10 18:23:00+00:00
1757528640000,3.2835,3.29,3.2829,11,3.285,13445,3.287567,2025-09-10 18:24:00+00:00
1757528700000,3.28,3.28,3.28,37,3.28,5738,3.28,2025-09-10 18:25:00+00:00
1757528760000,3.275,3.275,3.275,5,3.275,234,3.275,2025-09-10 18:26:00+00:00
1757528880000,3.28,3.28,3.275,9,3.275,482,3.27875,2025-09-10 18:28:00+00:00
1757529000000,3.275,3.28,3.275,7,3.28,558,3.276,2025-09-10 18:30:00+00:00
1757529060000,3.28,3.28,3.275,9,3.275,787,3.275689,2025-09-10 18:31:00+00:00
1757529120000,3.275,3.275,3.275,7,3.275,470,3.275,2025-09-10 18:32:00+00:00
1757529180000,3.285,3.285,3.27,33,3.27,11464,3.280029,2025-09-10 18:33:00+00:00
1757529240000,3.285,3.29,3.285,10,3.285,1095,3.285518,2025-09-10 18:34:00+00:00
1757529300000,3.29,3.29,3.285,9,3.285,1214,3.285455,2025-09-10 18:35:00+00:00
1757529360000,3.28,3.28,3.28,5,3.28,367,3.28,2025-09-10 18:36:00+00:00
1757529420000,3.275,3.285,3.27,46,3.28,11756,3.279337,2025-09-10 18:37:00+00:00
1757529480000,3.265,3.275,3.265,23,3.275,6810,3.27104,2025-09-10 18:38:00+00:00
1757529540000,3.2696,3.2696,3.2645,4,3.2694,3585,3.265337,2025-09-10 18:39:00+00:00
1757529600000,3.27,3.27,3.26,5,3.265,5487,3.263332,2025-09-10 18:40:00+00:00
1757529660000,3.27,3.27,3.26,15,3.27,35400,3.264448,2025-09-10 18:41:00+00:00
1757529780000,3.275,3.28,3.2699,38,3.27,15353,3.274164,2025-09-10 18:43:00+00:00
1757529840000,3.27,3.2751,3.27,6,3.2751,1254,3.27255,2025-09-10 18:44:00+00:00
1757529900000,3.275,3.275,3.275,4,3.275,2179,3.275,2025-09-10 18:45:00+00:00
1757529960000,3.27,3.275,3.27,12,3.275,3546,3.27106,2025-09-10 18:46:00+00:00
1757530020000,3.265,3.275,3.26,44,3.27,17954,3.269774,2025-09-10 18:47:00+00:00
1757530080000,3.265,3.265,3.2601,19,3.265,7905,3.263114,2025-09-10 18:48:00+00:00
