timeStamp,close,high,low,trade_count,open,volume,vwap,date
1757527980000,2.26,2.26,2.255,9,2.255,1313,2.255833,2025-09-10 18:13:00+00:00
1757528040000,2.255,2.255,2.255,4,2.255,170,2.255,2025-09-10 18:14:00+00:00
1757528100000,2.26,2.26,2.255,8,2.255,1094,2.25895,2025-09-10 18:15:00+00:00
1757528160000,2.255,2.255,2.255,4,2.255,540,2.255,2025-09-10 18:16:00+00:00
1757528340000,2.25,2.255,2.25,21,2.255,4510,2.250458,2025-09-10 18:19:00+00:00
1757528400000,2.255,2.255,2.25,8,2.25,1937,2.251308,2025-09-10 18:20:00+00:00
1757528460000,2.255,2.255,2.255,6,2.255,161,2.255,2025-09-10 18:21:00+00:00
1757528520000,2.255,2.255,2.255,5,2.255,434,2.255,2025-09-10 18:22:00+00:00
1757528580000,2.25,2.26,2.25,8,2.26,756,2.253365,2025-09-10 18:23:00+00:00
1757528640000,2.25,2.255,2.25,9,2.25,595,2.253016,2025-09-10 18:24:00+00:00
1757528700000,2.255,2.255,2.25,13,2.25,1457,2.250667,2025-09-10 18:25:00+00:00
1757528760000,2.25,2.25,2.248,54,2.25,7532,2.249902,2025-09-10 18:26:00+00:00
1757528820000,2.255,2.255,2.255,12,2.255,699,2.255,2025-09-10 18:27:00+00:00
1757528940000,2.254,2.2598,2.254,9,2.255,5878,2.255475,2025-09-10 18:29:00+00:00
1757529000000,2.254,2.255,2.254,4,2.255,390,2.254647,2025-09-10 18:30:00+00:00
1757529120000,2.265,2.265,2.26,23,2.26,2533,2.260208,2025-09-10 18:32:00+00:00
1757529240000,2.265,2.27,2.265,9,2.27,439,2.267429,2025-09-10 18:34:00+00:00
1757529300000,2.27,2.27,2.27,5,2.27,212,2.27,2025-09-10 18:35:00+00:00
1757529420000,2.27,2.27,2.27,10,2.27,500,2.27,2025-09-10 18:37:00+00:00
1757529480000,2.265,2.27,2.265,14,2.27,887,2.265833,2025-09-10 18:38:00+00:00
1757529540000,2.265,2.27,2.265,7,2.265,904,2.265554,2025-09-10 18:39:00+00:00
1757529600000,2.265,2.265,2.26,3,2.26,250,2.2625,2025-09-10 18:40:00+00:00
1757529660000,2.265,2.27,2.265,9,2.265,5755,2.267805,2025-09-10 18:41:00+00:00
1757529720000,2.275,2.28,2.26,36,2.265,5882,2.26991,2025-09-10 18:42:00+00:00
1757529780000,2.2799,2.28,2.275,15,2.275,1659,2.278171,2025-09-10 18:43:00+00:00
1757529900000,2.275,2.275,2.275,5,2.275,394,2.275,2025-09-10 18:45:00+00:00
1757530020000,2.275,2.2755,2.275,7,2.2755,1268,2.275417,2025-09-10 18:47:00+00:00
1757530200000,2.275,2.275,2.275,9,2.275,431,2.275,2025-09-10 18:50:00+00:00
1757530320000,2.275,2.275,2.2709,6,2.2709,660,2.271863,2025-09-10 18:52:00+00:00
1757530380000,2.275,2.275,2.275,2,2.275,102,2.275,2025-09-10 18:53:00+00:00
1757530500000,2.275,2.275,2.275,5,2.275,230,2.275,2025-09-10 18:55:00+00:00
1757530560000,2.275,2.275,2.275,6,2.275,256,2.275,2025-09-10 18:56:00+00:00
1757530680000,2.2799,2.28,2.275,13,2.275,1009,2.2794,2025-09-10 18:58:00+00:00
1757530740000,2.275,2.275,2.275,19,2.275,691,2.275,2025-09-10 18:59:00+00:00
1757530800000,2.265,2.27,2.265,48,2.27,3672,2.269384,2025-09-10 19:00:00+00:00
1757530860000,2.265,2.2672,2.265,24,2.265,5001,2.265974,2025-09-10 19:01:00+00:00
1757530980000,2.255,2.26,2.255,25,2.26,2188,2.25677,2025-09-10 19:03:00+00:00
1757531100000,2.265,2.265,2.26,22,2.26,2981,2.260183,2025-09-10 19:05:00+00:00
1757531160000,2.26,2.26,2.26,3,2.26,344,2.26,2025-09-10 19:06:00+00:00
1757531220000,2.26,2.26,2.26,2,2.26,301,2.26,2025-09-10 19:07:00+00:00
1757531280000,2.255,2.26,2.255,20,2.26,2075,2.256944,2025-09-10 19:08:00+00:00
1757531340000,2.255,2.26,2.255,15,2.255,5300,2.257985,2025-09-10 19:09:00+00:00
